Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BLR,2017-04-01,12:00,FK Minsk,Dinamo Brest,2,2,D,0,0,D
BLR,2017-04-01,12:30,Naftan Novopolotsk,FK Slutsk,0,1,A,0,0,D
BLR,2017-04-01,13:00,FK Gorodeya,Shakhter Soligorsk,0,1,A,0,0,D
BLR,2017-04-01,14:00,Torpedo-BelAZ Zhodino,FK Isloch Minsk,2,1,H,0,1,A
BLR,2017-04-01,15:00,Dnepr Mogilev,Dinamo Minsk,0,3,A,0,1,A
BLR,2017-04-01,17:30,FK Gomel,BATE Borisov,1,1,D,0,1,A
BLR,2017-04-02,14:00,Neman Grodno,FK Slaviya Mozyr,0,0,D,0,0,D
BLR,2017-04-02,17:30,FK Krumkachy Minsk,FK Vitebsk,1,0,H,1,0,H
BLR,2017-04-08,12:00,FK Isloch Minsk,Neman Grodno,0,1,A,0,0,D
BLR,2017-04-08,14:00,FK Slaviya Mozyr,FK Gorodeya,1,0,H,0,0,D
BLR,2017-04-08,16:00,FK Vitebsk,Dnepr Mogilev,0,4,A,0,3,A
BLR,2017-04-09,13:00,Dinamo Minsk,Naftan Novopolotsk,1,0,H,0,0,D
BLR,2017-04-09,14:30,Shakhter Soligorsk,FK Gomel,0,0,D,0,0,D
BLR,2017-04-09,15:00,BATE Borisov,FK Minsk,1,0,H,0,0,D
BLR,2017-04-09,16:00,FK Krumkachy Minsk,Dinamo Brest,1,1,D,0,0,D
BLR,2017-04-10,15:30,FK Slutsk,Torpedo-BelAZ Zhodino,4,1,H,1,0,H
BLR,2017-04-14,15:30,Naftan Novopolotsk,FK Vitebsk,0,0,D,0,0,D
BLR,2017-04-14,17:00,Dnepr Mogilev,FK Krumkachy Minsk,2,1,H,0,1,A
BLR,2017-04-15,13:30,Torpedo-BelAZ Zhodino,Dinamo Minsk,1,0,H,0,0,D
BLR,2017-04-15,14:00,Neman Grodno,FK Slutsk,2,1,H,1,1,D
BLR,2017-04-15,15:00,FK Minsk,Shakhter Soligorsk,0,1,A,0,1,A
BLR,2017-04-15,16:00,FK Gomel,FK Slaviya Mozyr,2,0,H,1,0,H
BLR,2017-04-15,16:30,FK Gorodeya,FK Isloch Minsk,2,0,H,1,0,H
BLR,2017-04-15,18:00,Dinamo Brest,BATE Borisov,1,1,D,0,0,D
BLR,2017-04-21,16:30,FK Vitebsk,Torpedo-BelAZ Zhodino,1,1,D,0,0,D
BLR,2017-04-21,17:30,FK Krumkachy Minsk,BATE Borisov,2,3,A,1,1,D
BLR,2017-04-22,14:00,Dinamo Minsk,Neman Grodno,1,0,H,1,0,H
BLR,2017-04-22,15:00,Dnepr Mogilev,Naftan Novopolotsk,4,0,H,3,0,H
BLR,2017-04-22,16:00,FK Slutsk,FK Gorodeya,1,1,D,0,1,A
BLR,2017-04-22,17:30,Shakhter Soligorsk,Dinamo Brest,3,0,H,0,0,D
BLR,2017-04-23,15:00,FK Slaviya Mozyr,FK Minsk,2,2,D,2,1,H
BLR,2017-04-23,17:00,FK Isloch Minsk,FK Gomel,0,1,A,0,1,A
BLR,2017-04-29,14:00,Naftan Novopolotsk,FK Krumkachy Minsk,0,3,A,0,0,D
BLR,2017-04-29,16:00,FK Minsk,FK Isloch Minsk,2,0,H,1,0,H
BLR,2017-04-29,17:00,Neman Grodno,FK Vitebsk,1,4,A,1,2,A
