Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
FRO,12/03/2017,15:00,NSÍ Runavík,EB/Streymur,1,1,D,1,1,D
FRO,12/03/2017,15:00,Víkingur,B36 Tórshavn,1,1,D,0,1,A
FRO,12/03/2017,15:00,KÍ Klaksvík,Skála ÍF,0,0,D,0,0,D
FRO,12/03/2017,15:00,HB Tórshavn,07 Vestur,2,0,H,2,0,H
FRO,12/03/2017,15:00,TB/FCS/Royn,ÍF Fuglafjørður,3,0,H,NaN,NaN,NaN
FRO,19/03/2017,14:00,Skála ÍF,HB Tórshavn,0,0,D,0,0,D
FRO,19/03/2017,15:00,B36 Tórshavn,KÍ Klaksvík,1,1,D,0,1,A
FRO,19/03/2017,15:00,NSÍ Runavík,Víkingur,0,1,A,0,1,A
FRO,19/03/2017,15:00,07 Vestur,TB/FCS/Royn,0,1,A,0,1,A
FRO,19/03/2017,15:00,ÍF Fuglafjørður,EB/Streymur,3,1,H,2,0,H
FRO,08/04/2017,17:00,B36 Tórshavn,NSÍ Runavík,2,2,D,1,2,A
FRO,09/04/2017,15:00,ÍF Fuglafjørður,HB Tórshavn,0,0,D,0,0,D
FRO,09/04/2017,15:00,Víkingur,Skála ÍF,1,0,H,0,0,D
FRO,09/04/2017,16:00,07 Vestur,KÍ Klaksvík,0,2,A,0,1,A
FRO,09/04/2017,16:00,EB/Streymur,TB/FCS/Royn,1,0,H,0,0,D
FRO,17/04/2017,15:00,EB/Streymur,Víkingur,1,5,A,1,0,H
FRO,17/04/2017,15:00,KÍ Klaksvík,NSÍ Runavík,2,2,D,0,1,A
FRO,17/04/2017,15:00,HB Tórshavn,B36 Tórshavn,2,2,D,1,1,D
FRO,17/04/2017,15:00,TB/FCS/Royn,Skála ÍF,2,0,H,1,0,H
FRO,17/04/2017,15:00,ÍF Fuglafjørður,07 Vestur,0,1,A,0,0,D
FRO,22/04/2017,16:00,Skála ÍF,ÍF Fuglafjørður,0,0,D,0,0,D
FRO,23/04/2017,14:30,TB/FCS/Royn,B36 Tórshavn,3,2,H,0,1,A
FRO,23/04/2017,15:00,NSÍ Runavík,HB Tórshavn,1,0,H,1,0,H
FRO,23/04/2017,15:00,Víkingur,KÍ Klaksvík,2,2,D,1,2,A
FRO,23/04/2017,16:00,EB/Streymur,07 Vestur,0,2,A,0,1,A
FRO,29/04/2017,15:00,B36 Tórshavn,ÍF Fuglafjørður,4,0,H,4,0,H
FRO,30/04/2017,14:30,TB/FCS/Royn,NSÍ Runavík,1,3,A,0,2,A
FRO,30/04/2017,15:00,KÍ Klaksvík,EB/Streymur,1,0,H,0,0,D
FRO,30/04/2017,15:00,HB Tórshavn,Víkingur,2,2,D,1,1,D
FRO,30/04/2017,15:00,07 Vestur,Skála ÍF,1,1,D,0,0,D
