Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KAZ,2017-03-08,08:00,Tobyl Kostanay,FK Atyrau,3,0,H,1,0,H
KAZ,2017-03-08,08:00,FK Ordabasy,FK Astana,3,0,H,1,0,H
KAZ,2017-03-08,09:00,FK Taraz,Shakter Karaganda,0,0,D,0,0,D
KAZ,2017-03-08,09:00,Kaysar Kyzylorda,FK Okzhetpes,1,0,H,0,0,D
KAZ,2017-03-08,09:00,Irtysh Pavlodar,FK Akzhayik,2,1,H,0,0,D
KAZ,2017-03-08,10:00,FK Kairat,FK Aktobe,1,0,H,0,0,D
KAZ,2017-03-12,08:00,Tobyl Kostanay,FK Aktobe,0,0,D,0,0,D
KAZ,2017-03-12,09:00,Irtysh Pavlodar,FK Astana,1,1,D,1,1,D
KAZ,2017-03-12,09:00,FK Ordabasy,FK Atyrau,1,1,D,0,0,D
KAZ,2017-03-12,09:00,Kaysar Kyzylorda,FK Taraz,2,1,H,1,1,D
KAZ,2017-03-12,10:00,FK Akzhayik,Shakter Karaganda,3,1,H,2,0,H
KAZ,2017-03-12,10:00,FK Kairat,FK Okzhetpes,2,2,D,1,1,D
KAZ,2017-03-17,09:00,FK Taraz,FK Kairat,0,0,D,0,0,D
KAZ,2017-03-17,11:30,FK Astana,FK Akzhayik,3,1,H,2,0,H
KAZ,2017-03-18,08:00,FK Okzhetpes,Tobyl Kostanay,1,0,H,1,0,H
KAZ,2017-03-18,10:00,FK Aktobe,FK Ordabasy,0,1,A,0,1,A
KAZ,2017-03-18,10:00,FK Atyrau,Irtysh Pavlodar,0,1,A,0,0,D
KAZ,2017-03-18,12:00,Shakter Karaganda,Kaysar Kyzylorda,0,1,A,0,1,A
KAZ,2017-03-31,11:00,FK Ordabasy,FK Okzhetpes,2,1,H,0,1,A
KAZ,2017-03-31,12:00,Irtysh Pavlodar,FK Aktobe,1,3,A,0,0,D
KAZ,2017-03-31,14:30,FK Kairat,Kaysar Kyzylorda,1,1,D,1,1,D
KAZ,2017-04-01,09:00,Tobyl Kostanay,FK Taraz,1,0,H,0,0,D
KAZ,2017-04-01,10:00,Shakter Karaganda,FK Astana,1,2,A,0,0,D
KAZ,2017-04-01,11:00,FK Akzhayik,FK Atyrau,2,2,D,0,0,D
KAZ,2017-04-04,11:30,Tobyl Kostanay,FK Ordabasy,1,0,H,1,0,H
KAZ,2017-04-04,14:30,FK Kairat,Irtysh Pavlodar,1,1,D,0,0,D
KAZ,2017-04-08,10:00,Shakter Karaganda,FK Kairat,1,4,A,0,3,A
KAZ,2017-04-08,11:00,Kaysar Kyzylorda,Tobyl Kostanay,0,0,D,0,0,D
KAZ,2017-04-08,11:00,FK Taraz,FK Ordabasy,2,1,H,2,1,H
KAZ,2017-04-08,11:00,FK Aktobe,FK Akzhayik,1,1,D,0,1,A
KAZ,2017-04-08,11:00,FK Atyrau,FK Astana,0,1,A,0,0,D
KAZ,2017-04-08,12:00,FK Okzhetpes,Irtysh Pavlodar,0,2,A,0,0,D
KAZ,2017-04-12,10:00,FK Astana,FK Aktobe,3,0,H,1,0,H
KAZ,2017-04-12,10:00,FK Ordabasy,Kaysar Kyzylorda,1,0,H,0,0,D
KAZ,2017-04-12,11:00,FK Atyrau,Shakter Karaganda,3,3,D,1,2,A
KAZ,2017-04-12,12:30,Tobyl Kostanay,FK Kairat,2,2,D,0,2,A
KAZ,2017-04-12,13:00,FK Akzhayik,FK Okzhetpes,1,1,D,0,1,A
KAZ,2017-04-12,14:00,Irtysh Pavlodar,FK Taraz,5,2,H,1,1,D
KAZ,2017-04-16,10:00,Shakter Karaganda,Tobyl Kostanay,1,1,D,0,1,A
KAZ,2017-04-16,11:00,Kaysar Kyzylorda,Irtysh Pavlodar,1,1,D,0,0,D
KAZ,2017-04-16,11:00,FK Okzhetpes,FK Astana,0,3,A,0,0,D
