Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
PER,2017-05-26,21:30,Universidad Técnica,Juan Aurich,3,0,H,3,0,H
PER,2017-05-27,18:30,Ayacucho FC,Comerciantes Unidos,5,3,H,2,3,A
PER,2017-05-27,21:00,Sporting Cristal,Sport Huancayo,2,0,H,2,0,H
PER,2017-05-27,23:45,Sport Rosario,Deportivo Municipal,1,0,H,0,0,D
PER,2017-05-28,02:00,Academia Cantolao,Alianza Atlético,2,1,H,0,0,D
PER,2017-05-28,17:15,FBC Melgar,Universidad San Martín,2,3,A,1,1,D
PER,2017-05-28,19:30,CD Unión Comercio,Universitario de Deportes,1,2,A,0,1,A
PER,2017-05-28,22:00,Alianza Lima,Real Garcilaso,2,0,H,1,0,H
PER,2017-06-02,19:15,Sport Huancayo,Sport Rosario,2,0,H,1,0,H
PER,2017-06-02,21:30,Universidad San Martín,Ayacucho FC,1,1,D,0,1,A
PER,2017-06-03,18:30,Alianza Atlético,CD Unión Comercio,1,3,A,0,0,D
PER,2017-06-03,21:00,Deportivo Municipal,Universidad Técnica,0,1,A,0,0,D
PER,2017-06-04,02:00,Universitario de Deportes,Alianza Lima,1,2,A,1,1,D
PER,2017-06-04,17:00,Juan Aurich,Academia Cantolao,1,0,H,0,0,D
PER,2017-06-04,19:15,Real Garcilaso,FBC Melgar,1,0,H,0,0,D
PER,2017-06-04,21:30,Comerciantes Unidos,Sporting Cristal,4,2,H,2,0,H
PER,2017-06-09,21:30,Universidad Técnica,Sport Huancayo,1,1,D,1,1,D
PER,2017-06-10,18:30,Ayacucho FC,Real Garcilaso,2,1,H,1,1,D
PER,2017-06-10,21:00,Sporting Cristal,Universidad San Martín,2,1,H,1,0,H
PER,2017-06-10,23:45,Sport Rosario,Comerciantes Unidos,1,1,D,0,0,D
PER,2017-06-11,02:00,Academia Cantolao,Deportivo Municipal,0,2,A,0,2,A
PER,2017-06-11,17:00,CD Unión Comercio,Juan Aurich,2,2,D,0,2,A
PER,2017-06-11,21:00,FBC Melgar,Alianza Lima,1,0,H,0,0,D
PER,2017-06-13,17:00,Sport Huancayo,Academia Cantolao,2,0,H,0,0,D
PER,2017-06-13,19:15,Real Garcilaso,Sporting Cristal,1,0,H,0,0,D
PER,2017-06-14,19:15,Juan Aurich,Universitario de Deportes,1,1,D,0,1,A
PER,2017-06-14,21:30,Deportivo Municipal,CD Unión Comercio,1,0,H,0,0,D
PER,2017-06-15,01:00,Alianza Lima,Ayacucho FC,4,0,H,1,0,H
PER,2017-06-15,19:15,Alianza Atlético,FBC Melgar,1,0,H,1,0,H
PER,2017-06-15,21:30,Comerciantes Unidos,Universidad Técnica,1,0,H,1,0,H
PER,2017-06-17,18:30,CD Unión Comercio,Sport Huancayo,4,0,H,1,0,H
PER,2017-06-17,21:00,Sport Rosario,Real Garcilaso,1,1,D,1,0,H
PER,2017-06-18,02:00,Universitario de Deportes,Deportivo Municipal,1,1,D,1,1,D
PER,2017-06-18,17:00,Ayacucho FC,FBC Melgar,1,2,A,1,1,D
PER,2017-06-18,19:00,Alianza Atlético,Juan Aurich,1,1,D,1,0,H
PER,2017-06-19,19:15,Academia Cantolao,Comerciantes Unidos,0,1,A,0,1,A
PER,2017-06-19,21:30,Universidad Técnica,Universidad San Martín,3,1,H,1,0,H
PER,2017-06-22,01:00,Universitario de Deportes,Alianza Atlético,1,1,D,0,0,D
PER,2017-06-23,21:30,Universidad San Martín,Academia Cantolao,3,2,H,3,1,H
PER,2017-06-24,18:30,Ayacucho FC,Juan Aurich,3,1,H,2,1,H
PER,2017-06-24,21:00,Deportivo Municipal,Alianza Atlético,3,1,H,2,0,H
PER,2017-06-25,02:00,FBC Melgar,Sporting Cristal,4,1,H,3,1,H
PER,2017-06-25,17:00,Real Garcilaso,Universidad Técnica,2,1,H,1,0,H
PER,2017-06-25,19:15,Sport Huancayo,Universitario de Deportes,1,0,H,0,0,D
PER,2017-06-25,22:00,Alianza Lima,Sport Rosario,4,1,H,3,1,H
PER,2017-06-26,21:30,Comerciantes Unidos,CD Unión Comercio,2,0,H,0,0,D
PER,2017-06-28,21:30,Universidad San Martín,Sport Rosario,1,1,D,1,0,H
PER,2017-07-01,01:00,Academia Cantolao,Real Garcilaso,2,3,A,2,0,H
PER,2017-07-01,18:30,CD Unión Comercio,Universidad San Martín,3,1,H,0,0,D
PER,2017-07-01,21:00,Juan Aurich,Deportivo Municipal,1,1,D,1,1,D
PER,2017-07-01,23:45,Sport Rosario,FBC Melgar,2,1,H,1,0,H
PER,2017-07-02,02:00,Universitario de Deportes,Comerciantes Unidos,1,0,H,0,0,D
PER,2017-07-02,17:00,Sporting Cristal,Ayacucho FC,2,0,H,1,0,H
PER,2017-07-02,19:00,Alianza Atlético,Sport Huancayo,1,3,A,1,0,H
