Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ARM,2005-04-12,,Shirak FC,Lernayin Artsakh Yerevan,1,4,A,,,
ARM,2005-04-12,,FC Banants,FC Kotayk,1,0,H,,,
ARM,2005-04-13,,FC Kilikia,FC Ararat,5,0,H,,,
ARM,2005-04-13,,Pyunik FC,Mika FC,1,0,H,,,
ARM,2005-04-17,,Lernayin Artsakh Yerevan,FC Banants,2,3,A,,,
ARM,2005-04-17,,FC Kotayk,FC Kilikia,2,2,D,,,
ARM,2005-04-18,,FC Ararat,Pyunik FC,0,3,A,,,
ARM,2005-04-18,,Mika FC,Dinamo-Zenit,2,1,H,,,
ARM,2005-04-30,,FC Kilikia,Lernayin Artsakh Yerevan,1,0,H,,,
ARM,2005-04-30,,FC Banants,Shirak FC,1,0,H,,,
ARM,2005-05-01,,Pyunik FC,FC Kotayk,1,1,D,,,
ARM,2005-05-01,,Dinamo-Zenit,FC Ararat,0,1,A,,,
ARM,2005-05-05,,Shirak FC,FC Kilikia,3,1,H,,,
ARM,2005-05-05,,Lernayin Artsakh Yerevan,Pyunik FC,0,2,A,,,
ARM,2005-05-06,,FC Kotayk,Dinamo-Zenit,1,0,H,,,
ARM,2005-05-06,,FC Ararat,Mika FC,0,1,A,,,
ARM,2005-05-12,,Pyunik FC,Shirak FC,3,1,H,,,
ARM,2005-05-12,,FC Kilikia,FC Banants,0,1,A,,,
ARM,2005-05-13,,Dinamo-Zenit,Lernayin Artsakh Yerevan,3,2,H,,,
ARM,2005-05-13,,Mika FC,FC Kotayk,1,1,D,,,
ARM,2005-05-17,,Lernayin Artsakh Yerevan,Mika FC,1,3,A,,,
ARM,2005-05-17,,FC Banants,Pyunik FC,2,5,A,,,
ARM,2005-05-18,,Shirak FC,Dinamo-Zenit,3,3,D,,,
ARM,2005-05-18,,FC Kotayk,FC Ararat,1,1,D,,,
ARM,2005-05-23,,FC Ararat,Lernayin Artsakh Yerevan,0,2,A,,,
ARM,2005-05-23,,Dinamo-Zenit,FC Banants,0,0,D,,,
ARM,2005-05-24,,Mika FC,Shirak FC,3,0,H,,,
ARM,2005-05-29,,Shirak FC,FC Ararat,2,0,H,,,
ARM,2005-05-30,,FC Kilikia,Dinamo-Zenit,0,0,D,,,
ARM,2005-05-30,,Lernayin Artsakh Yerevan,FC Kotayk,1,4,A,,,
ARM,2005-06-11,,Mika FC,FC Kilikia,2,2,D,,,
ARM,2005-06-11,,FC Ararat,FC Banants,1,2,A,,,
ARM,2005-06-12,,FC Kotayk,Shirak FC,3,0,H,,,
ARM,2005-06-12,,Dinamo-Zenit,Pyunik FC,0,1,A,,,
ARM,2005-06-15,,Mika FC,FC Ararat,1,0,H,,,
ARM,2005-06-16,,FC Kilikia,Shirak FC,4,2,H,,,
ARM,2005-06-16,,Pyunik FC,Lernayin Artsakh Yerevan,3,1,H,,,
ARM,2005-06-17,,Dinamo-Zenit,FC Kotayk,1,3,A,,,
ARM,2005-06-20,,FC Banants,FC Kilikia,2,0,H,,,
ARM,2005-06-21,,Shirak FC,Pyunik FC,0,0,D,,,
ARM,2005-06-21,,FC Kotayk,Mika FC,0,0,D,,,
ARM,2005-06-22,,Lernayin Artsakh Yerevan,Dinamo-Zenit,1,0,H,,,
ARM,2005-06-25,,Pyunik FC,FC Kilikia,1,0,H,,,
ARM,2005-06-25,,FC Banants,Mika FC,0,2,A,,,
ARM,2005-06-27,,Dinamo-Zenit,Shirak FC,2,1,H,,,
ARM,2005-06-28,,Mika FC,Lernayin Artsakh Yerevan,2,0,H,,,
ARM,2005-06-29,,Pyunik FC,FC Banants,0,0,D,,,
ARM,2005-06-29,,FC Ararat,FC Kotayk,1,3,A,,,
ARM,2005-07-01,,Lernayin Artsakh Yerevan,Shirak FC,0,3,A,,,
ARM,2005-07-02,,FC Kotayk,FC Banants,1,1,D,,,
ARM,2005-07-02,,Mika FC,Pyunik FC,0,0,D,,,
ARM,2005-07-03,,FC Ararat,FC Kilikia,0,5,A,,,
ARM,2005-07-06,,Pyunik FC,FC Ararat,5,0,H,,,
ARM,2005-07-08,,FC Kilikia,FC Kotayk,4,3,H,,,
ARM,2005-07-09,,FC Banants,Lernayin Artsakh Yerevan,3,0,H,,,
ARM,2005-07-09,,Dinamo-Zenit,Mika FC,0,2,A,,,
ARM,2005-07-13,,FC Ararat,Dinamo-Zenit,0,4,A,,,
ARM,2005-07-14,,Lernayin Artsakh Yerevan,FC Kilikia,0,3,A,,,
ARM,2005-07-18,,FC Ararat,Shirak FC,1,0,H,,,
ARM,2005-07-18,,Mika FC,FC Banants,4,4,D,,,
ARM,2005-07-19,,Dinamo-Zenit,FC Kilikia,4,2,H,,,
ARM,2005-07-21,,FC Kotayk,Lernayin Artsakh Yerevan,3,0,H,,,
ARM,2005-07-23,,FC Banants,Dinamo-Zenit,3,1,H,,,
ARM,2005-07-23,,FC Kilikia,Pyunik FC,0,3,A,,,
ARM,2005-07-23,,Shirak FC,Mika FC,1,2,A,,,
ARM,2005-07-24,,Lernayin Artsakh Yerevan,FC Ararat,0,3,A,,,
ARM,2005-07-30,,Shirak FC,FC Kotayk,1,2,A,,,
ARM,2005-07-30,,Pyunik FC,Dinamo-Zenit,4,1,H,,,
ARM,2005-07-31,,FC Kilikia,Mika FC,0,2,A,,,
ARM,2005-07-31,,FC Banants,FC Ararat,4,1,H,,,
ARM,2005-08-04,,FC Kotayk,Pyunik FC,0,0,D,,,
ARM,2005-08-04,,Shirak FC,FC Banants,0,5,A,,,
ARM,2005-08-27,,Pyunik FC,Dinamo-Zenit,5,0,H,,,
ARM,2005-08-28,,FC Kilikia,Mika FC,0,0,D,,,
ARM,2005-08-29,,FC Kotayk,FC Banants,0,0,D,,,
ARM,2005-09-08,,Shirak FC,FC Ararat,1,1,D,,,
ARM,2005-09-12,,Mika FC,Pyunik FC,1,2,A,,,
ARM,2005-09-12,,FC Banants,FC Kilikia,1,3,A,,,
ARM,2005-09-12,,Dinamo-Zenit,FC Kotayk,0,2,A,,,
ARM,2005-09-15,,FC Ararat,Shirak FC,1,0,H,,,
ARM,2005-09-18,,Pyunik FC,FC Banants,2,2,D,,,
ARM,2005-09-18,,Mika FC,Dinamo-Zenit,1,2,A,,,
ARM,2005-09-18,,FC Kilikia,FC Kotayk,0,1,A,,,
ARM,2005-09-24,,FC Kotayk,Pyunik FC,2,1,H,,,
ARM,2005-09-25,,FC Banants,Mika FC,1,2,A,,,
ARM,2005-09-25,,Dinamo-Zenit,FC Kilikia,0,2,A,,,
ARM,2005-10-01,,Pyunik FC,FC Kilikia,2,1,H,,,
ARM,2005-10-02,,Mika FC,FC Kotayk,1,0,H,,,
ARM,2005-10-02,,FC Banants,Dinamo-Zenit,1,0,H,,,
ARM,2005-10-06,,Dinamo-Zenit,Pyunik FC,0,1,A,,,
ARM,2005-10-06,,Mika FC,FC Kilikia,0,0,D,,,
ARM,2005-10-06,,FC Banants,FC Kotayk,4,1,H,,,
ARM,2005-10-16,,FC Kilikia,FC Banants,0,1,A,,,
ARM,2005-10-16,,FC Kotayk,Dinamo-Zenit,1,0,H,,,
ARM,2005-10-17,,Pyunik FC,Mika FC,1,1,D,,,
ARM,2005-10-23,,FC Banants,Pyunik FC,2,1,H,,,
ARM,2005-10-23,,Dinamo-Zenit,Mika FC,0,3,A,,,
ARM,2005-10-23,,FC Kotayk,FC Kilikia,2,0,H,,,
ARM,2005-10-30,,Pyunik FC,FC Kotayk,0,1,A,,,
ARM,2005-10-30,,Mika FC,FC Banants,4,1,H,,,
ARM,2005-10-30,,FC Kilikia,Dinamo-Zenit,3,1,H,,,
ARM,2005-11-06,,FC Kilikia,Pyunik FC,1,4,A,,,
ARM,2005-11-06,,FC Kotayk,Mika FC,0,2,A,,,
ARM,2005-11-06,,Dinamo-Zenit,FC Banants,1,4,A,,,
