Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AUS,1983-03-13,,Adelaide City FC,Canberra Arrows,2,2,D,,,
AUS,1983-03-13,,Brisbane Lions,Sydney City SC,0,2,A,,,
AUS,1983-03-13,,Footscray JUST,Preston Makedonia,1,4,A,,,
AUS,1983-03-13,,Heidelberg United,APIA Leichhardt Tigers,2,0,H,,,
AUS,1983-03-13,,Marconi-Fairfield,South Melbourne Hellas,1,1,D,,,
AUS,1983-03-13,,St George-Budapest SC,Newcastle KB United,1,0,H,,,
AUS,1983-03-13,,Sydney Olympic SC,West Adelaide Hellas,0,1,A,,,
AUS,1983-03-13,,Wollongong City,Brisbane City SC,1,1,D,,,
AUS,1983-03-19,,Canberra Arrows,Brisbane Lions,6,1,H,,,
AUS,1983-03-19,,Newcastle KB United,Wollongong City,1,1,D,,,
AUS,1983-03-20,,APIA Leichhardt Tigers,St George-Budapest SC,1,0,H,,,
AUS,1983-03-20,,Brisbane City SC,Adelaide City FC,2,0,H,,,
AUS,1983-03-20,,Preston Makedonia,Heidelberg United,0,0,D,,,
AUS,1983-03-20,,South Melbourne Hellas,Sydney Olympic SC,3,0,H,,,
AUS,1983-03-20,,Sydney City SC,Marconi-Fairfield,2,0,H,,,
AUS,1983-03-20,,West Adelaide Hellas,Footscray JUST,1,0,H,,,
AUS,1983-03-26,,St George-Budapest SC,Preston Makedonia,1,1,D,,,
AUS,1983-03-27,,Adelaide City FC,Brisbane Lions,2,1,H,,,
AUS,1983-03-27,,Brisbane City SC,Newcastle KB United,2,5,A,,,
AUS,1983-03-27,,Footscray JUST,South Melbourne Hellas,1,4,A,,,
AUS,1983-03-27,,Heidelberg United,West Adelaide Hellas,1,1,D,,,
AUS,1983-03-27,,Marconi-Fairfield,Canberra Arrows,2,1,H,,,
AUS,1983-03-27,,Sydney Olympic SC,Sydney City SC,5,1,H,,,
AUS,1983-03-27,,Wollongong City,APIA Leichhardt Tigers,1,1,D,,,
AUS,1983-04-02,,Canberra Arrows,Sydney Olympic SC,1,1,D,,,
AUS,1983-04-02,,Newcastle KB United,Adelaide City FC,1,1,D,,,
AUS,1983-04-03,,Brisbane Lions,Marconi-Fairfield,2,0,H,,,
AUS,1983-04-03,,Preston Makedonia,Wollongong City,3,2,H,,,
AUS,1983-04-03,,South Melbourne Hellas,Heidelberg United,1,1,D,,,
AUS,1983-04-03,,West Adelaide Hellas,St George-Budapest SC,1,0,H,,,
AUS,1983-04-09,,Newcastle KB United,APIA Leichhardt Tigers,1,0,H,,,
AUS,1983-04-10,,Adelaide City FC,Marconi-Fairfield,1,0,H,,,
AUS,1983-04-10,,Brisbane City SC,Preston Makedonia,3,1,H,,,
AUS,1983-04-10,,Footscray JUST,Canberra Arrows,1,0,H,,,
AUS,1983-04-10,,Heidelberg United,Sydney City SC,1,0,H,,,
AUS,1983-04-10,,St George-Budapest SC,South Melbourne Hellas,2,0,H,,,
AUS,1983-04-10,,Sydney Olympic SC,Brisbane Lions,0,0,D,,,
AUS,1983-04-10,,Wollongong City,West Adelaide Hellas,1,1,D,,,
AUS,1983-04-13,,Sydney City SC,Footscray JUST,1,1,D,,,
AUS,1983-04-16,,Canberra Arrows,Heidelberg United,3,0,H,,,
AUS,1983-04-17,,APIA Leichhardt Tigers,Adelaide City FC,2,0,H,,,
AUS,1983-04-17,,Brisbane Lions,Footscray JUST,5,0,H,,,
AUS,1983-04-17,,Marconi-Fairfield,Sydney Olympic SC,0,2,A,,,
AUS,1983-04-17,,Preston Makedonia,Newcastle KB United,1,0,H,,,
AUS,1983-04-17,,South Melbourne Hellas,Wollongong City,0,1,A,,,
AUS,1983-04-17,,West Adelaide Hellas,Brisbane City SC,0,1,A,,,
AUS,1983-04-23,,Newcastle KB United,West Adelaide Hellas,2,0,H,,,
AUS,1983-04-24,,Adelaide City FC,Sydney Olympic SC,1,2,A,,,
AUS,1983-04-24,,APIA Leichhardt Tigers,Preston Makedonia,0,0,D,,,
AUS,1983-04-24,,Brisbane City SC,South Melbourne Hellas,3,0,H,,,
AUS,1983-04-24,,Footscray JUST,Marconi-Fairfield,0,4,A,,,
AUS,1983-04-24,,Heidelberg United,Brisbane Lions,2,0,H,,,
AUS,1983-04-24,,St George-Budapest SC,Canberra Arrows,2,1,H,,,
AUS,1983-04-24,,Wollongong City,Sydney City SC,2,3,A,,,
AUS,1983-04-25,,Sydney City SC,St George-Budapest SC,0,0,D,,,
AUS,1983-04-30,,Canberra Arrows,Wollongong City,3,1,H,,,
AUS,1983-04-30,,Sydney City SC,Brisbane City SC,2,2,D,,,
AUS,1983-05-01,,Marconi-Fairfield,Heidelberg United,2,0,H,,,
AUS,1983-05-01,,Preston Makedonia,Adelaide City FC,2,1,H,,,
AUS,1983-05-01,,South Melbourne Hellas,Newcastle KB United,2,5,A,,,
AUS,1983-05-01,,Sydney Olympic SC,Footscray JUST,0,1,A,,,
AUS,1983-05-01,,West Adelaide Hellas,APIA Leichhardt Tigers,3,2,H,,,
AUS,1983-05-01,,Brisbane Lions,St George-Budapest SC,0,3,A,,,
AUS,1983-05-14,,Footscray JUST,Heidelberg United,0,0,D,,,
AUS,1983-05-14,,Sydney City SC,APIA Leichhardt Tigers,2,0,H,,,
AUS,1983-05-15,,Brisbane Lions,Brisbane City SC,4,0,H,,,
AUS,1983-05-15,,Canberra Arrows,Newcastle KB United,0,1,A,,,
