Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AUT,2014-07-19,15:30,RB Salzburg,Rapid Wien,6,1,H,2,0,H
AUT,2014-07-19,18:00,SV Ried,SC Wiener Neustadt,3,1,H,1,0,H
AUT,2014-07-19,18:00,FC Admira Wacker,Wolfsberger AC,1,4,A,1,1,D
AUT,2014-07-19,18:00,SCR Altach,Sturm Graz,1,0,H,0,0,D
AUT,2014-07-20,15:30,Austria Wien,SV Grödig,1,1,D,0,0,D
AUT,2014-07-26,15:30,Wolfsberger AC,Austria Wien,4,0,H,1,0,H
AUT,2014-07-26,18:00,Rapid Wien,SV Ried,1,0,H,0,0,D
AUT,2014-07-26,18:00,SC Wiener Neustadt,RB Salzburg,0,5,A,0,1,A
AUT,2014-07-27,15:30,SV Grödig,Sturm Graz,2,1,H,0,1,A
AUT,2014-08-02,15:30,FC Admira Wacker,Rapid Wien,1,1,D,1,0,H
AUT,2014-08-02,18:00,Austria Wien,SCR Altach,0,0,D,0,0,D
AUT,2014-08-02,18:00,Sturm Graz,SC Wiener Neustadt,4,2,H,1,2,A
AUT,2014-08-02,18:00,SV Ried,RB Salzburg,0,2,A,0,0,D
AUT,2014-08-03,15:30,SV Grödig,Wolfsberger AC,0,2,A,0,1,A
AUT,2014-08-09,15:30,SC Wiener Neustadt,Austria Wien,2,2,D,2,2,D
AUT,2014-08-09,18:00,Rapid Wien,Sturm Graz,1,1,D,0,0,D
AUT,2014-08-09,18:00,SV Ried,FC Admira Wacker,1,1,D,1,0,H
AUT,2014-08-09,18:00,SCR Altach,Wolfsberger AC,1,2,A,0,0,D
AUT,2014-08-10,15:30,RB Salzburg,SV Grödig,8,0,H,5,0,H
AUT,2014-08-13,18:30,SCR Altach,FC Admira Wacker,0,2,A,0,1,A
AUT,2014-08-16,15:30,Rapid Wien,SCR Altach,0,1,A,0,0,D
AUT,2014-08-16,18:00,SV Grödig,SC Wiener Neustadt,3,0,H,1,0,H
AUT,2014-08-16,18:00,Wolfsberger AC,SV Ried,4,1,H,3,1,H
AUT,2014-08-16,18:00,FC Admira Wacker,RB Salzburg,0,3,A,0,1,A
AUT,2014-08-17,15:30,Sturm Graz,Austria Wien,1,1,D,0,1,A
AUT,2014-08-23,15:30,Sturm Graz,Wolfsberger AC,1,2,A,0,0,D
AUT,2014-08-23,18:00,RB Salzburg,SCR Altach,5,0,H,3,0,H
AUT,2014-08-23,18:00,SC Wiener Neustadt,FC Admira Wacker,5,4,H,1,1,D
AUT,2014-08-23,18:00,SV Ried,SV Grödig,2,2,D,0,2,A
AUT,2014-08-24,15:30,Austria Wien,Rapid Wien,2,2,D,1,1,D
AUT,2014-08-30,15:30,RB Salzburg,Sturm Graz,2,3,A,1,2,A
AUT,2014-08-30,18:00,SCR Altach,SV Ried,2,2,D,1,0,H
AUT,2014-08-30,18:00,Wolfsberger AC,SC Wiener Neustadt,0,1,A,0,0,D
AUT,2014-08-30,18:00,FC Admira Wacker,Austria Wien,2,1,H,2,0,H
AUT,2014-08-31,15:30,Rapid Wien,SV Grödig,2,0,H,1,0,H
AUT,2014-09-13,17:30,Austria Wien,SV Ried,3,1,H,2,1,H
AUT,2014-09-13,17:30,Sturm Graz,FC Admira Wacker,0,2,A,0,1,A
AUT,2014-09-14,15:30,Wolfsberger AC,RB Salzburg,1,0,H,1,0,H
AUT,2014-09-17,17:30,SV Grödig,SCR Altach,3,3,D,2,0,H
AUT,2014-09-17,17:30,SC Wiener Neustadt,Rapid Wien,1,5,A,1,1,D
AUT,2014-09-20,15:00,Rapid Wien,Wolfsberger AC,3,0,H,1,0,H
AUT,2014-09-20,17:30,SV Ried,Sturm Graz,0,1,A,0,0,D
AUT,2014-09-20,17:30,FC Admira Wacker,SV Grödig,0,0,D,0,0,D
AUT,2014-09-20,17:30,SCR Altach,SC Wiener Neustadt,2,0,H,1,0,H
AUT,2014-09-21,15:30,RB Salzburg,Austria Wien,2,3,A,1,2,A
AUT,2014-09-27,15:00,Sturm Graz,SCR Altach,2,2,D,2,1,H
AUT,2014-09-27,17:30,SV Grödig,Austria Wien,0,0,D,0,0,D
AUT,2014-09-27,17:30,Wolfsberger AC,FC Admira Wacker,2,1,H,1,0,H
AUT,2014-09-27,17:30,SC Wiener Neustadt,SV Ried,0,1,A,0,0,D
AUT,2014-09-28,15:30,Rapid Wien,RB Salzburg,1,2,A,0,0,D
AUT,2014-10-04,15:00,Austria Wien,Wolfsberger AC,0,2,A,0,1,A
AUT,2014-10-04,17:30,Sturm Graz,SV Grödig,1,0,H,0,0,D
AUT,2014-10-04,17:30,FC Admira Wacker,SCR Altach,0,2,A,0,1,A
AUT,2014-10-05,15:30,SV Ried,Rapid Wien,1,2,A,1,0,H
AUT,2014-10-05,18:00,RB Salzburg,SC Wiener Neustadt,4,1,H,2,1,H
AUT,2014-10-18,15:00,RB Salzburg,SV Ried,4,2,H,2,1,H
AUT,2014-10-18,17:30,Rapid Wien,FC Admira Wacker,0,0,D,0,0,D
AUT,2014-10-18,17:30,Wolfsberger AC,SV Grödig,1,2,A,1,0,H
AUT,2014-10-18,17:30,SCR Altach,Austria Wien,1,1,D,1,1,D
AUT,2014-10-19,15:30,SC Wiener Neustadt,Sturm Graz,0,0,D,0,0,D
AUT,2014-10-25,15:00,Sturm Graz,Rapid Wien,1,3,A,0,2,A
AUT,2014-10-25,17:30,Austria Wien,SC Wiener Neustadt,2,0,H,2,0,H
AUT,2014-10-25,17:30,Wolfsberger AC,SCR Altach,0,0,D,0,0,D
AUT,2014-10-25,17:30,FC Admira Wacker,SV Ried,0,0,D,0,0,D
AUT,2014-10-26,15:30,SV Grödig,RB Salzburg,2,2,D,2,1,H
AUT,2014-11-01,15:00,Austria Wien,Sturm Graz,0,3,A,0,2,A
AUT,2014-11-01,17:30,RB Salzburg,FC Admira Wacker,2,0,H,2,0,H
AUT,2014-11-01,17:30,SV Ried,Wolfsberger AC,1,0,H,0,0,D
AUT,2014-11-02,15:30,SCR Altach,Rapid Wien,2,0,H,1,0,H
AUT,2014-11-05,17:30,SC Wiener Neustadt,SV Grödig,2,4,A,1,3,A
AUT,2014-11-08,15:00,Wolfsberger AC,Sturm Graz,0,2,A,0,1,A
AUT,2014-11-08,17:30,SV Grödig,SV Ried,0,1,A,0,0,D
AUT,2014-11-08,17:30,FC Admira Wacker,SC Wiener Neustadt,1,1,D,1,0,H
AUT,2014-11-09,13:30,Rapid Wien,Austria Wien,2,3,A,0,2,A
AUT,2014-11-09,16:00,SCR Altach,RB Salzburg,4,1,H,1,0,H
AUT,2014-11-22,15:00,SV Grödig,Rapid Wien,3,1,H,2,1,H
AUT,2014-11-22,17:30,Austria Wien,FC Admira Wacker,4,0,H,0,0,D
AUT,2014-11-22,17:30,SV Ried,SCR Altach,2,1,H,1,0,H
AUT,2014-11-22,17:30,SC Wiener Neustadt,Wolfsberger AC,2,0,H,0,0,D
AUT,2014-11-23,15:30,Sturm Graz,RB Salzburg,1,2,A,0,1,A
AUT,2014-11-29,15:00,SV Ried,Austria Wien,1,1,D,0,1,A
AUT,2014-11-29,17:30,Rapid Wien,SC Wiener Neustadt,3,0,H,1,0,H
AUT,2014-11-29,17:30,FC Admira Wacker,Sturm Graz,0,2,A,0,2,A
AUT,2014-11-29,17:30,SCR Altach,SV Grödig,3,1,H,2,1,H
AUT,2014-11-30,15:30,RB Salzburg,Wolfsberger AC,2,2,D,0,1,A
AUT,2014-12-06,15:00,Austria Wien,RB Salzburg,2,4,A,2,0,H
AUT,2014-12-06,17:30,SV Grödig,FC Admira Wacker,5,0,H,4,0,H
AUT,2014-12-06,17:30,Sturm Graz,SV Ried,3,1,H,2,0,H
AUT,2014-12-06,17:30,SC Wiener Neustadt,SCR Altach,2,0,H,0,0,D
AUT,2014-12-07,15:30,Wolfsberger AC,Rapid Wien,1,1,D,0,0,D
AUT,2014-12-13,15:00,SCR Altach,Sturm Graz,2,0,H,1,0,H
AUT,2014-12-13,17:30,Austria Wien,SV Grödig,1,0,H,0,0,D
AUT,2014-12-13,17:30,SV Ried,SC Wiener Neustadt,6,0,H,2,0,H
AUT,2014-12-13,17:30,FC Admira Wacker,Wolfsberger AC,2,1,H,1,0,H
AUT,2014-12-14,15:30,RB Salzburg,Rapid Wien,1,2,A,0,0,D
AUT,2015-02-14,15:00,Rapid Wien,SV Ried,3,0,H,3,0,H
AUT,2015-02-14,17:30,SC Wiener Neustadt,RB Salzburg,0,2,A,0,0,D
AUT,2015-02-14,17:30,SCR Altach,FC Admira Wacker,2,0,H,1,0,H
AUT,2015-02-15,14:30,Wolfsberger AC,Austria Wien,1,0,H,1,0,H
AUT,2015-02-21,15:00,Austria Wien,SCR Altach,5,2,H,2,0,H
AUT,2015-02-21,17:30,Sturm Graz,SC Wiener Neustadt,3,3,D,0,2,A
AUT,2015-02-22,13:00,SV Ried,RB Salzburg,2,2,D,0,1,A
AUT,2015-02-22,15:30,FC Admira Wacker,Rapid Wien,1,1,D,0,1,A
AUT,2015-02-28,15:00,SCR Altach,Wolfsberger AC,1,0,H,1,0,H
AUT,2015-02-28,17:30,Rapid Wien,Sturm Graz,1,0,H,1,0,H
AUT,2015-02-28,17:30,SV Ried,FC Admira Wacker,2,2,D,0,0,D
AUT,2015-02-28,17:30,SC Wiener Neustadt,Austria Wien,1,0,H,1,0,H
AUT,2015-03-01,15:30,RB Salzburg,SV Grödig,3,1,H,1,1,D
AUT,2015-03-03,18:00,Sturm Graz,Austria Wien,2,1,H,0,0,D
AUT,2015-03-04,18:00,Rapid Wien,SCR Altach,1,0,H,0,0,D
AUT,2015-03-04,18:00,SV Grödig,SC Wiener Neustadt,1,3,A,0,1,A
AUT,2015-03-04,18:00,Wolfsberger AC,SV Ried,1,2,A,1,1,D
AUT,2015-03-04,18:00,FC Admira Wacker,RB Salzburg,1,4,A,0,2,A
AUT,2015-03-07,15:00,Sturm Graz,Wolfsberger AC,2,0,H,0,0,D
AUT,2015-03-07,17:30,RB Salzburg,SCR Altach,0,1,A,0,0,D
AUT,2015-03-07,17:30,SV Ried,SV Grödig,2,1,H,1,1,D
AUT,2015-03-07,17:30,SC Wiener Neustadt,FC Admira Wacker,0,0,D,0,0,D
AUT,2015-03-08,15:30,Austria Wien,Rapid Wien,2,1,H,1,1,D
AUT,2015-03-11,17:30,SV Grödig,Sturm Graz,0,2,A,0,1,A
AUT,2015-03-14,15:00,FC Admira Wacker,Austria Wien,1,1,D,0,0,D
AUT,2015-03-14,17:30,Rapid Wien,SV Grödig,4,0,H,2,0,H
AUT,2015-03-14,17:30,Wolfsberger AC,SC Wiener Neustadt,2,0,H,1,0,H
AUT,2015-03-14,17:30,SCR Altach,SV Ried,2,1,H,1,0,H
AUT,2015-03-15,15:30,RB Salzburg,Sturm Graz,2,1,H,1,1,D
AUT,2015-03-18,17:30,SV Grödig,Wolfsberger AC,2,0,H,0,0,D
AUT,2015-03-21,15:00,Austria Wien,SV Ried,0,1,A,0,0,D
AUT,2015-03-21,17:30,SV Grödig,SCR Altach,0,1,A,0,0,D
AUT,2015-03-21,17:30,Sturm Graz,FC Admira Wacker,3,1,H,1,0,H
AUT,2015-03-21,17:30,Wolfsberger AC,RB Salzburg,3,2,H,2,2,D
AUT,2015-03-22,15:30,SC Wiener Neustadt,Rapid Wien,0,1,A,0,0,D
AUT,2015-04-04,15:00,RB Salzburg,Austria Wien,3,1,H,2,1,H
AUT,2015-04-04,17:30,Rapid Wien,Wolfsberger AC,4,1,H,2,0,H
AUT,2015-04-04,17:30,FC Admira Wacker,SV Grödig,2,3,A,2,2,D
AUT,2015-04-05,15:30,SV Ried,Sturm Graz,1,2,A,0,0,D
AUT,2015-04-11,15:00,Sturm Graz,SCR Altach,5,0,H,2,0,H
AUT,2015-04-11,17:30,SV Grödig,Austria Wien,1,1,D,0,1,A
AUT,2015-04-11,17:30,Wolfsberger AC,FC Admira Wacker,2,0,H,1,0,H
AUT,2015-04-11,17:30,SC Wiener Neustadt,SV Ried,0,1,A,0,1,A
