Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AZE,2003-05-17,,FK MOIK Baku,FK Adliyye,1,0,H,,,
AZE,2003-05-17,,Qarabağ FK,Şahdağ Qusar,5,0,H,,,
AZE,2003-05-18,,Shamkir FK,Neftçi PFK,3,1,H,,,
AZE,2003-05-18,,FK Shafa,FK Kapaz Gäncä,1,0,H,,,
AZE,2003-05-18,,Genclerbirliyi Sumgayit,Dinamo Baku,2,0,H,,,
AZE,2003-05-24,,Neftçi PFK,PFK Turan Tavuz,6,1,H,,,
AZE,2003-05-25,,Dinamo Baku,FK Shafa,1,2,A,,,
AZE,2003-05-25,,FK Adliyye,Genclerbirliyi Sumgayit,0,1,A,,,
AZE,2003-05-25,,FK Bakili Baku,Qarabağ FK,0,4,A,,,
AZE,2003-05-25,,Lokomotiv Imishli,FK MOIK Baku,2,3,A,,,
AZE,2003-05-27,,FK Kapaz Gäncä,Shamkir FK,0,3,A,,,
AZE,2003-05-28,,FK Bakili Baku,Lokomotiv Imishli,3,0,H,,,
AZE,2003-05-31,,FK MOIK Baku,Qarabağ FK,0,3,A,,,
AZE,2003-05-31,,Genclerbirliyi Sumgayit,Lokomotiv Imishli,4,1,H,,,
AZE,2003-05-31,,Shamkir FK,Dinamo Baku,4,0,H,,,
AZE,2003-05-31,,FK Bakili Baku,Şahdağ Qusar,0,4,A,,,
AZE,2003-06-01,,FK Shafa,FK Adliyye,7,1,H,,,
AZE,2003-06-04,,Şahdağ Qusar,Neftçi PFK,0,1,A,,,
AZE,2003-06-04,,FK Adliyye,Shamkir FK,0,2,A,,,
AZE,2003-06-04,,Lokomotiv Imishli,FK Shafa,0,5,A,,,
AZE,2003-06-04,,Qarabağ FK,Genclerbirliyi Sumgayit,5,2,H,,,
AZE,2003-06-05,,Dinamo Baku,PFK Turan Tavuz,0,1,A,,,
AZE,2003-06-05,,FK Bakili Baku,FK MOIK Baku,2,0,H,,,
AZE,2003-06-14,,FK MOIK Baku,Şahdağ Qusar,1,2,A,,,
AZE,2003-06-14,,Shamkir FK,Lokomotiv Imishli,5,1,H,,,
AZE,2003-06-14,,Genclerbirliyi Sumgayit,FK Bakili Baku,1,0,H,,,
AZE,2003-06-15,,Qarabağ FK,Khazar Universiteti,3,1,H,,,
AZE,2003-06-15,,PFK Turan Tavuz,FK Adliyye,0,2,A,,,
AZE,2003-06-15,,Neftçi PFK,FK Kapaz Gäncä,3,0,H,,,
AZE,2003-06-18,,Şahdağ Qusar,FK Kapaz Gäncä,1,1,D,,,
AZE,2003-06-18,,Khazar Universiteti,Neftçi PFK,0,0,D,,,
AZE,2003-06-18,,Qarabağ FK,Shamkir FK,2,0,H,,,
AZE,2003-06-18,,Lokomotiv Imishli,PFK Turan Tavuz,3,1,H,,,
AZE,2003-06-18,,FK MOIK Baku,Genclerbirliyi Sumgayit,2,1,H,,,
AZE,2003-06-18,,FK Bakili Baku,FK Shafa,0,3,A,,,
AZE,2003-07-01,,Genclerbirliyi Sumgayit,Şahdağ Qusar,3,1,H,,,
AZE,2003-07-01,,FK Shafa,FK MOIK Baku,3,0,H,,,
AZE,2003-07-01,,FK Bakili Baku,Khazar Universiteti,0,1,A,,,
AZE,2003-07-02,,PFK Turan Tavuz,Qarabağ FK,0,0,D,,,
AZE,2003-07-02,,Neftçi PFK,FK Adliyye,3,1,H,,,
AZE,2003-07-02,,FK Kapaz Gäncä,Dinamo Baku,1,4,A,,,
AZE,2003-07-05,,Şahdağ Qusar,Dinamo Baku,1,1,D,,,
AZE,2003-07-05,,Khazar Universiteti,FK Kapaz Gäncä,8,0,H,,,
AZE,2003-07-05,,Lokomotiv Imishli,Neftçi PFK,0,2,A,,,
AZE,2003-07-06,,FK MOIK Baku,Shamkir FK,1,0,H,,,
AZE,2003-07-06,,Genclerbirliyi Sumgayit,FK Shafa,0,1,A,,,
AZE,2003-07-06,,FK Bakili Baku,PFK Turan Tavuz,5,0,H,,,
AZE,2003-07-12,,FK Shafa,Şahdağ Qusar,1,0,H,,,
AZE,2003-07-12,,Shamkir FK,Genclerbirliyi Sumgayit,3,1,H,,,
AZE,2003-07-12,,Neftçi PFK,Qarabağ FK,2,0,H,,,
AZE,2003-07-13,,FK MOIK Baku,Khazar Universiteti,1,2,A,,,
AZE,2003-07-13,,FK Kapaz Gäncä,Lokomotiv Imishli,1,3,A,,,
AZE,2003-07-13,,Dinamo Baku,FK Adliyye,3,0,H,,,
AZE,2003-07-16,,Khazar Universiteti,Dinamo Baku,3,0,H,,,
AZE,2003-07-16,,FK Shafa,Qarabağ FK,0,1,A,,,
AZE,2003-07-16,,Shamkir FK,FK Bakili Baku,3,0,H,,,
AZE,2003-07-16,,FK Adliyye,Lokomotiv Imishli,2,3,A,,,
AZE,2003-07-16,,PFK Turan Tavuz,FK Kapaz Gäncä,2,1,H,,,
AZE,2003-07-19,,Şahdağ Qusar,FK Adliyye,1,1,D,,,
AZE,2003-07-19,,Lokomotiv Imishli,Dinamo Baku,2,3,A,,,
AZE,2003-07-19,,Qarabağ FK,FK Kapaz Gäncä,4,0,H,,,
AZE,2003-07-19,,FK Bakili Baku,Neftçi PFK,0,2,A,,,
AZE,2003-07-20,,Genclerbirliyi Sumgayit,Khazar Universiteti,2,3,A,,,
AZE,2003-07-20,,FK Shafa,Shamkir FK,0,1,A,,,
AZE,2003-07-26,,Shamkir FK,Şahdağ Qusar,5,0,H,,,
