Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BLR,1992-08-01,,Neman Grodno,Stroitel Starye Dorogi,2,1,H,,,
BLR,1992-08-01,,Torpedo Mogilev,Obuvshchik Lida,3,0,H,,,
BLR,1992-08-01,,Kim Vitebsk,BelAZ Zhodino,3,0,H,,,
BLR,1992-08-01,,FK Vedrich Rechytsa,Shakhter Soligorsk,2,0,H,,,
BLR,1992-08-01,,Fandok Bobruisk,SKB-Lokomotiv Vitebsk,0,0,D,,,
BLR,1992-08-01,,FK Metallurg Molodechno,Dinamo Minsk,1,3,A,,,
BLR,1992-08-01,,Dinamo Brest,Gomselmash Gomel,1,0,H,,,
BLR,1992-08-01,,Dnepr Mogilev,Belarus Minsk,0,1,A,,,
BLR,1992-08-06,,Torpedo Minsk,Fandok Bobruisk,0,0,D,,,
BLR,1992-08-06,,SKB-Lokomotiv Vitebsk,Torpedo Mogilev,0,2,A,,,
BLR,1992-08-06,,BelAZ Zhodino,FK Metallurg Molodechno,1,4,A,,,
BLR,1992-08-06,,Obuvshchik Lida,Dinamo Minsk,2,4,A,,,
BLR,1992-08-06,,Dnepr Mogilev,Dinamo Brest,1,0,H,,,
BLR,1992-08-06,,Belarus Minsk,Neman Grodno,0,0,D,,,
BLR,1992-08-09,,Stroitel Starye Dorogi,Dnepr Mogilev,0,2,A,,,
BLR,1992-08-11,,SKB-Lokomotiv Vitebsk,Torpedo Minsk,1,1,D,,,
BLR,1992-08-11,,BelAZ Zhodino,Dinamo Brest,0,2,A,,,
BLR,1992-08-11,,Shakhter Soligorsk,Neman Grodno,2,0,H,,,
BLR,1992-08-11,,FK Metallurg Molodechno,Torpedo Mogilev,0,0,D,,,
BLR,1992-08-11,,Gomselmash Gomel,Belarus Minsk,1,3,A,,,
BLR,1992-08-11,,Obuvshchik Lida,Fandok Bobruisk,0,0,D,,,
BLR,1992-08-16,,Torpedo Minsk,Gomselmash Gomel,3,3,D,,,
BLR,1992-08-16,,Torpedo Mogilev,Dinamo Minsk,1,1,D,,,
BLR,1992-08-16,,Kim Vitebsk,Shakhter Soligorsk,3,1,H,,,
BLR,1992-08-16,,FK Vedrich Rechytsa,FK Metallurg Molodechno,1,0,H,,,
BLR,1992-08-16,,Fandok Bobruisk,BelAZ Zhodino,2,0,H,,,
BLR,1992-08-16,,Neman Grodno,Obuvshchik Lida,1,0,H,,,
BLR,1992-08-16,,Dinamo Brest,Stroitel Starye Dorogi,1,0,H,,,
BLR,1992-08-16,,Dnepr Mogilev,SKB-Lokomotiv Vitebsk,2,2,D,,,
BLR,1992-08-21,,Torpedo Mogilev,Neman Grodno,1,1,D,,,
BLR,1992-08-21,,BelAZ Zhodino,Gomselmash Gomel,0,1,A,,,
BLR,1992-08-21,,FK Vedrich Rechytsa,Fandok Bobruisk,1,1,D,,,
BLR,1992-08-21,,Stroitel Starye Dorogi,SKB-Lokomotiv Vitebsk,2,0,H,,,
BLR,1992-08-21,,Shakhter Soligorsk,Torpedo Minsk,1,1,D,,,
BLR,1992-08-21,,FK Metallurg Molodechno,Dinamo Brest,0,0,D,,,
BLR,1992-08-21,,Obuvshchik Lida,Belarus Minsk,0,1,A,,,
BLR,1992-08-21,,Dinamo Minsk,Dnepr Mogilev,4,0,H,,,
BLR,1992-08-26,,Belarus Minsk,Torpedo Mogilev,0,1,A,,,
BLR,1992-08-27,,BelAZ Zhodino,Shakhter Soligorsk,0,1,A,,,
BLR,1992-08-27,,Torpedo Minsk,Kim Vitebsk,0,2,A,,,
BLR,1992-08-27,,SKB-Lokomotiv Vitebsk,FK Metallurg Molodechno,7,4,H,,,
BLR,1992-08-27,,Stroitel Starye Dorogi,Dinamo Minsk,1,1,D,,,
BLR,1992-08-27,,Gomselmash Gomel,FK Vedrich Rechytsa,1,0,H,,,
BLR,1992-08-27,,Dnepr Mogilev,Neman Grodno,1,1,D,,,
BLR,1992-08-27,,Dinamo Brest,Fandok Bobruisk,1,0,H,,,
BLR,1992-09-01,,Torpedo Mogilev,Gomselmash Gomel,0,0,D,,,
BLR,1992-09-01,,Kim Vitebsk,Belarus Minsk,1,1,D,,,
BLR,1992-09-01,,FK Metallurg Molodechno,Stroitel Starye Dorogi,2,0,H,,,
BLR,1992-09-01,,FK Vedrich Rechytsa,SKB-Lokomotiv Vitebsk,0,2,A,,,
BLR,1992-09-01,,Fandok Bobruisk,Dnepr Mogilev,2,0,H,,,
BLR,1992-09-01,,Shakhter Soligorsk,Obuvshchik Lida,1,0,H,,,
BLR,1992-09-01,,Neman Grodno,Torpedo Minsk,1,0,H,,,
BLR,1992-09-01,,Dinamo Minsk,BelAZ Zhodino,5,0,H,,,
BLR,1992-09-06,,Fandok Bobruisk,FK Metallurg Molodechno,3,0,H,,,
BLR,1992-09-06,,Torpedo Minsk,Obuvshchik Lida,1,0,H,,,
BLR,1992-09-06,,Kim Vitebsk,Torpedo Mogilev,0,0,D,,,
BLR,1992-09-06,,Gomselmash Gomel,Stroitel Starye Dorogi,1,0,H,,,
BLR,1992-09-06,,Dinamo Brest,Dinamo Minsk,0,3,A,,,
BLR,1992-09-06,,Dnepr Mogilev,Shakhter Soligorsk,4,1,H,,,
BLR,1992-09-06,,Belarus Minsk,BelAZ Zhodino,8,1,H,,,
BLR,1992-09-06,,Neman Grodno,FK Vedrich Rechytsa,2,1,H,,,
BLR,1992-09-11,,FK Vedrich Rechytsa,Kim Vitebsk,0,0,D,,,
BLR,1992-09-11,,BelAZ Zhodino,Torpedo Minsk,1,1,D,,,
BLR,1992-09-11,,Stroitel Starye Dorogi,Belarus Minsk,0,1,A,,,
BLR,1992-09-11,,Shakhter Soligorsk,Dinamo Brest,1,1,D,,,
