Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BLR,1995-07-10,,Dinamo Minsk,Torpedo Minsk,5,1,H,,,
BLR,1995-07-10,,Shakhter Soligorsk,Obuvshchik Lida,1,3,A,,,
BLR,1995-07-10,,MPKC Mozyr,Neman Grodno,7,0,H,,,
BLR,1995-07-10,,FC Ataka-Aura Minsk,Torpedo Mogilev,0,0,D,,,
BLR,1995-07-11,,Shinnik Bobruisk,FK Vedrich Rechytsa,1,1,D,,,
BLR,1995-07-11,,Dinamo-93 Minsk,FK Molodechno,4,1,H,,,
BLR,1995-07-15,,Torpedo Mogilev,Dinamo Minsk,0,2,A,,,
BLR,1995-07-15,,Torpedo Minsk,FC Ataka-Aura Minsk,2,1,H,,,
BLR,1995-07-15,,FK Bobruisk,MPKC Mozyr,0,5,A,,,
BLR,1995-07-15,,Dinamo Brest,Dvina Vitebsk,1,1,D,,,
BLR,1995-07-16,,FK Vedrich Rechytsa,Dinamo-93 Minsk,3,0,H,,,
BLR,1995-07-16,,Shinnik Bobruisk,Shakhter Soligorsk,3,1,H,,,
BLR,1995-07-16,,Obuvshchik Lida,FK Molodechno,1,0,H,,,
BLR,1995-07-20,,Torpedo Minsk,Neman Grodno,1,0,H,,,
BLR,1995-07-20,,MPKC Mozyr,Shinnik Bobruisk,4,0,H,,,
BLR,1995-07-20,,Dvina Vitebsk,Torpedo Mogilev,1,0,H,,,
BLR,1995-07-20,,FC Ataka-Aura Minsk,Shakhter Soligorsk,4,0,H,,,
BLR,1995-07-21,,Dinamo-93 Minsk,Dinamo Brest,1,0,H,,,
BLR,1995-07-21,,Dinamo Minsk,FK Bobruisk,6,1,H,,,
BLR,1995-07-21,,FK Molodechno,FK Vedrich Rechytsa,2,1,H,,,
BLR,1995-07-25,,Torpedo Mogilev,Dinamo-93 Minsk,1,3,A,,,
BLR,1995-07-25,,Shinnik Bobruisk,Dinamo Minsk,0,3,A,,,
BLR,1995-07-25,,Shakhter Soligorsk,MPKC Mozyr,1,3,A,,,
BLR,1995-07-25,,Neman Grodno,FC Ataka-Aura Minsk,0,4,A,,,
BLR,1995-07-25,,Obuvshchik Lida,Torpedo Minsk,1,1,D,,,
BLR,1995-07-26,,FK Vedrich Rechytsa,Dnepr Mogilev,1,3,A,,,
BLR,1995-07-26,,FK Bobruisk,Dvina Vitebsk,0,0,D,,,
BLR,1995-07-26,,Dinamo Brest,FK Molodechno,3,2,H,,,
BLR,1995-08-01,,FK Vedrich Rechytsa,Dinamo Brest,2,0,H,,,
BLR,1995-08-01,,Neman Grodno,FK Bobruisk,3,0,H,,,
BLR,1995-08-01,,FK Molodechno,MPKC Mozyr,2,1,H,,,
BLR,1995-08-01,,Dvina Vitebsk,FC Ataka-Aura Minsk,0,2,A,,,
BLR,1995-08-01,,Dnepr Mogilev,Shakhter Soligorsk,0,1,A,,,
BLR,1995-08-01,,Obuvshchik Lida,Torpedo Mogilev,0,0,D,,,
BLR,1995-08-01,,Dinamo-93 Minsk,Dinamo Minsk,0,2,A,,,
BLR,1995-08-02,,Torpedo Minsk,Shinnik Bobruisk,0,1,A,,,
BLR,1995-08-13,,Shakhter Soligorsk,FK Bobruisk,2,1,H,,,
BLR,1995-08-13,,Dvina Vitebsk,FK Vedrich Rechytsa,1,0,H,,,
BLR,1995-08-13,,MPKC Mozyr,Torpedo Mogilev,3,1,H,,,
BLR,1995-08-13,,Dinamo Minsk,Dinamo Brest,5,2,H,,,
BLR,1995-08-13,,Dnepr Mogilev,Torpedo Minsk,3,2,H,,,
BLR,1995-08-13,,FK Molodechno,Neman Grodno,1,3,A,,,
BLR,1995-08-14,,FC Ataka-Aura Minsk,Shinnik Bobruisk,3,0,H,,,
BLR,1995-08-15,,Dinamo-93 Minsk,Obuvshchik Lida,2,1,H,,,
BLR,1995-08-17,,Dinamo Minsk,Dvina Vitebsk,3,1,H,,,
BLR,1995-08-18,,Shakhter Soligorsk,FK Molodechno,1,1,D,,,
BLR,1995-08-18,,FK Bobruisk,Torpedo Minsk,0,0,D,,,
BLR,1995-08-18,,Torpedo Mogilev,Neman Grodno,1,1,D,,,
BLR,1995-08-19,,Shinnik Bobruisk,Dnepr Mogilev,1,2,A,,,
BLR,1995-08-19,,MPKC Mozyr,Dinamo-93 Minsk,2,2,D,,,
BLR,1995-08-19,,FC Ataka-Aura Minsk,FK Vedrich Rechytsa,1,0,H,,,
BLR,1995-08-20,,Dinamo Brest,Obuvshchik Lida,1,1,D,,,
BLR,1995-08-23,,Dvina Vitebsk,Dnepr Mogilev,1,2,A,,,
BLR,1995-08-23,,FK Bobruisk,Dinamo Brest,1,4,A,,,
BLR,1995-08-26,,FK Vedrich Rechytsa,Shakhter Soligorsk,0,0,D,,,
BLR,1995-08-26,,Obuvshchik Lida,MPKC Mozyr,0,3,A,,,
BLR,1995-08-26,,Torpedo Minsk,Dvina Vitebsk,0,0,D,,,
BLR,1995-08-26,,Torpedo Mogilev,FK Bobruisk,5,1,H,,,
BLR,1995-08-26,,FK Molodechno,FC Ataka-Aura Minsk,1,0,H,,,
BLR,1995-08-26,,Dinamo Brest,Shinnik Bobruisk,4,2,H,,,
BLR,1995-08-27,,Neman Grodno,Dinamo Minsk,2,3,A,,,
BLR,1995-08-28,,Dnepr Mogilev,Dinamo-93 Minsk,1,3,A,,,
BLR,1995-09-09,,Dinamo-93 Minsk,Shakhter Soligorsk,1,0,H,,,
BLR,1995-09-09,,Neman Grodno,Dinamo Brest,2,3,A,,,
BLR,1995-09-09,,FK Molodechno,Shinnik Bobruisk,6,1,H,,,
BLR,1995-09-09,,Dvina Vitebsk,MPKC Mozyr,1,1,D,,,
BLR,1995-09-09,,Obuvshchik Lida,FK Vedrich Rechytsa,3,0,H,,,
BLR,1995-09-09,,Dnepr Mogilev,FK Bobruisk,5,1,H,,,
BLR,1995-09-10,,Torpedo Minsk,Torpedo Mogilev,0,3,A,,,
BLR,1995-09-13,,Neman Grodno,Dnepr Mogilev,4,1,H,,,
BLR,1995-09-17,,FC Ataka-Aura Minsk,Dinamo Brest,3,1,H,,,
BLR,1995-09-17,,MPKC Mozyr,Dnepr Mogilev,1,0,H,,,
BLR,1995-09-17,,Torpedo Mogilev,FK Vedrich Rechytsa,2,2,D,,,
BLR,1995-09-17,,Shinnik Bobruisk,Neman Grodno,3,1,H,,,
BLR,1995-09-17,,Shakhter Soligorsk,Torpedo Minsk,0,1,A,,,
BLR,1995-09-17,,Dinamo Minsk,FK Molodechno,2,0,H,,,
BLR,1995-09-18,,Dvina Vitebsk,Dinamo-93 Minsk,0,1,A,,,
BLR,1995-09-18,,FK Bobruisk,Obuvshchik Lida,0,2,A,,,
BLR,1995-09-21,,Dnepr Mogilev,Dinamo Minsk,0,1,A,,,
BLR,1995-09-22,,Torpedo Minsk,MPKC Mozyr,0,5,A,,,
BLR,1995-09-22,,Neman Grodno,Shakhter Soligorsk,1,0,H,,,
BLR,1995-09-22,,Dinamo Brest,Torpedo Mogilev,3,0,H,,,
BLR,1995-09-23,,FK Vedrich Rechytsa,FK Bobruisk,2,1,H,,,
BLR,1995-09-23,,Dinamo-93 Minsk,FC Ataka-Aura Minsk,1,1,D,,,
BLR,1995-09-23,,Obuvshchik Lida,Shinnik Bobruisk,0,0,D,,,
BLR,1995-09-23,,FK Molodechno,Dvina Vitebsk,0,1,A,,,
BLR,1995-09-27,,Dnepr Mogilev,Obuvshchik Lida,3,0,H,,,
BLR,1995-09-30,,FC Ataka-Aura Minsk,MPKC Mozyr,1,1,D,,,
BLR,1995-10-01,,FK Molodechno,Torpedo Mogilev,4,0,H,,,
BLR,1995-10-01,,Dvina Vitebsk,Shinnik Bobruisk,1,1,D,,,
BLR,1995-10-01,,Neman Grodno,Obuvshchik Lida,1,0,H,,,
BLR,1995-10-01,,Dinamo Minsk,Shakhter Soligorsk,1,1,D,,,
