Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BRA,2006-04-15,22:10,Juventude RS,Paraná Clube,1,0,H,1.0,0.0,H
BRA,2006-04-15,22:10,Vasco da Gama,Internacional,1,1,D,0.0,0.0,D
BRA,2006-04-16,20:00,Grêmio Porto Alegre,Corinthians SP,2,0,H,1.0,0.0,H
BRA,2006-04-16,20:00,São Paulo FC,Flamengo RJ,1,0,H,1.0,0.0,H
BRA,2006-04-16,20:00,São Caetano,Cruzeiro EC,2,1,H,1.0,1.0,D
BRA,2006-04-16,20:00,Botafogo RJ,Fortaleza,1,0,H,1.0,0.0,H
BRA,2006-04-16,22:10,Santa Cruz FC,Figueirense,0,0,D,,,
BRA,2006-04-16,22:10,SE Palmeiras,Ponte Preta,2,3,A,0.0,2.0,A
BRA,2006-04-16,22:10,Goiás EC,Santos FC,0,0,D,,,
BRA,2006-04-16,22:10,Atlético Paranaense,Fluminense RJ,1,2,A,0.0,1.0,A
BRA,2006-04-22,20:00,Corinthians SP,São Caetano,3,0,H,1.0,0.0,H
BRA,2006-04-22,22:10,Fluminense RJ,Goiás EC,1,0,H,1.0,0.0,H
BRA,2006-04-22,22:10,Figueirense,SE Palmeiras,6,1,H,3.0,1.0,H
BRA,2006-04-23,20:00,Internacional,Santa Cruz FC,1,0,H,0.0,0.0,D
BRA,2006-04-23,20:00,Santos FC,Atlético Paranaense,2,0,H,1.0,0.0,H
BRA,2006-04-23,20:00,Ponte Preta,Vasco da Gama,1,2,A,0.0,0.0,D
BRA,2006-04-23,20:00,Flamengo RJ,Juventude RS,3,1,H,2.0,0.0,H
BRA,2006-04-23,22:10,Cruzeiro EC,Grêmio Porto Alegre,3,1,H,0.0,1.0,A
BRA,2006-04-23,22:10,Paraná Clube,Botafogo RJ,0,0,D,,,
BRA,2006-04-23,22:10,Fortaleza,São Paulo FC,1,0,H,1.0,0.0,H
BRA,2006-04-29,20:00,Fortaleza,São Caetano,2,1,H,0.0,1.0,A
BRA,2006-04-29,22:10,Botafogo RJ,Atlético Paranaense,0,4,A,0.0,1.0,A
BRA,2006-04-29,22:10,São Paulo FC,Santa Cruz FC,4,0,H,0.0,0.0,D
BRA,2006-04-30,20:00,Internacional,Flamengo RJ,1,0,H,0.0,0.0,D
BRA,2006-04-30,20:00,Ponte Preta,Corinthians SP,3,2,H,1.0,1.0,D
BRA,2006-04-30,20:00,Paraná Clube,Grêmio Porto Alegre,5,2,H,3.0,1.0,H
BRA,2006-04-30,20:00,SE Palmeiras,Santos FC,1,2,A,0.0,0.0,D
BRA,2006-04-30,22:10,Vasco da Gama,Fluminense RJ,1,1,D,1.0,0.0,H
BRA,2006-04-30,22:10,Juventude RS,Goiás EC,1,1,D,1.0,0.0,H
BRA,2006-04-30,22:10,Figueirense,Cruzeiro EC,0,2,A,0.0,2.0,A
BRA,2006-05-06,20:00,Santa Cruz FC,Ponte Preta,1,1,D,1.0,0.0,H
BRA,2006-05-06,22:10,Fluminense RJ,Paraná Clube,2,1,H,1.0,0.0,H
BRA,2006-05-06,22:10,Santos FC,Fortaleza,2,0,H,2.0,0.0,H
BRA,2006-05-07,20:00,Grêmio Porto Alegre,Vasco da Gama,1,2,A,1.0,2.0,A
BRA,2006-05-07,20:00,São Caetano,SE Palmeiras,2,0,H,2.0,0.0,H
BRA,2006-05-07,20:00,Atlético Paranaense,Internacional,1,2,A,1.0,1.0,D
BRA,2006-05-07,20:00,Corinthians SP,São Paulo FC,1,3,A,1.0,1.0,D
BRA,2006-05-07,22:10,Goiás EC,Figueirense,2,1,H,0.0,0.0,D
BRA,2006-05-07,22:10,Flamengo RJ,Botafogo RJ,1,0,H,0.0,0.0,D
BRA,2006-05-07,22:10,Cruzeiro EC,Juventude RS,2,0,H,1.0,0.0,H
BRA,2006-05-13,22:10,São Caetano,Juventude RS,0,2,A,0.0,1.0,A
BRA,2006-05-13,22:10,Botafogo RJ,Grêmio Porto Alegre,2,2,D,2.0,0.0,H
BRA,2006-05-13,22:10,Santos FC,Ponte Preta,3,1,H,2.0,0.0,H
BRA,2006-05-14,20:00,Santa Cruz FC,Atlético Paranaense,1,2,A,1.0,1.0,D
BRA,2006-05-14,20:00,Internacional,São Paulo FC,3,1,H,1.0,0.0,H
BRA,2006-05-14,20:00,Figueirense,Fluminense RJ,1,0,H,0.0,0.0,D
