Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CAN,2008-05-17,01:00,Toronto FC Academy,Toronto Croatia,1,0,H,,,
CAN,2008-05-18,00:00,Windsor Border Stars,London City,2,1,H,,,
CAN,2008-05-19,21:00,Italia Shooters,Serbian White Eagles,2,2,D,,,
CAN,2008-05-24,01:00,Toronto Croatia,Portugal FC,1,0,H,,,
CAN,2008-05-24,01:00,Serbian White Eagles,North York Astros,3,1,H,,,
CAN,2008-05-24,01:00,Toronto FC Academy,Roma Wolves,0,1,A,,,
CAN,2008-05-25,20:00,North York Astros,Toronto FC Academy,0,1,A,,,
CAN,2008-05-25,21:00,Italia Shooters,Trois-Rivières Attak,1,0,H,,,
CAN,2008-05-31,01:00,Toronto Croatia,Brampton Lions,2,1,H,,,
CAN,2008-05-31,01:00,Serbian White Eagles,Portugal FC,1,2,A,,,
CAN,2008-05-31,01:00,Toronto FC Academy,Italia Shooters,0,2,A,,,
CAN,2008-05-31,01:45,London City,Windsor Border Stars,2,4,A,,,
CAN,2008-05-31,21:00,Trois-Rivières Attak,Roma Wolves,0,0,D,,,
CAN,2008-06-01,19:30,Brampton Lions,Toronto FC Academy,1,0,H,,,
CAN,2008-06-01,20:00,North York Astros,Windsor Border Stars,3,0,H,,,
CAN,2008-06-01,21:00,Italia Shooters,London City,4,0,H,,,
CAN,2008-06-07,01:00,Serbian White Eagles,Italia Shooters,1,2,A,,,
CAN,2008-06-07,01:00,Portugal FC,Toronto FC Academy,2,0,H,,,
CAN,2008-06-07,01:30,Brampton Lions,Windsor Border Stars,5,0,H,,,
CAN,2008-06-07,01:45,London City,Trois-Rivières Attak,0,5,A,,,
CAN,2008-06-08,00:00,Windsor Border Stars,Trois-Rivières Attak,1,2,A,,,
CAN,2008-06-08,20:00,North York Astros,Brampton Lions,3,2,H,,,
CAN,2008-06-08,21:00,Roma Wolves,Serbian White Eagles,0,1,A,,,
CAN,2008-06-08,21:00,Italia Shooters,Toronto Croatia,2,3,A,,,
CAN,2008-06-14,01:00,Toronto Croatia,Trois-Rivières Attak,0,0,D,,,
CAN,2008-06-14,01:00,Portugal FC,North York Astros,4,0,H,,,
CAN,2008-06-14,01:45,London City,Italia Shooters,1,6,A,,,
CAN,2008-06-15,00:00,Windsor Border Stars,Roma Wolves,3,1,H,,,
CAN,2008-06-15,19:30,Brampton Lions,Italia Shooters,5,2,H,,,
CAN,2008-06-15,20:00,Toronto FC Academy,Serbian White Eagles,2,1,H,,,
CAN,2008-06-15,20:00,North York Astros,Trois-Rivières Attak,2,2,D,,,
CAN,2008-06-21,01:00,Portugal FC,Toronto Croatia,1,1,D,,,
CAN,2008-06-21,01:00,Serbian White Eagles,Roma Wolves,4,0,H,,,
CAN,2008-06-21,01:45,London City,Brampton Lions,0,7,A,,,
CAN,2008-06-21,21:00,Trois-Rivières Attak,Toronto FC Academy,2,0,H,,,
CAN,2008-06-22,00:00,Windsor Border Stars,Brampton Lions,1,1,D,,,
CAN,2008-06-22,20:00,North York Astros,London City,1,0,H,,,
CAN,2008-06-23,00:00,Roma Wolves,Toronto Croatia,1,2,A,,,
CAN,2008-06-28,01:00,Toronto FC Academy,Trois-Rivières Attak,0,4,A,,,
CAN,2008-06-28,01:00,Portugal FC,Serbian White Eagles,1,1,D,,,
CAN,2008-06-28,01:30,Brampton Lions,Windsor Border Stars,1,1,D,,,
CAN,2008-06-28,01:45,London City,Roma Wolves,0,4,A,,,
CAN,2008-06-28,20:00,Toronto FC Academy,Trois-Rivières Attak,0,3,A,,,
CAN,2008-06-28,20:00,North York Astros,Toronto Croatia,2,2,D,,,
CAN,2008-07-01,21:00,Italia Shooters,Portugal FC,4,1,H,,,
CAN,2008-07-05,01:00,Toronto Croatia,Portugal FC,1,0,H,,,
CAN,2008-07-05,01:30,Brampton Lions,Serbian White Eagles,0,1,A,,,
CAN,2008-07-05,01:45,London City,Toronto FC Academy,2,2,D,,,
