Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHN,2012-03-10,06:30,Liáoníng Hóngyùn,Henan Jianye,3,1,H,0,0,D
CHN,2012-03-10,07:30,Dalian Shide,Changchun Yatai,1,2,A,1,2,A
CHN,2012-03-10,07:45,Guangzhou R&F;,Beijing Guoan,3,1,H,1,0,H
CHN,2012-03-10,11:35,Shanghai Shenhua,Jiangsu Sainty,1,1,D,0,1,A
CHN,2012-03-10,11:40,Guizhou Renhe,Shandong Luneng,2,1,H,0,1,A
CHN,2012-03-11,07:30,Hangzhou Greentown,Qingdao Jonoon,0,0,D,0,0,D
CHN,2012-03-11,11:30,Tianjin Teda,Dalian Aerbin,1,0,H,0,0,D
CHN,2012-03-11,11:35,Guangzhou Evergrande,Shanghai Shenxin,2,1,H,2,1,H
CHN,2012-03-16,10:00,Guangzhou R&F;,Guangzhou Evergrande,2,0,H,1,0,H
CHN,2012-03-16,11:30,Beijing Guoan,Shanghai Shenhua,3,2,H,1,0,H
CHN,2012-03-16,11:35,Qingdao Jonoon,Tianjin Teda,2,1,H,1,0,H
CHN,2012-03-17,07:30,Henan Jianye,Shanghai Shenxin,0,4,A,0,0,D
CHN,2012-03-17,07:30,Guizhou Renhe,Liáoníng Hóngyùn,1,1,D,1,1,D
CHN,2012-03-17,07:30,Jiangsu Sainty,Hangzhou Greentown,3,0,H,0,0,D
CHN,2012-03-18,08:00,Dalian Aerbin,Dalian Shide,3,3,D,1,1,D
CHN,2012-03-24,06:00,Shanghai Shenxin,Guizhou Renhe,0,0,D,0,0,D
CHN,2012-03-24,06:30,Liáoníng Hóngyùn,Changchun Yatai,3,3,D,1,0,H
CHN,2012-03-24,07:30,Dalian Shide,Qingdao Jonoon,2,1,H,1,1,D
CHN,2012-03-24,11:30,Shandong Luneng,Dalian Aerbin,3,3,D,2,3,A
CHN,2012-03-24,11:45,Shanghai Shenhua,Guangzhou R&F;,1,0,H,0,0,D
CHN,2012-03-25,08:30,Hangzhou Greentown,Beijing Guoan,1,0,H,0,0,D
CHN,2012-03-25,12:30,Tianjin Teda,Jiangsu Sainty,0,0,D,0,0,D
CHN,2012-03-25,12:35,Guangzhou Evergrande,Henan Jianye,3,0,H,1,0,H
CHN,2012-03-30,12:30,Beijing Guoan,Tianjin Teda,3,1,H,0,0,D
CHN,2012-03-30,12:35,Qingdao Jonoon,Shandong Luneng,0,1,A,0,1,A
CHN,2012-03-30,12:45,Shanghai Shenhua,Guangzhou Evergrande,0,1,A,0,1,A
CHN,2012-03-31,08:30,Dalian Aerbin,Liáoníng Hóngyùn,1,1,D,0,0,D
CHN,2012-04-01,08:30,Changchun Yatai,Shanghai Shenxin,1,0,H,0,0,D
CHN,2012-04-01,08:30,Jiangsu Sainty,Dalian Shide,5,0,H,1,0,H
CHN,2012-04-01,08:45,Guangzhou R&F;,Hangzhou Greentown,1,0,H,0,0,D
CHN,2012-04-02,08:30,Guizhou Renhe,Henan Jianye,1,2,A,1,0,H
CHN,2012-04-07,08:30,Henan Jianye,Changchun Yatai,2,1,H,0,0,D
CHN,2012-04-07,08:30,Liáoníng Hóngyùn,Qingdao Jonoon,2,0,H,2,0,H
CHN,2012-04-07,08:40,Shanghai Shenxin,Dalian Aerbin,3,1,H,2,0,H
CHN,2012-04-07,12:30,Shandong Luneng,Jiangsu Sainty,0,0,D,0,0,D
CHN,2012-04-07,12:35,Hangzhou Greentown,Shanghai Shenhua,1,1,D,1,1,D
CHN,2012-04-08,08:30,Tianjin Teda,Guangzhou R&F;,1,2,A,0,0,D
CHN,2012-04-08,08:30,Dalian Shide,Beijing Guoan,0,0,D,0,0,D
CHN,2012-04-08,12:35,Guangzhou Evergrande,Guizhou Renhe,1,1,D,1,1,D
CHN,2012-04-13,12:30,Guangzhou Evergrande,Hangzhou Greentown,3,1,H,1,0,H
CHN,2012-04-13,12:30,Beijing Guoan,Shandong Luneng,2,1,H,1,1,D
CHN,2012-04-13,12:45,Shanghai Shenhua,Tianjin Teda,0,1,A,0,1,A
CHN,2012-04-14,08:30,Changchun Yatai,Guizhou Renhe,0,0,D,0,0,D
CHN,2012-04-14,12:00,Dalian Aerbin,Henan Jianye,1,0,H,0,0,D
CHN,2012-04-15,10:45,Guangzhou R&F;,Dalian Shide,1,0,H,0,0,D
CHN,2012-04-15,12:35,Qingdao Jonoon,Shanghai Shenxin,2,1,H,0,1,A
CHN,2012-04-16,12:40,Jiangsu Sainty,Liáoníng Hóngyùn,1,0,H,1,0,H
CHN,2012-04-21,09:00,Dalian Shide,Shanghai Shenhua,0,1,A,0,0,D
CHN,2012-04-21,12:30,Henan Jianye,Qingdao Jonoon,1,0,H,0,0,D
CHN,2012-04-21,12:30,Shandong Luneng,Guangzhou R&F;,2,1,H,2,0,H
CHN,2012-04-22,08:30,Guizhou Renhe,Dalian Aerbin,2,2,D,2,0,H
CHN,2012-04-22,08:40,Shanghai Shenxin,Jiangsu Sainty,0,1,A,0,0,D
CHN,2012-04-22,09:00,Liáoníng Hóngyùn,Beijing Guoan,0,0,D,0,0,D
CHN,2012-04-22,12:30,Tianjin Teda,Hangzhou Greentown,2,0,H,1,0,H
CHN,2012-04-22,12:35,Guangzhou Evergrande,Changchun Yatai,4,0,H,1,0,H
CHN,2012-04-27,12:30,Tianjin Teda,Guangzhou Evergrande,0,1,A,0,0,D
CHN,2012-04-27,12:30,Beijing Guoan,Shanghai Shenxin,1,0,H,0,0,D
CHN,2012-04-28,08:00,Dalian Aerbin,Changchun Yatai,1,2,A,0,2,A
CHN,2012-04-28,08:45,Guangzhou R&F;,Liáoníng Hóngyùn,2,1,H,0,0,D
CHN,2012-04-28,12:35,Hangzhou Greentown,Dalian Shide,1,1,D,0,1,A
CHN,2012-04-28,12:40,Jiangsu Sainty,Henan Jianye,5,1,H,3,0,H
CHN,2012-04-28,12:45,Shanghai Shenhua,Shandong Luneng,0,0,D,0,0,D
CHN,2012-04-29,08:30,Qingdao Jonoon,Guizhou Renhe,0,1,A,0,1,A
CHN,2012-05-05,08:30,Changchun Yatai,Qingdao Jonoon,0,0,D,0,0,D
CHN,2012-05-05,12:30,Shandong Luneng,Hangzhou Greentown,1,2,A,1,1,D
CHN,2012-05-05,12:30,Guizhou Renhe,Jiangsu Sainty,3,1,H,1,1,D
CHN,2012-05-05,13:00,Shanghai Shenxin,Guangzhou R&F;,4,2,H,1,1,D
CHN,2012-05-06,08:30,Dalian Shide,Tianjin Teda,4,1,H,3,0,H
CHN,2012-05-06,09:00,Liáoníng Hóngyùn,Shanghai Shenhua,1,1,D,0,0,D
CHN,2012-05-06,12:30,Henan Jianye,Beijing Guoan,2,2,D,1,0,H
