Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CRO,2004-07-21,17:00,Slaven Belupo,NK Osijek,1,2,A,,,
CRO,2004-07-23,19:00,Hajduk Split,NK Pula 1856,1,1,D,,,
CRO,2004-07-24,17:00,NK Zagreb,NK Inter Zaprešić,0,1,A,,,
CRO,2004-07-24,17:00,NK Međimurje,HNK Rijeka,1,2,A,,,
CRO,2004-07-24,17:00,Kamen Ingrad,NK Varteks,3,2,H,,,
CRO,2004-07-25,17:00,NK Zadar,Dinamo Zagreb,3,4,A,,,
CRO,2004-07-31,17:00,NK Pula 1856,Dinamo Zagreb,3,3,D,,,
CRO,2004-07-31,17:00,NK Inter Zaprešić,NK Međimurje,3,0,H,,,
CRO,2004-07-31,19:00,NK Osijek,NK Zadar,3,1,H,,,
CRO,2004-07-31,19:00,HNK Rijeka,Kamen Ingrad,2,1,H,,,
CRO,2004-07-31,19:45,Hajduk Split,NK Zagreb,2,4,A,,,
CRO,2004-08-01,17:00,NK Varteks,Slaven Belupo,6,0,H,,,
CRO,2004-08-07,16:30,NK Zagreb,NK Pula 1856,2,0,H,,,
CRO,2004-08-07,16:30,Slaven Belupo,HNK Rijeka,0,0,D,,,
CRO,2004-08-07,16:30,NK Zadar,NK Varteks,3,1,H,,,
CRO,2004-08-07,19:00,Kamen Ingrad,NK Inter Zaprešić,0,1,A,,,
CRO,2004-08-07,19:45,Dinamo Zagreb,NK Osijek,0,0,D,,,
CRO,2004-08-08,16:30,NK Međimurje,Hajduk Split,1,3,A,,,
CRO,2004-08-14,16:30,NK Pula 1856,NK Osijek,2,0,H,,,
CRO,2004-08-14,16:30,NK Inter Zaprešić,Slaven Belupo,2,0,H,,,
CRO,2004-08-14,16:30,NK Zagreb,NK Međimurje,0,1,A,,,
CRO,2004-08-14,19:00,Hajduk Split,Kamen Ingrad,2,0,H,,,
CRO,2004-08-15,15:45,NK Varteks,Dinamo Zagreb,2,2,D,,,
CRO,2004-08-16,17:00,HNK Rijeka,NK Zadar,2,0,H,,,
CRO,2004-08-21,15:00,Slaven Belupo,Hajduk Split,1,0,H,,,
CRO,2004-08-21,16:00,NK Međimurje,NK Pula 1856,1,1,D,,,
CRO,2004-08-21,16:00,NK Zadar,NK Inter Zaprešić,0,2,A,,,
CRO,2004-08-21,18:00,Kamen Ingrad,NK Zagreb,4,1,H,,,
CRO,2004-08-21,18:00,Dinamo Zagreb,HNK Rijeka,1,1,D,,,
CRO,2004-08-21,18:00,NK Osijek,NK Varteks,1,3,A,,,
CRO,2004-08-28,14:00,NK Pula 1856,NK Varteks,3,0,H,,,
CRO,2004-08-28,16:00,NK Zagreb,Slaven Belupo,0,2,A,,,
CRO,2004-08-28,16:00,NK Međimurje,Kamen Ingrad,1,4,A,,,
CRO,2004-08-28,18:15,Hajduk Split,NK Zadar,4,0,H,,,
CRO,2004-08-29,16:00,HNK Rijeka,NK Osijek,4,0,H,,,
CRO,2004-08-29,16:00,NK Inter Zaprešić,Dinamo Zagreb,1,0,H,,,
CRO,2004-09-11,15:30,Slaven Belupo,NK Međimurje,2,0,H,,,
CRO,2004-09-11,15:30,NK Zadar,NK Zagreb,2,1,H,,,
CRO,2004-09-11,17:00,Kamen Ingrad,NK Pula 1856,1,0,H,,,
CRO,2004-09-11,17:00,NK Osijek,NK Inter Zaprešić,2,0,H,,,
CRO,2004-09-11,17:00,NK Varteks,HNK Rijeka,2,0,H,,,
CRO,2004-09-11,19:30,Dinamo Zagreb,Hajduk Split,3,0,H,,,
CRO,2004-09-18,15:30,NK Pula 1856,HNK Rijeka,0,0,D,,,
CRO,2004-09-18,15:30,NK Inter Zaprešić,NK Varteks,3,2,H,,,
CRO,2004-09-18,15:30,NK Međimurje,NK Zadar,4,0,H,,,
CRO,2004-09-18,17:00,Hajduk Split,NK Osijek,1,1,D,,,
CRO,2004-09-18,17:00,Kamen Ingrad,Slaven Belupo,2,0,H,,,
CRO,2004-09-19,15:30,NK Zagreb,Dinamo Zagreb,2,1,H,,,
CRO,2004-09-25,15:00,Slaven Belupo,NK Pula 1856,1,0,H,,,
CRO,2004-09-25,15:00,NK Zadar,Kamen Ingrad,2,1,H,,,
CRO,2004-09-25,15:00,NK Varteks,Hajduk Split,0,4,A,,,
CRO,2004-09-25,17:00,Dinamo Zagreb,NK Međimurje,4,1,H,,,
CRO,2004-09-25,17:00,NK Osijek,NK Zagreb,1,1,D,,,
CRO,2004-09-25,17:30,HNK Rijeka,NK Inter Zaprešić,2,0,H,,,
CRO,2004-10-02,15:00,NK Pula 1856,NK Inter Zaprešić,1,1,D,,,
CRO,2004-10-02,15:00,NK Zagreb,NK Varteks,0,1,A,,,
CRO,2004-10-02,15:00,NK Međimurje,NK Osijek,2,2,D,,,
CRO,2004-10-02,15:00,Slaven Belupo,NK Zadar,1,0,H,,,
CRO,2004-10-02,17:00,Hajduk Split,HNK Rijeka,2,0,H,,,
CRO,2004-10-04,17:00,Kamen Ingrad,Dinamo Zagreb,0,0,D,,,
CRO,2004-10-16,13:00,NK Inter Zaprešić,Hajduk Split,1,3,A,,,
CRO,2004-10-16,14:30,NK Zadar,NK Pula 1856,3,0,H,,,
CRO,2004-10-16,16:00,Dinamo Zagreb,Slaven Belupo,1,2,A,,,
CRO,2004-10-16,16:00,NK Osijek,Kamen Ingrad,2,0,H,,,
CRO,2004-10-16,16:00,NK Varteks,NK Međimurje,5,0,H,,,
CRO,2004-10-16,16:00,HNK Rijeka,NK Zagreb,2,1,H,,,
CRO,2004-10-23,14:30,NK Pula 1856,Hajduk Split,0,1,A,,,
CRO,2004-10-23,14:30,NK Inter Zaprešić,NK Zagreb,1,0,H,,,
CRO,2004-10-23,15:00,NK Varteks,Kamen Ingrad,3,0,H,,,
CRO,2004-10-23,16:00,HNK Rijeka,NK Međimurje,3,1,H,,,
CRO,2004-10-23,16:00,NK Osijek,Slaven Belupo,1,1,D,,,
CRO,2004-10-23,16:00,Dinamo Zagreb,NK Zadar,2,1,H,,,
CRO,2004-10-30,13:00,NK Zagreb,Hajduk Split,2,0,H,,,
CRO,2004-10-30,14:00,NK Zadar,NK Osijek,2,4,A,,,
CRO,2004-10-30,14:00,Slaven Belupo,NK Varteks,0,1,A,,,
CRO,2004-10-30,14:00,NK Međimurje,NK Inter Zaprešić,0,0,D,,,
CRO,2004-10-30,16:00,Dinamo Zagreb,NK Pula 1856,3,0,H,,,
CRO,2004-10-30,16:00,Kamen Ingrad,HNK Rijeka,3,2,H,,,
CRO,2004-11-06,13:00,NK Pula 1856,NK Zagreb,1,1,D,,,
CRO,2004-11-06,13:00,NK Inter Zaprešić,Kamen Ingrad,0,0,D,,,
CRO,2004-11-06,13:00,NK Varteks,NK Zadar,3,0,H,,,
CRO,2004-11-06,15:00,Hajduk Split,NK Međimurje,2,0,H,,,
CRO,2004-11-06,16:45,HNK Rijeka,Slaven Belupo,1,1,D,,,
CRO,2004-11-07,16:00,NK Osijek,Dinamo Zagreb,1,1,D,,,
CRO,2004-11-13,13:00,NK Zadar,HNK Rijeka,2,2,D,,,
CRO,2004-11-13,13:00,Slaven Belupo,NK Inter Zaprešić,2,1,H,,,
CRO,2004-11-13,13:00,NK Međimurje,NK Zagreb,0,1,A,,,
CRO,2004-11-13,15:00,NK Osijek,NK Pula 1856,2,1,H,,,
CRO,2004-11-13,15:00,Kamen Ingrad,Hajduk Split,2,1,H,,,
CRO,2004-11-13,16:30,Dinamo Zagreb,NK Varteks,2,1,H,,,
CRO,2004-11-20,13:00,NK Pula 1856,NK Međimurje,2,1,H,,,
CRO,2004-11-20,13:00,NK Zagreb,Kamen Ingrad,1,0,H,,,
CRO,2004-11-20,13:00,NK Inter Zaprešić,NK Zadar,4,1,H,,,
CRO,2004-11-20,13:00,NK Varteks,NK Osijek,4,0,H,,,
CRO,2004-11-20,14:00,HNK Rijeka,Dinamo Zagreb,4,2,H,,,
CRO,2004-11-20,15:00,Hajduk Split,Slaven Belupo,2,1,H,,,
CRO,2004-11-27,12:30,NK Zadar,Hajduk Split,1,3,A,,,
CRO,2004-11-27,12:30,Slaven Belupo,NK Zagreb,1,1,D,,,
CRO,2004-11-27,15:00,NK Varteks,NK Pula 1856,1,0,H,,,
CRO,2004-11-27,15:00,NK Osijek,HNK Rijeka,1,1,D,,,
CRO,2004-11-27,15:00,Kamen Ingrad,NK Međimurje,2,0,H,,,
CRO,2004-11-28,16:30,Dinamo Zagreb,NK Inter Zaprešić,2,0,H,,,
CRO,2004-12-04,12:30,NK Pula 1856,Kamen Ingrad,1,0,H,,,
CRO,2004-12-04,12:30,NK Međimurje,Slaven Belupo,0,1,A,,,
CRO,2004-12-04,12:30,NK Zagreb,NK Zadar,4,1,H,,,
CRO,2004-12-04,12:30,NK Inter Zaprešić,NK Osijek,1,3,A,,,
CRO,2004-12-04,15:00,HNK Rijeka,NK Varteks,3,0,H,,,
CRO,2004-12-05,16:00,Hajduk Split,Dinamo Zagreb,1,0,H,,,
CRO,2005-02-26,14:00,NK Varteks,NK Inter Zaprešić,0,1,A,,,
CRO,2005-02-26,14:00,Dinamo Zagreb,NK Zagreb,1,2,A,,,
CRO,2005-02-26,14:00,NK Zadar,NK Međimurje,2,1,H,,,
CRO,2005-02-26,14:00,Slaven Belupo,Kamen Ingrad,4,1,H,,,
CRO,2005-02-26,16:00,HNK Rijeka,NK Pula 1856,1,1,D,,,
CRO,2005-02-26,16:15,NK Osijek,Hajduk Split,2,2,D,,,
CRO,2005-03-05,14:00,NK Pula 1856,Slaven Belupo,2,0,H,,,
CRO,2005-03-05,14:00,NK Međimurje,Dinamo Zagreb,1,3,A,,,
CRO,2005-03-05,14:00,NK Zagreb,NK Osijek,1,0,H,,,
CRO,2005-03-05,14:00,NK Inter Zaprešić,HNK Rijeka,2,2,D,,,
CRO,2005-03-05,16:15,Hajduk Split,NK Varteks,3,1,H,,,
CRO,2005-03-06,14:00,Kamen Ingrad,NK Zadar,2,0,H,,,
CRO,2005-03-12,14:00,NK Inter Zaprešić,NK Pula 1856,0,0,D,,,
CRO,2005-03-12,14:00,NK Varteks,NK Zagreb,1,0,H,,,
CRO,2005-03-12,14:00,Dinamo Zagreb,Kamen Ingrad,2,1,H,,,
CRO,2005-03-12,14:00,NK Zadar,Slaven Belupo,1,5,A,,,
CRO,2005-03-12,16:00,NK Osijek,NK Međimurje,0,0,D,,,
CRO,2005-03-12,16:15,HNK Rijeka,Hajduk Split,2,0,H,,,
CRO,2005-03-19,14:00,NK Pula 1856,NK Zadar,2,0,H,,,
CRO,2005-03-19,14:00,Slaven Belupo,Dinamo Zagreb,3,1,H,,,
CRO,2005-03-19,14:00,Kamen Ingrad,NK Osijek,3,1,H,,,
CRO,2005-03-19,14:00,NK Međimurje,NK Varteks,2,0,H,,,
CRO,2005-03-19,14:00,NK Zagreb,HNK Rijeka,2,1,H,,,
CRO,2005-03-19,14:00,Hajduk Split,NK Inter Zaprešić,2,0,H,,,
CRO,2005-04-02,15:00,Slaven Belupo,NK Inter Zaprešić,0,1,A,,,
CRO,2005-04-02,15:00,Dinamo Zagreb,NK Međimurje,5,1,H,,,
CRO,2005-04-02,15:00,Kamen Ingrad,NK Zadar,1,0,H,,,
CRO,2005-04-02,16:45,Hajduk Split,NK Zagreb,0,1,A,,,
CRO,2005-04-02,17:00,HNK Rijeka,NK Varteks,1,1,D,,,
CRO,2005-04-02,17:00,NK Osijek,NK Pula 1856,1,0,H,,,
CRO,2005-04-09,15:00,NK Zagreb,NK Inter Zaprešić,3,3,D,,,
CRO,2005-04-09,15:00,NK Međimurje,NK Pula 1856,1,0,H,,,
CRO,2005-04-09,15:00,NK Zadar,NK Osijek,2,0,H,,,
CRO,2005-04-09,15:00,Dinamo Zagreb,Kamen Ingrad,0,0,D,,,
CRO,2005-04-09,16:45,Hajduk Split,HNK Rijeka,1,1,D,,,
CRO,2005-04-09,17:00,NK Varteks,Slaven Belupo,2,0,H,,,
CRO,2005-04-16,13:00,Slaven Belupo,Hajduk Split,1,1,D,,,
CRO,2005-04-16,15:00,NK Inter Zaprešić,NK Varteks,2,0,H,,,
CRO,2005-04-16,15:00,Kamen Ingrad,NK Međimurje,0,1,A,,,
CRO,2005-04-16,15:00,NK Pula 1856,NK Zadar,3,1,H,,,
CRO,2005-04-16,17:00,HNK Rijeka,NK Zagreb,4,2,H,,,
CRO,2005-04-16,17:00,NK Osijek,Dinamo Zagreb,0,0,D,,,
CRO,2005-04-23,15:00,NK Zagreb,NK Varteks,3,1,H,,,
CRO,2005-04-23,15:00,NK Međimurje,NK Zadar,1,0,H,,,
CRO,2005-04-23,15:00,Dinamo Zagreb,NK Pula 1856,0,0,D,,,
CRO,2005-04-23,16:45,Hajduk Split,NK Inter Zaprešić,5,1,H,,,
CRO,2005-04-23,17:00,HNK Rijeka,Slaven Belupo,0,0,D,,,
CRO,2005-04-23,17:00,Kamen Ingrad,NK Osijek,2,0,H,,,
CRO,2005-04-30,13:00,NK Inter Zaprešić,HNK Rijeka,3,2,H,,,
CRO,2005-04-30,15:00,Slaven Belupo,NK Zagreb,2,0,H,,,
CRO,2005-04-30,15:00,NK Pula 1856,Kamen Ingrad,1,1,D,,,
CRO,2005-04-30,15:00,NK Zadar,Dinamo Zagreb,1,0,H,,,
CRO,2005-04-30,17:00,NK Varteks,Hajduk Split,1,2,A,,,
CRO,2005-04-30,17:00,NK Osijek,NK Međimurje,1,2,A,,,
CRO,2005-05-07,14:00,NK Zagreb,Hajduk Split,3,2,H,,,
CRO,2005-05-07,15:30,NK Inter Zaprešić,Slaven Belupo,2,1,H,,,
CRO,2005-05-07,15:30,NK Međimurje,Dinamo Zagreb,2,1,H,,,
CRO,2005-05-07,15:30,NK Zadar,Kamen Ingrad,3,1,H,,,
CRO,2005-05-07,15:30,NK Pula 1856,NK Osijek,1,1,D,,,
CRO,2005-05-07,17:00,NK Varteks,HNK Rijeka,3,1,H,,,
CRO,2005-05-14,14:30,Slaven Belupo,NK Varteks,2,2,D,,,
CRO,2005-05-14,15:30,NK Inter Zaprešić,NK Zagreb,1,1,D,,,
CRO,2005-05-14,15:30,NK Pula 1856,NK Međimurje,0,0,D,,,
CRO,2005-05-14,17:00,NK Osijek,NK Zadar,1,1,D,,,
CRO,2005-05-14,17:00,Kamen Ingrad,Dinamo Zagreb,0,1,A,,,
CRO,2005-05-14,19:15,HNK Rijeka,Hajduk Split,1,1,D,,,
CRO,2005-05-18,16:00,NK Zagreb,HNK Rijeka,2,1,H,,,
CRO,2005-05-18,16:00,Hajduk Split,Slaven Belupo,0,0,D,,,
CRO,2005-05-18,16:00,NK Varteks,NK Inter Zaprešić,1,2,A,,,
CRO,2005-05-18,16:00,NK Međimurje,Kamen Ingrad,1,0,H,,,
CRO,2005-05-18,16:00,Dinamo Zagreb,NK Osijek,3,3,D,,,
CRO,2005-05-18,16:00,NK Zadar,NK Pula 1856,2,1,H,,,
CRO,2005-05-21,16:00,NK Varteks,NK Zagreb,3,1,H,,,
CRO,2005-05-21,16:00,NK Inter Zaprešić,Hajduk Split,1,1,D,,,
CRO,2005-05-21,16:00,Slaven Belupo,HNK Rijeka,1,1,D,,,
CRO,2005-05-21,16:00,NK Zadar,NK Međimurje,1,0,H,,,
CRO,2005-05-21,16:00,NK Pula 1856,Dinamo Zagreb,0,0,D,,,
CRO,2005-05-21,16:00,NK Osijek,Kamen Ingrad,3,0,H,,,
CRO,2005-05-28,16:00,NK Zagreb,Slaven Belupo,7,1,H,,,
CRO,2005-05-28,16:00,HNK Rijeka,NK Inter Zaprešić,3,3,D,,,
CRO,2005-05-28,16:00,Hajduk Split,NK Varteks,6,0,H,,,
CRO,2005-05-28,16:00,NK Međimurje,NK Osijek,2,2,D,,,
CRO,2005-05-28,16:00,Kamen Ingrad,NK Pula 1856,1,1,D,,,
CRO,2005-05-28,16:00,Dinamo Zagreb,NK Zadar,7,0,H,,,
