Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CZE,2008-08-02,16:00,Viktoria Plzeň,Viktoria Žižkov,3,2,H,2,0,H
CZE,2008-08-02,18:00,Baník Ostrava,SK Kladno,1,0,H,0,0,D
CZE,2008-08-02,18:00,Tescoma Zlín,FK Jablonec,0,1,A,0,1,A
CZE,2008-08-02,18:00,Sparta Praha,FK Mladá Boleslav,1,0,H,0,0,D
CZE,2008-08-03,16:00,FK Teplice,České Budějovice,4,0,H,3,0,H
CZE,2008-08-03,16:00,1. FK Příbram,1. FC Brno,0,1,A,0,0,D
CZE,2008-08-03,19:15,Slovan Liberec,Slavia Praha,2,1,H,1,0,H
CZE,2008-08-04,16:15,Bohemians Praha,Sigma Olomouc,1,2,A,1,1,D
CZE,2008-08-06,17:00,Slavia Praha,1. FK Příbram,1,0,H,0,0,D
CZE,2008-08-10,09:15,Viktoria Žižkov,FK Teplice,3,0,H,2,0,H
CZE,2008-08-10,16:00,FK Mladá Boleslav,Tescoma Zlín,1,0,H,0,0,D
CZE,2008-08-10,16:00,Sigma Olomouc,Viktoria Plzeň,2,1,H,0,1,A
CZE,2008-08-10,16:00,SK Kladno,Sparta Praha,0,2,A,0,1,A
CZE,2008-08-10,16:00,České Budějovice,Bohemians Praha,0,0,D,0,0,D
CZE,2008-08-10,19:15,1. FC Brno,Slovan Liberec,4,1,H,2,0,H
CZE,2008-08-11,19:00,FK Jablonec,Baník Ostrava,2,1,H,1,0,H
CZE,2008-08-16,16:00,Viktoria Plzeň,Slavia Praha,1,1,D,0,0,D
CZE,2008-08-16,18:00,Baník Ostrava,1. FC Brno,0,0,D,0,0,D
CZE,2008-08-16,18:00,Tescoma Zlín,Viktoria Žižkov,1,0,H,1,0,H
CZE,2008-08-17,13:30,Bohemians Praha,SK Kladno,3,1,H,2,0,H
CZE,2008-08-17,16:00,1. FK Příbram,České Budějovice,3,0,H,0,0,D
CZE,2008-08-17,16:00,Sparta Praha,Sigma Olomouc,1,1,D,0,0,D
CZE,2008-08-17,19:15,FK Jablonec,FK Mladá Boleslav,1,1,D,1,1,D
CZE,2008-08-18,19:00,Slovan Liberec,FK Teplice,1,0,H,0,0,D
CZE,2008-08-22,17:30,Slavia Praha,Bohemians Praha,5,0,H,2,0,H
CZE,2008-08-22,18:00,České Budějovice,Sparta Praha,1,4,A,0,2,A
CZE,2008-08-23,16:00,Slovan Liberec,Viktoria Plzeň,1,1,D,0,0,D
CZE,2008-08-24,16:00,FK Teplice,1. FK Příbram,0,0,D,0,0,D
CZE,2008-08-24,16:00,Sigma Olomouc,FK Jablonec,1,1,D,0,1,A
CZE,2008-08-24,16:00,SK Kladno,Tescoma Zlín,1,1,D,0,0,D
CZE,2008-08-24,19:15,Viktoria Žižkov,Baník Ostrava,0,3,A,0,1,A
CZE,2008-08-25,16:15,1. FC Brno,FK Mladá Boleslav,0,2,A,0,2,A
CZE,2008-08-30,16:00,Viktoria Plzeň,FK Teplice,1,1,D,1,1,D
CZE,2008-08-30,18:00,Tescoma Zlín,České Budějovice,0,0,D,0,0,D
CZE,2008-08-31,16:00,1. FK Příbram,Slovan Liberec,1,2,A,0,1,A
CZE,2008-08-31,16:00,Bohemians Praha,1. FC Brno,1,2,A,0,1,A
CZE,2008-08-31,16:00,FK Jablonec,SK Kladno,1,1,D,0,1,A
CZE,2008-08-31,16:00,FK Mladá Boleslav,Sigma Olomouc,2,1,H,2,0,H
CZE,2008-08-31,19:00,Sparta Praha,Viktoria Žižkov,2,0,H,1,0,H
CZE,2008-09-01,16:15,Baník Ostrava,Slavia Praha,2,3,A,1,2,A
CZE,2008-09-13,16:00,Slovan Liberec,Tescoma Zlín,2,1,H,1,0,H
CZE,2008-09-14,09:15,Viktoria Žižkov,Bohemians Praha,4,2,H,2,0,H
CZE,2008-09-14,13:30,SK Kladno,Sigma Olomouc,2,0,H,1,0,H
CZE,2008-09-14,16:00,FK Teplice,Baník Ostrava,1,0,H,0,0,D
CZE,2008-09-14,16:00,1. FK Příbram,Viktoria Plzeň,2,2,D,2,1,H
CZE,2008-09-14,16:00,České Budějovice,FK Mladá Boleslav,1,1,D,0,1,A
CZE,2008-09-14,19:00,1. FC Brno,Sparta Praha,0,2,A,0,1,A
CZE,2008-09-15,16:15,Slavia Praha,FK Jablonec,2,0,H,2,0,H
CZE,2008-09-20,16:00,Viktoria Plzeň,České Budějovice,1,1,D,0,0,D
