Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
DEN,1993-08-01,17:30,FC København,Aarhus GF,2,0,H,,,
DEN,1993-08-01,17:30,Lyngby BK,Odense BK,0,0,D,,,
DEN,1993-08-01,17:30,Næstved IF,Brøndby IF,1,2,A,,,
DEN,1993-08-01,17:30,Silkeborg IF,Aalborg BK,2,2,D,,,
DEN,1993-08-01,17:30,Viborg FF,Ikast FS,3,1,H,,,
DEN,1993-08-08,17:30,Aarhus GF,Silkeborg IF,1,2,A,,,
DEN,1993-08-08,17:30,Brøndby IF,FC København,0,1,A,,,
DEN,1993-08-08,17:30,Ikast FS,Lyngby BK,1,1,D,,,
DEN,1993-08-08,17:30,Odense BK,Næstved IF,3,1,H,,,
DEN,1993-08-11,17:30,Aalborg BK,Viborg FF,2,2,D,,,
DEN,1993-08-14,14:00,FC København,Odense BK,0,1,A,,,
DEN,1993-08-15,17:30,Aarhus GF,Aalborg BK,2,1,H,,,
DEN,1993-08-15,17:30,Lyngby BK,Viborg FF,2,0,H,,,
DEN,1993-08-15,17:30,Næstved IF,Ikast FS,3,2,H,,,
DEN,1993-08-15,17:30,Silkeborg IF,Brøndby IF,4,2,H,,,
DEN,1993-08-22,17:30,Ikast FS,FC København,2,3,A,,,
DEN,1993-08-22,17:30,Viborg FF,Næstved IF,5,2,H,,,
DEN,1993-08-22,17:30,Aalborg BK,Lyngby BK,3,0,H,,,
DEN,1993-08-22,17:30,Odense BK,Silkeborg IF,2,0,H,,,
DEN,1993-08-28,14:00,Aarhus GF,Odense BK,2,2,D,,,
DEN,1993-08-29,17:30,FC København,Viborg FF,4,1,H,,,
DEN,1993-08-29,17:30,Næstved IF,Lyngby BK,8,2,H,,,
DEN,1993-08-29,17:30,Silkeborg IF,Ikast FS,3,1,H,,,
DEN,1993-08-30,19:00,Brøndby IF,Aalborg BK,1,1,D,,,
DEN,1993-09-02,17:30,Brøndby IF,Aarhus GF,2,0,H,,,
DEN,1993-09-05,17:30,Ikast FS,Aarhus GF,2,2,D,,,
DEN,1993-09-05,17:30,Lyngby BK,FC København,1,1,D,,,
DEN,1993-09-05,17:30,Odense BK,Brøndby IF,2,1,H,,,
DEN,1993-09-05,17:30,Viborg FF,Silkeborg IF,0,3,A,,,
DEN,1993-09-05,17:30,Aalborg BK,Næstved IF,2,0,H,,,
DEN,1993-09-11,14:00,Brøndby IF,Ikast FS,1,1,D,,,
DEN,1993-09-11,14:00,FC København,Næstved IF,0,0,D,,,
DEN,1993-09-11,14:00,Odense BK,Aalborg BK,0,0,D,,,
DEN,1993-09-12,17:30,Aarhus GF,Viborg FF,6,0,H,,,
DEN,1993-09-12,17:30,Silkeborg IF,Lyngby BK,3,0,H,,,
DEN,1993-09-19,17:30,Ikast FS,Odense BK,1,0,H,,,
DEN,1993-09-19,17:30,Lyngby BK,Aarhus GF,3,1,H,,,
DEN,1993-09-19,17:30,Næstved IF,Silkeborg IF,1,1,D,,,
DEN,1993-09-19,17:30,Viborg FF,Brøndby IF,2,2,D,,,
DEN,1993-09-20,19:00,Aalborg BK,FC København,0,1,A,,,
DEN,1993-09-25,14:00,Brøndby IF,Lyngby BK,1,1,D,,,
DEN,1993-09-25,14:00,Odense BK,Viborg FF,4,0,H,,,
DEN,1993-09-25,14:00,Silkeborg IF,FC København,4,1,H,,,
DEN,1993-09-25,14:00,Aalborg BK,Ikast FS,2,2,D,,,
DEN,1993-10-03,12:30,Aarhus GF,Brøndby IF,3,1,H,,,
DEN,1993-10-03,12:30,FC København,Ikast FS,0,3,A,,,
DEN,1993-10-03,12:30,Lyngby BK,Aalborg BK,1,0,H,,,
DEN,1993-10-03,12:30,Næstved IF,Viborg FF,1,2,A,,,
DEN,1993-10-03,12:30,Silkeborg IF,Odense BK,3,0,H,,,
DEN,1993-10-10,12:30,Brøndby IF,Silkeborg IF,3,0,H,,,
DEN,1993-10-10,12:30,Ikast FS,Næstved IF,5,2,H,,,
DEN,1993-10-10,12:30,Odense BK,FC København,1,0,H,,,
DEN,1993-10-10,12:30,Viborg FF,Lyngby BK,1,1,D,,,
DEN,1993-10-10,12:30,Aalborg BK,Aarhus GF,4,1,H,,,
DEN,1993-10-16,14:00,FC København,Brøndby IF,3,1,H,,,
DEN,1993-10-17,12:30,Lyngby BK,Ikast FS,2,0,H,,,
DEN,1993-10-17,12:30,Næstved IF,Odense BK,0,2,A,,,
DEN,1993-10-17,12:30,Silkeborg IF,Aarhus GF,0,0,D,,,
DEN,1993-10-17,12:30,Viborg FF,Aalborg BK,2,2,D,,,
DEN,1993-10-19,18:00,Aarhus GF,Næstved IF,4,0,H,,,
DEN,1993-10-24,12:30,Aarhus GF,FC København,1,2,A,,,
DEN,1993-10-24,12:30,Brøndby IF,Næstved IF,5,0,H,,,
DEN,1993-10-24,12:30,Ikast FS,Viborg FF,3,0,H,,,
DEN,1993-10-24,12:30,Odense BK,Lyngby BK,0,0,D,,,
DEN,1993-10-24,12:30,Aalborg BK,Silkeborg IF,2,2,D,,,
DEN,1993-10-30,14:00,Lyngby BK,Brøndby IF,0,0,D,,,
DEN,1993-10-31,12:30,FC København,Silkeborg IF,1,2,A,,,
DEN,1993-10-31,12:30,Ikast FS,Aalborg BK,2,1,H,,,
DEN,1993-10-31,12:30,Næstved IF,Aarhus GF,3,2,H,,,
DEN,1993-10-31,12:30,Viborg FF,Odense BK,2,3,A,,,
DEN,1993-11-07,12:30,Brøndby IF,Viborg FF,3,1,H,,,
DEN,1993-11-07,12:30,FC København,Aalborg BK,2,0,H,,,
DEN,1993-11-07,12:30,Odense BK,Ikast FS,1,1,D,,,
DEN,1993-11-07,12:30,Silkeborg IF,Næstved IF,0,0,D,,,
DEN,1993-11-08,19:00,Aarhus GF,Lyngby BK,0,0,D,,,
DEN,1993-11-13,14:00,Ikast FS,Brøndby IF,0,1,A,,,
DEN,1993-11-13,14:00,Aalborg BK,Odense BK,1,1,D,,,
DEN,1993-11-14,12:30,Lyngby BK,Silkeborg IF,2,2,D,,,
DEN,1993-11-14,12:30,Næstved IF,FC København,2,4,A,,,
DEN,1993-11-14,12:30,Viborg FF,Aarhus GF,2,3,A,,,
DEN,1993-11-20,14:00,Brøndby IF,Odense BK,4,2,H,,,
DEN,1993-11-21,12:30,Aarhus GF,Ikast FS,2,2,D,,,
DEN,1993-11-21,12:30,FC København,Lyngby BK,0,1,A,,,
DEN,1993-11-21,12:30,Næstved IF,Aalborg BK,2,3,A,,,
DEN,1993-11-21,12:30,Silkeborg IF,Viborg FF,1,0,H,,,
DEN,1993-11-28,12:30,Ikast FS,Silkeborg IF,2,2,D,,,
DEN,1993-11-28,12:30,Lyngby BK,Næstved IF,2,2,D,,,
DEN,1993-11-28,12:30,Odense BK,Aarhus GF,3,0,H,,,
DEN,1993-11-28,12:30,Viborg FF,FC København,2,7,A,,,
DEN,1993-11-28,12:30,Aalborg BK,Brøndby IF,2,2,D,,,
DEN,1994-03-20,14:00,Brøndby IF,Silkeborg IF,2,2,D,,,
DEN,1994-03-20,14:00,Lyngby FC,FC København,0,3,A,,,
DEN,1994-03-27,14:00,FC København,Aarhus GF,1,3,A,,,
DEN,1994-03-27,14:00,Odense BK,Brøndby IF,0,3,A,,,
DEN,1994-03-27,14:00,Silkeborg IF,Lyngby FC,2,0,H,,,
DEN,1994-03-27,14:00,Aalborg BK,Ikast FS,1,0,H,,,
DEN,1994-03-31,14:00,Aarhus GF,Silkeborg IF,0,3,A,,,
DEN,1994-03-31,14:00,Ikast FS,FC København,0,2,A,,,
DEN,1994-03-31,14:00,Lyngby FC,Brøndby IF,2,1,H,,,
