Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
EGY,2006-08-03,,Olympia Alexandria,ENPPI,0,1,A,,,
EGY,2006-08-03,,Asyut Petroleum,Haras El Hodood,0,2,A,,,
EGY,2006-08-03,,Al-Mokawloon,Ittihad El-Iskandary,1,1,D,,,
EGY,2006-08-03,,Tala'ea El-Gaish SC,PetroJet Football Club,2,3,A,,,
EGY,2006-08-03,,Al-Ahly,Tanta,2,0,H,,,
EGY,2006-08-04,,Suez Cement,Al-Tersana,2,1,H,,,
EGY,2006-08-04,,Ismaily,Al-Masry Club,3,0,H,,,
EGY,2006-08-04,,Zamalek,Ghazl Al-Mehalla,0,1,A,,,
EGY,2006-08-07,,Al-Ahly,Al-Mokawloon,0,0,D,,,
EGY,2006-08-10,,Ghazl Al-Mehalla,Ismaily,0,1,A,,,
EGY,2006-08-10,,Haras El Hodood,Suez Cement,1,1,D,,,
EGY,2006-08-10,,ENPPI,Zamalek,0,3,A,,,
EGY,2006-08-11,,Al-Tersana,Tala'ea El-Gaish SC,1,1,D,,,
EGY,2006-08-11,,PetroJet Football Club,Olympia Alexandria,3,1,H,,,
EGY,2006-08-11,,Al-Masry Club,Tanta,3,1,H,,,
EGY,2006-08-11,,Ittihad El-Iskandary,Asyut Petroleum,2,1,H,,,
EGY,2006-08-20,,Suez Cement,Ittihad El-Iskandary,1,1,D,,,
EGY,2006-08-20,,Al-Mokawloon,Al-Masry Club,1,0,H,,,
EGY,2006-08-20,,Olympia Alexandria,Tala'ea El-Gaish SC,2,4,A,,,
EGY,2006-08-20,,Zamalek,PetroJet Football Club,2,0,H,,,
EGY,2006-08-21,,Tanta,Ghazl Al-Mehalla,1,3,A,,,
EGY,2006-08-21,,Asyut Petroleum,Al-Ahly,1,3,A,,,
EGY,2006-08-21,,Haras El Hodood,Al-Tersana,1,0,H,,,
EGY,2006-08-21,,Ismaily,ENPPI,1,1,D,,,
EGY,2006-08-25,,Ittihad El-Iskandary,Haras El Hodood,3,2,H,,,
EGY,2006-08-25,,Tala'ea El-Gaish SC,Zamalek,2,0,H,,,
EGY,2006-08-26,,Al-Tersana,Olympia Alexandria,0,0,D,,,
EGY,2006-08-26,,PetroJet Football Club,Ismaily,1,2,A,,,
EGY,2006-08-26,,ENPPI,Tanta,0,0,D,,,
EGY,2006-08-26,,Ghazl Al-Mehalla,Al-Mokawloon,0,1,A,,,
EGY,2006-08-26,,Al-Masry Club,Asyut Petroleum,1,1,D,,,
EGY,2006-09-08,,Asyut Petroleum,Ghazl Al-Mehalla,0,3,A,,,
EGY,2006-09-08,,Ismaily,Tala'ea El-Gaish SC,3,1,H,,,
