Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
FIN,2016-04-02,12:00,HJK Helsinki,IFK Mariehamn,2,0,H,0,0,D
FIN,2016-04-02,15:00,PK-35 Vantaa,Rovaniemi PS,3,4,A,2,0,H
FIN,2016-04-08,16:30,HJK Helsinki,Vaasan PS,3,1,H,1,0,H
FIN,2016-04-09,14:00,Inter Turku,FC Lahti,1,1,D,0,0,D
FIN,2016-04-09,14:00,PK-35 Vantaa,Helsingfors IFK,0,2,A,0,1,A
FIN,2016-04-09,14:00,Kuopion PS,Ilves Tampere,0,1,A,0,1,A
FIN,2016-04-09,14:00,PS Kemi Kings,SJK Seinäjoki,3,0,H,0,1,A
FIN,2016-04-09,14:00,IFK Mariehamn,Rovaniemi PS,1,0,H,0,0,D
FIN,2016-04-14,16:30,SJK Seinäjoki,IFK Mariehamn,0,1,A,0,1,A
FIN,2016-04-14,16:30,Helsingfors IFK,Inter Turku,1,2,A,0,1,A
FIN,2016-04-14,16:30,Kuopion PS,PK-35 Vantaa,2,3,A,1,3,A
FIN,2016-04-14,16:30,Rovaniemi PS,HJK Helsinki,2,2,D,2,2,D
FIN,2016-04-17,13:00,PS Kemi Kings,IFK Mariehamn,1,2,A,0,1,A
FIN,2016-04-17,14:00,PK-35 Vantaa,Vaasan PS,0,2,A,0,0,D
FIN,2016-04-18,16:30,HJK Helsinki,SJK Seinäjoki,2,1,H,0,1,A
FIN,2016-04-18,16:30,Inter Turku,Kuopion PS,3,1,H,0,1,A
FIN,2016-04-18,16:30,FC Lahti,Helsingfors IFK,2,2,D,2,1,H
FIN,2016-04-24,14:00,SJK Seinäjoki,Ilves Tampere,0,2,A,0,0,D
FIN,2016-04-24,14:00,Kuopion PS,FC Lahti,2,0,H,1,0,H
FIN,2016-04-24,14:00,Vaasan PS,Inter Turku,0,0,D,0,0,D
FIN,2016-04-24,14:00,Rovaniemi PS,PK-35 Vantaa,1,0,H,0,0,D
FIN,2016-04-24,14:30,IFK Mariehamn,HJK Helsinki,0,0,D,0,0,D
FIN,2016-04-25,16:30,Helsingfors IFK,PS Kemi Kings,0,0,D,0,0,D
FIN,2016-04-28,16:30,FC Lahti,Vaasan PS,4,0,H,2,0,H
FIN,2016-04-28,16:30,Inter Turku,Rovaniemi PS,1,2,A,1,1,D
FIN,2016-04-28,16:30,Helsingfors IFK,Kuopion PS,3,2,H,3,0,H
FIN,2016-04-29,16:30,PK-35 Vantaa,SJK Seinäjoki,0,0,D,0,0,D
FIN,2016-04-29,16:30,Ilves Tampere,IFK Mariehamn,0,1,A,0,1,A
FIN,2016-04-29,16:30,PS Kemi Kings,HJK Helsinki,1,0,H,1,0,H
FIN,2016-05-04,16:30,IFK Mariehamn,PK-35 Vantaa,0,0,D,0,0,D
FIN,2016-05-04,16:30,HJK Helsinki,Ilves Tampere,5,1,H,0,1,A
FIN,2016-05-04,16:30,Kuopion PS,PS Kemi Kings,2,0,H,1,0,H
FIN,2016-05-04,16:30,Vaasan PS,Helsingfors IFK,3,1,H,2,1,H
FIN,2016-05-05,12:00,SJK Seinäjoki,Inter Turku,1,0,H,0,0,D
FIN,2016-05-05,12:00,Rovaniemi PS,FC Lahti,0,0,D,0,0,D
FIN,2016-05-07,14:00,PK-35 Vantaa,HJK Helsinki,1,2,A,0,0,D
FIN,2016-05-07,14:00,Kuopion PS,Vaasan PS,1,0,H,0,0,D
FIN,2016-05-07,14:00,PS Kemi Kings,Ilves Tampere,1,0,H,0,0,D
FIN,2016-05-09,16:00,FC Lahti,SJK Seinäjoki,3,0,H,1,0,H
FIN,2016-05-09,16:00,Inter Turku,IFK Mariehamn,0,2,A,0,1,A
FIN,2016-05-09,16:00,Helsingfors IFK,Rovaniemi PS,1,1,D,1,0,H
FIN,2016-05-13,16:30,Ilves Tampere,PK-35 Vantaa,2,0,H,0,0,D
FIN,2016-05-13,16:30,Vaasan PS,PS Kemi Kings,0,1,A,0,0,D
FIN,2016-05-13,16:30,Rovaniemi PS,Kuopion PS,0,1,A,0,0,D
FIN,2016-05-14,14:00,SJK Seinäjoki,Helsingfors IFK,2,1,H,1,0,H
FIN,2016-05-15,16:30,IFK Mariehamn,FC Lahti,3,0,H,2,0,H
FIN,2016-05-16,16:30,HJK Helsinki,Inter Turku,3,1,H,1,1,D
FIN,2016-05-20,16:30,FC Lahti,HJK Helsinki,1,2,A,0,1,A
FIN,2016-05-20,16:30,Helsingfors IFK,IFK Mariehamn,0,1,A,0,0,D
FIN,2016-05-21,14:00,Inter Turku,Ilves Tampere,1,0,H,0,0,D
FIN,2016-05-21,14:00,Kuopion PS,SJK Seinäjoki,0,0,D,0,0,D
FIN,2016-05-21,14:00,PK-35 Vantaa,PS Kemi Kings,2,2,D,1,0,H
FIN,2016-05-22,16:30,Vaasan PS,Rovaniemi PS,1,0,H,1,0,H
FIN,2016-05-25,16:30,Ilves Tampere,FC Lahti,2,0,H,2,0,H
FIN,2016-05-25,16:30,SJK Seinäjoki,Vaasan PS,1,0,H,0,0,D
FIN,2016-05-25,16:30,IFK Mariehamn,Kuopion PS,0,3,A,0,2,A
FIN,2016-05-25,16:30,PK-35 Vantaa,Inter Turku,3,1,H,1,0,H
FIN,2016-05-26,16:30,HJK Helsinki,Helsingfors IFK,2,1,H,2,1,H
FIN,2016-05-28,14:00,Rovaniemi PS,SJK Seinäjoki,2,3,A,1,0,H
FIN,2016-05-28,14:00,FC Lahti,PK-35 Vantaa,2,1,H,2,0,H
FIN,2016-05-28,16:00,Inter Turku,PS Kemi Kings,0,2,A,0,0,D
FIN,2016-05-29,16:30,Helsingfors IFK,Ilves Tampere,0,1,A,0,0,D
FIN,2016-05-29,16:30,Kuopion PS,HJK Helsinki,0,0,D,0,0,D
FIN,2016-05-29,16:30,IFK Mariehamn,Vaasan PS,2,2,D,2,0,H
FIN,2016-06-09,16:30,FC Lahti,Inter Turku,1,0,H,1,0,H
FIN,2016-06-09,16:30,Rovaniemi PS,IFK Mariehamn,0,0,D,0,0,D
FIN,2016-06-09,16:30,Vaasan PS,HJK Helsinki,3,0,H,2,0,H
FIN,2016-06-09,16:30,Helsingfors IFK,PK-35 Vantaa,1,2,A,0,2,A
FIN,2016-06-09,16:30,Ilves Tampere,Kuopion PS,1,0,H,1,0,H
FIN,2016-06-09,16:30,SJK Seinäjoki,PS Kemi Kings,1,0,H,1,0,H
FIN,2016-06-12,11:30,IFK Mariehamn,SJK Seinäjoki,1,0,H,0,0,D
FIN,2016-06-12,11:30,PS Kemi Kings,FC Lahti,2,1,H,1,0,H
FIN,2016-06-12,11:30,Inter Turku,Helsingfors IFK,1,0,H,0,0,D
FIN,2016-06-12,11:30,PK-35 Vantaa,Kuopion PS,1,1,D,0,0,D
FIN,2016-06-12,11:30,Ilves Tampere,Vaasan PS,1,0,H,1,0,H
FIN,2016-06-12,11:30,HJK Helsinki,Rovaniemi PS,1,1,D,0,0,D
FIN,2016-06-18,11:30,Helsingfors IFK,FC Lahti,2,2,D,1,0,H
FIN,2016-06-18,11:30,SJK Seinäjoki,HJK Helsinki,2,3,A,2,1,H
