Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
FRA,1962-08-18,,OGC Nice,RC Strasbourg,3,1,H,,,
FRA,1962-08-18,,Nîmes Olympique,Girondins Bordeaux,1,2,A,,,
FRA,1962-08-18,,Olympique Lyon,Olympique Marseille,1,1,D,,,
FRA,1962-08-18,,Grenoble Foot 38,US Valenciennes-Anzin,1,1,D,,,
FRA,1962-08-18,,UA Sedan-Torcy,Racing Club de France,0,0,D,,,
FRA,1962-08-18,,AS Nancy,Stade Rennes,2,2,D,,,
FRA,1962-08-19,,Stade Reims,Angers SCO,4,0,H,,,
FRA,1962-08-19,,FC Rouen,AS Monaco,3,3,D,,,
FRA,1962-08-19,,Stade Français FC,Stade Olympique Montpelliérain,5,2,H,,,
FRA,1962-08-22,,RC Lens,Toulouse FC,1,1,D,,,
FRA,1962-08-25,,AS Monaco,Stade Français FC,1,1,D,,,
FRA,1962-08-25,,US Valenciennes-Anzin,OGC Nice,2,2,D,,,
FRA,1962-08-25,,Nîmes Olympique,Angers SCO,5,0,H,,,
FRA,1962-08-25,,RC Strasbourg,Toulouse FC,3,1,H,,,
FRA,1962-08-25,,Grenoble Foot 38,FC Rouen,1,1,D,,,
FRA,1962-08-26,,Stade Rennes,Stade Olympique Montpelliérain,3,1,H,,,
FRA,1962-08-26,,Girondins Bordeaux,UA Sedan-Torcy,4,4,D,,,
FRA,1962-08-26,,Olympique Marseille,AS Nancy,2,1,H,,,
FRA,1962-08-26,,Racing Club de France,RC Lens,2,1,H,,,
FRA,1962-08-29,,Stade Reims,Olympique Lyon,5,1,H,,,
FRA,1962-09-01,,UA Sedan-Torcy,OGC Nice,0,0,D,,,
FRA,1962-09-01,,US Valenciennes-Anzin,Stade Rennes,0,0,D,,,
FRA,1962-09-01,,AS Nancy,Girondins Bordeaux,2,2,D,,,
FRA,1962-09-01,,Olympique Lyon,Nîmes Olympique,0,0,D,,,
FRA,1962-09-01,,FC Rouen,RC Strasbourg,0,0,D,,,
FRA,1962-09-02,,Stade Olympique Montpelliérain,Stade Reims,3,0,H,,,
FRA,1962-09-02,,Stade Français FC,Olympique Marseille,2,2,D,,,
FRA,1962-09-02,,AS Monaco,RC Lens,2,0,H,,,
FRA,1962-09-02,,Toulouse FC,Grenoble Foot 38,4,2,H,,,
FRA,1962-09-02,,Angers SCO,Racing Club de France,2,1,H,,,
FRA,1962-09-05,,Stade Rennes,Toulouse FC,3,1,H,,,
FRA,1962-09-05,,OGC Nice,FC Rouen,1,0,H,,,
FRA,1962-09-05,,Girondins Bordeaux,Stade Français FC,1,0,H,,,
FRA,1962-09-05,,Olympique Marseille,Stade Olympique Montpelliérain,3,2,H,,,
FRA,1962-09-05,,Stade Reims,US Valenciennes-Anzin,2,2,D,,,
FRA,1962-09-05,,RC Strasbourg,AS Monaco,2,2,D,,,
FRA,1962-09-05,,Racing Club de France,Grenoble Foot 38,2,0,H,,,
FRA,1962-09-05,,Nîmes Olympique,UA Sedan-Torcy,1,2,A,,,
FRA,1962-09-05,,RC Lens,AS Nancy,0,1,A,,,
FRA,1962-09-05,,Olympique Lyon,Angers SCO,3,0,H,,,
FRA,1962-09-08,,Stade Reims,Olympique Marseille,1,0,H,,,
FRA,1962-09-08,,Grenoble Foot 38,Stade Rennes,1,1,D,,,
FRA,1962-09-09,,AS Monaco,Girondins Bordeaux,0,2,A,,,
FRA,1962-09-09,,Stade Français FC,Nîmes Olympique,4,2,H,,,
FRA,1962-09-09,,US Valenciennes-Anzin,RC Strasbourg,4,0,H,,,
FRA,1962-09-09,,AS Nancy,UA Sedan-Torcy,2,0,H,,,
FRA,1962-09-09,,FC Rouen,Olympique Lyon,0,1,A,,,
FRA,1962-09-09,,Toulouse FC,OGC Nice,4,0,H,,,
FRA,1962-09-09,,Stade Olympique Montpelliérain,Racing Club de France,4,1,H,,,
FRA,1962-09-09,,Angers SCO,RC Lens,2,2,D,,,
FRA,1962-09-15,,OGC Nice,Grenoble Foot 38,3,2,H,,,
FRA,1962-09-15,,AS Nancy,Angers SCO,0,0,D,,,
FRA,1962-09-15,,Olympique Lyon,Stade Olympique Montpelliérain,1,1,D,,,
FRA,1962-09-15,,RC Lens,Stade Français FC,2,1,H,,,
FRA,1962-09-15,,Nîmes Olympique,Toulouse FC,3,1,H,,,
FRA,1962-09-16,,Girondins Bordeaux,FC Rouen,4,1,H,,,
FRA,1962-09-16,,Stade Rennes,Stade Reims,2,0,H,,,
FRA,1962-09-16,,Olympique Marseille,US Valenciennes-Anzin,1,3,A,,,
FRA,1962-09-16,,UA Sedan-Torcy,AS Monaco,3,0,H,,,
FRA,1962-09-16,,Racing Club de France,RC Strasbourg,1,1,D,,,
FRA,1962-09-19,,Stade Rennes,Olympique Lyon,2,1,H,,,
FRA,1962-09-19,,Girondins Bordeaux,OGC Nice,0,2,A,,,
FRA,1962-09-19,,Stade Reims,AS Nancy,5,1,H,,,
FRA,1962-09-19,,FC Rouen,US Valenciennes-Anzin,3,2,H,,,
FRA,1962-09-19,,Grenoble Foot 38,Olympique Marseille,0,3,A,,,
FRA,1962-09-19,,Stade Olympique Montpelliérain,UA Sedan-Torcy,1,0,H,,,
FRA,1962-09-19,,Stade Français FC,Toulouse FC,1,2,A,,,
FRA,1962-09-19,,AS Monaco,Racing Club de France,1,1,D,,,
FRA,1962-09-19,,RC Strasbourg,Angers SCO,3,1,H,,,
FRA,1962-09-19,,RC Lens,Nîmes Olympique,2,1,H,,,
FRA,1962-09-22,,OGC Nice,Stade Olympique Montpelliérain,3,1,H,,,
FRA,1962-09-22,,Nîmes Olympique,Stade Reims,0,0,D,,,
FRA,1962-09-22,,RC Strasbourg,Grenoble Foot 38,4,0,H,,,
FRA,1962-09-22,,Olympique Lyon,AS Monaco,1,1,D,,,
FRA,1962-09-23,,Angers SCO,Girondins Bordeaux,0,3,A,,,
FRA,1962-09-23,,Racing Club de France,Stade Rennes,2,1,H,,,
FRA,1962-09-23,,US Valenciennes-Anzin,Stade Français FC,0,0,D,,,
FRA,1962-09-23,,Toulouse FC,Olympique Marseille,3,1,H,,,
FRA,1962-09-23,,UA Sedan-Torcy,RC Lens,2,1,H,,,
FRA,1962-09-23,,AS Nancy,FC Rouen,1,3,A,,,
FRA,1962-10-06,,AS Monaco,US Valenciennes-Anzin,3,1,H,,,
FRA,1962-10-06,,Nîmes Olympique,AS Nancy,3,0,H,,,
FRA,1962-10-07,,Stade Rennes,RC Strasbourg,4,1,H,,,
FRA,1962-10-07,,RC Lens,OGC Nice,2,2,D,,,
FRA,1962-10-07,,Grenoble Foot 38,Stade Reims,0,3,A,,,
FRA,1962-10-07,,Girondins Bordeaux,Olympique Lyon,1,2,A,,,
FRA,1962-10-07,,Toulouse FC,Stade Olympique Montpelliérain,2,1,H,,,
FRA,1962-10-07,,Angers SCO,UA Sedan-Torcy,0,1,A,,,
FRA,1962-10-07,,Olympique Marseille,Racing Club de France,1,3,A,,,
FRA,1962-10-07,,Stade Français FC,FC Rouen,1,2,A,,,
FRA,1962-10-10,,OGC Nice,Nîmes Olympique,1,0,H,,,
FRA,1962-10-10,,Stade Reims,RC Strasbourg,1,1,D,,,
FRA,1962-10-10,,US Valenciennes-Anzin,Toulouse FC,1,2,A,,,
FRA,1962-10-10,,Olympique Lyon,AS Nancy,3,0,H,,,
FRA,1962-10-10,,FC Rouen,Angers SCO,3,1,H,,,
FRA,1962-10-10,,Olympique Marseille,RC Lens,3,3,D,,,
FRA,1962-10-10,,Grenoble Foot 38,Stade Français FC,1,1,D,,,
FRA,1962-10-11,,Stade Rennes,UA Sedan-Torcy,3,1,H,,,
FRA,1962-10-11,,Racing Club de France,Girondins Bordeaux,1,3,A,,,
FRA,1962-10-11,,Stade Olympique Montpelliérain,AS Monaco,0,1,A,,,
FRA,1962-10-13,,FC Rouen,Stade Reims,1,2,A,,,
FRA,1962-10-13,,Nîmes Olympique,Stade Rennes,2,1,H,,,
FRA,1962-10-14,,RC Lens,Girondins Bordeaux,3,3,D,,,
FRA,1962-10-14,,Stade Français FC,OGC Nice,2,0,H,,,
FRA,1962-10-14,,Toulouse FC,Racing Club de France,1,1,D,,,
FRA,1962-10-14,,UA Sedan-Torcy,Olympique Lyon,1,3,A,,,
FRA,1962-10-14,,AS Monaco,Grenoble Foot 38,4,0,H,,,
FRA,1962-10-14,,RC Strasbourg,Stade Olympique Montpelliérain,1,1,D,,,
FRA,1962-10-14,,AS Nancy,US Valenciennes-Anzin,2,0,H,,,
FRA,1962-10-14,,Angers SCO,Olympique Marseille,3,0,H,,,
FRA,1962-10-21,,Stade Rennes,Angers SCO,1,1,D,,,
FRA,1962-10-21,,Girondins Bordeaux,Toulouse FC,0,0,D,,,
FRA,1962-10-21,,Grenoble Foot 38,Olympique Lyon,1,2,A,,,
FRA,1962-10-21,,OGC Nice,AS Monaco,2,2,D,,,
FRA,1962-10-21,,Stade Reims,UA Sedan-Torcy,2,3,A,,,
FRA,1962-10-21,,Olympique Marseille,FC Rouen,0,1,A,,,
FRA,1962-10-21,,RC Strasbourg,AS Nancy,1,0,H,,,
FRA,1962-10-21,,Racing Club de France,Stade Français FC,0,2,A,,,
FRA,1962-10-21,,Stade Olympique Montpelliérain,Nîmes Olympique,1,1,D,,,
FRA,1962-10-21,,US Valenciennes-Anzin,RC Lens,1,1,D,,,
FRA,1962-10-28,,Girondins Bordeaux,Stade Reims,2,3,A,,,
FRA,1962-10-28,,OGC Nice,Racing Club de France,3,3,D,,,
FRA,1962-10-28,,FC Rouen,Stade Rennes,2,0,H,,,
FRA,1962-10-28,,RC Lens,Olympique Lyon,2,1,H,,,
FRA,1962-10-28,,UA Sedan-Torcy,Toulouse FC,2,1,H,,,
FRA,1962-10-28,,Stade Français FC,RC Strasbourg,2,1,H,,,
FRA,1962-10-28,,AS Nancy,AS Monaco,2,1,H,,,
FRA,1962-10-28,,Nîmes Olympique,Olympique Marseille,3,0,H,,,
FRA,1962-10-28,,Angers SCO,US Valenciennes-Anzin,0,0,D,,,
FRA,1962-10-28,,Grenoble Foot 38,Stade Olympique Montpelliérain,3,1,H,,,
FRA,1962-10-31,,Stade Reims,Stade Français FC,6,2,H,,,
FRA,1962-10-31,,Toulouse FC,Angers SCO,4,0,H,,,
FRA,1962-10-31,,AS Monaco,Nîmes Olympique,4,1,H,,,
FRA,1962-11-01,,Stade Rennes,Girondins Bordeaux,1,3,A,,,
FRA,1962-11-01,,Olympique Marseille,OGC Nice,1,1,D,,,
FRA,1962-11-01,,US Valenciennes-Anzin,Olympique Lyon,0,0,D,,,
FRA,1962-11-01,,Grenoble Foot 38,UA Sedan-Torcy,1,1,D,,,
FRA,1962-11-01,,Stade Olympique Montpelliérain,FC Rouen,3,1,H,,,
FRA,1962-11-01,,Racing Club de France,AS Nancy,4,2,H,,,
FRA,1962-11-01,,RC Strasbourg,RC Lens,1,3,A,,,
FRA,1962-11-04,,OGC Nice,Stade Reims,4,0,H,,,
FRA,1962-11-04,,Girondins Bordeaux,US Valenciennes-Anzin,2,2,D,,,
FRA,1962-11-04,,FC Rouen,Toulouse FC,2,2,D,,,
FRA,1962-11-04,,UA Sedan-Torcy,Olympique Marseille,4,0,H,,,
FRA,1962-11-04,,Olympique Lyon,Racing Club de France,1,1,D,,,
FRA,1962-11-04,,Stade Français FC,Stade Rennes,3,3,D,,,
FRA,1962-11-04,,Angers SCO,AS Monaco,4,2,H,,,
FRA,1962-11-04,,RC Lens,Grenoble Foot 38,2,0,H,,,
FRA,1962-11-04,,Nîmes Olympique,RC Strasbourg,5,1,H,,,
FRA,1962-11-04,,AS Nancy,Stade Olympique Montpelliérain,2,1,H,,,
FRA,1962-11-18,,Stade Reims,RC Lens,3,1,H,,,
FRA,1962-11-18,,Stade Olympique Montpelliérain,Girondins Bordeaux,0,3,A,,,
FRA,1962-11-18,,Toulouse FC,AS Nancy,2,0,H,,,
FRA,1962-11-18,,RC Strasbourg,Olympique Lyon,0,3,A,,,
FRA,1962-11-18,,Stade Rennes,OGC Nice,3,1,H,,,
FRA,1962-11-18,,FC Rouen,UA Sedan-Torcy,2,1,H,,,
FRA,1962-11-18,,Grenoble Foot 38,Nîmes Olympique,0,0,D,,,
FRA,1962-11-18,,US Valenciennes-Anzin,Racing Club de France,4,0,H,,,
FRA,1962-11-18,,Stade Français FC,Angers SCO,0,3,A,,,
FRA,1962-11-19,,AS Monaco,Olympique Marseille,2,1,H,,,
FRA,1962-11-21,,Racing Club de France,Stade Reims,3,3,D,,,
FRA,1962-11-21,,Girondins Bordeaux,Grenoble Foot 38,1,1,D,,,
FRA,1962-11-21,,AS Monaco,Toulouse FC,0,0,D,,,
FRA,1962-11-21,,Nîmes Olympique,FC Rouen,2,1,H,,,
FRA,1962-11-21,,AS Nancy,Stade Français FC,0,0,D,,,
FRA,1962-11-22,,Olympique Lyon,OGC Nice,3,1,H,,,
FRA,1962-11-22,,Olympique Marseille,RC Strasbourg,1,3,A,,,
FRA,1962-11-22,,Angers SCO,Stade Olympique Montpelliérain,2,1,H,,,
FRA,1962-11-25,,Toulouse FC,Olympique Lyon,0,1,A,,,
FRA,1962-11-25,,Stade Reims,AS Monaco,1,1,D,,,
FRA,1962-11-25,,RC Strasbourg,Girondins Bordeaux,0,0,D,,,
FRA,1962-11-25,,Stade Rennes,Olympique Marseille,3,2,H,,,
FRA,1962-11-25,,OGC Nice,Angers SCO,1,1,D,,,
FRA,1962-11-25,,US Valenciennes-Anzin,Nîmes Olympique,1,1,D,,,
FRA,1962-11-25,,FC Rouen,Racing Club de France,0,2,A,,,
FRA,1962-11-25,,Stade Français FC,UA Sedan-Torcy,4,2,H,,,
FRA,1962-11-25,,Stade Olympique Montpelliérain,RC Lens,2,1,H,,,
FRA,1962-11-25,,Grenoble Foot 38,AS Nancy,1,1,D,,,
FRA,1962-11-28,,RC Lens,Stade Rennes,2,2,D,,,
FRA,1962-11-28,,UA Sedan-Torcy,US Valenciennes-Anzin,4,2,H,,,
FRA,1962-12-02,,Olympique Lyon,Stade Français FC,1,0,H,,,
FRA,1962-12-02,,Olympique Marseille,Girondins Bordeaux,1,1,D,,,
FRA,1962-12-02,,Toulouse FC,Stade Reims,3,2,H,,,
FRA,1962-12-02,,AS Monaco,Stade Rennes,5,0,H,,,
FRA,1962-12-02,,UA Sedan-Torcy,RC Strasbourg,2,1,H,,,
FRA,1962-12-02,,AS Nancy,OGC Nice,1,1,D,,,
FRA,1962-12-02,,Racing Club de France,Nîmes Olympique,2,2,D,,,
FRA,1962-12-02,,RC Lens,FC Rouen,1,4,A,,,
FRA,1962-12-02,,Stade Olympique Montpelliérain,US Valenciennes-Anzin,0,4,A,,,
FRA,1962-12-02,,Angers SCO,Grenoble Foot 38,2,1,H,,,
FRA,1962-12-09,,Nîmes Olympique,Olympique Lyon,1,0,H,,,
FRA,1962-12-09,,Girondins Bordeaux,Angers SCO,0,0,D,,,
FRA,1962-12-09,,UA Sedan-Torcy,AS Nancy,2,0,H,,,
FRA,1962-12-09,,OGC Nice,Olympique Marseille,1,0,H,,,
FRA,1962-12-09,,RC Strasbourg,Stade Reims,3,2,H,,,
FRA,1962-12-09,,US Valenciennes-Anzin,AS Monaco,0,0,D,,,
FRA,1962-12-09,,Grenoble Foot 38,Toulouse FC,1,0,H,,,
FRA,1962-12-09,,FC Rouen,Stade Olympique Montpelliérain,3,1,H,,,
FRA,1962-12-09,,Stade Rennes,Racing Club de France,3,5,A,,,
FRA,1962-12-09,,Stade Français FC,RC Lens,2,0,H,,,
FRA,1962-12-16,,Stade Reims,Girondins Bordeaux,1,3,A,,,
FRA,1962-12-16,,Olympique Lyon,UA Sedan-Torcy,0,2,A,,,
FRA,1962-12-16,,AS Monaco,FC Rouen,3,1,H,,,
FRA,1962-12-16,,Toulouse FC,Stade Rennes,2,1,H,,,
FRA,1962-12-16,,Olympique Marseille,Nîmes Olympique,0,3,A,,,
FRA,1962-12-16,,Stade Olympique Montpelliérain,OGC Nice,1,0,H,,,
FRA,1962-12-16,,Racing Club de France,US Valenciennes-Anzin,3,2,H,,,
FRA,1962-12-16,,Angers SCO,Stade Français FC,2,0,H,,,
FRA,1962-12-16,,RC Lens,RC Strasbourg,0,0,D,,,
FRA,1962-12-16,,AS Nancy,Grenoble Foot 38,1,0,H,,,
FRA,1962-12-23,,FC Rouen,Girondins Bordeaux,1,1,D,,,
