Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
FRO,09/04/2011,17:00,EB/Streymur,Víkingur,2,1,H,2,1,H
FRO,10/04/2011,15:00,NSÍ Runavík,HB Tórshavn,2,1,H,1,1,D
FRO,10/04/2011,15:00,B71 Sandoy,KÍ Klaksvík,0,6,A,0,0,D
FRO,10/04/2011,17:00,07 Vestur,B36 Tórshavn,0,3,A,0,1,A
FRO,11/04/2011,17:30,B68 Toftir,ÍF Fuglafjørður,3,4,A,2,2,D
FRO,15/04/2011,18:00,Víkingur,NSÍ Runavík,3,2,H,0,1,A
FRO,16/04/2011,15:00,HB Tórshavn,07 Vestur,5,0,H,2,0,H
FRO,17/04/2011,15:00,ÍF Fuglafjørður,EB/Streymur,0,4,A,0,2,A
FRO,17/04/2011,15:00,B36 Tórshavn,B71 Sandoy,4,1,H,3,0,H
FRO,17/04/2011,16:00,KÍ Klaksvík,B68 Toftir,3,1,H,1,0,H
FRO,20/04/2011,18:00,NSÍ Runavík,B68 Toftir,1,0,H,0,0,D
FRO,21/04/2011,15:00,EB/Streymur,07 Vestur,1,0,H,0,0,D
FRO,21/04/2011,15:00,HB Tórshavn,B71 Sandoy,2,0,H,1,0,H
FRO,21/04/2011,15:00,Víkingur,B36 Tórshavn,1,1,D,0,0,D
FRO,21/04/2011,15:00,ÍF Fuglafjørður,KÍ Klaksvík,0,1,A,0,1,A
FRO,25/04/2011,15:00,B36 Tórshavn,ÍF Fuglafjørður,1,1,D,0,0,D
FRO,25/04/2011,15:00,B71 Sandoy,Víkingur,0,6,A,0,3,A
FRO,25/04/2011,15:00,B68 Toftir,HB Tórshavn,0,0,D,0,0,D
FRO,25/04/2011,15:00,07 Vestur,KÍ Klaksvík,3,3,D,1,2,A
FRO,25/04/2011,17:00,EB/Streymur,NSÍ Runavík,2,2,D,1,1,D
FRO,29/04/2011,18:30,ÍF Fuglafjørður,HB Tórshavn,3,0,H,0,0,D
FRO,30/04/2011,15:00,B71 Sandoy,B68 Toftir,0,5,A,0,2,A
FRO,30/04/2011,15:00,B36 Tórshavn,EB/Streymur,1,0,H,0,0,D
FRO,30/04/2011,17:00,KÍ Klaksvík,NSÍ Runavík,1,2,A,1,0,H
FRO,30/04/2011,18:30,Víkingur,07 Vestur,1,1,D,1,1,D
FRO,07/05/2011,15:00,Víkingur,B68 Toftir,2,1,H,0,1,A
FRO,08/05/2011,15:00,NSÍ Runavík,07 Vestur,9,0,H,3,0,H
FRO,08/05/2011,15:00,HB Tórshavn,EB/Streymur,3,2,H,2,0,H
FRO,08/05/2011,15:00,ÍF Fuglafjørður,B71 Sandoy,1,2,A,0,1,A
FRO,08/05/2011,15:00,KÍ Klaksvík,B36 Tórshavn,0,2,A,0,0,D
FRO,11/05/2011,18:00,HB Tórshavn,Víkingur,1,2,A,0,1,A
FRO,11/05/2011,18:30,B68 Toftir,B36 Tórshavn,2,2,D,0,2,A
FRO,11/05/2011,19:00,EB/Streymur,KÍ Klaksvík,2,0,H,1,0,H
FRO,11/05/2011,19:00,07 Vestur,B71 Sandoy,2,1,H,2,1,H
FRO,12/05/2011,18:00,NSÍ Runavík,ÍF Fuglafjørður,1,1,D,0,1,A
FRO,15/05/2011,15:00,KÍ Klaksvík,Víkingur,0,1,A,0,1,A
FRO,15/05/2011,15:00,B36 Tórshavn,HB Tórshavn,4,1,H,1,1,D
FRO,15/05/2011,15:00,B71 Sandoy,NSÍ Runavík,1,6,A,0,1,A
FRO,15/05/2011,15:00,B68 Toftir,EB/Streymur,1,0,H,1,0,H
FRO,16/05/2011,18:30,ÍF Fuglafjørður,07 Vestur,1,2,A,0,1,A
FRO,22/05/2011,15:00,NSÍ Runavík,B36 Tórshavn,2,3,A,1,1,D
FRO,22/05/2011,15:00,HB Tórshavn,KÍ Klaksvík,1,4,A,0,2,A
FRO,22/05/2011,15:00,07 Vestur,B68 Toftir,0,1,A,0,0,D
FRO,23/05/2011,19:00,EB/Streymur,B71 Sandoy,5,1,H,3,0,H
FRO,23/05/2011,19:00,Víkingur,ÍF Fuglafjørður,1,0,H,1,0,H
FRO,27/05/2011,18:00,KÍ Klaksvík,ÍF Fuglafjørður,2,0,H,0,0,D
FRO,27/05/2011,18:00,B36 Tórshavn,Víkingur,2,0,H,1,0,H
FRO,27/05/2011,19:00,07 Vestur,EB/Streymur,1,7,A,0,2,A
FRO,27/05/2011,19:00,B68 Toftir,NSÍ Runavík,1,1,D,0,0,D
FRO,27/05/2011,19:30,B71 Sandoy,HB Tórshavn,0,2,A,0,0,D
FRO,11/06/2011,15:00,HB Tórshavn,B68 Toftir,3,3,D,2,0,H
FRO,11/06/2011,15:00,ÍF Fuglafjørður,B36 Tórshavn,1,1,D,0,1,A
FRO,11/06/2011,17:30,NSÍ Runavík,EB/Streymur,2,2,D,0,0,D
FRO,11/06/2011,18:30,KÍ Klaksvík,07 Vestur,1,2,A,0,0,D
FRO,13/06/2011,15:00,Víkingur,B71 Sandoy,3,2,H,2,0,H
FRO,18/06/2011,17:30,B71 Sandoy,ÍF Fuglafjørður,1,4,A,0,1,A
FRO,18/06/2011,19:00,EB/Streymur,HB Tórshavn,3,1,H,1,1,D
FRO,19/06/2011,15:00,B36 Tórshavn,KÍ Klaksvík,4,1,H,2,1,H
FRO,19/06/2011,15:00,B68 Toftir,Víkingur,1,2,A,0,2,A
FRO,19/06/2011,15:00,07 Vestur,NSÍ Runavík,4,6,A,1,3,A
FRO,24/06/2011,19:00,EB/Streymur,B68 Toftir,3,2,H,2,1,H
FRO,25/06/2011,17:00,Víkingur,KÍ Klaksvík,2,1,H,1,1,D
FRO,25/06/2011,19:00,NSÍ Runavík,B71 Sandoy,1,1,D,0,0,D
FRO,26/06/2011,15:00,HB Tórshavn,B36 Tórshavn,1,3,A,0,1,A
FRO,26/06/2011,15:00,07 Vestur,ÍF Fuglafjørður,1,0,H,1,0,H
FRO,26/07/2011,19:00,ÍF Fuglafjørður,B68 Toftir,3,1,H,2,1,H
FRO,27/07/2011,19:00,Víkingur,EB/Streymur,3,1,H,1,0,H
FRO,28/07/2011,18:00,B36 Tórshavn,07 Vestur,1,0,H,0,0,D
FRO,29/07/2011,16:00,HB Tórshavn,NSÍ Runavík,0,0,D,0,0,D
FRO,06/08/2011,13:00,KÍ Klaksvík,B71 Sandoy,1,2,A,0,0,D
FRO,01/08/2011,19:00,B68 Toftir,KÍ Klaksvík,3,0,H,2,0,H
FRO,02/08/2011,18:00,B71 Sandoy,B36 Tórshavn,2,3,A,0,2,A
FRO,02/08/2011,18:00,NSÍ Runavík,Víkingur,0,1,A,0,0,D
FRO,02/08/2011,19:00,07 Vestur,HB Tórshavn,1,0,H,1,0,H
FRO,29/09/2011,15:00,EB/Streymur,ÍF Fuglafjørður,1,0,H,0,0,D
FRO,14/08/2011,15:00,Víkingur,HB Tórshavn,3,1,H,1,1,D
FRO,14/08/2011,15:00,KÍ Klaksvík,EB/Streymur,1,3,A,0,0,D
FRO,14/08/2011,15:00,B36 Tórshavn,B68 Toftir,1,0,H,0,0,D
FRO,14/08/2011,15:00,B71 Sandoy,07 Vestur,2,0,H,0,0,D
FRO,14/08/2011,15:00,ÍF Fuglafjørður,NSÍ Runavík,1,1,D,0,0,D
FRO,17/08/2011,18:00,NSÍ Runavík,KÍ Klaksvík,3,3,D,2,2,D
FRO,17/08/2011,18:00,HB Tórshavn,ÍF Fuglafjørður,3,1,H,1,1,D
FRO,17/08/2011,18:00,B68 Toftir,B71 Sandoy,3,1,H,1,1,D
FRO,17/08/2011,18:30,EB/Streymur,B36 Tórshavn,2,1,H,1,1,D
FRO,17/08/2011,18:30,07 Vestur,Víkingur,1,1,D,0,0,D
FRO,21/08/2011,15:00,ÍF Fuglafjørður,Víkingur,1,2,A,1,1,D
FRO,21/08/2011,15:00,KÍ Klaksvík,HB Tórshavn,2,2,D,1,1,D
FRO,21/08/2011,15:00,B36 Tórshavn,NSÍ Runavík,4,3,H,2,2,D
FRO,21/08/2011,15:00,B71 Sandoy,EB/Streymur,1,2,A,1,1,D
FRO,21/08/2011,18:00,B68 Toftir,07 Vestur,1,1,D,1,0,H
