Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GDR,1957-03-17,,ASK Vorwärts Berlin,SC Motor Karl-Marx-Stadt,1,0,H,1,0,H
GDR,1957-03-17,,SC Wismut Karl-Marx-Stadt,BSG Motor Zwickau,2,1,H,1,1,D
GDR,1957-03-17,,SC Einheit Dresden,BSG Lokomotive Stendal,4,2,H,2,1,H
GDR,1957-03-17,,SC Chemie Halle-Leuna,Rotation Babelsberg,4,1,H,0,0,D
GDR,1957-03-17,,SC Turbine Erfurt,SC Motor Jena,1,1,D,1,0,H
GDR,1957-03-17,,SC Lokomotive Leipzig,Fortschritt Weißenfels,2,1,H,0,1,A
GDR,1957-03-17,,BSG Rotation Leipzig,SC Aktivist Brieske-Senftenberg,1,1,D,1,0,H
GDR,1957-03-24,,Fortschritt Weißenfels,SC Einheit Dresden,0,0,D,0,0,D
GDR,1957-03-24,,SC Aktivist Brieske-Senftenberg,SC Motor Karl-Marx-Stadt,4,2,H,0,1,A
GDR,1957-03-24,,ASK Vorwärts Berlin,BSG Rotation Leipzig,1,1,D,0,0,D
GDR,1957-03-24,,BSG Motor Zwickau,SC Turbine Erfurt,2,1,H,0,1,A
GDR,1957-03-24,,SC Lokomotive Leipzig,SC Chemie Halle-Leuna,2,3,A,0,1,A
GDR,1957-03-24,,Rotation Babelsberg,SC Wismut Karl-Marx-Stadt,1,1,D,1,1,D
GDR,1957-03-24,,SC Motor Jena,BSG Lokomotive Stendal,3,0,H,1,0,H
GDR,1957-03-31,,SC Aktivist Brieske-Senftenberg,ASK Vorwärts Berlin,0,1,A,0,0,D
GDR,1957-03-31,,SC Chemie Halle-Leuna,SC Turbine Erfurt,3,4,A,1,4,A
GDR,1957-03-31,,SC Einheit Dresden,SC Motor Jena,0,0,D,0,0,D
GDR,1957-03-31,,BSG Rotation Leipzig,BSG Motor Zwickau,2,5,A,2,1,H
GDR,1957-03-31,,SC Wismut Karl-Marx-Stadt,Fortschritt Weißenfels,3,0,H,0,0,D
GDR,1957-03-31,,SC Motor Karl-Marx-Stadt,SC Lokomotive Leipzig,3,1,H,3,1,H
GDR,1957-03-31,,BSG Lokomotive Stendal,Rotation Babelsberg,0,0,D,0,0,D
GDR,1957-04-14,,BSG Lokomotive Stendal,SC Wismut Karl-Marx-Stadt,2,1,H,1,0,H
GDR,1957-04-14,,BSG Motor Zwickau,SC Aktivist Brieske-Senftenberg,1,0,H,1,0,H
GDR,1957-04-14,,SC Turbine Erfurt,BSG Rotation Leipzig,2,0,H,1,0,H
GDR,1957-04-14,,ASK Vorwärts Berlin,Rotation Babelsberg,2,0,H,2,0,H
GDR,1957-04-14,,SC Lokomotive Leipzig,SC Einheit Dresden,1,1,D,1,1,D
GDR,1957-04-14,,SC Motor Karl-Marx-Stadt,SC Chemie Halle-Leuna,0,0,D,0,0,D
GDR,1957-04-14,,SC Motor Jena,Fortschritt Weißenfels,1,0,H,0,0,D
GDR,1957-04-28,,SC Chemie Halle-Leuna,SC Einheit Dresden,3,1,H,1,0,H
