Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GDR,1980-08-23,14:00,Rot-Weiß Erfurt,1. FC Magdeburg,2,5,A,1,1,D
GDR,1980-08-23,14:00,FC Karl-Marx-Stadt,FC Vorwärts Frankfurt/Oder,1,1,D,1,0,H
GDR,1980-08-23,14:00,Hansa Rostock,1. FC Lok Leipzig,2,2,D,2,1,H
GDR,1980-08-23,14:00,BSG Chemie Böhlen,BSG Sachsenring Zwickau,2,0,H,1,0,H
GDR,1980-08-23,14:00,BFC Dynamo,Hallescher FC Chemie,3,0,H,1,0,H
GDR,1980-08-23,14:00,BSG Stahl Riesa,FC Carl Zeiss Jena,3,5,A,1,3,A
GDR,1980-08-23,14:00,Dynamo Dresden,BSG Wismut Aue,3,0,H,2,0,H
GDR,1980-08-30,14:00,FC Vorwärts Frankfurt/Oder,Hansa Rostock,2,2,D,2,2,D
GDR,1980-08-30,14:00,1. FC Magdeburg,FC Karl-Marx-Stadt,4,0,H,2,0,H
GDR,1980-08-30,14:00,1. FC Lok Leipzig,BSG Chemie Böhlen,2,0,H,0,0,D
GDR,1980-08-30,14:00,BSG Sachsenring Zwickau,BFC Dynamo,1,3,A,0,1,A
GDR,1980-08-30,14:00,Hallescher FC Chemie,BSG Stahl Riesa,3,1,H,3,0,H
GDR,1980-08-30,14:00,FC Carl Zeiss Jena,Dynamo Dresden,2,0,H,1,0,H
GDR,1980-08-30,14:00,BSG Wismut Aue,Rot-Weiß Erfurt,3,1,H,1,0,H
GDR,1980-09-06,14:00,Rot-Weiß Erfurt,Dynamo Dresden,0,1,A,0,1,A
GDR,1980-09-06,14:00,BFC Dynamo,1. FC Lok Leipzig,3,0,H,1,0,H
GDR,1980-09-06,14:00,FC Karl-Marx-Stadt,BSG Wismut Aue,0,0,D,0,0,D
GDR,1980-09-06,14:00,Hansa Rostock,1. FC Magdeburg,1,0,H,1,0,H
GDR,1980-09-06,14:00,BSG Chemie Böhlen,FC Vorwärts Frankfurt/Oder,3,2,H,2,1,H
GDR,1980-09-06,14:00,BSG Stahl Riesa,BSG Sachsenring Zwickau,0,0,D,0,0,D
GDR,1980-09-06,14:00,FC Carl Zeiss Jena,Hallescher FC Chemie,3,1,H,2,0,H
GDR,1980-09-13,14:00,Dynamo Dresden,Hallescher FC Chemie,3,2,H,0,0,D
GDR,1980-09-13,14:00,1. FC Magdeburg,BSG Chemie Böhlen,2,0,H,0,0,D
GDR,1980-09-13,14:00,Rot-Weiß Erfurt,FC Karl-Marx-Stadt,3,2,H,0,2,A
GDR,1980-09-13,14:00,BSG Wismut Aue,Hansa Rostock,1,0,H,0,0,D
GDR,1980-09-13,14:00,BSG Sachsenring Zwickau,FC Carl Zeiss Jena,0,3,A,0,1,A
GDR,1980-09-13,14:00,FC Vorwärts Frankfurt/Oder,BFC Dynamo,2,1,H,0,0,D
GDR,1980-09-13,14:00,1. FC Lok Leipzig,BSG Stahl Riesa,3,0,H,1,0,H
GDR,1980-09-20,14:00,Hallescher FC Chemie,BSG Sachsenring Zwickau,4,2,H,0,1,A
GDR,1980-09-20,14:00,FC Karl-Marx-Stadt,Dynamo Dresden,1,2,A,1,1,D
GDR,1980-09-20,14:00,Hansa Rostock,Rot-Weiß Erfurt,1,1,D,0,1,A
GDR,1980-09-20,14:00,BSG Chemie Böhlen,BSG Wismut Aue,1,0,H,1,0,H
GDR,1980-09-20,14:00,BFC Dynamo,1. FC Magdeburg,1,1,D,1,1,D
GDR,1980-09-20,14:00,BSG Stahl Riesa,FC Vorwärts Frankfurt/Oder,1,1,D,1,1,D
