Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BUNDESLIGA,1986-08-08,17:30,FC 08 Homburg,Bayer 05 Uerdingen,0,2,A,0,1,A
BUNDESLIGA,1986-08-08,19:00,Waldhof Mannheim,VfB Stuttgart,3,2,H,2,1,H
BUNDESLIGA,1986-08-09,14:30,Bayer Leverkusen,FC Schalke 04,4,2,H,1,1,D
BUNDESLIGA,1986-08-09,14:30,Bayern München,Borussia Dortmund,2,2,D,1,1,D
BUNDESLIGA,1986-08-09,14:30,Eintracht Frankfurt,Fortuna Düsseldorf,5,0,H,3,0,H
BUNDESLIGA,1986-08-09,14:30,VfL Bochum,1. FC Köln,3,1,H,1,1,D
BUNDESLIGA,1986-08-09,14:30,Werder Bremen,1. FC Nürnberg,5,3,H,0,2,A
BUNDESLIGA,1986-08-09,14:30,Blau-Weiß 90 Berlin,1. FC Kaiserslautern,1,4,A,1,2,A
BUNDESLIGA,1986-08-12,19:00,VfB Stuttgart,FC 08 Homburg,4,0,H,3,0,H
BUNDESLIGA,1986-08-15,19:00,1. FC Köln,Eintracht Frankfurt,0,0,D,0,0,D
BUNDESLIGA,1986-08-15,19:00,Borussia Dortmund,Bayer Leverkusen,0,0,D,0,0,D
BUNDESLIGA,1986-08-16,14:30,1. FC Kaiserslautern,Bor. Mönchengladbach,1,1,D,0,1,A
BUNDESLIGA,1986-08-16,14:30,1. FC Nürnberg,VfL Bochum,3,3,D,3,1,H
BUNDESLIGA,1986-08-16,14:30,Fortuna Düsseldorf,Bayern München,0,3,A,0,0,D
BUNDESLIGA,1986-08-16,14:30,FC Schalke 04,Waldhof Mannheim,3,1,H,2,0,H
BUNDESLIGA,1986-08-16,14:30,Bayer 05 Uerdingen,Blau-Weiß 90 Berlin,2,1,H,1,0,H
BUNDESLIGA,1986-08-16,14:30,Hamburger SV,Werder Bremen,3,0,H,2,0,H
BUNDESLIGA,1986-08-19,19:00,Bor. Mönchengladbach,Hamburger SV,0,3,A,0,0,D
BUNDESLIGA,1986-08-22,17:30,FC 08 Homburg,FC Schalke 04,1,1,D,0,0,D
BUNDESLIGA,1986-08-22,19:00,Eintracht Frankfurt,1. FC Nürnberg,1,0,H,0,0,D
BUNDESLIGA,1986-08-22,19:00,Werder Bremen,1. FC Kaiserslautern,1,0,H,1,0,H
BUNDESLIGA,1986-08-23,14:30,Waldhof Mannheim,Borussia Dortmund,2,1,H,0,0,D
BUNDESLIGA,1986-08-23,14:30,Bayer Leverkusen,Fortuna Düsseldorf,5,0,H,2,0,H
BUNDESLIGA,1986-08-23,14:30,Bayern München,1. FC Köln,3,0,H,2,0,H
BUNDESLIGA,1986-08-23,14:30,VfL Bochum,Hamburger SV,1,1,D,0,1,A
BUNDESLIGA,1986-08-23,14:30,Bayer 05 Uerdingen,VfB Stuttgart,2,2,D,1,0,H
