Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GHA,2006-08-19,,Tema Youth,Sekondi Hasaacas,1,0,H,,,
GHA,2006-08-20,,All Blacks,Liberty Professionals,2,1,H,,,
GHA,2006-08-20,,Berekum Arsenal,Hearts of Oak,1,0,H,,,
GHA,2006-08-20,,Ashanti Gold,Feyenoord Academy,4,1,H,,,
GHA,2006-08-20,,Heart of Lions,Power FC,3,0,H,,,
GHA,2006-08-20,,King Faisal,Tano Bofoakwa,0,3,A,,,
GHA,2006-08-20,,Great Olympics,Asante Kotoko,0,0,D,,,
GHA,2006-08-20,,Real Sportive,Real Tamale United,1,0,H,,,
GHA,2006-09-02,,Hearts of Oak,All Blacks,1,0,H,,,
GHA,2006-09-03,,Tano Bofoakwa,Real Sportive,0,0,D,,,
GHA,2006-09-03,,Feyenoord Academy,Tema Youth,1,1,D,,,
GHA,2006-09-03,,Sekondi Hasaacas,Great Olympics,2,1,H,,,
GHA,2006-09-03,,Asante Kotoko,Berekum Arsenal,3,0,H,,,
GHA,2006-09-03,,Liberty Professionals,Heart of Lions,2,1,H,,,
GHA,2006-09-03,,Power FC,King Faisal,1,1,D,,,
GHA,2006-09-03,,Real Tamale United,Ashanti Gold,1,1,D,,,
GHA,2006-09-20,,All Blacks,Berekum Arsenal,1,1,D,,,
GHA,2006-09-20,,Heart of Lions,Hearts of Oak,1,2,A,,,
GHA,2006-09-20,,King Faisal,Liberty Professionals,2,3,A,,,
GHA,2006-09-20,,Real Sportive,Power FC,1,1,D,,,
GHA,2006-09-20,,Ashanti Gold,Tano Bofoakwa,1,0,H,,,
GHA,2006-09-20,,Great Olympics,Feyenoord Academy,1,0,H,,,
GHA,2006-09-21,,Tema Youth,Real Tamale United,1,1,D,,,
GHA,2006-09-23,,Hearts of Oak,King Faisal,0,0,D,,,
GHA,2006-09-24,,Berekum Arsenal,Heart of Lions,3,1,H,,,
GHA,2006-09-24,,Feyenoord Academy,Sekondi Hasaacas,1,1,D,,,
GHA,2006-09-24,,Real Tamale United,Great Olympics,1,2,A,,,
GHA,2006-09-24,,Tano Bofoakwa,Tema Youth,1,1,D,,,
GHA,2006-09-24,,Power FC,Ashanti Gold,1,1,D,,,
GHA,2006-09-24,,Liberty Professionals,Real Sportive,0,0,D,,,
GHA,2006-09-24,,Asante Kotoko,All Blacks,1,0,H,,,
GHA,2006-10-01,,Sekondi Hasaacas,Asante Kotoko,0,1,A,,,
GHA,2006-10-04,,Ashanti Gold,Liberty Professionals,2,1,H,,,
GHA,2006-10-04,,Feyenoord Academy,Asante Kotoko,1,0,H,,,
GHA,2006-10-04,,Real Sportive,Hearts of Oak,0,0,D,,,
GHA,2006-10-04,,Sekondi Hasaacas,Real Tamale United,1,0,H,,,
GHA,2006-10-04,,King Faisal,Berekum Arsenal,2,0,H,,,
GHA,2006-10-04,,Great Olympics,Tano Bofoakwa,1,3,A,,,
GHA,2006-10-04,,Heart of Lions,All Blacks,3,0,H,,,
GHA,2006-10-05,,Tema Youth,Power FC,2,1,H,,,
GHA,2006-10-15,,Hearts of Oak,Ashanti Gold,0,0,D,,,
GHA,2006-10-15,,Berekum Arsenal,Real Sportive,2,1,H,,,
GHA,2006-10-15,,All Blacks,King Faisal,0,0,D,,,
GHA,2006-10-15,,Real Tamale United,Feyenoord Academy,0,0,D,,,
GHA,2006-10-15,,Tano Bofoakwa,Sekondi Hasaacas,1,1,D,,,
GHA,2006-10-15,,Power FC,Great Olympics,1,1,D,,,
GHA,2006-10-15,,Liberty Professionals,Tema Youth,1,0,H,,,
GHA,2006-10-15,,Asante Kotoko,Heart of Lions,0,1,A,,,
GHA,2006-10-21,,King Faisal,Heart of Lions,1,1,D,,,
GHA,2006-10-22,,Real Sportive,All Blacks,2,0,H,,,
GHA,2006-10-22,,Ashanti Gold,Berekum Arsenal,5,2,H,,,
GHA,2006-10-22,,Great Olympics,Liberty Professionals,1,0,H,,,
GHA,2006-10-22,,Sekondi Hasaacas,Power FC,2,0,H,,,
GHA,2006-10-22,,Feyenoord Academy,Tano Bofoakwa,3,0,H,,,
GHA,2006-10-22,,Real Tamale United,Asante Kotoko,1,1,D,,,
GHA,2006-11-01,,Hearts of Oak,Great Olympics,2,1,H,,,
GHA,2006-11-01,,Berekum Arsenal,Tema Youth,0,0,D,,,
GHA,2006-11-01,,Heart of Lions,Real Sportive,1,1,D,,,
GHA,2006-11-01,,Tano Bofoakwa,Real Tamale United,1,0,H,,,
GHA,2006-11-01,,Power FC,Feyenoord Academy,1,1,D,,,
GHA,2006-11-01,,Liberty Professionals,Sekondi Hasaacas,0,1,A,,,
GHA,2006-11-01,,Asante Kotoko,King Faisal,0,0,D,,,
GHA,2006-11-04,,Tema Youth,All Blacks,1,1,D,,,
GHA,2006-11-05,,Real Sportive,King Faisal,1,0,H,,,
GHA,2006-11-05,,Ashanti Gold,Heart of Lions,1,0,H,,,
GHA,2006-11-05,,Great Olympics,Berekum Arsenal,2,1,H,,,
GHA,2006-11-05,,Sekondi Hasaacas,Hearts of Oak,1,3,A,,,
GHA,2006-11-05,,Feyenoord Academy,Liberty Professionals,0,1,A,,,
GHA,2006-11-05,,Real Tamale United,Power FC,3,0,H,,,
GHA,2006-11-05,,Tano Bofoakwa,Asante Kotoko,0,1,A,,,
GHA,2006-11-08,,All Blacks,Ashanti Gold,0,0,D,,,
GHA,2006-11-12,,Hearts of Oak,Feyenoord Academy,2,1,H,,,
GHA,2006-11-12,,Berekum Arsenal,Sekondi Hasaacas,3,0,H,,,
GHA,2006-11-12,,All Blacks,Great Olympics,1,0,H,,,
GHA,2006-11-12,,Heart of Lions,Tema Youth,4,1,H,,,
GHA,2006-11-12,,King Faisal,Ashanti Gold,2,1,H,,,
GHA,2006-11-12,,Power FC,Tano Bofoakwa,2,0,H,,,
GHA,2006-11-12,,Liberty Professionals,Real Tamale United,0,0,D,,,
GHA,2006-11-12,,Asante Kotoko,Real Sportive,2,1,H,,,
GHA,2006-11-18,,Great Olympics,Heart of Lions,0,0,D,,,
GHA,2006-11-18,,Tema Youth,King Faisal,2,0,H,,,
GHA,2006-11-19,,Ashanti Gold,Real Sportive,2,0,H,,,
GHA,2006-11-19,,Sekondi Hasaacas,All Blacks,1,1,D,,,
GHA,2006-11-19,,Feyenoord Academy,Berekum Arsenal,1,0,H,,,
GHA,2006-11-19,,Real Tamale United,Hearts of Oak,0,0,D,,,
GHA,2006-11-19,,Tano Bofoakwa,Liberty Professionals,1,2,A,,,
GHA,2006-11-19,,Power FC,Asante Kotoko,0,2,A,,,
GHA,2006-11-25,,Hearts of Oak,Tano Bofoakwa,1,0,H,,,
GHA,2006-11-26,,King Faisal,Great Olympics,2,1,H,,,
GHA,2006-11-26,,Real Sportive,Tema Youth,0,0,D,,,
GHA,2006-11-26,,Liberty Professionals,Power FC,2,0,H,,,
GHA,2006-11-26,,Asante Kotoko,Ashanti Gold,1,0,H,,,
GHA,2006-11-26,,Berekum Arsenal,Real Tamale United,2,0,H,,,
GHA,2006-11-26,,All Blacks,Feyenoord Academy,2,0,H,,,
GHA,2006-11-26,,Heart of Lions,Sekondi Hasaacas,4,0,H,,,
GHA,2006-12-02,,Tema Youth,Ashanti Gold,0,0,D,,,
GHA,2006-12-02,,Great Olympics,Real Sportive,1,0,H,,,
GHA,2006-12-03,,Sekondi Hasaacas,King Faisal,1,0,H,,,
GHA,2006-12-03,,Feyenoord Academy,Heart of Lions,1,0,H,,,
GHA,2006-12-03,,Real Tamale United,All Blacks,0,0,D,,,
GHA,2006-12-03,,Tano Bofoakwa,Berekum Arsenal,3,2,H,,,
GHA,2006-12-03,,Power FC,Hearts of Oak,0,1,A,,,
GHA,2006-12-03,,Liberty Professionals,Asante Kotoko,1,2,A,,,
GHA,2006-12-09,,Hearts of Oak,Liberty Professionals,1,1,D,,,
GHA,2006-12-10,,Heart of Lions,Real Tamale United,1,0,H,,,
GHA,2006-12-10,,All Blacks,Tano Bofoakwa,2,1,H,,,
GHA,2006-12-10,,Berekum Arsenal,Power FC,4,2,H,,,
GHA,2006-12-10,,Real Sportive,Sekondi Hasaacas,1,0,H,,,
GHA,2006-12-10,,Ashanti Gold,Great Olympics,1,2,A,,,
GHA,2006-12-10,,Asante Kotoko,Tema Youth,2,0,H,,,
GHA,2006-12-13,,King Faisal,Feyenoord Academy,1,0,H,,,
GHA,2006-12-23,,Great Olympics,Tema Youth,0,0,D,,,
GHA,2006-12-24,,Sekondi Hasaacas,Ashanti Gold,3,2,H,,,
GHA,2006-12-24,,Feyenoord Academy,Real Sportive,2,1,H,,,
GHA,2006-12-24,,Real Tamale United,King Faisal,2,1,H,,,
GHA,2006-12-24,,Tano Bofoakwa,Heart of Lions,1,1,D,,,
GHA,2006-12-24,,Power FC,All Blacks,1,0,H,,,
GHA,2006-12-24,,Liberty Professionals,Berekum Arsenal,1,0,H,,,
GHA,2006-12-24,,Asante Kotoko,Hearts of Oak,0,1,A,,,
GHA,2007-01-06,,Tema Youth,Great Olympics,1,0,H,,,
GHA,2007-01-07,,Ashanti Gold,Sekondi Hasaacas,2,1,H,,,
