Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GHA,17/01/2015,15:00,BA Stars,Bechem United,1,0,H,NaN,NaN,NaN
GHA,17/01/2015,15:00,Hearts of Oak,WAFA,1,0,H,0,0,D
GHA,18/01/2015,15:00,Heart of Lions,New Edubiase FC,2,0,H,2,0,H
GHA,18/01/2015,15:00,Aduana Stars,Asante Kotoko,1,0,H,1,0,H
GHA,18/01/2015,15:00,Sekondi Hasaacas,Liberty Professionals,3,1,H,1,0,H
GHA,18/01/2015,15:00,Inter Allies,Medeama SC,2,0,H,1,0,H
GHA,18/01/2015,15:00,Wa All Stars FC,Berekum Chelsea,1,0,H,0,0,D
GHA,18/01/2015,15:00,Ashanti Gold,Great Olympics,2,0,H,1,0,H
GHA,21/01/2015,15:00,New Edubiase FC,Aduana Stars,1,1,D,1,1,D
GHA,21/01/2015,15:00,WAFA,Ashanti Gold,0,1,A,0,0,D
GHA,21/01/2015,15:00,Berekum Chelsea,Hearts of Oak,4,2,H,1,2,A
GHA,21/01/2015,15:00,Medeama SC,Wa All Stars FC,0,0,D,0,0,D
GHA,21/01/2015,15:00,Bechem United,Inter Allies,1,0,H,0,0,D
GHA,21/01/2015,15:00,Liberty Professionals,BA Stars,2,0,H,0,0,D
GHA,21/01/2015,15:00,Great Olympics,Heart of Lions,3,2,H,1,1,D
GHA,21/01/2015,15:30,Asante Kotoko,Sekondi Hasaacas,2,2,D,1,2,A
GHA,24/01/2015,15:00,Hearts of Oak,Medeama SC,2,2,D,1,0,H
GHA,25/01/2015,15:00,Aduana Stars,Heart of Lions,1,0,H,1,0,H
GHA,25/01/2015,15:00,Sekondi Hasaacas,New Edubiase FC,1,0,H,0,0,D
GHA,25/01/2015,15:00,BA Stars,Asante Kotoko,0,2,A,0,1,A
GHA,25/01/2015,15:00,Inter Allies,Liberty Professionals,0,0,D,0,0,D
GHA,25/01/2015,15:00,Wa All Stars FC,Bechem United,2,0,H,0,0,D
GHA,25/01/2015,15:00,Ashanti Gold,Berekum Chelsea,1,0,H,0,0,D
GHA,25/01/2015,15:00,WAFA,Great Olympics,2,1,H,0,1,A
GHA,30/01/2015,15:30,Asante Kotoko,Inter Allies,1,0,H,0,0,D
GHA,31/01/2015,15:00,New Edubiase FC,BA Stars,2,1,H,2,0,H
GHA,31/01/2015,15:00,Heart of Lions,Sekondi Hasaacas,2,0,H,1,0,H
GHA,31/01/2015,15:00,Berekum Chelsea,WAFA,2,0,H,1,0,H
GHA,31/01/2015,15:00,Medeama SC,Ashanti Gold,2,0,H,1,0,H
