Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GIB,2013-10-07,19:00,Glacis United FC,Lions Gibraltar,3,2,H,,,
GIB,2013-10-11,19:00,Lynx FC,St. Joseph's FC,3,1,H,,,
GIB,2013-10-26,15:00,College Europa FC,Gibraltar Phoenix,3,1,H,,,
GIB,2013-11-01,19:00,Lions Gibraltar,Manchester 62 FC,3,1,H,,,
GIB,2013-11-02,15:00,St. Joseph's FC,College Europa FC,0,1,A,,,
GIB,2013-11-02,17:00,Glacis United FC,Gibraltar Phoenix,3,0,H,,,
GIB,2013-11-04,19:00,Lynx FC,Lincoln Red Imps,0,0,D,,,
GIB,2013-11-08,19:00,Gibraltar Phoenix,Lions Gibraltar,2,6,A,,,
GIB,2013-11-09,15:00,College Europa FC,Lincoln Red Imps,1,1,D,,,
GIB,2013-11-09,17:00,Manchester 62 FC,Lynx FC,3,2,H,,,
GIB,2013-11-09,19:00,Glacis United FC,St. Joseph's FC,1,0,H,,,
GIB,2013-11-22,19:00,Manchester 62 FC,Gibraltar Phoenix,5,0,H,,,
GIB,2013-11-23,15:00,Lynx FC,College Europa FC,3,2,H,,,
GIB,2013-11-23,17:00,Lincoln Red Imps,Glacis United FC,4,0,H,,,
GIB,2013-11-25,19:00,Lions Gibraltar,St. Joseph's FC,3,2,H,,,
GIB,2013-11-29,19:00,Glacis United FC,College Europa FC,0,2,A,,,
GIB,2013-11-30,15:00,St. Joseph's FC,Manchester 62 FC,0,3,A,,,
GIB,2013-11-30,17:00,Gibraltar Phoenix,Lynx FC,0,7,A,,,
GIB,2013-12-02,19:00,Lions Gibraltar,Lincoln Red Imps,0,4,A,,,
GIB,2013-12-04,19:00,Gibraltar Phoenix,St. Joseph's FC,0,4,A,,,
GIB,2013-12-06,19:00,College Europa FC,Manchester 62 FC,1,1,D,,,
GIB,2013-12-08,15:00,Lions Gibraltar,Lynx FC,0,2,A,,,
GIB,2013-12-13,19:00,College Europa FC,Lions Gibraltar,1,1,D,,,
GIB,2013-12-14,15:00,Manchester 62 FC,Lincoln Red Imps,0,1,A,,,
GIB,2013-12-14,17:00,Lynx FC,Glacis United FC,4,1,H,,,
GIB,2014-01-18,17:00,Manchester 62 FC,Glacis United FC,2,1,H,,,
GIB,2014-01-18,19:00,Lincoln Red Imps,St. Joseph's FC,5,0,H,,,
GIB,2014-02-08,17:00,Gibraltar Phoenix,Lincoln Red Imps,0,16,A,,,
GIB,2014-02-10,19:00,Lions Gibraltar,Glacis United FC,3,4,A,,,
GIB,2014-02-14,19:00,Manchester 62 FC,College Europa FC,2,0,H,,,
GIB,2014-02-15,15:00,St. Joseph's FC,Lynx FC,2,3,A,,,
GIB,2014-02-15,17:00,Lincoln Red Imps,Gibraltar Phoenix,16,1,H,,,
GIB,2014-03-14,19:00,Gibraltar Phoenix,College Europa FC,0,11,A,,,
GIB,2014-03-15,15:00,Glacis United FC,Manchester 62 FC,0,7,A,,,
GIB,2014-03-15,17:00,St. Joseph's FC,Lincoln Red Imps,0,4,A,,,
GIB,2014-03-17,19:00,Lynx FC,Lions Gibraltar,1,0,H,,,
GIB,2014-03-21,19:00,Lincoln Red Imps,Lynx FC,3,0,H,,,
GIB,2014-03-22,15:00,Manchester 62 FC,Lions Gibraltar,4,0,H,,,
GIB,2014-03-22,17:00,College Europa FC,St. Joseph's FC,2,4,A,,,
GIB,2014-03-24,19:00,Gibraltar Phoenix,Glacis United FC,2,3,A,,,
GIB,2014-03-28,19:00,Lincoln Red Imps,College Europa FC,2,0,H,,,
GIB,2014-03-29,15:00,Lions Gibraltar,Gibraltar Phoenix,1,0,H,,,
GIB,2014-04-01,17:15,St. Joseph's FC,Glacis United FC,0,0,D,,,
GIB,2014-04-02,18:30,Lynx FC,Manchester 62 FC,1,1,D,,,
GIB,2014-04-05,15:00,College Europa FC,Lynx FC,3,0,H,,,
GIB,2014-04-05,17:00,Glacis United FC,Lincoln Red Imps,0,3,A,,,
GIB,2014-04-07,19:00,Gibraltar Phoenix,Manchester 62 FC,0,5,A,,,
GIB,2014-04-11,19:00,College Europa FC,Glacis United FC,1,2,A,,,
GIB,2014-04-12,15:00,Lynx FC,Gibraltar Phoenix,8,2,H,,,
GIB,2014-04-12,17:00,Manchester 62 FC,St. Joseph's FC,2,0,H,,,
GIB,2014-04-14,19:00,Lincoln Red Imps,Lions Gibraltar,4,1,H,,,
GIB,2014-05-02,19:00,Glacis United FC,Lynx FC,0,2,A,,,
GIB,2014-05-03,15:00,St. Joseph's FC,Gibraltar Phoenix,6,1,H,,,
GIB,2014-05-03,17:00,Lions Gibraltar,College Europa FC,1,1,D,,,
GIB,2014-05-03,19:00,Lincoln Red Imps,Manchester 62 FC,1,1,D,,,
GIB,2014-05-07,19:00,St. Joseph's FC,Lions Gibraltar,4,2,H,,,
