Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GRE,1994-09-24,,Ethnikos Piräus,OFI Heraklion,1,1,D,,,
GRE,1994-09-24,,AO Edessaikos ,Levadiakos,1,0,H,,,
GRE,1994-09-24,,Apollon Smyrnis,Panathinaikos,2,3,A,,,
GRE,1994-09-24,,Doxa Dramas FC,Olympiakos Piräus,0,1,A,,,
GRE,1994-09-24,,AE Larisa,Aris Saloniki,0,0,D,,,
GRE,1994-09-24,,Skoda Xanthi,Panionios GSS,4,1,H,,,
GRE,1994-09-24,,Iraklis Saloniki,Ionikos Nikea,6,1,H,,,
GRE,1994-09-24,,AEK Athen,Athinaikos,0,0,D,,,
GRE,1994-09-24,,PAOK Saloniki,AO Kavala,4,0,H,,,
GRE,1994-10-01,,Athinaikos,Ethnikos Piräus,1,1,D,,,
GRE,1994-10-01,,AO Kavala,AEK Athen,0,0,D,,,
GRE,1994-10-01,,Aris Saloniki,Doxa Dramas FC,3,1,H,,,
GRE,1994-10-01,,Ionikos Nikea,Levadiakos,2,0,H,,,
GRE,1994-10-01,,OFI Heraklion,Iraklis Saloniki,2,1,H,,,
GRE,1994-10-01,,Panionios GSS,AE Larisa,2,1,H,,,
GRE,1994-10-01,,PAOK Saloniki,Skoda Xanthi,2,0,H,,,
GRE,1994-10-01,,Olympiakos Piräus,Apollon Smyrnis,3,1,H,,,
GRE,1994-10-01,,Panathinaikos,AO Edessaikos ,4,1,H,,,
GRE,1994-10-08,,Ethnikos Piräus,AO Kavala,4,0,H,,,
GRE,1994-10-08,,AO Edessaikos ,Olympiakos Piräus,1,1,D,,,
GRE,1994-10-08,,Apollon Smyrnis,Aris Saloniki,2,0,H,,,
GRE,1994-10-08,,Doxa Dramas FC,Panionios GSS,1,1,D,,,
GRE,1994-10-08,,Levadiakos,OFI Heraklion,1,3,A,,,
GRE,1994-10-08,,Ionikos Nikea,Panathinaikos,2,5,A,,,
GRE,1994-10-08,,Skoda Xanthi,AE Larisa,2,3,A,,,
GRE,1994-10-08,,Iraklis Saloniki,Athinaikos,2,0,H,,,
GRE,1994-10-08,,AEK Athen,PAOK Saloniki,4,3,H,,,
GRE,1994-10-15,,Athinaikos,Levadiakos,2,0,H,,,
GRE,1994-10-15,,AO Kavala,Iraklis Saloniki,0,1,A,,,
GRE,1994-10-15,,AE Larisa,Doxa Dramas FC,3,1,H,,,
GRE,1994-10-15,,Aris Saloniki,AO Edessaikos ,4,0,H,,,
