Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
HKG,26/08/2016,13:00,Eastern SC,Tai Po FC,1,0,H,NaN,NaN,NaN
HKG,27/08/2016,07:30,Hong Kong Rangers FC,Hong Kong Pegasus FC,1,1,D,0,0,D
HKG,27/08/2016,10:30,Yuen Long FC,Hong Kong FC,6,2,H,NaN,NaN,NaN
HKG,28/08/2016,07:30,South China AA,Hong Kong Sapling,1,0,H,NaN,NaN,NaN
HKG,28/08/2016,10:30,Kitchee SC,Southern District,3,1,H,NaN,NaN,NaN
HKG,09/09/2016,13:00,Hong Kong FC,Tai Po FC,1,2,A,NaN,NaN,NaN
HKG,11/09/2016,07:30,Hong Kong Sapling,Hong Kong Pegasus FC,2,4,A,NaN,NaN,NaN
HKG,11/09/2016,10:30,Kitchee SC,Yuen Long FC,2,0,H,NaN,NaN,NaN
HKG,09/02/2017,12:00,Eastern SC,Guangzhou R&F;,6,1,H,NaN,NaN,NaN
HKG,04/04/2017,07:30,Southern District,Hong Kong Rangers FC,3,3,D,0,2,A
HKG,23/09/2016,13:00,Hong Kong FC,Kitchee SC,0,2,A,NaN,NaN,NaN
HKG,24/09/2016,07:30,Hong Kong Sapling,Guangzhou R&F;,2,0,H,NaN,NaN,NaN
HKG,24/09/2016,10:30,Hong Kong Pegasus FC,Yuen Long FC,2,2,D,NaN,NaN,NaN
HKG,25/09/2016,07:30,Tai Po FC,South China AA,1,2,A,NaN,NaN,NaN
HKG,25/09/2016,10:30,Eastern SC,Hong Kong Rangers FC,2,1,H,NaN,NaN,NaN
HKG,30/09/2016,13:00,Hong Kong Pegasus FC,Guangzhou R&F;,1,2,A,NaN,NaN,NaN
HKG,01/10/2016,07:30,Tai Po FC,Southern District,0,0,D,NaN,NaN,NaN
HKG,01/10/2016,10:30,Hong Kong Rangers FC,Kitchee SC,0,1,A,NaN,NaN,NaN
HKG,02/10/2016,07:30,Hong Kong Sapling,Hong Kong FC,2,3,A,NaN,NaN,NaN
HKG,02/10/2016,10:30,South China AA,Eastern SC,2,2,D,NaN,NaN,NaN
HKG,14/10/2016,13:00,Hong Kong FC,Hong Kong Pegasus FC,0,1,A,NaN,NaN,NaN
HKG,15/10/2016,07:30,Southern District,Eastern SC,1,3,A,NaN,NaN,NaN
HKG,15/10/2016,10:30,Kitchee SC,South China AA,1,1,D,NaN,NaN,NaN
HKG,16/10/2016,07:30,Hong Kong Sapling,Hong Kong Rangers FC,2,2,D,NaN,NaN,NaN
HKG,16/10/2016,10:30,Guangzhou R&F;,Yuen Long FC,1,4,A,NaN,NaN,NaN
HKG,22/10/2016,07:30,Southern District,Hong Kong FC,7,0,H,NaN,NaN,NaN
HKG,22/10/2016,10:30,Hong Kong Pegasus FC,Kitchee SC,1,3,A,NaN,NaN,NaN
HKG,23/10/2016,07:30,Yuen Long FC,Eastern SC,1,2,A,NaN,NaN,NaN
HKG,23/10/2016,10:30,Guangzhou R&F;,Tai Po FC,0,2,A,NaN,NaN,NaN
HKG,24/10/2016,13:00,South China AA,Hong Kong Rangers FC,2,4,A,NaN,NaN,NaN
HKG,01/11/2016,12:00,Guangzhou R&F;,South China AA,0,2,A,NaN,NaN,NaN
HKG,02/11/2016,12:00,Eastern SC,Hong Kong Sapling,6,2,H,NaN,NaN,NaN
HKG,04/11/2016,12:00,Hong Kong FC,Hong Kong Rangers FC,0,1,A,NaN,NaN,NaN
HKG,05/11/2016,06:30,Southern District,Yuen Long FC,1,1,D,NaN,NaN,NaN
HKG,15/11/2016,12:00,Hong Kong Pegasus FC,Tai Po FC,1,1,D,NaN,NaN,NaN
HKG,18/11/2016,12:00,Hong Kong FC,Eastern SC,0,4,A,NaN,NaN,NaN
HKG,19/11/2016,06:30,Yuen Long FC,Hong Kong Sapling,4,0,H,2,0,H
HKG,19/11/2016,09:30,Hong Kong Rangers FC,Tai Po FC,0,1,A,NaN,NaN,NaN
HKG,20/11/2016,06:30,Guangzhou R&F;,Kitchee SC,0,2,A,0,1,A
HKG,20/11/2016,09:30,South China AA,Southern District,2,1,H,NaN,NaN,NaN
HKG,25/11/2016,12:00,Eastern SC,Hong Kong Pegasus FC,2,1,H,NaN,NaN,NaN
HKG,26/11/2016,06:30,Southern District,Guangzhou R&F;,3,2,H,NaN,NaN,NaN
HKG,27/11/2016,06:30,Tai Po FC,Yuen Long FC,0,3,A,NaN,NaN,NaN
HKG,27/11/2016,09:30,Kitchee SC,Hong Kong Sapling,0,0,D,NaN,NaN,NaN
HKG,08/03/2017,12:00,South China AA,Hong Kong FC,4,0,H,0,0,D
