Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
HUN,17/03/1957,,Salgótarjáni Bányász TC,Dorogi Bányász,1,0,H,NoR,NoR,NoR
HUN,17/03/1957,,Pécsi-Baranya Dózsa-Petőfi SK,Budapest Honvéd SE,1,1,D,NoR,NoR,NoR
HUN,17/03/1957,,Szombathelyi Haladás VSE,Újpesti Dózsa SC,3,0,H,NoR,NoR,NoR
HUN,17/03/1957,,Ferencvárosi TC,Szegedi EAC,4,0,H,NoR,NoR,NoR
HUN,17/03/1957,,Vasas SC,Dorogi Bányász,1,0,H,NoR,NoR,NoR
HUN,16/03/1957,,Tatabányai Bányász SC,MTK,2,4,A,NoR,NoR,NoR
HUN,24/03/1957,,Csepel SC,Salgótarjáni Bányász TC,0,2,A,NoR,NoR,NoR
HUN,24/03/1957,,Szegedi EAC,Tatabányai Bányász SC,2,2,D,NoR,NoR,NoR
HUN,24/03/1957,,Salgótarjáni Bányász TC,Vasas SC,0,1,A,NoR,NoR,NoR
HUN,24/03/1957,,Dorogi Bányász,Ferencvárosi TC,2,0,H,NoR,NoR,NoR
HUN,24/03/1957,,MTK,Pécsi Dózsa-Petőfi SK,0,1,A,NoR,NoR,NoR
HUN,23/03/1957,,Újpesti Dózsa SC,Csepel SC,2,1,H,NoR,NoR,NoR
HUN,31/03/1957,,Budapest Honvéd SE,Szombathelyi Haladás VSE,1,1,D,NoR,NoR,NoR
HUN,31/03/1957,,Tatabányai Bányász SC,Dorogi Bányász,3,0,H,NoR,NoR,NoR
HUN,31/03/1957,,Vasas SC,Csepel SC,3,2,H,NoR,NoR,NoR
HUN,31/03/1957,,Ferencvárosi TC,Salgótarjáni Bányász TC,1,0,H,NoR,NoR,NoR
HUN,31/03/1957,,Pécsi-Baranya Dózsa-Petőfi SK,Szegedi EAC,1,8,A,NoR,NoR,NoR
HUN,30/03/1957,,Szombathelyi Haladás,MTK,2,1,H,NoR,NoR,NoR
HUN,07/04/1957,,Újpesti Dózsa SC,Budapest Honvéd SE,2,2,D,NoR,NoR,NoR
HUN,07/04/1957,,Ferencvárosi TC,Csepel SC,3,0,H,NoR,NoR,NoR
HUN,07/04/1957,,Dorogi Bányász,Pécsi Dózsa-Petőfi SK,3,1,H,NoR,NoR,NoR
HUN,06/04/1957,,Vasas SC,Újpesti Dózsa SC,2,1,H,NoR,NoR,NoR
HUN,05/04/1957,,MTK,Budapest Honvéd SE,2,2,D,NoR,NoR,NoR
HUN,05/04/1957,,Salgótarjáni Bányász TC,Tatabányai Bányász SC,2,2,D,NoR,NoR,NoR
HUN,14/04/1957,,Szegedi EAC,Szombathelyi Haladás,0,0,D,NoR,NoR,NoR
HUN,14/04/1957,,Tatabányai Bányász SC,Ferencvárosi TC,0,1,A,NoR,NoR,NoR
HUN,14/04/1957,,Szombathelyi Haladás,Csepel SC,1,2,A,NoR,NoR,NoR
HUN,14/04/1957,,Újpesti Dózsa SC,Szegedi EAC,7,1,H,NoR,NoR,NoR
HUN,14/04/1957,,MTK,Dorogi Bányász,0,3,A,NoR,NoR,NoR
HUN,13/04/1957,,Pécsi-Baranya Dózsa-Petőfi SK,Vasas SC,3,3,D,NoR,NoR,NoR
HUN,28/04/1957,,Budapest Honvéd SE,Salgótarjáni Bányász TC,0,2,A,NoR,NoR,NoR
HUN,28/04/1957,,Szombathelyi Haladás,Dorogi Bányász,1,2,A,NoR,NoR,NoR
HUN,28/04/1957,,Tatabányai Bányász SC,Csepel SC,2,1,H,NoR,NoR,NoR
HUN,28/04/1957,,Újpesti Dózsa SC,MTK,2,0,H,NoR,NoR,NoR
HUN,28/04/1957,,Pécsi-Baranya Dózsa-Petőfi SK,Salgótarjáni Bányász TC,1,1,D,NoR,NoR,NoR
HUN,27/04/1957,,Vasas SC,Ferencvárosi TC,2,2,D,NoR,NoR,NoR
HUN,12/05/1957,17:00,Budapest Honvéd SE,Szegedi EAC,2,1,H,NoR,NoR,NoR
HUN,12/05/1957,,Újpesti Dózsa SC,Ferencvárosi TC,1,4,A,NoR,NoR,NoR
HUN,12/05/1957,,Szegedi EAC,MTK,3,1,H,NoR,NoR,NoR
HUN,12/05/1957,,Dorogi Bányász,Budapest Honvéd SE,5,4,H,NoR,NoR,NoR
HUN,12/05/1957,,Salgótarjáni Bányász TC,Szombathelyi Haladás,0,0,D,NoR,NoR,NoR
HUN,12/05/1957,,Csepel SC,Pécsi Dózsa-Petőfi SK,4,0,H,NoR,NoR,NoR
HUN,19/05/1957,,Vasas SC,Tatabányai Bányász SC,0,1,A,NoR,NoR,NoR
HUN,19/05/1957,,Szombathelyi Haladás,Pécsi Dózsa-Petőfi SK,1,0,H,NoR,NoR,NoR
HUN,19/05/1957,,MTK,Ferencvárosi TC,2,2,D,NoR,NoR,NoR
