Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
HUN,02/09/1984,16:00,Tatabányai Bányász SC,Rába Vasas ETO,2,2,D,NoR,NoR,NoR
HUN,01/09/1984,18:00,Videoton SC,Vasas SC,3,1,H,NoR,NoR,NoR
HUN,01/09/1984,18:00,Ferencvárosi TC,Szegedi EOL AK,4,1,H,NoR,NoR,NoR
HUN,01/09/1984,16:00,Budapesti Honvéd SE,MTK-VM SK,2,1,H,NoR,NoR,NoR
HUN,01/09/1984,16:00,Csepel SC,Békéscsabai Előre Spartacus SC,3,0,H,NoR,NoR,NoR
HUN,01/09/1984,16:00,Pécsi Munkás SC,Újpesti Dózsa SC,1,0,H,NoR,NoR,NoR
HUN,01/09/1984,16:00,Debreceni MVSC,Zalaegerszegi TE,2,1,H,NoR,NoR,NoR
HUN,01/09/1984,16:00,Eger SE,Szombathelyi Haladás VSE,2,1,H,NoR,NoR,NoR
HUN,09/09/1984,19:00,Zalaegerszegi TE,Tatabányai Bányász SC,1,1,D,NoR,NoR,NoR
HUN,09/09/1984,19:00,Vasas SC,Pécsi Munkás SC,0,2,A,NoR,NoR,NoR
HUN,08/09/1984,18:00,Rába Vasas ETO,Videoton SC,2,1,H,NoR,NoR,NoR
HUN,08/09/1984,18:00,Szegedi EOL AK,Budapesti Honvéd SE,0,1,A,NoR,NoR,NoR
HUN,08/09/1984,16:00,Békéscsabai Előre Spartacus SC,Debreceni MVSC,2,1,H,NoR,NoR,NoR
HUN,08/09/1984,16:00,Újpesti Dózsa SC,Csepel SC,0,1,A,NoR,NoR,NoR
HUN,08/09/1984,14:00,Szombathelyi Haladás VSE,Ferencvárosi TC,0,1,A,NoR,NoR,NoR
HUN,08/09/1984,11:00,MTK-VM SK,Eger SE,3,0,H,NoR,NoR,NoR
HUN,12/09/1984,18:00,Videoton SC,Újpesti Dózsa SC,3,2,H,NoR,NoR,NoR
HUN,12/09/1984,18:00,Ferencvárosi TC,MTK-VM SK,2,1,H,NoR,NoR,NoR
HUN,12/09/1984,16:00,Eger SE,Vasas SC,0,0,D,NoR,NoR,NoR
