Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
IND,2002-11-15,,Churchill Brothers,Salgaocar SC,2,2,D,,,
IND,2002-11-16,,Vasco SC,Dempo SC,0,1,A,,,
IND,2002-11-17,,East Bengal FC,Tollygunge Agragami,2,0,H,,,
IND,2002-11-17,,Mahindra United,HAL SC,1,0,H,,,
IND,2002-11-19,,Indian Telephone Industries,Indian Bank,1,2,A,,,
IND,2002-11-19,,Vasco SC,Mohun Bagan,1,1,D,,,
IND,2002-11-20,,Dempo SC,Salgaocar SC,2,1,H,,,
IND,2002-11-21,,Tollygunge Agragami,Mahindra United,3,2,H,,,
IND,2002-11-22,,Churchill Brothers,Mohun Bagan,2,3,A,,,
IND,2002-11-23,,Salgaocar SC,JCT FC,1,0,H,,,
IND,2002-11-23,,HAL SC,Indian Telephone Industries,0,0,D,,,
IND,2002-11-24,,East Bengal FC,Mahindra United,1,0,H,,,
IND,2002-11-24,,Churchill Brothers,HAL SC,1,0,H,,,
IND,2002-11-25,,Indian Bank,Dempo SC,3,1,H,,,
IND,2002-11-26,,HAL SC,Vasco SC,1,2,A,,,
IND,2002-11-27,,East Bengal FC,JCT FC,1,0,H,,,
IND,2002-11-28,,Indian Telephone Industries,Dempo SC,0,1,A,,,
IND,2002-11-30,,Indian Bank,Churchill Brothers,1,1,D,,,
IND,2002-11-30,,Mohun Bagan,JCT FC,3,3,D,,,
IND,2002-12-02,,Salgaocar SC,Indian Telephone Industries,2,0,H,,,
IND,2002-12-03,,Mahindra United,Mohun Bagan,1,1,D,,,
IND,2002-12-04,,Vasco SC,Indian Bank,2,1,H,,,
IND,2002-12-04,,HAL SC,JCT FC,1,0,H,,,
IND,2002-12-07,,Indian Telephone Industries,JCT FC,0,0,D,,,
IND,2002-12-07,,Salgaocar SC,Vasco SC,0,1,A,,,
IND,2002-12-08,,Mohun Bagan,East Bengal FC,0,2,A,,,
IND,2002-12-08,,Dempo SC,Mahindra United,0,0,D,,,
IND,2002-12-09,,Tollygunge Agragami,Churchill Brothers,1,1,D,,,
IND,2002-12-11,,JCT FC,Indian Bank,2,1,H,,,
IND,2002-12-11,,Vasco SC,Mahindra United,2,2,D,,,
IND,2002-12-12,,East Bengal FC,Churchill Brothers,0,0,D,,,
IND,2002-12-15,,East Bengal FC,Salgaocar SC,2,1,H,,,
IND,2002-12-16,,HAL SC,Mohun Bagan,1,3,A,,,
IND,2002-12-16,,Churchill Brothers,Indian Telephone Industries,2,0,H,,,
IND,2002-12-17,,Dempo SC,Tollygunge Agragami,4,1,H,,,
IND,2002-12-19,,Indian Bank,Salgaocar SC,2,4,A,,,
IND,2002-12-19,,Vasco SC,East Bengal FC,1,1,D,,,
IND,2002-12-20,,Mahindra United,Churchill Brothers,0,1,A,,,
IND,2002-12-20,,Indian Telephone Industries,Mohun Bagan,0,1,A,,,
IND,2002-12-20,,Dempo SC,HAL SC,3,0,H,,,
IND,2002-12-21,,JCT FC,Tollygunge Agragami,2,0,H,,,
IND,2002-12-23,,Mahindra United,Salgaocar SC,0,1,A,,,
IND,2002-12-23,,Indian Bank,East Bengal FC,3,3,D,,,
IND,2002-12-23,,Indian Telephone Industries,Vasco SC,1,2,A,,,
IND,2002-12-26,,Mohun Bagan,Tollygunge Agragami,0,1,A,,,
IND,2002-12-27,,Dempo SC,JCT FC,1,0,H,,,
IND,2002-12-31,,Indian Bank,Tollygunge Agragami,1,0,H,,,
IND,2003-01-03,,HAL SC,Tollygunge Agragami,1,2,A,,,
IND,2003-01-24,,Dempo SC,Churchill Brothers,0,0,D,,,
IND,2003-01-24,,Mahindra United,Indian Telephone Industries,1,1,D,,,
IND,2003-01-25,,HAL SC,East Bengal FC,3,5,A,,,
IND,2003-01-25,,Mohun Bagan,Indian Bank,4,0,H,,,
IND,2003-01-25,,Vasco SC,JCT FC,2,1,H,,,
IND,2003-01-26,,Salgaocar SC,Tollygunge Agragami,3,0,H,,,
IND,2003-01-28,,Mohun Bagan,Dempo SC,5,1,H,,,
IND,2003-01-28,,Churchill Brothers,JCT FC,0,2,A,,,
IND,2003-01-29,,Vasco SC,Tollygunge Agragami,1,0,H,,,
IND,2003-01-29,,Indian Bank,Mahindra United,0,2,A,,,
IND,2003-01-29,,Indian Telephone Industries,East Bengal FC,1,3,A,,,
IND,2003-01-30,,Salgaocar SC,HAL SC,2,0,H,,,
IND,2003-02-02,,JCT FC,Mahindra United,6,2,H,,,
IND,2003-02-02,,Vasco SC,Churchill Brothers,0,2,A,,,
IND,2003-02-03,,HAL SC,Indian Bank,1,0,H,,,
IND,2003-02-03,,Mohun Bagan,Salgaocar SC,0,2,A,,,
IND,2003-02-03,,East Bengal FC,Dempo SC,3,2,H,,,
IND,2003-02-04,,Tollygunge Agragami,Indian Telephone Industries,3,2,H,,,
IND,2003-02-07,,Tollygunge Agragami,Salgaocar SC,1,1,D,,,
IND,2003-02-07,,JCT FC,Vasco SC,0,0,D,,,
IND,2003-02-07,,Indian Bank,Mohun Bagan,0,1,A,,,
IND,2003-02-08,,Indian Telephone Industries,Mahindra United,0,1,A,,,
IND,2003-02-08,,East Bengal FC,HAL SC,4,1,H,,,
IND,2003-02-08,,Churchill Brothers,Dempo SC,2,0,H,,,
IND,2003-02-11,,Tollygunge Agragami,Indian Bank,4,2,H,,,
IND,2003-02-11,,Vasco SC,Salgaocar SC,0,0,D,,,
IND,2003-02-12,,Dempo SC,Indian Telephone Industries,0,0,D,,,
IND,2003-02-12,,JCT FC,HAL SC,1,0,H,,,
IND,2003-02-13,,Churchill Brothers,East Bengal FC,1,3,A,,,
IND,2003-02-14,,Mohun Bagan,Mahindra United,1,1,D,,,
IND,2003-02-16,,Indian Telephone Industries,Tollygunge Agragami,0,4,A,,,
IND,2003-02-16,,Indian Bank,HAL SC,2,1,H,,,
IND,2003-02-16,,Dempo SC,East Bengal FC,2,2,D,,,
IND,2003-02-17,,Churchill Brothers,Vasco SC,1,1,D,,,
IND,2003-02-18,,Salgaocar SC,Mohun Bagan,0,1,A,,,
IND,2003-02-18,,Mahindra United,JCT FC,1,2,A,,,
IND,2003-02-21,,Mahindra United,Indian Bank,1,2,A,,,
IND,2003-02-21,,Dempo SC,Mohun Bagan,0,0,D,,,
IND,2003-02-21,,Tollygunge Agragami,Vasco SC,1,1,D,,,
IND,2003-02-22,,East Bengal FC,Indian Telephone Industries,1,0,H,,,
IND,2003-02-22,,JCT FC,Churchill Brothers,2,1,H,,,
IND,2003-02-22,,HAL SC,Salgaocar SC,0,3,A,,,
IND,2003-02-25,,Mahindra United,Dempo SC,2,0,H,,,
IND,2003-02-25,,East Bengal FC,Mohun Bagan,2,1,H,,,
IND,2003-02-25,,Indian Bank,Vasco SC,1,4,A,,,
IND,2003-02-26,,JCT FC,Indian Telephone Industries,3,0,H,,,
IND,2003-02-26,,Salgaocar SC,Churchill Brothers,2,2,D,,,
IND,2003-02-26,,Tollygunge Agragami,HAL SC,3,3,D,,,
IND,2003-03-01,,Dempo SC,Vasco SC,0,2,A,,,
IND,2003-03-01,,East Bengal FC,Tollygunge Agragami,2,0,H,,,
IND,2003-03-02,,HAL SC,Mahindra United,0,5,A,,,
IND,2003-03-02,,JCT FC,Salgaocar SC,1,1,D,,,
IND,2003-03-02,,Mohun Bagan,Churchill Brothers,3,0,H,,,
IND,2003-03-05,,JCT FC,East Bengal FC,2,0,H,,,
IND,2003-03-05,,Mohun Bagan,Vasco SC,2,3,A,,,
IND,2003-03-06,,Mahindra United,Tollygunge Agragami,2,1,H,,,
IND,2003-03-06,,Indian Telephone Industries,HAL SC,3,1,H,,,
IND,2003-03-06,,Salgaocar SC,Dempo SC,3,1,H,,,
IND,2003-03-07,,Churchill Brothers,Indian Bank,5,0,H,,,
IND,2003-03-10,,Indian Bank,Indian Telephone Industries,6,1,H,,,
IND,2003-04-08,,Dempo SC,Indian Bank,5,1,H,,,
IND,2003-04-09,,JCT FC,Mohun Bagan,1,0,H,,,
IND,2003-04-09,,Mahindra United,East Bengal FC,2,0,H,,,
IND,2003-04-09,,Vasco SC,HAL SC,8,0,H,,,
IND,2003-04-09,,Indian Telephone Industries,Salgaocar SC,0,3,A,,,
IND,2003-04-10,,Churchill Brothers,Tollygunge Agragami,1,0,H,,,
IND,2003-04-13,,East Bengal FC,Indian Bank,3,0,H,,,
IND,2003-04-13,,JCT FC,Dempo SC,1,3,A,,,
IND,2003-04-13,,Vasco SC,Indian Telephone Industries,5,0,H,,,
IND,2003-04-14,,HAL SC,Churchill Brothers,1,2,A,,,
IND,2003-04-14,,Salgaocar SC,Mahindra United,5,0,H,,,
IND,2003-04-14,,Tollygunge Agragami,Mohun Bagan,0,2,A,,,
IND,2003-04-22,,HAL SC,Dempo SC,1,4,A,,,
IND,2003-04-23,,Mohun Bagan,Indian Telephone Industries,3,3,D,,,
IND,2003-04-23,,Churchill Brothers,Mahindra United,1,0,H,,,
IND,2003-04-24,,Salgaocar SC,Indian Bank,4,2,H,,,
IND,2003-04-24,,Tollygunge Agragami,JCT FC,2,2,D,,,
IND,2003-04-25,,East Bengal FC,Vasco SC,4,0,H,,,
IND,2003-04-27,,Tollygunge Agragami,Dempo SC,2,3,A,,,
IND,2003-04-28,,Indian Telephone Industries,Churchill Brothers,1,5,A,,,
IND,2003-04-28,,Mahindra United,Vasco SC,1,2,A,,,
IND,2003-04-28,,Salgaocar SC,East Bengal FC,2,0,H,,,
IND,2003-04-28,,Indian Bank,JCT FC,1,3,A,,,
IND,2003-04-28,,Mohun Bagan,HAL SC,0,1,A,,,
