Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
IRL,16/03/2005,20:00,Shelbourne FC,UC Dublin,1,1,D,NaN,NaN,NaN
IRL,18/03/2005,19:30,Bohemian FC,Shamrock Rovers,1,1,D,NaN,NaN,NaN
IRL,18/03/2005,19:45,Bray Wanderers,St Patrick's Athletic,2,1,H,NaN,NaN,NaN
IRL,18/03/2005,19:45,Drogheda United,Derry City,0,2,A,NaN,NaN,NaN
IRL,19/03/2005,19:30,Longford Town,Waterford United,1,2,A,NaN,NaN,NaN
IRL,19/03/2005,19:45,Finn Harps,Cork City,0,2,A,NaN,NaN,NaN
IRL,25/03/2005,19:30,Waterford United,Finn Harps,2,1,H,NaN,NaN,NaN
IRL,25/03/2005,19:45,Cork City,Bray Wanderers,1,1,D,NaN,NaN,NaN
IRL,25/03/2005,19:45,St Patrick's Athletic,Bohemian FC,0,0,D,NaN,NaN,NaN
IRL,25/03/2005,19:45,Shamrock Rovers,Shelbourne FC,0,2,A,NaN,NaN,NaN
IRL,25/03/2005,19:45,UC Dublin,Drogheda United,0,2,A,NaN,NaN,NaN
IRL,12/04/2005,19:45,Derry City,Longford Town,1,0,H,NaN,NaN,NaN
IRL,31/03/2005,19:45,Longford Town,Cork City,0,1,A,NaN,NaN,NaN
IRL,01/04/2005,19:45,Bohemian FC,Derry City,0,1,A,NaN,NaN,NaN
IRL,01/04/2005,19:45,Bray Wanderers,UC Dublin,1,0,H,NaN,NaN,NaN
IRL,01/04/2005,19:45,Drogheda United,St Patrick's Athletic,1,1,D,NaN,NaN,NaN
IRL,01/04/2005,20:00,Shelbourne FC,Waterford United,1,0,H,NaN,NaN,NaN
IRL,02/04/2005,19:45,Finn Harps,Shamrock Rovers,1,1,D,NaN,NaN,NaN
IRL,08/04/2005,19:30,Waterford United,Bohemian FC,2,0,H,NaN,NaN,NaN
IRL,08/04/2005,19:45,Cork City,UC Dublin,0,0,D,NaN,NaN,NaN
IRL,08/04/2005,19:45,Bray Wanderers,Drogheda United,2,2,D,NaN,NaN,NaN
IRL,08/04/2005,19:45,Derry City,Shelbourne FC,0,0,D,NaN,NaN,NaN
IRL,08/04/2005,19:45,St Patrick's Athletic,Finn Harps,2,0,H,NaN,NaN,NaN
IRL,08/04/2005,19:45,Shamrock Rovers,Longford Town,0,2,A,NaN,NaN,NaN
IRL,15/04/2005,19:45,Bohemian FC,Cork City,0,2,A,NaN,NaN,NaN
IRL,15/04/2005,19:45,Drogheda United,Shamrock Rovers,2,1,H,NaN,NaN,NaN
IRL,15/04/2005,19:45,UC Dublin,Waterford United,1,0,H,NaN,NaN,NaN
IRL,15/04/2005,20:00,Shelbourne FC,St Patrick's Athletic,3,1,H,NaN,NaN,NaN
IRL,16/04/2005,19:30,Longford Town,Bray Wanderers,2,1,H,NaN,NaN,NaN
