Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
IRQ,2013-10-29,11:30,Zakho,Al Naft,1,2,A,,,
IRQ,2013-10-29,11:30,Al Najaf,Karbalaa FC,1,1,D,,,
IRQ,2013-10-29,11:30,Al Minaa,Naft Al Janoob,0,0,D,,,
IRQ,2013-10-29,11:30,Naft Maysan,Al Talaba,1,1,D,,,
IRQ,2013-10-29,12:00,Baghdad FC,Al Karkh SC,1,0,H,,,
IRQ,2013-10-29,12:00,Al Masafi,Duhok,0,0,D,,,
IRQ,2013-10-29,12:05,Al Zawraa,Al Shorta,0,1,A,,,
IRQ,2013-10-30,12:00,Al Quwa Al Jawiya,Erbil,1,3,A,,,
IRQ,2013-11-03,12:00,Al Talaba,Al Najaf,1,0,H,,,
IRQ,2013-11-03,12:00,Al Shorta,Naft Maysan,2,1,H,,,
IRQ,2013-11-03,12:00,Al Naft,Al Quwa Al Jawiya,2,3,A,,,
IRQ,2013-11-03,12:00,Al Karkh SC,Al Masafi,3,1,H,,,
IRQ,2013-11-03,12:00,Duhok,Al Zawraa,2,1,H,,,
IRQ,2013-11-03,12:00,Karbalaa FC,Erbil,0,1,A,,,
IRQ,2013-11-03,12:00,Naft Al Janoob,Zakho,4,0,H,,,
IRQ,2013-11-03,12:00,Baghdad FC,Al Minaa,1,0,H,,,
IRQ,2013-11-08,11:30,Zakho,Baghdad FC,1,2,A,,,
IRQ,2013-11-08,11:30,Al Masafi,Al Minaa,1,2,A,,,
IRQ,2013-11-08,12:00,Naft Maysan,Duhok,1,1,D,,,
IRQ,2013-11-09,12:00,Al Zawraa,Al Karkh SC,2,0,H,,,
IRQ,2013-11-09,12:00,Karbalaa FC,Al Naft,1,1,D,,,
IRQ,2013-11-23,12:00,Al Karkh SC,Naft Maysan,1,0,H,,,
IRQ,2013-11-23,12:00,Al Minaa,Al Zawraa,1,0,H,,,
IRQ,2013-11-23,12:00,Al Masafi,Zakho,0,0,D,,,
IRQ,2013-11-24,12:00,Al Shorta,Al Najaf,0,0,D,,,
IRQ,2013-11-24,12:00,Al Naft,Erbil,2,2,D,,,
IRQ,2013-11-24,12:00,Duhok,Al Talaba,1,1,D,,,
IRQ,2013-11-24,12:00,Naft Al Janoob,Karbalaa FC,0,0,D,,,
IRQ,2013-11-24,12:00,Baghdad FC,Al Quwa Al Jawiya,1,1,D,,,
IRQ,2013-11-28,12:00,Naft Maysan,Al Minaa,2,2,D,,,
IRQ,2013-11-29,12:00,Al Shorta,Duhok,5,0,H,,,
IRQ,2013-11-29,12:00,Erbil,Naft Al Janoob,0,0,D,,,
IRQ,2013-11-29,12:00,Al Najaf,Al Naft,3,2,H,,,
IRQ,2013-11-29,12:00,Karbalaa FC,Baghdad FC,0,2,A,,,
IRQ,2013-11-29,12:00,Al Quwa Al Jawiya,Al Masafi,2,1,H,,,
IRQ,2013-12-03,12:30,Zakho,Naft Maysan,2,1,H,,,
IRQ,2013-12-04,11:30,Al Karkh SC,Al Shorta,0,2,A,,,
