Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ITA,1940-10-06,,AC Venezia,Inter,1,0,H,,,
ITA,1940-10-06,,Torino FC,Unione Triestina,2,1,H,,,
ITA,1940-10-06,,Lazio Roma,Juventus,2,2,D,,,
ITA,1940-10-06,,AC Milan,SSC Napoli,4,0,H,,,
ITA,1940-10-06,,Bologna FC,AS Roma,2,1,H,,,
ITA,1940-10-06,,Atalanta,US Livorno,2,1,H,,,
ITA,1940-10-06,,ACF Fiorentina,Genova 1893 Circolo del Calcio,4,3,H,,,
ITA,1940-10-06,,AS Bari,Novara Calcio,1,2,A,,,
ITA,1940-10-13,,US Livorno,AC Venezia,3,1,H,,,
ITA,1940-10-13,,Unione Triestina,Atalanta,3,3,D,,,
ITA,1940-10-13,,AS Roma,Torino FC,4,1,H,,,
ITA,1940-10-13,,SSC Napoli,ACF Fiorentina,0,2,A,,,
ITA,1940-10-13,,Juventus,Bologna FC,3,1,H,,,
ITA,1940-10-13,,Genova 1893 Circolo del Calcio,Lazio Roma,2,2,D,,,
ITA,1940-10-13,,Inter,AS Bari,5,0,H,,,
ITA,1940-10-13,,Novara Calcio,AC Milan,2,0,H,,,
ITA,1940-10-20,,ACF Fiorentina,Novara Calcio,2,2,D,,,
ITA,1940-10-20,,Juventus,Genova 1893 Circolo del Calcio,2,0,H,,,
ITA,1940-10-20,,AC Venezia,Unione Triestina,4,3,H,,,
ITA,1940-10-20,,AC Milan,Inter,0,1,A,,,
ITA,1940-10-20,,Atalanta,AS Roma,0,0,D,,,
ITA,1940-10-20,,Bologna FC,Torino FC,3,0,H,,,
ITA,1940-10-20,,AS Bari,US Livorno,1,1,D,,,
ITA,1940-10-20,,Lazio Roma,SSC Napoli,1,1,D,,,
ITA,1940-10-27,,SSC Napoli,Juventus,2,2,D,,,
ITA,1940-10-27,,Unione Triestina,AS Bari,2,4,A,,,
ITA,1940-10-27,,Torino FC,Atalanta,1,1,D,,,
ITA,1940-10-27,,Novara Calcio,Lazio Roma,0,0,D,,,
ITA,1940-10-27,,US Livorno,AC Milan,1,0,H,,,
ITA,1940-10-27,,Genova 1893 Circolo del Calcio,Bologna FC,0,1,A,,,
ITA,1940-10-27,,Inter,ACF Fiorentina,0,2,A,,,
ITA,1940-10-27,,AS Roma,AC Venezia,5,2,H,,,
ITA,1940-11-03,,Genova 1893 Circolo del Calcio,SSC Napoli,1,2,A,,,
ITA,1940-11-03,,Juventus,Novara Calcio,3,0,H,,,
ITA,1940-11-03,,AC Venezia,Torino FC,2,2,D,,,
ITA,1940-11-03,,AC Milan,Unione Triestina,1,1,D,,,
ITA,1940-11-03,,AS Bari,AS Roma,2,2,D,,,
ITA,1940-11-03,,ACF Fiorentina,US Livorno,5,2,H,,,
ITA,1940-11-03,,Bologna FC,Atalanta,1,0,H,,,
ITA,1940-11-03,,Lazio Roma,Inter,2,4,A,,,
ITA,1940-11-10,,SSC Napoli,Bologna FC,4,4,D,,,
ITA,1940-11-10,,Unione Triestina,ACF Fiorentina,1,0,H,,,
ITA,1940-11-10,,Torino FC,AS Bari,4,0,H,,,
ITA,1940-11-10,,Novara Calcio,Genova 1893 Circolo del Calcio,2,1,H,,,
ITA,1940-11-10,,US Livorno,Lazio Roma,2,1,H,,,
ITA,1940-11-10,,Atalanta,AC Venezia,3,1,H,,,
ITA,1940-11-10,,Inter,Juventus,2,1,H,,,
ITA,1940-11-10,,AS Roma,AC Milan,1,2,A,,,
ITA,1940-11-17,,Genova 1893 Circolo del Calcio,Inter,2,0,H,,,
ITA,1940-11-17,,Juventus,US Livorno,2,1,H,,,
ITA,1940-11-17,,SSC Napoli,Novara Calcio,2,0,H,,,
ITA,1940-11-17,,AC Milan,Torino FC,1,1,D,,,
ITA,1940-11-17,,ACF Fiorentina,AS Roma,1,1,D,,,
ITA,1940-11-17,,Bologna FC,AC Venezia,1,1,D,,,
ITA,1940-11-17,,AS Bari,Atalanta,2,2,D,,,
ITA,1940-11-17,,Lazio Roma,Unione Triestina,2,1,H,,,
ITA,1940-11-24,,Novara Calcio,Bologna FC,0,1,A,,,
ITA,1940-11-24,,Unione Triestina,Juventus,1,1,D,,,
ITA,1940-11-24,,AS Roma,Lazio Roma,1,1,D,,,
ITA,1940-11-24,,AC Venezia,AS Bari,1,1,D,,,
ITA,1940-11-24,,US Livorno,Genova 1893 Circolo del Calcio,2,2,D,,,
ITA,1940-11-24,,Atalanta,AC Milan,2,1,H,,,
ITA,1940-11-24,,Inter,SSC Napoli,1,0,H,,,
ITA,1940-11-24,,Torino FC,ACF Fiorentina,6,2,H,,,
ITA,1940-12-08,,Novara Calcio,Inter,2,4,A,,,
ITA,1940-12-08,,SSC Napoli,US Livorno,1,2,A,,,
ITA,1940-12-08,,Lazio Roma,Torino FC,0,2,A,,,
ITA,1940-12-08,,AC Milan,AC Venezia,0,0,D,,,
ITA,1940-12-08,,Genova 1893 Circolo del Calcio,Unione Triestina,2,1,H,,,
ITA,1940-12-08,,Bologna FC,AS Bari,5,1,H,,,
ITA,1940-12-08,,ACF Fiorentina,Atalanta,1,1,D,,,
ITA,1940-12-08,,Juventus,AS Roma,3,1,H,,,
ITA,1940-12-15,,US Livorno,Novara Calcio,1,1,D,,,
ITA,1940-12-15,,AC Venezia,ACF Fiorentina,2,1,H,,,
ITA,1940-12-15,,Unione Triestina,SSC Napoli,2,0,H,,,
ITA,1940-12-15,,AS Roma,Genova 1893 Circolo del Calcio,3,0,H,,,
ITA,1940-12-15,,AS Bari,AC Milan,1,3,A,,,
ITA,1940-12-15,,Atalanta,Lazio Roma,2,0,H,,,
ITA,1940-12-15,,Inter,Bologna FC,2,1,H,,,
ITA,1940-12-15,,Torino FC,Juventus,2,0,H,,,
ITA,1940-12-22,,Genova 1893 Circolo del Calcio,Torino FC,4,0,H,,,
ITA,1940-12-22,,Juventus,Atalanta,3,1,H,,,
ITA,1940-12-22,,Novara Calcio,Unione Triestina,0,0,D,,,
ITA,1940-12-22,,SSC Napoli,AS Roma,2,1,H,,,
ITA,1940-12-22,,Inter,US Livorno,3,0,H,,,
ITA,1940-12-22,,ACF Fiorentina,AS Bari,4,0,H,,,
ITA,1940-12-22,,Bologna FC,AC Milan,4,2,H,,,
ITA,1940-12-22,,Lazio Roma,AC Venezia,4,1,H,,,
ITA,1940-12-29,,AC Milan,ACF Fiorentina,3,1,H,,,
ITA,1940-12-29,,Unione Triestina,Inter,2,0,H,,,
ITA,1940-12-29,,AS Roma,Novara Calcio,1,3,A,,,
ITA,1940-12-29,,AC Venezia,Juventus,1,1,D,,,
ITA,1940-12-29,,US Livorno,Bologna FC,2,2,D,,,
ITA,1940-12-29,,AS Bari,Lazio Roma,1,2,A,,,
ITA,1940-12-29,,Atalanta,Genova 1893 Circolo del Calcio,1,1,D,,,
ITA,1940-12-29,,Torino FC,SSC Napoli,6,2,H,,,
ITA,1941-01-05,,Lazio Roma,AC Milan,0,0,D,,,
ITA,1941-01-05,,SSC Napoli,Atalanta,4,1,H,,,
ITA,1941-01-05,,Novara Calcio,Torino FC,1,1,D,,,
ITA,1941-01-05,,US Livorno,Unione Triestina,2,1,H,,,
ITA,1941-01-05,,Genova 1893 Circolo del Calcio,AC Venezia,1,0,H,,,
ITA,1941-01-05,,Inter,AS Roma,5,1,H,,,
ITA,1941-01-05,,Bologna FC,ACF Fiorentina,5,3,H,,,
ITA,1941-01-05,,Juventus,AS Bari,5,1,H,,,
ITA,1941-01-12,,ACF Fiorentina,Lazio Roma,2,1,H,,,
ITA,1941-01-12,,Torino FC,Inter,5,5,D,,,
ITA,1941-01-12,,AC Milan,Juventus,2,2,D,,,
ITA,1941-01-12,,AC Venezia,SSC Napoli,1,1,D,,,
ITA,1941-01-12,,Bologna FC,Unione Triestina,2,0,H,,,
ITA,1941-01-12,,AS Bari,Genova 1893 Circolo del Calcio,1,1,D,,,
ITA,1941-01-12,,Atalanta,Novara Calcio,2,0,H,,,
ITA,1941-01-12,,AS Roma,US Livorno,3,1,H,,,
ITA,1941-01-19,,US Livorno,Torino FC,0,1,A,,,
ITA,1941-01-19,,Novara Calcio,AC Venezia,0,0,D,,,
ITA,1941-01-19,,Unione Triestina,AS Roma,4,1,H,,,
ITA,1941-01-19,,SSC Napoli,AS Bari,3,1,H,,,
ITA,1941-01-19,,Lazio Roma,Bologna FC,2,4,A,,,
ITA,1941-01-19,,Juventus,ACF Fiorentina,2,3,A,,,
ITA,1941-01-19,,Inter,Atalanta,2,1,H,,,
ITA,1941-01-19,,Genova 1893 Circolo del Calcio,AC Milan,1,1,D,,,
ITA,1941-01-26,,Genova 1893 Circolo del Calcio,ACF Fiorentina,0,1,A,,,
ITA,1941-01-26,,AS Roma,Bologna FC,1,1,D,,,
ITA,1941-01-26,,Unione Triestina,Torino FC,1,0,H,,,
ITA,1941-01-26,,Novara Calcio,AS Bari,4,0,H,,,
ITA,1941-01-26,,Juventus,Lazio Roma,3,2,H,,,
ITA,1941-01-26,,Inter,AC Venezia,4,2,H,,,
ITA,1941-01-26,,US Livorno,Atalanta,3,1,H,,,
ITA,1941-01-26,,SSC Napoli,AC Milan,3,2,H,,,
ITA,1941-02-02,,ACF Fiorentina,SSC Napoli,1,2,A,,,
ITA,1941-02-02,,Torino FC,AS Roma,0,0,D,,,
ITA,1941-02-02,,Lazio Roma,Genova 1893 Circolo del Calcio,0,1,A,,,
ITA,1941-02-02,,AC Venezia,US Livorno,2,2,D,,,
ITA,1941-02-02,,Bologna FC,Juventus,1,0,H,,,
ITA,1941-02-02,,AS Bari,Inter,0,0,D,,,
ITA,1941-02-02,,Atalanta,Unione Triestina,2,0,H,,,
ITA,1941-02-02,,AC Milan,Novara Calcio,2,0,H,,,
ITA,1941-02-09,,Novara Calcio,ACF Fiorentina,2,0,H,,,
ITA,1941-02-09,,Unione Triestina,AC Venezia,3,1,H,,,
ITA,1941-02-09,,Torino FC,Bologna FC,0,0,D,,,
ITA,1941-02-09,,AS Roma,Atalanta,1,0,H,,,
ITA,1941-02-09,,SSC Napoli,Lazio Roma,0,2,A,,,
ITA,1941-02-09,,US Livorno,AS Bari,1,0,H,,,
ITA,1941-02-09,,Inter,AC Milan,2,2,D,,,
ITA,1941-02-09,,Genova 1893 Circolo del Calcio,Juventus,2,0,H,,,
ITA,1941-02-16,,Juventus,SSC Napoli,0,0,D,,,
ITA,1941-02-16,,AC Milan,US Livorno,5,0,H,,,
ITA,1941-02-16,,AC Venezia,AS Roma,1,0,H,,,
ITA,1941-02-16,,Lazio Roma,Novara Calcio,0,0,D,,,
ITA,1941-02-16,,Bologna FC,Genova 1893 Circolo del Calcio,4,1,H,,,
ITA,1941-02-16,,Atalanta,Torino FC,0,1,A,,,
ITA,1941-02-16,,AS Bari,Unione Triestina,0,3,A,,,
ITA,1941-02-16,,ACF Fiorentina,Inter,2,1,H,,,
ITA,1941-02-23,,SSC Napoli,Genova 1893 Circolo del Calcio,1,0,H,,,
ITA,1941-02-23,,Unione Triestina,AC Milan,0,0,D,,,
ITA,1941-02-23,,Torino FC,AC Venezia,0,2,A,,,
ITA,1941-02-23,,Inter,Lazio Roma,1,1,D,,,
ITA,1941-02-23,,Novara Calcio,Juventus,1,2,A,,,
ITA,1941-02-23,,US Livorno,ACF Fiorentina,1,1,D,,,
ITA,1941-02-23,,Atalanta,Bologna FC,2,0,H,,,
ITA,1941-02-23,,AS Roma,AS Bari,6,2,H,,,
ITA,1941-03-02,,ACF Fiorentina,Unione Triestina,6,3,H,,,
ITA,1941-03-02,,AC Milan,AS Roma,1,3,A,,,
ITA,1941-03-02,,Lazio Roma,US Livorno,1,0,H,,,
ITA,1941-03-02,,AC Venezia,Atalanta,1,1,D,,,
ITA,1941-03-02,,Genova 1893 Circolo del Calcio,Novara Calcio,1,1,D,,,
ITA,1941-03-02,,Bologna FC,SSC Napoli,3,0,H,,,
ITA,1941-03-02,,AS Bari,Torino FC,1,0,H,,,
ITA,1941-03-02,,Juventus,Inter,2,0,H,,,
ITA,1941-03-09,,Inter,Genova 1893 Circolo del Calcio,4,0,H,,,
ITA,1941-03-09,,Atalanta,AS Bari,4,0,H,,,
ITA,1941-03-09,,US Livorno,Juventus,1,0,H,,,
ITA,1941-03-09,,Novara Calcio,SSC Napoli,1,0,H,,,
ITA,1941-03-09,,AS Roma,ACF Fiorentina,1,1,D,,,
ITA,1941-03-09,,Torino FC,AC Milan,0,4,A,,,
ITA,1941-03-09,,Unione Triestina,Lazio Roma,0,0,D,,,
ITA,1941-03-09,,AC Venezia,Bologna FC,1,0,H,,,
ITA,1941-03-16,,Juventus,Unione Triestina,1,1,D,,,
ITA,1941-03-16,,AC Milan,Atalanta,0,3,A,,,
ITA,1941-03-16,,Lazio Roma,AS Roma,2,0,H,,,
ITA,1941-03-16,,ACF Fiorentina,Torino FC,2,1,H,,,
