Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KSA,23/08/2013,18:40,Al Fateh,Al Taawoun,1,1,D,0,1,A
KSA,23/08/2013,18:40,Al Nassr,Najran SC,2,0,H,0,0,D
KSA,23/08/2013,18:40,Al Nahda,Al Shoalah,2,2,D,1,1,D
KSA,24/08/2013,18:40,Al Hilal,Al Orobah,3,0,H,0,0,D
KSA,24/08/2013,18:40,Al Raed,Al Ettifaq,2,1,H,2,0,H
KSA,25/08/2013,18:40,Al Faysali,Al Ahli SFC,1,3,A,0,1,A
KSA,26/08/2013,18:40,Al Shabab,Al Ittihad,1,4,A,1,0,H
KSA,30/08/2013,18:35,Al Ettifaq,Al Hilal,1,3,A,1,2,A
KSA,30/08/2013,18:35,Al Fateh,Al Nahda,4,0,H,2,0,H
KSA,30/08/2013,18:35,Al Taawoun,Al Faysali,1,1,D,1,0,H
KSA,30/08/2013,18:35,Najran SC,Al Raed,1,0,H,1,0,H
KSA,31/08/2013,18:35,Al Shoalah,Al Shabab,0,1,A,0,1,A
KSA,31/08/2013,18:35,Al Ahli SFC,Al Nassr,0,0,D,0,0,D
KSA,31/08/2013,18:35,Al Orobah,Al Ittihad,1,0,H,0,0,D
KSA,11/09/2013,18:25,Al Ahli SFC,Al Orobah,1,1,D,1,1,D
KSA,12/09/2013,18:25,Al Shabab,Al Raed,5,2,H,3,0,H
KSA,13/09/2013,18:25,Al Ittihad,Al Fateh,4,2,H,2,2,D
KSA,13/09/2013,18:25,Al Ettifaq,Al Shoalah,1,0,H,0,0,D
KSA,13/09/2013,18:25,Najran SC,Al Taawoun,1,2,A,0,1,A
KSA,14/09/2013,18:25,Al Faysali,Al Hilal,1,3,A,1,1,D
KSA,14/09/2013,18:25,Al Nassr,Al Nahda,4,1,H,1,0,H
KSA,20/09/2013,18:15,Al Hilal,Al Ittihad,5,2,H,1,1,D
KSA,20/09/2013,18:15,Al Raed,Al Nassr,0,3,A,0,2,A
KSA,21/09/2013,18:15,Al Taawoun,Al Ettifaq,2,2,D,0,1,A
KSA,21/09/2013,18:15,Al Shoalah,Najran SC,1,2,A,0,1,A
KSA,21/09/2013,18:15,Al Orobah,Al Faysali,1,2,A,0,0,D
KSA,23/09/2013,18:15,Al Shabab,Al Fateh,1,1,D,1,0,H
KSA,23/09/2013,18:15,Al Nahda,Al Ahli SFC,1,5,A,0,2,A
KSA,26/09/2013,18:10,Al Nassr,Al Shoalah,2,0,H,2,0,H
KSA,27/09/2013,18:10,Najran SC,Al Ettifaq,1,0,H,1,0,H
KSA,27/09/2013,18:10,Al Ittihad,Al Taawoun,2,1,H,2,0,H
KSA,28/09/2013,18:10,Al Faysali,Al Shabab,0,0,D,0,0,D
KSA,28/09/2013,18:10,Al Ahli SFC,Al Hilal,1,1,D,0,0,D
KSA,28/09/2013,18:10,Al Fateh,Al Orobah,0,0,D,0,0,D
KSA,28/09/2013,18:10,Al Raed,Al Nahda,0,0,D,0,0,D
KSA,04/10/2013,18:05,Al Fateh,Al Faysali,1,0,H,0,0,D
KSA,04/10/2013,18:05,Al Ittihad,Al Ahli SFC,0,0,D,0,0,D
KSA,04/10/2013,18:05,Al Nahda,Najran SC,2,5,A,1,2,A
KSA,04/10/2013,18:05,Al Shoalah,Al Taawoun,1,2,A,1,0,H
KSA,05/10/2013,18:05,Al Ettifaq,Al Shabab,0,1,A,0,0,D
KSA,05/10/2013,18:05,Al Hilal,Al Raed,1,2,A,1,2,A
KSA,05/10/2013,18:05,Al Orobah,Al Nassr,0,0,D,0,0,D
KSA,25/10/2013,17:45,Al Shabab,Najran SC,5,1,H,NaN,NaN,NaN
KSA,25/10/2013,17:45,Al Taawoun,Al Hilal,1,2,A,NaN,NaN,NaN
KSA,25/10/2013,17:45,Al Ahli SFC,Al Shoalah,5,2,H,NaN,NaN,NaN
KSA,25/10/2013,17:45,Al Faysali,Al Ittihad,3,0,H,NaN,NaN,NaN
KSA,26/10/2013,17:45,Al Nassr,Al Fateh,1,0,H,NaN,NaN,NaN
KSA,26/10/2013,17:45,Al Ettifaq,Al Nahda,2,1,H,NaN,NaN,NaN
KSA,26/10/2013,17:45,Al Raed,Al Orobah,1,1,D,NaN,NaN,NaN
KSA,31/10/2013,16:40,Al Ahli SFC,Al Raed,0,0,D,NaN,NaN,NaN
KSA,01/11/2013,16:40,Al Hilal,Al Shabab,4,1,H,NaN,NaN,NaN
KSA,01/11/2013,16:40,Al Ittihad,Al Ettifaq,1,1,D,NaN,NaN,NaN
KSA,01/11/2013,16:40,Najran SC,Al Orobah,2,0,H,NaN,NaN,NaN
KSA,01/11/2013,16:40,Al Nahda,Al Taawoun,0,2,A,NaN,NaN,NaN
KSA,02/11/2013,16:40,Al Shoalah,Al Fateh,2,2,D,NaN,NaN,NaN
KSA,02/11/2013,16:40,Al Faysali,Al Nassr,0,2,A,NaN,NaN,NaN
KSA,06/11/2013,12:30,Al Orobah,Al Shoalah,2,2,D,NaN,NaN,NaN
KSA,06/11/2013,16:45,Najran SC,Al Hilal,0,1,A,NaN,NaN,NaN
KSA,06/11/2013,16:45,Al Nassr,Al Ettifaq,2,2,D,NaN,NaN,NaN
KSA,06/11/2013,16:45,Al Raed,Al Faysali,1,0,H,NaN,NaN,NaN
KSA,07/11/2013,16:45,Al Taawoun,Al Shabab,3,3,D,NaN,NaN,NaN
KSA,07/11/2013,16:45,Al Fateh,Al Ahli SFC,0,3,A,NaN,NaN,NaN
KSA,07/11/2013,16:45,Al Nahda,Al Ittihad,4,4,D,NaN,NaN,NaN
KSA,24/11/2013,16:35,Al Shabab,Al Nahda,6,0,H,NaN,NaN,NaN
KSA,24/11/2013,16:35,Al Fateh,Najran SC,5,2,H,NaN,NaN,NaN
KSA,24/11/2013,16:35,Al Ettifaq,Al Orobah,0,0,D,NaN,NaN,NaN
KSA,24/11/2013,16:35,Al Ahli SFC,Al Taawoun,1,2,A,NaN,NaN,NaN
KSA,25/11/2013,16:35,Al Hilal,Al Nassr,1,2,A,NaN,NaN,NaN
KSA,25/11/2013,16:35,Al Raed,Al Ittihad,1,4,A,NaN,NaN,NaN
KSA,25/11/2013,16:35,Al Faysali,Al Shoalah,2,0,H,NaN,NaN,NaN
KSA,28/11/2013,16:35,Al Shabab,Al Ahli SFC,1,0,H,NaN,NaN,NaN
KSA,29/11/2013,12:25,Al Orobah,Al Nahda,1,1,D,NaN,NaN,NaN
KSA,29/11/2013,12:30,Najran SC,Al Faysali,1,0,H,NaN,NaN,NaN
KSA,29/11/2013,16:35,Al Ittihad,Al Nassr,0,3,A,NaN,NaN,NaN
KSA,30/11/2013,12:15,Al Taawoun,Al Raed,2,1,H,NaN,NaN,NaN
KSA,30/11/2013,16:35,Al Shoalah,Al Hilal,2,2,D,NaN,NaN,NaN
KSA,30/11/2013,16:35,Al Ettifaq,Al Fateh,2,0,H,NaN,NaN,NaN
KSA,06/12/2013,11:55,Al Fateh,Al Raed,2,2,D,NaN,NaN,NaN
KSA,06/12/2013,12:20,Al Orobah,Al Taawoun,1,0,H,NaN,NaN,NaN
KSA,06/12/2013,16:35,Al Hilal,Al Nahda,2,1,H,NaN,NaN,NaN
KSA,07/12/2013,12:10,Al Ettifaq,Al Faysali,3,0,H,NaN,NaN,NaN
KSA,07/12/2013,12:10,Al Ittihad,Al Shoalah,1,2,A,NaN,NaN,NaN
KSA,07/12/2013,16:35,Al Ahli SFC,Najran SC,3,2,H,NaN,NaN,NaN
KSA,07/12/2013,16:35,Al Nassr,Al Shabab,3,2,H,NaN,NaN,NaN
KSA,13/12/2013,12:10,Al Nassr,Al Taawoun,2,1,H,NaN,NaN,NaN
KSA,13/12/2013,12:15,Al Raed,Al Shoalah,0,1,A,NaN,NaN,NaN
KSA,13/12/2013,12:25,Al Orobah,Al Shabab,1,1,D,NaN,NaN,NaN
KSA,13/12/2013,16:35,Al Ettifaq,Al Ahli SFC,2,0,H,NaN,NaN,NaN
KSA,14/12/2013,12:10,Al Hilal,Al Fateh,2,0,H,NaN,NaN,NaN
KSA,14/12/2013,16:35,Al Ittihad,Najran SC,3,2,H,NaN,NaN,NaN
KSA,14/12/2013,16:35,Al Nahda,Al Faysali,0,0,D,NaN,NaN,NaN
KSA,19/12/2013,16:45,Al Ettifaq,Al Raed,0,1,A,NaN,NaN,NaN
KSA,19/12/2013,16:45,Najran SC,Al Nassr,2,3,A,NaN,NaN,NaN
KSA,19/12/2013,16:45,Al Ahli SFC,Al Faysali,1,1,D,NaN,NaN,NaN
KSA,20/12/2013,12:10,Al Shoalah,Al Nahda,0,0,D,NaN,NaN,NaN
KSA,20/12/2013,12:20,Al Taawoun,Al Fateh,1,0,H,NaN,NaN,NaN
