Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
LAT,2006-04-08,12:00,FK Rīga,FK Ventspils,0,1,A,,,
LAT,2006-04-08,14:00,FC Dinaburg,Dizvanagi Rezekne,2,1,H,,,
LAT,2006-04-08,15:00,FK Jūrmala,FC Ditton Daugavpils,0,1,A,,,
LAT,2006-04-09,16:00,Skonto FC,FK Liepājas Metalurgs,0,0,D,,,
LAT,2006-04-15,12:00,FK Ventspils,Skonto FC,1,0,H,,,
LAT,2006-04-15,15:00,Dizvanagi Rezekne,FC Ditton Daugavpils,0,3,A,,,
LAT,2006-04-15,15:00,FK Liepājas Metalurgs,FK Jūrmala,3,2,H,,,
LAT,2006-04-15,15:00,FC Dinaburg,FK Rīga,1,0,H,,,
LAT,2006-04-22,12:00,FC Dinaburg,Skonto FC,0,2,A,,,
LAT,2006-04-22,14:00,FK Liepājas Metalurgs,FC Ditton Daugavpils,0,0,D,,,
LAT,2006-04-22,15:00,FK Rīga,Dizvanagi Rezekne,1,0,H,,,
LAT,2006-04-22,16:00,FK Jūrmala,FK Ventspils,1,1,D,,,
LAT,2006-04-26,16:00,FK Liepājas Metalurgs,Dizvanagi Rezekne,6,1,H,,,
LAT,2006-04-26,16:00,FK Ventspils,FC Ditton Daugavpils,2,1,H,,,
LAT,2006-04-26,16:00,FC Dinaburg,FK Jūrmala,1,1,D,,,
LAT,2006-04-26,16:00,FK Rīga,Skonto FC,1,4,A,,,
LAT,2006-04-30,13:00,Skonto FC,Dizvanagi Rezekne,6,0,H,,,
LAT,2006-04-30,13:00,FC Ditton Daugavpils,FC Dinaburg,1,1,D,,,
LAT,2006-04-30,16:00,FK Jūrmala,FK Rīga,3,0,H,,,
LAT,2006-04-30,16:00,FK Ventspils,FK Liepājas Metalurgs,1,1,D,,,
LAT,2006-05-06,12:00,FK Rīga,FC Ditton Daugavpils,0,0,D,,,
LAT,2006-05-06,15:00,FC Dinaburg,FK Liepājas Metalurgs,0,2,A,,,
LAT,2006-05-06,16:00,FK Jūrmala,Skonto FC,0,1,A,,,
LAT,2006-05-07,12:00,Dizvanagi Rezekne,FK Ventspils,0,3,A,,,
LAT,2006-05-13,12:00,FK Liepājas Metalurgs,FK Rīga,5,0,H,,,
LAT,2006-05-13,13:00,FC Ditton Daugavpils,Skonto FC,1,1,D,,,
LAT,2006-05-13,13:00,FK Ventspils,FC Dinaburg,3,2,H,,,
LAT,2006-05-13,16:00,FK Jūrmala,Dizvanagi Rezekne,2,1,H,,,
LAT,2006-05-17,16:00,Dizvanagi Rezekne,FC Dinaburg,1,3,A,,,
LAT,2006-05-17,16:00,FK Ventspils,FK Rīga,1,0,H,,,
LAT,2006-05-17,16:00,FK Liepājas Metalurgs,Skonto FC,2,1,H,,,
LAT,2006-05-17,16:00,FC Ditton Daugavpils,FK Jūrmala,2,1,H,,,
LAT,2006-05-21,11:00,FC Ditton Daugavpils,Dizvanagi Rezekne,1,0,H,,,
LAT,2006-05-21,16:00,FK Jūrmala,FK Liepājas Metalurgs,1,1,D,,,
LAT,2006-05-22,16:00,FK Rīga,FC Dinaburg,0,0,D,,,
LAT,2006-05-23,18:00,Skonto FC,FK Ventspils,1,1,D,,,
LAT,2006-06-04,12:00,Skonto FC,FK Rīga,5,1,H,,,
LAT,2006-06-04,12:00,FC Ditton Daugavpils,FK Ventspils,0,1,A,,,
LAT,2006-06-04,16:00,FK Jūrmala,FC Dinaburg,1,0,H,,,
LAT,2006-06-04,16:00,Dizvanagi Rezekne,FK Liepājas Metalurgs,0,0,D,,,
LAT,2006-06-12,16:00,FC Dinaburg,FC Ditton Daugavpils,1,3,A,,,
LAT,2006-06-13,16:00,Dizvanagi Rezekne,Skonto FC,0,2,A,,,
LAT,2006-06-13,16:00,FK Rīga,FK Jūrmala,2,1,H,,,
LAT,2006-06-13,16:00,FK Liepājas Metalurgs,FK Ventspils,0,1,A,,,
LAT,2006-06-18,13:00,FK Ventspils,Dizvanagi Rezekne,7,1,H,,,
LAT,2006-06-18,13:00,FK Rīga,FC Ditton Daugavpils,0,4,A,,,
LAT,2006-06-18,13:00,Skonto FC,FK Jūrmala,2,0,H,,,
LAT,2006-06-22,15:00,FK Rīga,FK Liepājas Metalurgs,0,4,A,,,
LAT,2006-06-22,16:00,Dizvanagi Rezekne,FK Jūrmala,0,1,A,,,
LAT,2006-06-22,17:00,Skonto FC,FC Ditton Daugavpils,0,0,D,,,
LAT,2006-07-02,16:00,FK Liepājas Metalurgs,FK Jūrmala,7,1,H,,,
LAT,2006-07-05,16:00,FC Dinaburg,Dizvanagi Rezekne,2,0,H,,,
LAT,2006-07-06,15:00,FK Rīga,FK Ventspils,0,2,A,,,
LAT,2006-07-06,18:15,Skonto FC,FK Liepājas Metalurgs,2,1,H,,,
LAT,2006-07-08,16:00,FK Jūrmala,FC Ditton Daugavpils,6,1,H,,,
LAT,2006-07-15,12:00,FC Dinaburg,FK Rīga,2,0,H,,,
LAT,2006-07-15,15:00,Dizvanagi Rezekne,FC Ditton Daugavpils,0,1,A,,,
LAT,2006-07-18,16:00,FK Ventspils,Skonto FC,1,0,H,,,
LAT,2006-07-22,13:00,Skonto FC,FC Dinaburg,2,0,H,,,
LAT,2006-07-22,16:00,FK Jūrmala,FK Ventspils,1,2,A,,,
LAT,2006-07-23,12:00,FK Rīga,Dizvanagi Rezekne,3,1,H,,,
LAT,2006-07-30,12:00,FC Dinaburg,FK Jūrmala,0,1,A,,,
LAT,2006-08-01,16:00,FK Ventspils,FC Ditton Daugavpils,1,1,D,,,
LAT,2006-08-01,16:00,FK Rīga,Skonto FC,1,2,A,,,
LAT,2006-08-19,13:00,Skonto FC,Dizvanagi Rezekne,6,0,H,,,
LAT,2006-08-19,16:00,FC Ditton Daugavpils,FC Dinaburg,2,4,A,,,
LAT,2006-08-20,12:00,FK Ventspils,FK Liepājas Metalurgs,1,2,A,,,
LAT,2006-08-20,16:00,FK Jūrmala,FK Rīga,2,1,H,,,
LAT,2006-08-23,16:00,Dizvanagi Rezekne,FK Liepājas Metalurgs,0,6,A,,,
LAT,2006-08-26,12:00,FC Ditton Daugavpils,FK Rīga,3,1,H,,,
LAT,2006-08-27,12:00,FC Dinaburg,FK Liepājas Metalurgs,1,2,A,,,
