Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
LTU,2007-04-07,13:00,FK Ekranas,FK Šiauliai,2,0,H,,,
LTU,2007-04-07,13:00,FK Atlantas,FK Zalgiris,1,2,A,,,
LTU,2007-04-07,13:00,Interas Visaginas,FBK Kaunas,2,3,A,,,
LTU,2007-04-07,13:00,FK Vilnius,FK Vetra,0,0,D,,,
LTU,2007-04-07,13:00,FK Sūduva,FK Šilutė,4,1,H,,,
LTU,2007-04-10,14:30,FK Zalgiris,FK Sūduva,1,0,H,,,
LTU,2007-04-11,14:30,FK Ekranas,FK Vilnius,0,0,D,,,
LTU,2007-04-11,14:30,Interas Visaginas,FK Šilutė,1,1,D,,,
LTU,2007-04-11,14:30,FK Vetra,FK Atlantas,2,1,H,,,
LTU,2007-04-11,16:30,FBK Kaunas,FK Šiauliai,2,1,H,,,
LTU,2007-04-15,14:00,FK Sūduva,FK Vetra,1,0,H,,,
LTU,2007-04-15,14:00,FK Šiauliai,Interas Visaginas,4,1,H,,,
LTU,2007-04-15,14:00,FK Atlantas,FK Ekranas,1,1,D,,,
LTU,2007-04-15,14:00,FK Šilutė,FK Zalgiris,0,0,D,,,
LTU,2007-04-15,14:00,FK Vilnius,FBK Kaunas,2,2,D,,,
LTU,2007-04-18,15:00,Interas Visaginas,FK Vilnius,0,3,A,,,
LTU,2007-04-18,15:00,FK Šiauliai,FK Šilutė,1,0,H,,,
LTU,2007-04-18,15:00,FK Ekranas,FK Sūduva,1,1,D,,,
LTU,2007-04-18,16:30,FBK Kaunas,FK Atlantas,4,0,H,,,
LTU,2007-04-18,17:00,FK Vetra,FK Zalgiris,1,1,D,,,
LTU,2007-04-22,12:00,FK Zalgiris,FK Ekranas,1,0,H,,,
LTU,2007-04-22,14:00,FK Atlantas,Interas Visaginas,0,0,D,,,
LTU,2007-04-22,15:00,FK Vilnius,FK Šiauliai,2,1,H,,,
LTU,2007-04-22,15:00,FK Šilutė,FK Vetra,0,3,A,,,
LTU,2007-04-22,15:00,FK Sūduva,FBK Kaunas,1,1,D,,,
LTU,2007-04-25,14:30,Interas Visaginas,FK Sūduva,0,7,A,,,
LTU,2007-04-25,15:30,FK Šiauliai,FK Atlantas,1,3,A,,,
LTU,2007-04-25,15:30,FK Ekranas,FK Vetra,0,0,D,,,
LTU,2007-04-25,16:30,FBK Kaunas,FK Zalgiris,1,1,D,,,
LTU,2007-04-25,17:00,FK Vilnius,FK Šilutė,4,0,H,,,
LTU,2007-04-29,13:00,FK Zalgiris,Interas Visaginas,3,2,H,,,
LTU,2007-04-29,15:00,FK Šilutė,FK Ekranas,0,5,A,,,
LTU,2007-04-29,15:00,FK Sūduva,FK Šiauliai,0,2,A,,,
LTU,2007-04-29,15:00,FK Atlantas,FK Vilnius,1,2,A,,,
LTU,2007-04-29,16:00,FK Vetra,FBK Kaunas,0,1,A,,,
LTU,2007-05-05,14:30,Interas Visaginas,FK Vetra,0,2,A,,,
LTU,2007-05-05,15:30,FK Šiauliai,FK Zalgiris,0,1,A,,,
LTU,2007-05-05,15:30,FK Atlantas,FK Šilutė,0,2,A,,,
LTU,2007-05-05,15:30,FK Vilnius,FK Sūduva,3,1,H,,,
LTU,2007-05-05,17:00,FBK Kaunas,FK Ekranas,1,1,D,,,
LTU,2007-05-08,14:30,FK Zalgiris,FK Vilnius,1,2,A,,,
