Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MAR,2008-09-12,23:00,Difaâ d'El Jadida,Olympique de Khouribga,2,0,H,,,
MAR,2008-09-13,16:00,AS Salé,FAR de Rabat,0,0,D,,,
MAR,2008-09-13,16:00,KAC de Kénitra,Moghreb de Tétouan,1,2,A,,,
MAR,2008-09-13,16:00,Mouloudia Oujda,Kawkab AC Marrakech,1,2,A,,,
MAR,2008-09-13,23:00,Raja Casablanca,Olympique de Safi,0,0,D,,,
MAR,2008-09-14,16:00,Ittihad Khémisset,SC Chabab Mohammédia,1,0,H,,,
MAR,2008-09-14,16:00,JS El Massira,Hassania US Agadir,1,0,H,,,
MAR,2008-09-14,23:00,Maghrib de Fès,Wydad AC,0,0,D,,,
MAR,2008-09-19,23:00,Olympique de Safi,JS El Massira,3,0,H,,,
MAR,2008-09-20,16:00,Kawkab AC Marrakech,Difaâ d'El Jadida,2,1,H,,,
MAR,2008-09-20,16:00,SC Chabab Mohammédia,Mouloudia Oujda,2,0,H,,,
MAR,2008-09-20,23:00,Olympique de Khouribga,Maghrib de Fès,1,0,H,,,
MAR,2008-09-20,23:00,Moghreb de Tétouan,AS Salé,2,1,H,,,
MAR,2008-09-20,23:00,Wydad AC,KAC de Kénitra,1,0,H,,,
MAR,2008-09-21,16:00,Hassania US Agadir,Ittihad Khémisset,2,0,H,,,
MAR,2008-09-21,23:00,FAR de Rabat,Raja Casablanca,4,1,H,,,
MAR,2008-09-26,23:00,Maghrib de Fès,Kawkab AC Marrakech,0,0,D,,,
MAR,2008-09-26,23:00,Raja Casablanca,Moghreb de Tétouan,1,1,D,,,
MAR,2008-09-27,13:00,Ittihad Khémisset,Olympique de Safi,1,0,H,,,
MAR,2008-09-28,16:00,Mouloudia Oujda,Hassania US Agadir,1,0,H,,,
MAR,2008-09-28,16:00,JS El Massira,FAR de Rabat,1,1,D,,,
MAR,2008-09-28,16:00,KAC de Kénitra,AS Salé,2,1,H,,,
MAR,2008-09-28,23:00,Wydad AC,Olympique de Khouribga,0,1,A,,,
MAR,2008-09-28,23:00,Difaâ d'El Jadida,SC Chabab Mohammédia,2,0,H,,,
MAR,2008-10-03,21:00,Olympique de Safi,Mouloudia Oujda,2,2,D,,,
MAR,2008-10-04,15:30,AS Salé,Raja Casablanca,1,0,H,,,
MAR,2008-10-04,15:30,Kawkab AC Marrakech,Wydad AC,1,1,D,,,
MAR,2008-10-04,15:30,Moghreb de Tétouan,JS El Massira,0,1,A,,,
MAR,2008-10-05,15:30,SC Chabab Mohammédia,Maghrib de Fès,0,1,A,,,
MAR,2008-10-05,15:30,Hassania US Agadir,Difaâ d'El Jadida,1,2,A,,,
MAR,2008-10-05,16:00,Olympique de Khouribga,KAC de Kénitra,1,0,H,,,
MAR,2008-10-05,19:00,FAR de Rabat,Ittihad Khémisset,1,0,H,,,
MAR,2008-10-10,21:00,Difaâ d'El Jadida,Olympique de Safi,0,0,D,,,
MAR,2008-10-11,15:30,Mouloudia Oujda,FAR de Rabat,1,1,D,,,
MAR,2008-10-11,15:30,Ittihad Khémisset,Moghreb de Tétouan,1,1,D,,,
MAR,2008-10-11,15:30,JS El Massira,AS Salé,2,0,H,,,
MAR,2008-10-12,15:30,Olympique de Khouribga,Kawkab AC Marrakech,2,1,H,,,
MAR,2008-10-12,15:30,KAC de Kénitra,Raja Casablanca,1,3,A,,,
MAR,2008-10-12,16:00,Wydad AC,SC Chabab Mohammédia,2,0,H,,,
MAR,2008-10-12,19:00,Maghrib de Fès,Hassania US Agadir,1,0,H,,,
MAR,2008-10-17,21:00,Kawkab AC Marrakech,KAC de Kénitra,2,1,H,,,
MAR,2008-10-18,15:30,Olympique de Safi,Maghrib de Fès,0,0,D,,,
MAR,2008-10-18,15:30,Moghreb de Tétouan,Mouloudia Oujda,1,0,H,,,
MAR,2008-10-18,15:30,AS Salé,Ittihad Khémisset,1,0,H,,,
MAR,2008-10-19,15:30,Hassania US Agadir,Wydad AC,0,0,D,,,
MAR,2008-10-19,15:30,SC Chabab Mohammédia,Olympique de Khouribga,0,0,D,,,
MAR,2008-10-19,16:00,FAR de Rabat,Difaâ d'El Jadida,1,0,H,,,
MAR,2008-10-19,19:00,Raja Casablanca,JS El Massira,5,0,H,,,
MAR,2008-10-24,21:00,Difaâ d'El Jadida,Moghreb de Tétouan,2,1,H,,,
MAR,2008-10-24,21:00,Wydad AC,Olympique de Safi,3,0,H,,,
MAR,2008-10-25,15:30,Mouloudia Oujda,AS Salé,1,2,A,,,
MAR,2008-10-25,15:30,Maghrib de Fès,FAR de Rabat,0,2,A,,,
MAR,2008-10-25,15:30,Kawkab AC Marrakech,SC Chabab Mohammédia,1,2,A,,,
MAR,2008-10-25,16:00,Ittihad Khémisset,Raja Casablanca,0,1,A,,,
MAR,2008-10-26,14:30,KAC de Kénitra,JS El Massira,2,1,H,,,
MAR,2008-10-31,20:00,Olympique de Safi,Olympique de Khouribga,1,1,D,,,
MAR,2008-11-01,14:30,SC Chabab Mohammédia,KAC de Kénitra,1,1,D,,,
MAR,2008-11-01,14:30,JS El Massira,Ittihad Khémisset,1,1,D,,,
MAR,2008-11-01,15:00,Moghreb de Tétouan,Maghrib de Fès,2,1,H,,,
MAR,2008-11-02,14:30,Hassania US Agadir,Kawkab AC Marrakech,0,0,D,,,
MAR,2008-11-02,14:30,Raja Casablanca,Mouloudia Oujda,1,0,H,,,
MAR,2008-11-02,14:30,AS Salé,Difaâ d'El Jadida,0,1,A,,,
MAR,2008-11-02,14:30,FAR de Rabat,Wydad AC,2,0,H,,,
MAR,2008-11-05,14:30,Kawkab AC Marrakech,Olympique de Safi,0,0,D,,,
MAR,2008-11-05,14:30,KAC de Kénitra,Ittihad Khémisset,1,1,D,,,
MAR,2008-11-05,14:30,Difaâ d'El Jadida,Raja Casablanca,1,2,A,,,
MAR,2008-11-05,14:30,Maghrib de Fès,AS Salé,1,1,D,,,
MAR,2008-11-05,14:30,SC Chabab Mohammédia,Hassania US Agadir,1,1,D,,,
MAR,2008-11-05,14:30,Olympique de Khouribga,FAR de Rabat,1,0,H,,,
MAR,2008-11-05,14:30,Mouloudia Oujda,JS El Massira,1,0,H,,,
MAR,2008-11-05,20:00,Wydad AC,Moghreb de Tétouan,0,0,D,,,
MAR,2008-11-09,14:30,Hassania US Agadir,KAC de Kénitra,2,1,H,,,
