Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MKD,11/08/2012,16:00,FK Renova,Napredok Kičevo,1,1,D,1,1,D
MKD,12/08/2012,16:00,FK Teteks,FK Turnovo,0,1,A,0,0,D
MKD,12/08/2012,16:00,FK Drita,FK Bregalnica Štip,0,1,A,0,1,A
MKD,12/08/2012,16:00,Sileks Kratovo,Metalurg Skopje,0,2,A,0,1,A
MKD,12/08/2012,16:00,FK Pelister,KF Shkëndija 79,1,1,D,0,0,D
MKD,12/08/2012,19:00,Vardar Skopje,FK Rabotnički,3,2,H,3,0,H
MKD,18/08/2012,16:00,FK Turnovo,KF Shkëndija 79,3,2,H,0,1,A
MKD,18/08/2012,16:00,FK Rabotnički,FK Drita,2,2,D,1,1,D
MKD,18/08/2012,16:00,FK Teteks,FK Renova,0,3,A,0,1,A
MKD,19/08/2012,16:00,Napredok Kičevo,Vardar Skopje,1,0,H,0,0,D
MKD,19/08/2012,16:00,Metalurg Skopje,FK Pelister,1,0,H,1,0,H
MKD,19/08/2012,16:00,FK Bregalnica Štip,Sileks Kratovo,2,0,H,1,0,H
MKD,25/08/2012,16:00,FK Renova,FK Turnovo,0,0,D,0,0,D
MKD,26/08/2012,16:00,FK Drita,Napredok Kičevo,3,0,H,2,0,H
MKD,26/08/2012,16:00,Sileks Kratovo,FK Rabotnički,3,5,A,2,0,H
MKD,26/08/2012,16:00,FK Pelister,FK Bregalnica Štip,1,0,H,0,0,D
MKD,26/08/2012,16:00,KF Shkëndija 79,Metalurg Skopje,1,0,H,0,0,D
MKD,26/08/2012,19:00,Vardar Skopje,FK Teteks,4,0,H,2,0,H
MKD,29/08/2012,16:00,FK Turnovo,Metalurg Skopje,2,0,H,1,0,H
MKD,29/08/2012,16:00,FK Bregalnica Štip,KF Shkëndija 79,0,0,D,0,0,D
MKD,29/08/2012,16:00,FK Rabotnički,FK Pelister,2,1,H,1,0,H
MKD,29/08/2012,16:00,Napredok Kičevo,Sileks Kratovo,1,0,H,1,0,H
MKD,29/08/2012,16:00,FK Renova,Vardar Skopje,0,2,A,0,0,D
MKD,30/08/2012,16:00,FK Teteks,FK Drita,1,2,A,0,2,A
MKD,02/09/2012,15:30,FK Drita,FK Renova,2,4,A,0,3,A
MKD,02/09/2012,15:30,FK Pelister,Napredok Kičevo,2,0,H,1,0,H
MKD,02/09/2012,15:30,KF Shkëndija 79,FK Rabotnički,5,1,H,3,1,H
MKD,02/09/2012,15:30,Metalurg Skopje,FK Bregalnica Štip,2,1,H,0,0,D
MKD,02/09/2012,19:00,Vardar Skopje,FK Turnovo,5,1,H,3,0,H
MKD,03/09/2012,15:30,Sileks Kratovo,FK Teteks,2,1,H,0,0,D
MKD,15/09/2012,14:30,FK Rabotnički,Metalurg Skopje,2,0,H,1,0,H
MKD,15/09/2012,14:30,FK Renova,Sileks Kratovo,2,0,H,1,0,H
MKD,16/09/2012,14:30,FK Turnovo,FK Bregalnica Štip,2,0,H,2,0,H
MKD,16/09/2012,14:30,Napredok Kičevo,KF Shkëndija 79,3,1,H,2,0,H
MKD,16/09/2012,14:30,FK Teteks,FK Pelister,2,0,H,1,0,H
MKD,16/09/2012,19:00,Vardar Skopje,FK Drita,4,0,H,1,0,H
MKD,22/09/2012,14:00,FK Drita,FK Turnovo,0,0,D,0,0,D
MKD,22/09/2012,14:00,Metalurg Skopje,Napredok Kičevo,3,2,H,1,0,H
MKD,23/09/2012,14:00,Sileks Kratovo,Vardar Skopje,0,0,D,0,0,D
MKD,23/09/2012,14:00,FK Pelister,FK Renova,3,1,H,0,0,D
MKD,23/09/2012,14:00,KF Shkëndija 79,FK Teteks,4,1,H,2,1,H
MKD,23/09/2012,14:00,FK Bregalnica Štip,FK Rabotnički,2,0,H,1,0,H
MKD,29/09/2012,14:00,FK Renova,KF Shkëndija 79,0,3,A,0,1,A
MKD,30/09/2012,14:00,FK Turnovo,FK Rabotnički,3,0,H,1,0,H
MKD,30/09/2012,14:00,Napredok Kičevo,FK Bregalnica Štip,2,1,H,0,0,D
MKD,30/09/2012,14:00,FK Teteks,Metalurg Skopje,0,1,A,0,1,A
MKD,30/09/2012,14:00,FK Drita,Sileks Kratovo,2,1,H,2,1,H
MKD,30/09/2012,18:00,Vardar Skopje,FK Pelister,3,1,H,1,0,H
MKD,07/10/2012,14:00,Sileks Kratovo,FK Turnovo,1,1,D,0,1,A
MKD,07/10/2012,14:00,FK Pelister,FK Drita,1,1,D,0,1,A
MKD,07/10/2012,14:00,KF Shkëndija 79,Vardar Skopje,2,1,H,1,0,H
MKD,07/10/2012,14:00,Metalurg Skopje,FK Renova,4,0,H,3,0,H
MKD,07/10/2012,14:00,FK Bregalnica Štip,FK Teteks,2,0,H,1,0,H
MKD,07/10/2012,14:00,FK Rabotnički,Napredok Kičevo,0,1,A,0,0,D
MKD,20/10/2012,13:00,FK Renova,FK Bregalnica Štip,2,0,H,1,0,H
MKD,21/10/2012,13:00,FK Turnovo,Napredok Kičevo,1,0,H,0,0,D
MKD,21/10/2012,13:00,FK Teteks,FK Rabotnički,1,1,D,0,1,A
MKD,21/10/2012,13:00,Vardar Skopje,Metalurg Skopje,1,1,D,0,1,A
MKD,21/10/2012,13:00,FK Drita,KF Shkëndija 79,2,2,D,0,0,D
MKD,21/10/2012,13:00,Sileks Kratovo,FK Pelister,2,0,H,2,0,H
MKD,28/10/2012,12:00,FK Pelister,FK Turnovo,1,1,D,0,0,D
MKD,28/10/2012,12:00,KF Shkëndija 79,Sileks Kratovo,1,0,H,0,0,D
MKD,28/10/2012,12:00,Metalurg Skopje,FK Drita,0,1,A,0,1,A
MKD,28/10/2012,12:00,FK Bregalnica Štip,Vardar Skopje,1,1,D,0,0,D
MKD,28/10/2012,12:00,FK Rabotnički,FK Renova,3,0,H,2,0,H
MKD,28/10/2012,12:00,Napredok Kičevo,FK Teteks,2,0,H,2,0,H
MKD,31/10/2012,12:00,FK Turnovo,FK Teteks,0,0,D,0,0,D
MKD,31/10/2012,12:00,Napredok Kičevo,FK Renova,2,0,H,0,0,D
MKD,31/10/2012,12:00,FK Rabotnički,Vardar Skopje,0,2,A,0,0,D
MKD,31/10/2012,12:00,FK Bregalnica Štip,FK Drita,3,0,H,1,0,H
MKD,31/10/2012,12:00,Metalurg Skopje,Sileks Kratovo,1,1,D,1,0,H
MKD,31/10/2012,12:00,KF Shkëndija 79,FK Pelister,3,1,H,3,1,H
MKD,03/11/2012,12:00,FK Renova,FK Teteks,1,0,H,0,0,D
MKD,04/11/2012,12:00,Vardar Skopje,Napredok Kičevo,1,0,H,1,0,H
MKD,04/11/2012,12:00,KF Shkëndija 79,FK Turnovo,1,2,A,0,1,A
MKD,04/11/2012,12:00,FK Pelister,Metalurg Skopje,0,1,A,0,0,D
MKD,04/11/2012,12:00,Sileks Kratovo,FK Bregalnica Štip,2,1,H,1,0,H
MKD,04/11/2012,12:00,FK Drita,FK Rabotnički,1,0,H,0,0,D
MKD,11/11/2012,12:00,FK Teteks,Vardar Skopje,0,0,D,0,0,D
MKD,11/11/2012,12:00,FK Turnovo,FK Renova,2,0,H,1,0,H
MKD,11/11/2012,12:00,Napredok Kičevo,FK Drita,1,1,D,0,1,A
MKD,11/11/2012,12:00,FK Rabotnički,Sileks Kratovo,1,0,H,1,0,H
MKD,11/11/2012,12:00,FK Bregalnica Štip,FK Pelister,1,0,H,0,0,D
MKD,11/11/2012,12:00,Metalurg Skopje,KF Shkëndija 79,0,1,A,0,1,A
