Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MNE,2013-08-10,16:30,OFK Petrovac,FK Dečić Tuzi,0,0,D,,,
MNE,2013-08-10,16:30,FK Sutjeska,FK Mornar Bar,2,0,H,,,
MNE,2013-08-10,16:30,FK Grbalj Radanovići,FK Mogren Budva,0,1,A,,,
MNE,2013-08-10,16:30,FK Rudar Pljevlja,FK Celik,1,2,A,,,
MNE,2013-08-10,16:30,FK Zeta,FK Lovćen,1,0,H,,,
MNE,2013-08-11,17:00,FK Budućnost Podgorica,FK Mladost Podgorica,1,1,D,,,
MNE,2013-08-17,16:00,FK Dečić Tuzi,FK Lovćen,0,0,D,,,
MNE,2013-08-17,16:00,FK Celik,FK Zeta,2,0,H,,,
MNE,2013-08-17,16:00,FK Mladost Podgorica,FK Rudar Pljevlja,2,1,H,,,
MNE,2013-08-17,16:00,FK Mornar Bar,FK Grbalj Radanovići,1,2,A,,,
MNE,2013-08-17,16:00,OFK Petrovac,FK Sutjeska,2,2,D,,,
MNE,2013-08-18,16:00,FK Mogren Budva,FK Budućnost Podgorica,1,0,H,,,
MNE,2013-08-24,16:00,FK Grbalj Radanovići,OFK Petrovac,2,2,D,,,
MNE,2013-08-24,16:00,FK Budućnost Podgorica,FK Mornar Bar,1,2,A,,,
MNE,2013-08-24,16:00,FK Rudar Pljevlja,FK Mogren Budva,1,1,D,,,
MNE,2013-08-24,16:00,FK Zeta,FK Mladost Podgorica,1,0,H,,,
MNE,2013-08-24,16:00,FK Lovćen,FK Celik,0,2,A,,,
MNE,2013-08-25,16:00,FK Sutjeska,FK Dečić Tuzi,4,1,H,,,
MNE,2013-08-28,16:00,FK Dečić Tuzi,FK Celik,2,2,D,,,
MNE,2013-08-28,16:00,FK Mladost Podgorica,FK Lovćen,0,2,A,,,
MNE,2013-08-28,16:00,FK Mogren Budva,FK Zeta,4,3,H,,,
MNE,2013-08-28,16:00,FK Mornar Bar,FK Rudar Pljevlja,0,0,D,,,
MNE,2013-08-28,16:00,OFK Petrovac,FK Budućnost Podgorica,1,3,A,,,
MNE,2013-08-28,16:00,FK Sutjeska,FK Grbalj Radanovići,0,1,A,,,
MNE,2013-08-31,16:00,FK Grbalj Radanovići,FK Dečić Tuzi,3,1,H,,,
MNE,2013-08-31,16:00,FK Rudar Pljevlja,OFK Petrovac,0,1,A,,,
MNE,2013-08-31,16:00,FK Zeta,FK Mornar Bar,5,2,H,,,
MNE,2013-08-31,16:00,FK Lovćen,FK Mogren Budva,1,3,A,,,
MNE,2013-08-31,16:00,FK Celik,FK Mladost Podgorica,3,1,H,,,
MNE,2013-09-01,16:00,FK Budućnost Podgorica,FK Sutjeska,0,0,D,,,
MNE,2013-09-14,15:00,FK Dečić Tuzi,FK Mladost Podgorica,0,1,A,,,
MNE,2013-09-14,15:00,FK Mornar Bar,FK Lovćen,0,1,A,,,
MNE,2013-09-14,15:00,OFK Petrovac,FK Zeta,1,2,A,,,
MNE,2013-09-14,15:00,FK Sutjeska,FK Rudar Pljevlja,2,2,D,,,
MNE,2013-09-14,15:00,FK Grbalj Radanovići,FK Budućnost Podgorica,0,1,A,,,
MNE,2013-09-15,15:00,FK Mogren Budva,FK Celik,1,1,D,,,
MNE,2013-09-21,14:30,FK Budućnost Podgorica,FK Dečić Tuzi,2,0,H,,,
MNE,2013-09-21,14:30,FK Rudar Pljevlja,FK Grbalj Radanovići,1,0,H,,,
MNE,2013-09-21,14:30,FK Lovćen,OFK Petrovac,0,1,A,,,
MNE,2013-09-21,14:30,FK Celik,FK Mornar Bar,3,0,H,,,
MNE,2013-09-21,14:30,FK Mladost Podgorica,FK Mogren Budva,0,0,D,,,
MNE,2013-09-22,14:00,FK Zeta,FK Sutjeska,0,2,A,,,
MNE,2013-09-25,14:00,FK Dečić Tuzi,FK Mogren Budva,1,1,D,,,
MNE,2013-09-25,14:00,FK Mornar Bar,FK Mladost Podgorica,4,2,H,,,
MNE,2013-09-25,14:00,OFK Petrovac,FK Celik,1,0,H,,,
MNE,2013-09-25,14:00,FK Sutjeska,FK Lovćen,0,0,D,,,
MNE,2013-09-25,14:00,FK Grbalj Radanovići,FK Zeta,2,0,H,,,
MNE,2013-09-25,14:00,FK Budućnost Podgorica,FK Rudar Pljevlja,0,1,A,,,
MNE,2013-09-28,14:00,FK Rudar Pljevlja,FK Dečić Tuzi,2,1,H,,,
MNE,2013-09-28,14:00,FK Zeta,FK Budućnost Podgorica,0,1,A,,,
MNE,2013-09-28,14:00,FK Lovćen,FK Grbalj Radanovići,4,0,H,,,
MNE,2013-09-28,14:00,FK Mladost Podgorica,OFK Petrovac,1,2,A,,,
MNE,2013-09-28,14:00,FK Mogren Budva,FK Mornar Bar,2,2,D,,,
MNE,2013-09-29,14:00,FK Celik,FK Sutjeska,0,0,D,,,
MNE,2013-10-05,14:00,FK Dečić Tuzi,FK Mornar Bar,2,0,H,,,
MNE,2013-10-05,14:00,FK Sutjeska,FK Mladost Podgorica,2,0,H,,,
MNE,2013-10-05,14:00,FK Grbalj Radanovići,FK Celik,1,0,H,,,
MNE,2013-10-05,14:00,FK Budućnost Podgorica,FK Lovćen,2,1,H,,,
MNE,2013-10-05,14:00,FK Rudar Pljevlja,FK Zeta,0,1,A,,,
MNE,2013-10-06,14:00,OFK Petrovac,FK Mogren Budva,2,0,H,,,
MNE,2013-10-19,13:30,FK Zeta,FK Dečić Tuzi,2,2,D,,,
MNE,2013-10-19,13:30,FK Lovćen,FK Rudar Pljevlja,2,1,H,,,
MNE,2013-10-19,13:30,FK Celik,FK Budućnost Podgorica,2,1,H,,,
MNE,2013-10-19,13:30,FK Mladost Podgorica,FK Grbalj Radanovići,1,1,D,,,
MNE,2013-10-19,13:30,FK Mornar Bar,OFK Petrovac,0,2,A,,,
MNE,2013-10-20,13:00,FK Mogren Budva,FK Sutjeska,0,3,A,,,
MNE,2013-10-26,12:30,FK Dečić Tuzi,OFK Petrovac,1,1,D,,,
MNE,2013-10-26,12:30,FK Mornar Bar,FK Sutjeska,0,1,A,,,
MNE,2013-10-26,12:30,FK Mogren Budva,FK Grbalj Radanovići,3,1,H,,,
MNE,2013-10-26,12:30,FK Mladost Podgorica,FK Budućnost Podgorica,1,2,A,,,
MNE,2013-10-26,12:30,FK Celik,FK Rudar Pljevlja,2,1,H,,,
MNE,2013-10-26,12:30,FK Lovćen,FK Zeta,4,1,H,,,
MNE,2013-11-02,12:30,FK Lovćen,FK Dečić Tuzi,1,1,D,,,
MNE,2013-11-02,12:30,FK Zeta,FK Celik,1,1,D,,,
MNE,2013-11-02,12:30,FK Budućnost Podgorica,FK Mogren Budva,2,0,H,,,
MNE,2013-11-02,12:30,FK Grbalj Radanovići,FK Mornar Bar,0,0,D,,,
MNE,2013-11-02,12:30,FK Sutjeska,OFK Petrovac,2,0,H,,,
MNE,2013-11-03,12:30,FK Rudar Pljevlja,FK Mladost Podgorica,2,0,H,,,
MNE,2013-11-09,12:30,FK Dečić Tuzi,FK Sutjeska,0,1,A,,,
MNE,2013-11-09,12:30,FK Mornar Bar,FK Budućnost Podgorica,1,1,D,,,
MNE,2013-11-09,12:30,FK Mogren Budva,FK Rudar Pljevlja,0,1,A,,,
MNE,2013-11-09,12:30,FK Mladost Podgorica,FK Zeta,2,1,H,,,
MNE,2013-11-09,12:30,FK Celik,FK Lovćen,0,1,A,,,
MNE,2013-11-10,12:30,OFK Petrovac,FK Grbalj Radanovići,1,1,D,,,
MNE,2013-11-27,12:00,FK Celik,FK Dečić Tuzi,1,1,D,,,
MNE,2013-11-27,12:00,FK Lovćen,FK Mladost Podgorica,1,0,H,,,
MNE,2013-11-27,12:00,FK Zeta,FK Mogren Budva,5,2,H,,,
MNE,2013-11-27,12:00,FK Budućnost Podgorica,OFK Petrovac,1,2,A,,,
MNE,2013-11-27,12:00,FK Grbalj Radanovići,FK Sutjeska,2,2,D,,,
MNE,2013-11-30,12:00,FK Dečić Tuzi,FK Grbalj Radanovići,3,0,H,,,
MNE,2013-11-30,12:00,OFK Petrovac,FK Rudar Pljevlja,0,0,D,,,
MNE,2013-11-30,12:00,FK Mornar Bar,FK Zeta,4,0,H,,,
MNE,2013-11-30,12:00,FK Mogren Budva,FK Lovćen,2,3,A,,,
MNE,2013-11-30,12:00,FK Mladost Podgorica,FK Celik,0,1,A,,,
MNE,2013-12-01,12:00,FK Sutjeska,FK Budućnost Podgorica,1,1,D,,,
MNE,2013-12-04,12:00,FK Rudar Pljevlja,FK Mornar Bar,1,1,D,,,
