Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NED,26/08/1978,,VVV-Venlo,FC Den Haag,1,0,H,1,0,H
NED,26/08/1978,,Go Ahead Eagles,HFC Haarlem,2,2,D,1,2,A
NED,26/08/1978,,NAC Breda,AFC Ajax,1,7,A,0,5,A
NED,26/08/1978,,PSV Eindhoven,AZ '67 Alkmaar,3,1,H,1,0,H
NED,27/08/1978,,FC Twente,PEC Zwolle,1,1,D,0,1,A
NED,27/08/1978,,FC Volendam,FC Utrecht,0,1,A,0,0,D
NED,27/08/1978,,Feyenoord,NEC Nijmegen,0,0,D,0,0,D
NED,27/08/1978,,Roda JC Kerkrade,MVV,3,0,H,1,0,H
NED,27/08/1978,,Vitesse,Sparta Rotterdam,2,2,D,1,1,D
NED,30/08/1978,,AFC Ajax,Go Ahead Eagles,3,2,H,3,0,H
NED,30/08/1978,,AZ '67 Alkmaar,VVV-Venlo,8,1,H,4,0,H
NED,30/08/1978,,FC Den Haag,Vitesse,2,0,H,0,0,D
NED,30/08/1978,,FC Utrecht,FC Twente,1,1,D,1,1,D
NED,30/08/1978,,HFC Haarlem,PSV Eindhoven,0,5,A,0,4,A
NED,30/08/1978,,MVV,FC Volendam,0,2,A,0,1,A
NED,30/08/1978,,NEC Nijmegen,Roda JC Kerkrade,0,0,D,0,0,D
NED,30/08/1978,,PEC Zwolle,NAC Breda,1,1,D,1,1,D
NED,30/08/1978,,Sparta Rotterdam,Feyenoord,1,0,H,0,0,D
NED,02/09/1978,,AZ '67 Alkmaar,Vitesse,0,2,A,0,0,D
NED,02/09/1978,,FC Den Haag,Feyenoord,1,1,D,0,0,D
NED,02/09/1978,,Go Ahead Eagles,PSV Eindhoven,1,1,D,0,0,D
NED,02/09/1978,,MVV,FC Twente,0,0,D,0,0,D
NED,02/09/1978,,NEC Nijmegen,FC Volendam,4,1,H,1,0,H
NED,02/09/1978,,Sparta Rotterdam,Roda JC Kerkrade,0,1,A,0,0,D
NED,03/09/1978,,AFC Ajax,PEC Zwolle,4,2,H,3,0,H
NED,03/09/1978,,FC Utrecht,NAC Breda,1,1,D,0,0,D
NED,03/09/1978,,HFC Haarlem,VVV-Venlo,2,0,H,0,0,D
NED,09/09/1978,,AFC Ajax,PSV Eindhoven,2,0,H,0,0,D
NED,09/09/1978,,AZ '67 Alkmaar,Feyenoord,2,2,D,1,0,H
NED,09/09/1978,,FC Den Haag,Roda JC Kerkrade,0,3,A,0,1,A
NED,09/09/1978,,Go Ahead Eagles,VVV-Venlo,2,0,H,0,0,D
NED,09/09/1978,,MVV,NAC Breda,1,1,D,0,0,D
NED,09/09/1978,,NEC Nijmegen,FC Twente,0,0,D,0,0,D
NED,09/09/1978,,Sparta Rotterdam,FC Volendam,3,0,H,0,0,D
NED,10/09/1978,,FC Utrecht,PEC Zwolle,1,1,D,1,0,H
NED,10/09/1978,,HFC Haarlem,Vitesse,1,1,D,0,0,D
NED,16/09/1978,,NAC Breda,NEC Nijmegen,2,2,D,1,0,H
NED,16/09/1978,,PEC Zwolle,MVV,0,2,A,0,0,D
NED,17/09/1978,,FC Twente,Sparta Rotterdam,2,1,H,0,0,D
NED,17/09/1978,,FC Utrecht,AFC Ajax,1,4,A,1,3,A
NED,17/09/1978,,FC Volendam,FC Den Haag,1,1,D,0,0,D
NED,17/09/1978,,VVV-Venlo,PSV Eindhoven,0,5,A,0,2,A
NED,17/09/1978,,Feyenoord,HFC Haarlem,5,0,H,3,0,H
NED,17/09/1978,,Roda JC Kerkrade,AZ '67 Alkmaar,3,1,H,2,1,H
NED,17/09/1978,,Vitesse,Go Ahead Eagles,0,0,D,0,0,D
NED,23/09/1978,,AFC Ajax,VVV-Venlo,4,0,H,2,0,H
NED,23/09/1978,,AZ '67 Alkmaar,FC Volendam,4,1,H,2,0,H
NED,23/09/1978,,Go Ahead Eagles,Feyenoord,2,1,H,0,1,A
NED,23/09/1978,,MVV,FC Utrecht,1,0,H,0,0,D
NED,23/09/1978,,NEC Nijmegen,PEC Zwolle,0,0,D,0,0,D
NED,23/09/1978,,PSV Eindhoven,Vitesse,5,0,H,4,0,H
NED,23/09/1978,,Sparta Rotterdam,NAC Breda,3,2,H,2,0,H
NED,24/09/1978,,FC Den Haag,FC Twente,0,0,D,0,0,D
NED,24/09/1978,,HFC Haarlem,Roda JC Kerkrade,1,1,D,1,1,D
NED,30/09/1978,,MVV,AFC Ajax,1,0,H,1,0,H
NED,30/09/1978,,NAC Breda,FC Den Haag,3,1,H,1,1,D
NED,30/09/1978,,PEC Zwolle,Sparta Rotterdam,0,0,D,0,0,D
NED,01/10/1978,,FC Twente,AZ '67 Alkmaar,4,2,H,1,1,D
NED,01/10/1978,,FC Volendam,HFC Haarlem,4,0,H,2,0,H
NED,01/10/1978,,Feyenoord,PSV Eindhoven,1,0,H,1,0,H
NED,01/10/1978,,Roda JC Kerkrade,Go Ahead Eagles,1,1,D,0,1,A
NED,01/10/1978,,Vitesse,VVV-Venlo,1,1,D,1,0,H
NED,08/11/1978,,FC Utrecht,NEC Nijmegen,2,4,A,1,3,A
NED,07/10/1978,,AZ '67 Alkmaar,NAC Breda,5,1,H,3,1,H
NED,07/10/1978,,FC Den Haag,PEC Zwolle,0,0,D,0,0,D
NED,07/10/1978,,Go Ahead Eagles,FC Volendam,2,1,H,1,0,H
NED,07/10/1978,,NEC Nijmegen,MVV,1,1,D,1,0,H
NED,07/10/1978,,PSV Eindhoven,Roda JC Kerkrade,2,1,H,1,1,D
NED,07/10/1978,,Sparta Rotterdam,FC Utrecht,2,0,H,0,0,D
NED,08/10/1978,,AFC Ajax,Vitesse,4,0,H,0,0,D
NED,08/10/1978,,VVV-Venlo,Feyenoord,0,0,D,0,0,D
NED,08/10/1978,,HFC Haarlem,FC Twente,2,2,D,1,1,D
NED,21/10/1978,,FC Twente,Go Ahead Eagles,1,2,A,0,1,A
NED,21/10/1978,,FC Utrecht,FC Den Haag,5,3,H,3,1,H
NED,21/10/1978,,MVV,Sparta Rotterdam,3,1,H,2,1,H
NED,21/10/1978,,NAC Breda,HFC Haarlem,1,1,D,1,0,H
NED,21/10/1978,,PEC Zwolle,AZ '67 Alkmaar,0,0,D,0,0,D
NED,22/10/1978,,FC Volendam,PSV Eindhoven,1,2,A,1,0,H
NED,22/10/1978,,Feyenoord,Vitesse,3,0,H,1,0,H
NED,22/10/1978,,NEC Nijmegen,AFC Ajax,0,2,A,0,0,D
NED,22/10/1978,,Roda JC Kerkrade,VVV-Venlo,2,1,H,1,0,H
NED,28/10/1978,,AFC Ajax,Feyenoord,0,0,D,0,0,D
NED,28/10/1978,,AZ '67 Alkmaar,FC Utrecht,3,0,H,1,0,H
NED,28/10/1978,,FC Den Haag,MVV,1,1,D,1,1,D
NED,28/10/1978,,Go Ahead Eagles,NAC Breda,1,0,H,1,0,H
NED,28/10/1978,,PSV Eindhoven,FC Twente,1,0,H,1,0,H
NED,29/10/1978,,VVV-Venlo,FC Volendam,1,1,D,0,0,D
NED,29/10/1978,,HFC Haarlem,PEC Zwolle,2,1,H,1,0,H
NED,29/10/1978,,Sparta Rotterdam,NEC Nijmegen,1,0,H,0,0,D
NED,29/10/1978,,Vitesse,Roda JC Kerkrade,2,5,A,1,2,A
NED,04/11/1978,,FC Utrecht,HFC Haarlem,4,0,H,2,0,H
NED,04/11/1978,,MVV,AZ '67 Alkmaar,1,3,A,0,1,A
NED,04/11/1978,,NAC Breda,PSV Eindhoven,0,2,A,0,1,A
NED,04/11/1978,,PEC Zwolle,Go Ahead Eagles,1,1,D,0,0,D
NED,05/11/1978,,FC Twente,VVV-Venlo,2,0,H,1,0,H
NED,05/11/1978,,FC Volendam,Vitesse,2,2,D,1,2,A
NED,05/11/1978,,NEC Nijmegen,FC Den Haag,0,2,A,0,2,A
NED,05/11/1978,,Roda JC Kerkrade,Feyenoord,1,1,D,1,1,D
