Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NGA,2013-03-09,15:00,Enugu Rangers,Enyimba Aba,1,0,H,,,
NGA,2013-03-10,15:00,Heartland FC,Nembe City FC,1,2,A,,,
NGA,2013-03-10,15:00,Nasarawa United FC,El-Kanemi Warriors,0,0,D,,,
NGA,2013-03-10,15:00,Akwa United,Dolphins FC,1,0,H,,,
NGA,2013-03-10,15:00,Sharks FC,Warri Wolves,2,1,H,,,
NGA,2013-03-10,15:00,Wikki Tourists,Kano Pillars,0,1,A,,,
NGA,2013-03-10,15:00,Sunshine Stars,Kaduna United,1,0,H,,,
NGA,2013-03-10,15:00,Bayelsa United,Lobi Stars,1,0,H,,,
NGA,2013-03-10,15:00,Shooting Stars FC,Gombe United,2,0,H,,,
NGA,2013-03-10,15:00,Bukola Babes,Kwara United,0,0,D,,,
NGA,2013-03-20,15:00,Kano Pillars,Bayelsa United,1,0,H,,,
NGA,2013-03-20,15:00,Kwara United,Sunshine Stars,1,1,D,,,
NGA,2013-03-20,15:00,El-Kanemi Warriors,Wikki Tourists,0,0,D,,,
NGA,2013-03-20,15:00,Gombe United,Bukola Babes,1,0,H,,,
NGA,2013-03-21,15:00,Lobi Stars,Akwa United,2,1,H,,,
NGA,2013-03-21,15:00,Dolphins FC,Shooting Stars FC,1,0,H,,,
NGA,2013-03-21,15:00,Kaduna United,Sharks FC,2,0,H,,,
NGA,2013-03-21,15:00,Warri Wolves,Heartland FC,1,1,D,,,
NGA,2013-03-21,15:00,Enyimba Aba,Nasarawa United FC,1,0,H,,,
NGA,2013-03-22,15:00,Nembe City FC,Enugu Rangers,1,2,A,,,
NGA,2013-03-24,15:00,Bayelsa United,Wikki Tourists,2,0,H,,,
NGA,2013-03-24,15:00,Akwa United,Kano Pillars,1,0,H,,,
NGA,2013-03-24,15:00,Shooting Stars FC,Lobi Stars,3,1,H,,,
NGA,2013-03-24,15:00,Bukola Babes,Dolphins FC,1,0,H,,,
NGA,2013-03-24,15:00,Sunshine Stars,Gombe United,3,2,H,,,
NGA,2013-03-24,15:00,Sharks FC,Kwara United,0,1,A,,,
NGA,2013-03-24,15:00,Heartland FC,Kaduna United,4,1,H,,,
NGA,2013-03-24,15:00,Enyimba Aba,El-Kanemi Warriors,2,0,H,,,
NGA,2013-03-25,15:00,Enugu Rangers,Warri Wolves,0,0,D,,,
NGA,2013-03-25,15:00,Nasarawa United FC,Nembe City FC,2,1,H,,,
NGA,2013-03-27,15:00,Wikki Tourists,Akwa United,2,0,H,,,
NGA,2013-03-27,15:00,Kwara United,Heartland FC,1,0,H,,,
NGA,2013-03-28,15:00,Kano Pillars,Shooting Stars FC,2,0,H,,,
NGA,2013-03-28,15:00,Kaduna United,Enugu Rangers,1,1,D,,,
NGA,2013-03-28,15:00,Warri Wolves,Nasarawa United FC,0,0,D,,,
NGA,2013-03-28,15:00,Nembe City FC,Enyimba Aba,1,1,D,,,
NGA,2013-03-28,15:00,El-Kanemi Warriors,Bayelsa United,2,2,D,,,
NGA,2013-03-28,15:00,Lobi Stars,Bukola Babes,1,0,H,,,
NGA,2013-03-28,15:00,Dolphins FC,Sunshine Stars,1,1,D,,,
NGA,2013-03-28,15:00,Gombe United,Sharks FC,2,0,H,,,
NGA,2013-03-31,16:00,Shooting Stars FC,Wikki Tourists,3,2,H,,,
NGA,2013-03-31,16:00,Sharks FC,Dolphins FC,0,0,D,,,
NGA,2013-03-31,16:00,Nasarawa United FC,Kaduna United,3,1,H,,,
NGA,2013-03-31,16:00,Akwa United,Bayelsa United,3,0,H,,,
NGA,2013-03-31,16:00,Bukola Babes,Kano Pillars,2,3,A,,,
NGA,2013-03-31,16:00,Heartland FC,Gombe United,4,0,H,,,
NGA,2013-03-31,16:00,Enugu Rangers,Kwara United,3,1,H,,,
NGA,2013-03-31,16:00,Enyimba Aba,Warri Wolves,0,0,D,,,
NGA,2013-03-31,16:00,Nembe City FC,El-Kanemi Warriors,2,1,H,,,
NGA,2013-04-10,16:00,Wikki Tourists,Bukola Babes,1,0,H,,,
NGA,2013-04-10,16:00,Kano Pillars,Sunshine Stars,1,0,H,,,
