Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NOR,1950-08-06,,SK Brann,Lisleby FK,3,3,D,,,
NOR,1950-08-06,,Fredrikstad FK,Strømmen IF,5,0,H,,,
NOR,1950-08-06,,Sandefjord BK,Vålerenga IF,5,3,H,,,
NOR,1950-08-06,,Viking FK,Fram Larvik,4,1,H,,,
NOR,1950-08-06,,Kristiansund FK,Selbak TIF,3,1,H,,,
NOR,1950-08-06,,Sarpsborg FK,Sarpsborg 08,0,0,D,,,
NOR,1950-08-06,,Skeid Oslo,IF Odd,1,1,D,,,
NOR,1950-08-06,,FK Ørn-Horten,Lyn Oslo,1,3,A,,,
NOR,1950-08-13,,Fram Larvik,Fredrikstad FK,0,5,A,,,
NOR,1950-08-13,,Lisleby FK,Viking FK,0,2,A,,,
NOR,1950-08-13,,Strømmen IF,Sandefjord BK,1,4,A,,,
NOR,1950-08-13,,Vålerenga IF,SK Brann,1,0,H,,,
NOR,1950-08-13,,Lyn Oslo,Kristiansund FK,3,1,H,,,
NOR,1950-08-13,,IF Odd,Sarpsborg FK,6,1,H,,,
NOR,1950-08-13,,Selbak TIF,Skeid Oslo,3,1,H,,,
NOR,1950-08-13,,Sarpsborg 08,FK Ørn-Horten,1,1,D,,,
NOR,1950-08-20,,Sandefjord BK,Fram Larvik,0,2,A,,,
NOR,1950-08-20,,SK Brann,Strømmen IF,2,1,H,,,
NOR,1950-08-20,,Fredrikstad FK,Lisleby FK,4,2,H,,,
NOR,1950-08-20,,Viking FK,Vålerenga IF,0,0,D,,,
NOR,1950-08-20,,Kristiansund FK,Sarpsborg 08,0,1,A,,,
NOR,1950-08-20,,Skeid Oslo,Lyn Oslo,3,6,A,,,
NOR,1950-08-20,,Sarpsborg FK,Selbak TIF,3,1,H,,,
NOR,1950-08-20,,FK Ørn-Horten,IF Odd,0,2,A,,,
NOR,1950-09-03,,Fram Larvik,SK Brann,1,2,A,,,
NOR,1950-09-03,,Viking FK,Strømmen IF,4,0,H,,,
NOR,1950-09-03,,Vålerenga IF,Fredrikstad FK,0,2,A,,,
NOR,1950-09-03,,Lisleby FK,Sandefjord BK,2,1,H,,,
NOR,1950-09-03,,Lyn Oslo,Sarpsborg FK,2,2,D,,,
NOR,1950-09-03,,FK Ørn-Horten,Selbak TIF,4,1,H,,,
NOR,1950-09-03,,IF Odd,Kristiansund FK,3,0,H,,,
NOR,1950-09-03,,Sarpsborg 08,Skeid Oslo,1,3,A,,,
NOR,1950-09-10,,SK Brann,Viking FK,3,1,H,,,
NOR,1950-09-10,,Strømmen IF,Vålerenga IF,2,2,D,,,
NOR,1950-09-10,,Selbak TIF,IF Odd,0,0,D,,,
NOR,1950-09-10,,Sarpsborg 08,Lyn Oslo,2,1,H,,,
NOR,1950-09-10,,Skeid Oslo,Kristiansund FK,1,1,D,,,
NOR,1950-09-17,,Strømmen IF,Lisleby FK,1,0,H,,,
NOR,1950-09-17,,Vålerenga IF,Fram Larvik,3,1,H,,,
NOR,1950-09-17,,Sandefjord BK,SK Brann,5,1,H,,,
NOR,1950-09-17,,Fredrikstad FK,Viking FK,3,0,H,,,
NOR,1950-09-17,,Selbak TIF,Sarpsborg 08,1,2,A,,,
NOR,1950-09-17,,IF Odd,Lyn Oslo,1,1,D,,,
NOR,1950-09-17,,Skeid Oslo,Sarpsborg FK,3,1,H,,,
NOR,1950-09-17,,Kristiansund FK,FK Ørn-Horten,2,3,A,,,
NOR,1950-10-01,,Lisleby FK,Vålerenga IF,3,5,A,,,
NOR,1950-10-01,,Viking FK,Sandefjord BK,2,3,A,,,
NOR,1950-10-08,,Fram Larvik,Strømmen IF,0,3,A,,,
NOR,1950-10-08,,IF Odd,FK Ørn-Horten,2,0,H,,,
NOR,1950-10-08,,Skeid Oslo,Sarpsborg 08,3,1,H,,,
NOR,1950-10-08,,Selbak TIF,Kristiansund FK,8,3,H,,,
NOR,1950-10-08,,Vålerenga IF,Viking FK,2,2,D,,,
