Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NOR,27/04/1985,,SK Brann,Vålerenga IF,3,0,H,NaN,NaN,NaN
NOR,27/04/1985,,Bryne FK,Lillestrøm SK,1,1,D,NaN,NaN,NaN
NOR,27/04/1985,,IK Start,Viking FK,3,2,H,NaN,NaN,NaN
NOR,01/05/1985,,Moss FK,Kongsvinger IL,2,2,D,NaN,NaN,NaN
NOR,08/05/1985,,Molde FK,Eik Tønsberg,0,0,D,NaN,NaN,NaN
NOR,08/05/1985,,Rosenborg BK,Mjøndalen IF,3,1,H,NaN,NaN,NaN
NOR,05/05/1985,,Eik Tønsberg,Moss FK,0,0,D,NaN,NaN,NaN
NOR,05/05/1985,,Kongsvinger IL,SK Brann,0,0,D,NaN,NaN,NaN
NOR,05/05/1985,,Lillestrøm SK,IK Start,2,0,H,NaN,NaN,NaN
NOR,05/05/1985,,Mjøndalen IF,Bryne FK,1,2,A,NaN,NaN,NaN
NOR,06/05/1985,,Viking FK,Molde FK,2,1,H,NaN,NaN,NaN
NOR,30/05/1985,,Vålerenga IF,Rosenborg BK,2,2,D,NaN,NaN,NaN
NOR,12/05/1985,,Bryne FK,Vålerenga IF,1,1,D,NaN,NaN,NaN
NOR,12/05/1985,,Eik Tønsberg,Kongsvinger IL,0,1,A,NaN,NaN,NaN
NOR,12/05/1985,,Molde FK,Lillestrøm SK,1,3,A,NaN,NaN,NaN
NOR,12/05/1985,,Moss FK,Viking FK,1,1,D,NaN,NaN,NaN
NOR,12/05/1985,,IK Start,Mjøndalen IF,0,3,A,NaN,NaN,NaN
NOR,13/05/1985,,Rosenborg BK,SK Brann,4,0,H,NaN,NaN,NaN
NOR,16/05/1985,,SK Brann,IK Start,1,4,A,NaN,NaN,NaN
NOR,16/05/1985,,Lillestrøm SK,Eik Tønsberg,8,0,H,NaN,NaN,NaN
NOR,16/05/1985,,Mjøndalen IF,Moss FK,0,1,A,NaN,NaN,NaN
NOR,16/05/1985,,Rosenborg BK,Bryne FK,3,1,H,NaN,NaN,NaN
NOR,16/05/1985,,Viking FK,Kongsvinger IL,3,0,H,NaN,NaN,NaN
NOR,16/05/1985,,Vålerenga IF,Molde FK,0,2,A,NaN,NaN,NaN
NOR,19/05/1985,,Bryne FK,SK Brann,0,1,A,NaN,NaN,NaN
NOR,19/05/1985,,Eik Tønsberg,Viking FK,4,0,H,NaN,NaN,NaN
NOR,19/05/1985,,Kongsvinger IL,Rosenborg BK,2,0,H,NaN,NaN,NaN
NOR,19/05/1985,,Molde FK,Mjøndalen IF,3,2,H,NaN,NaN,NaN
NOR,19/05/1985,,Moss FK,Lillestrøm SK,0,2,A,NaN,NaN,NaN
NOR,19/05/1985,,IK Start,Vålerenga IF,0,7,A,NaN,NaN,NaN
NOR,27/05/1985,,SK Brann,Molde FK,0,0,D,NaN,NaN,NaN
NOR,27/05/1985,,Kongsvinger IL,Bryne FK,2,3,A,NaN,NaN,NaN
NOR,27/05/1985,,Lillestrøm SK,Viking FK,2,2,D,NaN,NaN,NaN
