Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
POL,1989-07-29,,GKS Katowice,ŁKS Łódź,0,1,A,,,
POL,1989-07-29,,Zawisza Bydgoszcz,Śląsk Wrocław,1,0,H,,,
POL,1989-07-29,,Zagłębie Sosnowiec,Jagiellonia Białystok,1,1,D,,,
POL,1989-07-29,,Olimpia Poznan,Wisła Kraków,1,1,D,,,
POL,1989-07-29,,Zagłębie Lubin,Lech Poznań,2,0,H,,,
POL,1989-07-29,,Legia Warszawa,Stal Mielec,1,1,D,,,
POL,1989-07-29,,Ruch Chorzów,Górnik Zabrze,2,0,H,,,
POL,1989-07-29,,Motor Lublin,Widzew Łódź,2,0,H,,,
POL,1989-08-02,,Motor Lublin,GKS Katowice,2,2,D,,,
POL,1989-08-02,,Widzew Łódź,Ruch Chorzów,0,3,A,,,
POL,1989-08-02,,Górnik Zabrze,Legia Warszawa,1,1,D,,,
POL,1989-08-02,,Stal Mielec,Zagłębie Lubin,1,2,A,,,
POL,1989-08-02,,Lech Poznań,Olimpia Poznan,1,1,D,,,
POL,1989-08-02,,Wisła Kraków,Zagłębie Sosnowiec,1,2,A,,,
POL,1989-08-02,,Jagiellonia Białystok,Zawisza Bydgoszcz,2,0,H,,,
POL,1989-08-02,,Śląsk Wrocław,ŁKS Łódź,1,2,A,,,
POL,1989-08-05,,GKS Katowice,Śląsk Wrocław,2,1,H,,,
POL,1989-08-05,,ŁKS Łódź,Jagiellonia Białystok,0,0,D,,,
POL,1989-08-05,,Zawisza Bydgoszcz,Wisła Kraków,2,0,H,,,
POL,1989-08-05,,Zagłębie Sosnowiec,Lech Poznań,2,2,D,,,
POL,1989-08-05,,Olimpia Poznan,Stal Mielec,1,1,D,,,
POL,1989-08-05,,Zagłębie Lubin,Górnik Zabrze,0,0,D,,,
POL,1989-08-05,,Legia Warszawa,Widzew Łódź,3,1,H,,,
POL,1989-08-05,,Ruch Chorzów,Motor Lublin,4,0,H,,,
POL,1989-08-12,,Ruch Chorzów,GKS Katowice,0,3,A,,,
POL,1989-08-12,,Motor Lublin,Legia Warszawa,0,0,D,,,
POL,1989-08-12,,Widzew Łódź,Zagłębie Lubin,0,1,A,,,
POL,1989-08-12,,Górnik Zabrze,Olimpia Poznan,3,1,H,,,
POL,1989-08-12,,Stal Mielec,Zagłębie Sosnowiec,0,2,A,,,
POL,1989-08-12,,Lech Poznań,Zawisza Bydgoszcz,1,5,A,,,
POL,1989-08-12,,Wisła Kraków,ŁKS Łódź,3,2,H,,,
POL,1989-08-12,,Jagiellonia Białystok,Śląsk Wrocław,1,1,D,,,
POL,1989-08-16,,GKS Katowice,Jagiellonia Białystok,3,0,H,,,
POL,1989-08-16,,Śląsk Wrocław,Wisła Kraków,2,0,H,,,
POL,1989-08-16,,ŁKS Łódź,Lech Poznań,1,0,H,,,
POL,1989-08-16,,Zawisza Bydgoszcz,Stal Mielec,2,0,H,,,
POL,1989-08-16,,Zagłębie Sosnowiec,Górnik Zabrze,1,2,A,,,
POL,1989-08-16,,Olimpia Poznan,Widzew Łódź,1,1,D,,,
POL,1989-08-16,,Zagłębie Lubin,Motor Lublin,3,0,H,,,
POL,1989-08-16,,Legia Warszawa,Ruch Chorzów,2,2,D,,,
POL,1989-08-26,,Legia Warszawa,GKS Katowice,0,0,D,,,
POL,1989-08-26,,Ruch Chorzów,Zagłębie Lubin,2,0,H,,,
POL,1989-08-26,,Motor Lublin,Olimpia Poznan,0,0,D,,,
POL,1989-08-26,,Widzew Łódź,Zagłębie Sosnowiec,1,1,D,,,
POL,1989-08-26,,Górnik Zabrze,Zawisza Bydgoszcz,2,0,H,,,
POL,1989-08-26,,Stal Mielec,ŁKS Łódź,1,0,H,,,
POL,1989-08-26,,Lech Poznań,Śląsk Wrocław,3,0,H,,,
POL,1989-08-26,,Wisła Kraków,Jagiellonia Białystok,1,1,D,,,
POL,1989-09-02,,GKS Katowice,Wisła Kraków,2,1,H,,,
POL,1989-09-02,,Jagiellonia Białystok,Lech Poznań,1,1,D,,,
POL,1989-09-02,,Śląsk Wrocław,Stal Mielec,0,0,D,,,
POL,1989-09-02,,ŁKS Łódź,Górnik Zabrze,1,2,A,,,
