Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
POR,21/08/1998,,Sporting Braga,SC Beira-Mar,2,1,H,NaN,NaN,NaN
POR,22/08/1998,,SL Benfica,Estrela Amadora,2,0,H,NaN,NaN,NaN
POR,22/08/1998,,FC Porto,Rio Ave FC,4,0,H,NaN,NaN,NaN
POR,23/08/1998,,GD Chaves,Académica de Coimbra,1,0,H,NaN,NaN,NaN
POR,23/08/1998,,Campomaiorense,FC Alverca,2,2,D,NaN,NaN,NaN
POR,23/08/1998,,SC Salgueiros,SC Farense,4,2,H,NaN,NaN,NaN
POR,23/08/1998,,Boavista,Vitória Guimarães,2,0,H,NaN,NaN,NaN
POR,23/08/1998,,União Leiria,CS Marítimo,1,0,H,NaN,NaN,NaN
POR,24/08/1998,,Vitória Setúbal,Sporting CP,1,1,D,NaN,NaN,NaN
POR,28/08/1998,,Sporting CP,GD Chaves,2,1,H,NaN,NaN,NaN
POR,29/08/1998,,SC Beira-Mar,FC Porto,2,1,H,NaN,NaN,NaN
POR,30/08/1998,,SC Farense,Sporting Braga,0,2,A,NaN,NaN,NaN
POR,30/08/1998,,CS Marítimo,SC Salgueiros,2,2,D,NaN,NaN,NaN
POR,30/08/1998,,Estrela Amadora,Vitória Setúbal,5,0,H,NaN,NaN,NaN
POR,30/08/1998,,FC Alverca,Boavista,0,0,D,NaN,NaN,NaN
POR,30/08/1998,,Académica de Coimbra,Campomaiorense,1,5,A,NaN,NaN,NaN
POR,30/08/1998,,Vitória Guimarães,União Leiria,0,0,D,NaN,NaN,NaN
POR,30/08/1998,,Rio Ave FC,SL Benfica,0,2,A,NaN,NaN,NaN
POR,11/09/1998,,Académica de Coimbra,Sporting CP,2,2,D,NaN,NaN,NaN
POR,12/09/1998,,FC Porto,SC Farense,2,0,H,NaN,NaN,NaN
POR,12/09/1998,,SC Salgueiros,Vitória Guimarães,3,2,H,NaN,NaN,NaN
POR,12/09/1998,,Sporting Braga,CS Marítimo,1,1,D,NaN,NaN,NaN
POR,13/09/1998,,Vitória Setúbal,Rio Ave FC,1,2,A,NaN,NaN,NaN
POR,13/09/1998,,GD Chaves,Estrela Amadora,4,1,H,NaN,NaN,NaN
POR,13/09/1998,,Campomaiorense,Boavista,1,1,D,NaN,NaN,NaN
POR,13/09/1998,,SL Benfica,SC Beira-Mar,3,0,H,NaN,NaN,NaN
POR,13/09/1998,,União Leiria,FC Alverca,1,0,H,NaN,NaN,NaN
POR,19/09/1998,,FC Alverca,SC Salgueiros,1,1,D,NaN,NaN,NaN
POR,19/09/1998,,Sporting CP,Campomaiorense,3,0,H,NaN,NaN,NaN
POR,20/09/1998,,CS Marítimo,FC Porto,0,1,A,NaN,NaN,NaN
POR,20/09/1998,,Rio Ave FC,GD Chaves,1,1,D,NaN,NaN,NaN
POR,20/09/1998,,Estrela Amadora,Académica de Coimbra,2,1,H,NaN,NaN,NaN
POR,20/09/1998,,SC Beira-Mar,Vitória Setúbal,1,1,D,NaN,NaN,NaN
POR,20/09/1998,,Boavista,União Leiria,1,0,H,NaN,NaN,NaN
POR,21/09/1998,,Vitória Guimarães,Sporting Braga,5,1,H,NaN,NaN,NaN
POR,21/09/1998,,SC Farense,SL Benfica,1,0,H,NaN,NaN,NaN
POR,25/09/1998,,Sporting CP,Estrela Amadora,3,0,H,NaN,NaN,NaN
POR,26/09/1998,,FC Porto,Vitória Guimarães,2,0,H,NaN,NaN,NaN
POR,26/09/1998,,SL Benfica,CS Marítimo,3,1,H,NaN,NaN,NaN
POR,27/09/1998,,Sporting Braga,FC Alverca,0,0,D,NaN,NaN,NaN
POR,27/09/1998,,GD Chaves,SC Beira-Mar,1,0,H,NaN,NaN,NaN
POR,27/09/1998,,Campomaiorense,União Leiria,0,3,A,NaN,NaN,NaN
POR,27/09/1998,,Académica de Coimbra,Rio Ave FC,1,1,D,NaN,NaN,NaN
POR,27/09/1998,,SC Salgueiros,Boavista,0,0,D,NaN,NaN,NaN
POR,28/09/1998,,Vitória Setúbal,SC Farense,1,1,D,NaN,NaN,NaN
POR,02/10/1998,,SC Beira-Mar,Académica de Coimbra,0,2,A,NaN,NaN,NaN
POR,03/10/1998,,Rio Ave FC,Sporting CP,0,1,A,NaN,NaN,NaN
POR,04/10/1998,,CS Marítimo,Vitória Setúbal,0,1,A,NaN,NaN,NaN
POR,04/10/1998,,SC Farense,GD Chaves,2,1,H,NaN,NaN,NaN
POR,04/10/1998,,Estrela Amadora,Campomaiorense,1,0,H,NaN,NaN,NaN
POR,04/10/1998,,União Leiria,SC Salgueiros,1,0,H,NaN,NaN,NaN
POR,04/10/1998,,Vitória Guimarães,SL Benfica,0,2,A,NaN,NaN,NaN
POR,04/10/1998,,FC Alverca,FC Porto,1,5,A,NaN,NaN,NaN
POR,05/10/1998,,Boavista,Sporting Braga,1,0,H,NaN,NaN,NaN
POR,16/10/1998,,Vitória Setúbal,Vitória Guimarães,1,0,H,NaN,NaN,NaN
POR,17/10/1998,,Sporting CP,SC Beira-Mar,0,0,D,NaN,NaN,NaN
POR,17/10/1998,,SL Benfica,FC Alverca,2,2,D,NaN,NaN,NaN
POR,18/10/1998,,GD Chaves,CS Marítimo,1,1,D,NaN,NaN,NaN
POR,18/10/1998,,Campomaiorense,SC Salgueiros,0,0,D,NaN,NaN,NaN
POR,18/10/1998,,Sporting Braga,União Leiria,2,4,A,NaN,NaN,NaN
POR,18/10/1998,,Académica de Coimbra,SC Farense,2,1,H,NaN,NaN,NaN
POR,18/10/1998,,Estrela Amadora,Rio Ave FC,1,0,H,NaN,NaN,NaN
POR,18/10/1998,,FC Porto,Boavista,0,2,A,NaN,NaN,NaN
POR,24/10/1998,,SC Farense,Sporting CP,1,3,A,NaN,NaN,NaN
POR,25/10/1998,,SC Salgueiros,Sporting Braga,1,1,D,NaN,NaN,NaN
POR,25/10/1998,,Rio Ave FC,Campomaiorense,3,1,H,NaN,NaN,NaN
POR,25/10/1998,,CS Marítimo,Académica de Coimbra,4,1,H,NaN,NaN,NaN
POR,25/10/1998,,SC Beira-Mar,Estrela Amadora,0,0,D,NaN,NaN,NaN
POR,25/10/1998,,FC Alverca,Vitória Setúbal,1,0,H,NaN,NaN,NaN
POR,25/10/1998,,Vitória Guimarães,GD Chaves,6,1,H,NaN,NaN,NaN
POR,25/10/1998,,Boavista,SL Benfica,2,1,H,NaN,NaN,NaN
POR,26/10/1998,,União Leiria,FC Porto,2,2,D,NaN,NaN,NaN
POR,30/10/1998,,Sporting CP,CS Marítimo,2,0,H,NaN,NaN,NaN
POR,31/10/1998,,Rio Ave FC,SC Beira-Mar,1,1,D,NaN,NaN,NaN
POR,31/10/1998,,FC Porto,SC Salgueiros,4,1,H,NaN,NaN,NaN
POR,01/11/1998,,Estrela Amadora,SC Farense,2,1,H,NaN,NaN,NaN
POR,01/11/1998,,Académica de Coimbra,Vitória Guimarães,1,1,D,NaN,NaN,NaN
POR,01/11/1998,,Vitória Setúbal,Boavista,1,3,A,NaN,NaN,NaN
POR,01/11/1998,,GD Chaves,FC Alverca,1,1,D,NaN,NaN,NaN
POR,01/11/1998,,Campomaiorense,Sporting Braga,2,0,H,NaN,NaN,NaN
POR,01/11/1998,,SL Benfica,União Leiria,0,0,D,NaN,NaN,NaN
POR,06/11/1998,,Boavista,GD Chaves,4,1,H,NaN,NaN,NaN
POR,07/11/1998,,SC Farense,Rio Ave FC,0,1,A,NaN,NaN,NaN
POR,07/11/1998,,SC Beira-Mar,Campomaiorense,2,1,H,NaN,NaN,NaN
POR,07/11/1998,,CS Marítimo,Estrela Amadora,1,1,D,NaN,NaN,NaN
POR,07/11/1998,,FC Alverca,Académica de Coimbra,2,1,H,NaN,NaN,NaN
POR,07/11/1998,,União Leiria,Vitória Setúbal,0,1,A,NaN,NaN,NaN
POR,07/11/1998,,Vitória Guimarães,Sporting CP,1,1,D,NaN,NaN,NaN
POR,09/11/1998,,Sporting Braga,FC Porto,3,3,D,NaN,NaN,NaN
POR,10/11/1998,,SC Salgueiros,SL Benfica,1,1,D,NaN,NaN,NaN
POR,13/11/1998,,Académica de Coimbra,Boavista,2,3,A,NaN,NaN,NaN
POR,14/11/1998,,Campomaiorense,FC Porto,0,2,A,NaN,NaN,NaN
POR,14/11/1998,,Estrela Amadora,Vitória Guimarães,1,1,D,NaN,NaN,NaN
POR,15/11/1998,,GD Chaves,União Leiria,1,2,A,NaN,NaN,NaN
POR,15/11/1998,,SC Beira-Mar,SC Farense,0,1,A,NaN,NaN,NaN
POR,15/11/1998,,Vitória Setúbal,SC Salgueiros,3,0,H,NaN,NaN,NaN
POR,15/11/1998,,Rio Ave FC,CS Marítimo,2,1,H,NaN,NaN,NaN
POR,15/11/1998,,SL Benfica,Sporting Braga,4,1,H,NaN,NaN,NaN
POR,15/11/1998,,Sporting CP,FC Alverca,2,0,H,NaN,NaN,NaN
POR,20/11/1998,,Vitória Guimarães,Rio Ave FC,3,0,H,NaN,NaN,NaN
POR,21/11/1998,,Sporting Braga,Vitória Setúbal,3,0,H,NaN,NaN,NaN
POR,21/11/1998,,FC Porto,SL Benfica,3,1,H,NaN,NaN,NaN
POR,22/11/1998,,SC Salgueiros,GD Chaves,2,0,H,NaN,NaN,NaN
POR,22/11/1998,,SC Farense,Campomaiorense,2,1,H,NaN,NaN,NaN
POR,22/11/1998,,União Leiria,Académica de Coimbra,1,0,H,NaN,NaN,NaN
POR,22/11/1998,,CS Marítimo,SC Beira-Mar,1,1,D,NaN,NaN,NaN
POR,22/11/1998,,FC Alverca,Estrela Amadora,0,1,A,NaN,NaN,NaN
POR,22/11/1998,,Boavista,Sporting CP,2,2,D,NaN,NaN,NaN
POR,10/10/1998,,Académica de Coimbra,SC Salgueiros,0,1,A,NaN,NaN,NaN
POR,28/11/1998,,Sporting CP,União Leiria,2,0,H,NaN,NaN,NaN
POR,29/11/1998,,SC Farense,CS Marítimo,0,0,D,NaN,NaN,NaN
POR,29/11/1998,,Estrela Amadora,Boavista,2,1,H,NaN,NaN,NaN
POR,29/11/1998,,Rio Ave FC,FC Alverca,0,0,D,NaN,NaN,NaN
POR,29/11/1998,,GD Chaves,Sporting Braga,1,2,A,NaN,NaN,NaN
POR,29/11/1998,,Campomaiorense,SL Benfica,0,5,A,NaN,NaN,NaN
POR,29/11/1998,,SC Beira-Mar,Vitória Guimarães,0,0,D,NaN,NaN,NaN
POR,30/11/1998,,Vitória Setúbal,FC Porto,1,2,A,NaN,NaN,NaN
POR,04/12/1998,,SL Benfica,Vitória Setúbal,2,0,H,NaN,NaN,NaN
POR,04/12/1998,,SC Salgueiros,Sporting CP,2,1,H,NaN,NaN,NaN
POR,05/12/1998,,FC Porto,GD Chaves,1,0,H,NaN,NaN,NaN
POR,06/12/1998,,Vitória Guimarães,SC Farense,1,0,H,NaN,NaN,NaN
POR,06/12/1998,,União Leiria,Estrela Amadora,0,1,A,NaN,NaN,NaN
POR,06/12/1998,,CS Marítimo,Campomaiorense,0,1,A,NaN,NaN,NaN
POR,06/12/1998,,FC Alverca,SC Beira-Mar,1,1,D,NaN,NaN,NaN
POR,06/12/1998,,Boavista,Rio Ave FC,1,0,H,NaN,NaN,NaN
POR,07/12/1998,,Sporting Braga,Académica de Coimbra,2,2,D,NaN,NaN,NaN
POR,13/12/1998,,GD Chaves,SL Benfica,0,4,A,NaN,NaN,NaN
POR,13/12/1998,,Campomaiorense,Vitória Setúbal,1,2,A,NaN,NaN,NaN
POR,13/12/1998,,SC Farense,FC Alverca,1,0,H,NaN,NaN,NaN
POR,13/12/1998,,Estrela Amadora,SC Salgueiros,1,1,D,NaN,NaN,NaN
POR,13/12/1998,,SC Beira-Mar,Boavista,1,1,D,NaN,NaN,NaN
POR,13/12/1998,,Rio Ave FC,União Leiria,1,0,H,NaN,NaN,NaN
POR,13/12/1998,,Sporting CP,Sporting Braga,4,1,H,NaN,NaN,NaN
POR,13/12/1998,,CS Marítimo,Vitória Guimarães,1,0,H,NaN,NaN,NaN
POR,14/12/1998,,Académica de Coimbra,FC Porto,0,2,A,NaN,NaN,NaN
POR,18/12/1998,,Boavista,SC Farense,3,0,H,2,0,H
POR,19/12/1998,,FC Porto,Sporting CP,3,2,H,1,1,D
POR,20/12/1998,,Campomaiorense,Vitória Guimarães,1,0,H,0,0,D
POR,20/12/1998,,SC Salgueiros,Rio Ave FC,5,1,H,NaN,NaN,NaN
POR,20/12/1998,,Vitória Setúbal,GD Chaves,1,0,H,1,0,H
POR,20/12/1998,,União Leiria,SC Beira-Mar,1,0,H,1,0,H
POR,20/12/1998,,Sporting Braga,Estrela Amadora,1,1,D,1,0,H
POR,20/12/1998,,FC Alverca,CS Marítimo,3,0,H,0,0,D
POR,20/12/1998,,SL Benfica,Académica de Coimbra,3,0,H,1,0,H
POR,03/01/1999,,SC Farense,União Leiria,1,1,D,NaN,NaN,NaN
POR,03/01/1999,,Estrela Amadora,FC Porto,1,1,D,NaN,NaN,NaN
POR,03/01/1999,,GD Chaves,Campomaiorense,3,2,H,NaN,NaN,NaN
POR,03/01/1999,,SC Beira-Mar,SC Salgueiros,4,1,H,NaN,NaN,NaN
POR,03/01/1999,,Vitória Guimarães,FC Alverca,3,1,H,NaN,NaN,NaN
POR,03/01/1999,,Rio Ave FC,Sporting Braga,1,2,A,NaN,NaN,NaN
POR,03/01/1999,,CS Marítimo,Boavista,3,0,H,NaN,NaN,NaN
POR,03/01/1999,,Sporting CP,SL Benfica,1,2,A,NaN,NaN,NaN
POR,04/01/1999,,Académica de Coimbra,Vitória Setúbal,2,0,H,NaN,NaN,NaN
POR,15/01/1999,,Sporting CP,Vitória Setúbal,0,0,D,NaN,NaN,NaN
POR,16/01/1999,,Académica de Coimbra,GD Chaves,1,2,A,NaN,NaN,NaN
POR,16/01/1999,,Estrela Amadora,SL Benfica,0,1,A,NaN,NaN,NaN
POR,17/01/1999,,SC Farense,SC Salgueiros,2,1,H,NaN,NaN,NaN
POR,17/01/1999,,CS Marítimo,União Leiria,3,2,H,NaN,NaN,NaN
POR,17/01/1999,,SC Beira-Mar,Sporting Braga,4,2,H,NaN,NaN,NaN
POR,17/01/1999,,FC Alverca,Campomaiorense,2,1,H,NaN,NaN,NaN
POR,17/01/1999,,Vitória Guimarães,Boavista,2,3,A,NaN,NaN,NaN
POR,18/01/1999,,Rio Ave FC,FC Porto,1,1,D,NaN,NaN,NaN
POR,22/01/1999,,União Leiria,Vitória Guimarães,0,1,A,NaN,NaN,NaN
POR,23/01/1999,,Boavista,FC Alverca,3,0,H,NaN,NaN,NaN
POR,23/01/1999,,SL Benfica,Rio Ave FC,3,1,H,NaN,NaN,NaN
POR,23/01/1999,,GD Chaves,Sporting CP,2,2,D,NaN,NaN,NaN
POR,24/01/1999,,SC Salgueiros,CS Marítimo,2,2,D,NaN,NaN,NaN
POR,24/01/1999,,Vitória Setúbal,Estrela Amadora,2,0,H,NaN,NaN,NaN
