Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
QAT,15/09/2016,16:00,Al Ahli Doha,Al Gharafa,4,2,H,2,1,H
QAT,15/09/2016,18:10,Al Sailiya,Al Arabi,0,1,A,0,0,D
QAT,16/09/2016,16:00,Umm-Salal,Al Khor SC,2,1,H,1,0,H
QAT,16/09/2016,18:10,Al Sadd,Al Kharitiyath,4,0,H,1,0,H
QAT,17/09/2016,16:00,Al Rayyan,Al Shahaniya,3,0,H,1,0,H
QAT,17/09/2016,18:10,Lekhwiya SC,Muaither SC,4,0,H,2,0,H
QAT,18/09/2016,16:00,El Jaish SC,Al Wakrah,2,1,H,1,0,H
QAT,22/09/2016,15:50,Al Khor SC,Al Sailiya,1,0,H,1,0,H
QAT,22/09/2016,15:50,Al Shahaniya,Muaither SC,1,0,H,1,0,H
QAT,22/09/2016,18:00,Al Arabi,El Jaish SC,3,4,A,1,2,A
QAT,23/09/2016,15:50,Al Rayyan,Umm-Salal,0,0,D,0,0,D
QAT,23/09/2016,18:00,Al Sadd,Al Ahli Doha,2,1,H,1,0,H
QAT,24/09/2016,15:50,Al Wakrah,Al Kharitiyath,1,2,A,0,0,D
QAT,24/09/2016,18:00,Al Gharafa,Lekhwiya SC,4,5,A,2,3,A
QAT,13/10/2016,17:40,El Jaish SC,Al Khor SC,1,0,H,1,0,H
QAT,14/10/2016,15:30,Umm-Salal,Al Shahaniya,2,2,D,0,1,A
QAT,15/10/2016,15:30,Al Kharitiyath,Al Arabi,1,2,A,0,2,A
QAT,15/10/2016,15:30,Al Ahli Doha,Al Wakrah,1,1,D,0,0,D
QAT,15/10/2016,17:40,Al Sailiya,Al Rayyan,1,1,D,1,0,H
QAT,15/10/2016,17:40,Muaither SC,Al Gharafa,1,2,A,0,0,D
QAT,16/10/2016,16:00,Lekhwiya SC,Al Sadd,3,3,D,2,1,H
QAT,20/10/2016,15:30,Al Khor SC,Al Kharitiyath,1,1,D,1,0,H
QAT,20/10/2016,17:40,Al Shahaniya,Al Gharafa,1,1,D,0,0,D
QAT,21/10/2016,15:30,Al Sadd,Muaither SC,4,2,H,3,0,H
QAT,21/10/2016,15:30,Umm-Salal,Al Sailiya,0,0,D,0,0,D
QAT,21/10/2016,17:40,Al Arabi,Al Ahli Doha,1,2,A,0,2,A
QAT,22/10/2016,15:30,Al Rayyan,El Jaish SC,1,1,D,0,1,A
QAT,22/10/2016,17:40,Al Wakrah,Lekhwiya SC,2,3,A,0,2,A
QAT,27/10/2016,15:20,Al Sailiya,Al Shahaniya,1,2,A,0,0,D
QAT,27/10/2016,17:30,Al Ahli Doha,Al Khor SC,1,3,A,0,3,A
QAT,28/10/2016,15:20,El Jaish SC,Umm-Salal,4,2,H,1,0,H
QAT,28/10/2016,17:30,Lekhwiya SC,Al Arabi,4,1,H,2,0,H
QAT,29/10/2016,15:20,Al Gharafa,Al Sadd,3,3,D,2,3,A
QAT,29/10/2016,17:30,Muaither SC,Al Wakrah,1,0,H,1,0,H
QAT,29/10/2016,17:30,Al Kharitiyath,Al Rayyan,1,3,A,1,2,A
QAT,02/11/2016,14:20,Al Shahaniya,Al Sadd,0,4,A,0,2,A
QAT,02/11/2016,14:20,Al Khor SC,Lekhwiya SC,2,2,D,1,1,D
QAT,02/11/2016,16:30,Al Sailiya,El Jaish SC,4,6,A,1,5,A
QAT,02/11/2016,16:30,Al Rayyan,Al Ahli Doha,2,1,H,1,0,H
QAT,03/11/2016,14:20,Umm-Salal,Al Kharitiyath,2,0,H,0,0,D
QAT,03/11/2016,14:20,Al Wakrah,Al Gharafa,0,2,A,0,0,D
QAT,03/11/2016,16:30,Al Arabi,Muaither SC,1,2,A,1,1,D
QAT,18/11/2016,13:00,Muaither SC,Al Khor SC,1,0,H,1,0,H
QAT,18/11/2016,15:10,Al Sailiya,Al Kharitiyath,1,0,H,0,0,D
QAT,19/11/2016,13:00,Al Ahli Doha,Umm-Salal,1,1,D,1,0,H
QAT,19/11/2016,15:10,Al Gharafa,Al Arabi,4,2,H,2,2,D
QAT,20/11/2016,13:00,Al Sadd,Al Wakrah,1,1,D,0,0,D
QAT,20/11/2016,13:00,El Jaish SC,Al Shahaniya,3,1,H,2,0,H
QAT,20/11/2016,15:10,Lekhwiya SC,Al Rayyan,2,2,D,1,1,D
QAT,24/11/2016,13:00,Al Shahaniya,Al Wakrah,2,2,D,1,2,A
QAT,24/11/2016,15:10,Al Khor SC,Al Gharafa,1,2,A,0,1,A
QAT,25/11/2016,13:00,Al Sailiya,Al Ahli Doha,3,3,D,1,1,D
QAT,25/11/2016,13:00,Umm-Salal,Lekhwiya SC,2,3,A,1,2,A
QAT,25/11/2016,15:10,Muaither SC,Al Rayyan,0,1,A,0,0,D
QAT,25/11/2016,15:10,El Jaish SC,Al Kharitiyath,1,0,H,1,0,H
QAT,26/11/2016,14:40,Al Arabi,Al Sadd,2,3,A,1,1,D
QAT,01/12/2016,13:00,Lekhwiya SC,Al Sailiya,3,0,H,1,0,H
QAT,01/12/2016,15:10,Muaither SC,Umm-Salal,0,2,A,0,0,D
QAT,01/12/2016,15:10,Al Wakrah,Al Arabi,2,2,D,1,1,D
QAT,02/12/2016,13:00,Al Sadd,Al Khor SC,1,0,H,0,0,D
QAT,02/12/2016,13:00,Al Kharitiyath,Al Shahaniya,1,1,D,0,0,D
QAT,02/12/2016,15:10,Al Ahli Doha,El Jaish SC,0,1,A,0,0,D
QAT,03/12/2016,14:40,Al Gharafa,Al Rayyan,3,2,H,1,1,D
QAT,06/12/2016,13:00,Al Kharitiyath,Al Ahli Doha,1,1,D,0,1,A
QAT,06/12/2016,13:00,Al Sailiya,Muaither SC,1,0,H,1,0,H
QAT,06/12/2016,15:10,Al Shahaniya,Al Arabi,1,2,A,0,0,D
QAT,06/12/2016,15:10,El Jaish SC,Lekhwiya SC,1,2,A,0,0,D
QAT,07/12/2016,13:00,Umm-Salal,Al Gharafa,0,2,A,0,0,D
QAT,07/12/2016,13:00,Al Khor SC,Al Wakrah,0,1,A,0,1,A
QAT,07/12/2016,15:10,Al Rayyan,Al Sadd,0,5,A,0,1,A
QAT,11/12/2016,13:00,Al Ahli Doha,Al Shahaniya,1,1,D,1,1,D
QAT,11/12/2016,13:00,Muaither SC,El Jaish SC,1,2,A,0,1,A
QAT,11/12/2016,15:10,Al Sailiya,Al Gharafa,2,1,H,2,0,H
QAT,11/12/2016,15:10,Al Wakrah,Al Rayyan,0,1,A,0,1,A
QAT,12/12/2016,13:00,Lekhwiya SC,Al Kharitiyath,2,1,H,0,0,D
QAT,12/12/2016,15:10,Al Sadd,Umm-Salal,8,0,H,4,0,H
QAT,12/12/2016,15:10,Al Arabi,Al Khor SC,2,1,H,2,1,H
QAT,15/12/2016,14:40,El Jaish SC,Al Gharafa,1,2,A,0,1,A
QAT,16/12/2016,13:00,Al Shahaniya,Al Khor SC,2,2,D,0,2,A
QAT,16/12/2016,13:00,Al Sailiya,Al Sadd,1,3,A,0,2,A
QAT,16/12/2016,15:10,Al Ahli Doha,Lekhwiya SC,1,2,A,0,0,D
QAT,17/12/2016,13:00,Umm-Salal,Al Wakrah,3,1,H,1,1,D
QAT,17/12/2016,13:00,Al Kharitiyath,Muaither SC,1,0,H,0,0,D
QAT,17/12/2016,15:10,Al Rayyan,Al Arabi,3,0,H,2,0,H
