Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ROM,1980-08-02,,FC Universitatea Craiova,Argeș Pitești,3,2,H,,,
ROM,1980-08-02,,Dinamo Bucureşti,Jiul Petroşani,3,0,H,,,
ROM,1980-08-02,,Corvinul Hunedoara,ASA Târgu Mureș (old),4,1,H,,,
ROM,1980-08-02,,FCM Brașov,FCM Galati,2,1,H,,,
ROM,1980-08-02,,FCM Brașov,Dunarea CSU Galati,2,1,H,,,
ROM,1980-08-02,,Chimia Râmnicu-Vâlcea,Universitatea Cluj,3,1,H,,,
ROM,1980-08-02,,SC Bacau,Steaua Bucureşti,0,4,A,,,
ROM,1980-08-02,,CS Politechnica Timisoara,Sportul Studenţesc,1,0,H,,,
ROM,1980-08-02,,FC Progresul Vulcan Bucureşti,Olt Scornicesti,1,1,D,,,
ROM,1980-08-02,,Politehnica Iasi,FC Baia Mare,2,0,H,,,
ROM,1980-08-09,,Argeș Pitești,Politehnica Iasi,2,1,H,,,
ROM,1980-08-09,,Steaua Bucureşti,FC Universitatea Craiova,0,1,A,,,
ROM,1980-08-09,,Sportul Studenţesc,SC Bacau,4,2,H,,,
ROM,1980-08-09,,Olt Scornicesti,Corvinul Hunedoara,1,3,A,,,
ROM,1980-08-09,,Jiul Petroşani,FC Progresul Vulcan Bucureşti,4,2,H,,,
ROM,1980-08-09,,ASA Târgu Mureș (old),Chimia Râmnicu-Vâlcea,3,3,D,,,
ROM,1980-08-09,,Universitatea Cluj,CS Politechnica Timisoara,1,0,H,,,
ROM,1980-08-09,,FC Baia Mare,FCM Brașov,1,1,D,,,
ROM,1980-08-09,,Dunarea CSU Galati,Dinamo Bucureşti,0,2,A,,,
ROM,1980-08-09,,FCM Galati,Dinamo Bucureşti,0,2,A,,,
ROM,1980-08-16,,FC Universitatea Craiova,Jiul Petroşani,2,0,H,,,
ROM,1980-08-16,,Dinamo Bucureşti,Corvinul Hunedoara,1,0,H,,,
ROM,1980-08-16,,FCM Brașov,Sportul Studenţesc,2,0,H,,,
ROM,1980-08-16,,Chimia Râmnicu-Vâlcea,Steaua Bucureşti,1,0,H,,,
ROM,1980-08-16,,CS Politechnica Timisoara,Olt Scornicesti,0,1,A,,,
ROM,1980-08-16,,ASA Târgu Mureș (old),SC Bacau,2,2,D,,,
ROM,1980-08-16,,FC Progresul Vulcan Bucureşti,FC Baia Mare,0,3,A,,,
ROM,1980-08-16,,Politehnica Iasi,Universitatea Cluj,1,0,H,,,
ROM,1980-08-16,,Dunarea CSU Galati,Argeș Pitești,0,1,A,,,
ROM,1980-08-16,,FCM Galati,Argeș Pitești,0,1,A,,,
ROM,1980-08-23,,Argeș Pitești,FC Progresul Vulcan Bucureşti,2,1,H,,,
ROM,1980-08-23,,Steaua Bucureşti,CS Politechnica Timisoara,1,0,H,,,
ROM,1980-08-23,,Sportul Studenţesc,Politehnica Iasi,4,2,H,,,
ROM,1980-08-23,,Corvinul Hunedoara,FCM Galati,7,0,H,,,
ROM,1980-08-23,,Corvinul Hunedoara,Dunarea CSU Galati,7,0,H,,,
ROM,1980-08-23,,Olt Scornicesti,FC Universitatea Craiova,0,1,A,,,
ROM,1980-08-23,,FCM Brașov,ASA Târgu Mureș (old),1,0,H,,,
ROM,1980-08-23,,Jiul Petroşani,Chimia Râmnicu-Vâlcea,1,0,H,,,
ROM,1980-08-23,,SC Bacau,Universitatea Cluj,1,0,H,,,
ROM,1980-08-23,,FC Baia Mare,Dinamo Bucureşti,1,0,H,,,
ROM,1980-08-30,,Dinamo Bucureşti,FC Progresul Vulcan Bucureşti,4,0,H,,,
ROM,1980-08-30,,Steaua Bucureşti,Sportul Studenţesc,1,3,A,,,
ROM,1980-08-30,,Corvinul Hunedoara,Jiul Petroşani,1,0,H,,,
ROM,1980-08-30,,ASA Târgu Mureș (old),Argeș Pitești,2,0,H,,,
ROM,1980-08-30,,Universitatea Cluj,FC Universitatea Craiova,1,0,H,,,
ROM,1980-08-30,,Politehnica Iasi,Olt Scornicesti,3,0,H,,,
ROM,1980-08-30,,FC Baia Mare,Chimia Râmnicu-Vâlcea,5,0,H,,,
ROM,1980-08-30,,FCM Galati,SC Bacau,2,0,H,,,
ROM,1980-08-30,,Dunarea CSU Galati,SC Bacau,2,0,H,,,
ROM,1980-08-31,,CS Politechnica Timisoara,FCM Brașov,2,1,H,,,
ROM,1980-09-06,,ASA Târgu Mureș (old),Steaua Bucureşti,3,1,H,,,
ROM,1980-09-06,,Chimia Râmnicu-Vâlcea,SC Bacau,4,2,H,,,
ROM,1980-09-06,,FCM Brașov,Corvinul Hunedoara,1,0,H,,,
ROM,1980-09-06,,Dinamo Bucureşti,Universitatea Cluj,2,1,H,,,
ROM,1980-09-06,,Argeș Pitești,FC Baia Mare,5,0,H,,,
ROM,1980-09-06,,FC Progresul Vulcan Bucureşti,FCM Galati,3,1,H,,,
ROM,1980-09-06,,FC Progresul Vulcan Bucureşti,Dunarea CSU Galati,3,1,H,,,
ROM,1980-09-06,,Jiul Petroşani,Olt Scornicesti,4,0,H,,,
ROM,1980-09-06,,CS Politechnica Timisoara,Politehnica Iasi,2,1,H,,,
ROM,1980-09-06,,FC Universitatea Craiova,Sportul Studenţesc,2,0,H,,,
ROM,1980-09-13,,Universitatea Cluj,ASA Târgu Mureș (old),2,3,A,,,
ROM,1980-09-13,,Chimia Râmnicu-Vâlcea,FCM Brașov,1,0,H,,,
ROM,1980-09-13,,Corvinul Hunedoara,FC Progresul Vulcan Bucureşti,3,1,H,,,
ROM,1980-09-13,,FCM Galati,FC Baia Mare,4,0,H,,,
ROM,1980-09-13,,Dunarea CSU Galati,FC Baia Mare,4,0,H,,,
ROM,1980-09-13,,Sportul Studenţesc,Jiul Petroşani,2,1,H,,,
ROM,1980-09-27,,Dinamo Bucureşti,ASA Târgu Mureș (old),2,1,H,,,
ROM,1980-09-27,,FC Progresul Vulcan Bucureşti,Chimia Râmnicu-Vâlcea,5,2,H,,,
ROM,1980-09-27,,Argeș Pitești,Corvinul Hunedoara,6,0,H,,,
ROM,1980-09-27,,FC Baia Mare,Olt Scornicesti,0,1,A,,,
ROM,1980-09-27,,Jiul Petroşani,FCM Galati,4,0,H,,,
ROM,1980-09-27,,Jiul Petroşani,Dunarea CSU Galati,4,0,H,,,
ROM,1980-09-27,,SC Bacau,FCM Brașov,2,0,H,,,
ROM,1980-09-27,,Universitatea Cluj,Sportul Studenţesc,0,0,D,,,
ROM,1980-10-05,,ASA Târgu Mureș (old),Jiul Petroşani,2,1,H,,,
ROM,1980-10-05,,Olt Scornicesti,Chimia Râmnicu-Vâlcea,0,0,D,,,
ROM,1980-10-05,,Corvinul Hunedoara,SC Bacau,4,1,H,,,
ROM,1980-10-05,,Dinamo Bucureşti,Steaua Bucureşti,0,2,A,,,
ROM,1980-10-05,,FC Baia Mare,Universitatea Cluj,1,2,A,,,
ROM,1980-10-05,,Argeș Pitești,CS Politechnica Timisoara,0,0,D,,,
ROM,1980-10-05,,FCM Brașov,Politehnica Iasi,2,1,H,,,
ROM,1980-10-05,,FC Progresul Vulcan Bucureşti,Sportul Studenţesc,1,0,H,,,
ROM,1980-10-05,,FCM Galati,FC Universitatea Craiova,1,2,A,,,
ROM,1980-10-05,,Dunarea CSU Galati,FC Universitatea Craiova,1,2,A,,,
ROM,1980-10-08,,Olt Scornicesti,ASA Târgu Mureș (old),3,0,H,,,
ROM,1980-10-08,,Chimia Râmnicu-Vâlcea,Dinamo Bucureşti,0,2,A,,,
ROM,1980-10-08,,Sportul Studenţesc,Corvinul Hunedoara,1,2,A,,,
ROM,1980-10-08,,FCM Brașov,Argeș Pitești,2,1,H,,,
ROM,1980-10-08,,FC Universitatea Craiova,FC Baia Mare,2,0,H,,,
ROM,1980-10-08,,Politehnica Iasi,Jiul Petroşani,4,0,H,,,
ROM,1980-10-08,,FCM Galati,CS Politechnica Timisoara,2,0,H,,,
ROM,1980-10-08,,Dunarea CSU Galati,CS Politechnica Timisoara,2,0,H,,,
ROM,1980-10-08,,SC Bacau,FC Progresul Vulcan Bucureşti,1,0,H,,,
ROM,1980-10-08,,Steaua Bucureşti,Universitatea Cluj,2,0,H,,,
ROM,1980-10-18,,CS Politechnica Timisoara,FC Baia Mare,3,1,H,,,
ROM,1980-10-19,,ASA Târgu Mureș (old),Sportul Studenţesc,1,0,H,,,
ROM,1980-10-19,,Chimia Râmnicu-Vâlcea,Argeș Pitești,1,0,H,,,
ROM,1980-10-19,,Corvinul Hunedoara,Steaua Bucureşti,1,1,D,,,
ROM,1980-10-19,,Dinamo Bucureşti,Politehnica Iasi,4,0,H,,,
ROM,1980-10-19,,Universitatea Cluj,Dunarea CSU Galati,4,1,H,,,
ROM,1980-10-19,,Universitatea Cluj,FCM Galati,4,1,H,,,
ROM,1980-10-19,,SC Bacau,Olt Scornicesti,3,1,H,,,
ROM,1980-10-19,,Jiul Petroşani,FCM Brașov,1,1,D,,,
ROM,1980-10-19,,FC Progresul Vulcan Bucureşti,FC Universitatea Craiova,3,2,H,,,
ROM,1980-10-26,,Politehnica Iasi,ASA Târgu Mureș (old),3,1,H,,,
ROM,1980-10-26,,Dunarea CSU Galati,Chimia Râmnicu-Vâlcea,3,0,H,,,
ROM,1980-10-26,,FCM Galati,Chimia Râmnicu-Vâlcea,3,0,H,,,
ROM,1980-10-26,,FC Universitatea Craiova,Corvinul Hunedoara,2,1,H,,,
