Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
RSA,2009-08-07,19:00,Maritzburg United,SuperSport United,1,1,D,1.0,1.0,D
RSA,2009-08-08,14:00,Moroka Swallows,Golden Arrows,0,0,D,,,
RSA,2009-08-08,14:00,Jomo Cosmos,Platinum Stars,0,0,D,,,
RSA,2009-08-08,19:15,Kaizer Chiefs,Santos FC,0,0,D,,,
RSA,2009-08-08,19:15,Mamelodi Sundowns,Mpumalanga Black Aces,2,0,H,1.0,0.0,H
RSA,2009-08-09,14:00,AmaZulu FC,BidVest Wits,2,2,D,1.0,2.0,A
RSA,2009-08-09,14:00,Bloemfontein Celtic,Free State Stars,2,2,D,0.0,1.0,A
RSA,2009-08-09,14:00,Ajax Cape Town,Orlando Pirates,0,1,A,0.0,0.0,D
RSA,2009-08-18,18:30,SuperSport United,Kaizer Chiefs,1,0,H,1.0,0.0,H
RSA,2009-08-19,14:00,Golden Arrows,Jomo Cosmos,2,0,H,2.0,0.0,H
RSA,2009-08-19,18:30,Mpumalanga Black Aces,Moroka Swallows,2,1,H,1.0,0.0,H
RSA,2009-08-19,18:30,Santos FC,Bloemfontein Celtic,0,1,A,0.0,1.0,A
RSA,2009-08-19,18:30,Platinum Stars,AmaZulu FC,0,1,A,0.0,0.0,D
RSA,2009-08-19,18:30,Free State Stars,Ajax Cape Town,1,1,D,0.0,1.0,A
RSA,2009-08-19,18:30,Orlando Pirates,Mamelodi Sundowns,0,0,D,,,
RSA,2009-08-19,19:00,BidVest Wits,Maritzburg United,1,1,D,1.0,0.0,H
RSA,2009-08-26,14:00,Golden Arrows,Platinum Stars,1,1,D,0.0,0.0,D
RSA,2009-08-26,18:30,Maritzburg United,AmaZulu FC,2,0,H,2.0,0.0,H
RSA,2009-08-26,18:30,Moroka Swallows,Orlando Pirates,0,1,A,0.0,0.0,D
RSA,2009-08-26,18:30,Jomo Cosmos,Mpumalanga Black Aces,2,1,H,2.0,0.0,H
RSA,2009-08-26,18:30,Kaizer Chiefs,BidVest Wits,0,1,A,0.0,1.0,A
RSA,2009-08-26,18:30,Mamelodi Sundowns,Free State Stars,1,1,D,0.0,0.0,D
RSA,2009-08-26,18:30,Bloemfontein Celtic,SuperSport United,1,1,D,1.0,1.0,D
RSA,2009-08-26,18:30,Ajax Cape Town,Santos FC,0,2,A,0.0,0.0,D
RSA,2009-08-29,14:00,Mpumalanga Black Aces,Golden Arrows,0,0,D,0.0,0.0,D
RSA,2009-08-29,14:00,Platinum Stars,Maritzburg United,1,0,H,0.0,0.0,D
RSA,2009-08-29,14:00,SuperSport United,Ajax Cape Town,0,1,A,0.0,1.0,A
RSA,2009-08-29,19:00,BidVest Wits,Bloemfontein Celtic,1,1,D,1.0,0.0,H
RSA,2009-08-29,19:15,Santos FC,Mamelodi Sundowns,1,0,H,1.0,0.0,H
RSA,2009-08-29,19:15,Orlando Pirates,Jomo Cosmos,4,0,H,1.0,0.0,H
RSA,2009-08-30,14:00,AmaZulu FC,Kaizer Chiefs,2,3,A,1.0,2.0,A
RSA,2009-08-30,14:00,Free State Stars,Moroka Swallows,0,1,A,0.0,0.0,D
RSA,2009-09-12,14:30,Mpumalanga Black Aces,Platinum Stars,1,1,D,0.0,1.0,A
RSA,2009-09-12,14:30,Kaizer Chiefs,Maritzburg United,0,1,A,0.0,1.0,A
RSA,2009-09-12,14:30,Jomo Cosmos,Free State Stars,0,0,D,0.0,0.0,D
RSA,2009-09-12,14:30,Golden Arrows,Orlando Pirates,0,0,D,0.0,0.0,D
RSA,2009-09-12,19:15,Mamelodi Sundowns,SuperSport United,1,1,D,0.0,0.0,D
RSA,2009-09-13,14:30,Moroka Swallows,Santos FC,1,0,H,0.0,0.0,D
RSA,2009-09-13,14:30,Bloemfontein Celtic,AmaZulu FC,1,1,D,0.0,0.0,D
