Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
RUS,1996-03-02,,Torpedo-Luzhniki,Uralmash Ekaterinburg,1,1,D,,,
RUS,1996-03-02,,Rostselmash Rostov,Dinamo Moskva,1,2,A,,,
RUS,1996-03-02,,Zenit St. Petersburg,KAMAZ-Chally,2,1,H,,,
RUS,1996-03-02,,Spartak-Alania,Krylia Sovetov,1,0,H,,,
RUS,1996-03-02,,Baltika Kaliningrad,Lok. Nizhni Novgorod,1,3,A,,,
RUS,1996-03-02,,Chernomorets Novorossisk,FK Energiya-Tekstilschik Kamyshin,1,0,H,,,
RUS,1996-03-02,,Rotor Volgograd (old),CSKA Moskva,2,0,H,,,
RUS,1996-03-02,,Lokomotiv Moskva,Lada Togliatti,0,0,D,,,
RUS,1996-03-09,,Rostselmash Rostov,Uralmash Ekaterinburg,2,1,H,,,
RUS,1996-03-09,,Zenit St. Petersburg,Torpedo-Luzhniki,0,0,D,,,
RUS,1996-03-09,,Spartak-Alania,KAMAZ-Chally,3,0,H,,,
RUS,1996-03-09,,Rotor Volgograd (old),FK Energiya-Tekstilschik Kamyshin,0,0,D,,,
RUS,1996-03-09,,CSKA Moskva,Lada Togliatti,3,1,H,,,
RUS,1996-03-09,,Chernomorets Novorossisk,Krylia Sovetov,0,1,A,,,
RUS,1996-03-09,,Lokomotiv Moskva,Lok. Nizhni Novgorod,0,0,D,,,
RUS,1996-03-10,,Baltika Kaliningrad,Spartak Moskva,1,0,H,,,
RUS,1996-03-11,,Zhemchuzhina Sochi,Dinamo Moskva,1,3,A,,,
RUS,1996-03-15,,Lokomotiv Moskva,Spartak Moskva,0,2,A,,,
RUS,1996-03-16,,Lada Togliatti,FK Energiya-Tekstilschik Kamyshin,1,1,D,,,
RUS,1996-03-16,,Zenit St. Petersburg,Uralmash Ekaterinburg,1,0,H,,,
RUS,1996-03-16,,Zhemchuzhina Sochi,Rostselmash Rostov,3,3,D,,,
RUS,1996-03-16,,Spartak-Alania,Torpedo-Luzhniki,4,1,H,,,
RUS,1996-03-16,,Baltika Kaliningrad,Dinamo Moskva,0,0,D,,,
RUS,1996-03-16,,Chernomorets Novorossisk,KAMAZ-Chally,4,1,H,,,
RUS,1996-03-16,,Rotor Volgograd (old),Krylia Sovetov,1,1,D,,,
RUS,1996-03-16,,CSKA Moskva,Lok. Nizhni Novgorod,2,0,H,,,
RUS,1996-03-23,,Torpedo-Luzhniki,Zhemchuzhina Sochi,1,0,H,,,
RUS,1996-03-23,,Rostselmash Rostov,Zenit St. Petersburg,2,0,H,,,
RUS,1996-03-23,,FK Energiya-Tekstilschik Kamyshin,CSKA Moskva,1,2,A,,,
RUS,1996-03-23,,Lok. Nizhni Novgorod,Rotor Volgograd (old),0,0,D,,,
RUS,1996-03-23,,Krylia Sovetov,Lokomotiv Moskva,1,0,H,,,
RUS,1996-03-23,,Spartak Moskva,Chernomorets Novorossisk,1,0,H,,,
RUS,1996-03-23,,KAMAZ-Chally,Baltika Kaliningrad,0,0,D,,,
RUS,1996-03-23,,Uralmash Ekaterinburg,Lada Togliatti,0,0,D,,,
RUS,1996-03-24,,Dinamo Moskva,Spartak-Alania,1,1,D,,,
RUS,1996-03-30,,Torpedo-Luzhniki,Rostselmash Rostov,0,0,D,,,
RUS,1996-03-30,,FK Energiya-Tekstilschik Kamyshin,Lokomotiv Moskva,0,0,D,,,
RUS,1996-03-30,,Lok. Nizhni Novgorod,Chernomorets Novorossisk,2,0,H,,,
RUS,1996-03-30,,Krylia Sovetov,Baltika Kaliningrad,3,1,H,,,
RUS,1996-03-30,,Spartak Moskva,Spartak-Alania,4,1,H,,,
RUS,1996-03-30,,KAMAZ-Chally,Zhemchuzhina Sochi,4,0,H,,,
RUS,1996-03-30,,Uralmash Ekaterinburg,CSKA Moskva,0,1,A,,,
RUS,1996-03-30,,Lada Togliatti,Rotor Volgograd (old),1,4,A,,,
RUS,1996-03-30,,Dinamo Moskva,Zenit St. Petersburg,1,0,H,,,
RUS,1996-04-06,,Torpedo-Luzhniki,Baltika Kaliningrad,2,2,D,,,
RUS,1996-04-06,,Rostselmash Rostov,Spartak-Alania,1,2,A,,,
RUS,1996-04-06,,Zenit St. Petersburg,Zhemchuzhina Sochi,2,0,H,,,
RUS,1996-04-06,,Lok. Nizhni Novgorod,Lada Togliatti,1,0,H,,,
RUS,1996-04-06,,Krylia Sovetov,CSKA Moskva,1,0,H,,,
RUS,1996-04-06,,KAMAZ-Chally,Lokomotiv Moskva,0,0,D,,,
RUS,1996-04-06,,Uralmash Ekaterinburg,FK Energiya-Tekstilschik Kamyshin,0,0,D,,,
RUS,1996-04-07,,Spartak Moskva,Rotor Volgograd (old),2,0,H,,,
RUS,1996-04-08,,Dinamo Moskva,Chernomorets Novorossisk,1,1,D,,,
RUS,1996-04-13,,Zhemchuzhina Sochi,Uralmash Ekaterinburg,3,2,H,,,
RUS,1996-04-13,,Spartak-Alania,Zenit St. Petersburg,3,1,H,,,
RUS,1996-04-13,,Baltika Kaliningrad,Rostselmash Rostov,0,0,D,,,
RUS,1996-04-13,,Chernomorets Novorossisk,Torpedo-Luzhniki,0,1,A,,,
RUS,1996-04-13,,Rotor Volgograd (old),KAMAZ-Chally,3,1,H,,,
RUS,1996-04-13,,CSKA Moskva,Spartak Moskva,0,0,D,,,
RUS,1996-04-13,,Lada Togliatti,Krylia Sovetov,0,0,D,,,
RUS,1996-04-13,,FK Energiya-Tekstilschik Kamyshin,Lok. Nizhni Novgorod,2,1,H,,,
RUS,1996-04-14,,Lokomotiv Moskva,Dinamo Moskva,0,0,D,,,
RUS,1996-04-20,,Torpedo-Luzhniki,Lokomotiv Moskva,1,2,A,,,
RUS,1996-04-20,,Rostselmash Rostov,Chernomorets Novorossisk,4,0,H,,,
RUS,1996-04-20,,Zenit St. Petersburg,Baltika Kaliningrad,2,2,D,,,
RUS,1996-04-20,,Zhemchuzhina Sochi,Spartak-Alania,0,0,D,,,
RUS,1996-04-20,,Krylia Sovetov,FK Energiya-Tekstilschik Kamyshin,1,0,H,,,
RUS,1996-04-20,,Spartak Moskva,Lada Togliatti,1,0,H,,,
RUS,1996-04-20,,KAMAZ-Chally,CSKA Moskva,0,2,A,,,
RUS,1996-04-20,,Uralmash Ekaterinburg,Lok. Nizhni Novgorod,3,0,H,,,
RUS,1996-04-21,,Dinamo Moskva,Rotor Volgograd (old),0,1,A,,,
RUS,1996-04-27,,Spartak-Alania,Uralmash Ekaterinburg,3,0,H,,,
RUS,1996-04-27,,Baltika Kaliningrad,Zhemchuzhina Sochi,2,0,H,,,
