Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SLV,2015-08-01,21:30,Pasaquina FC,Sonsonate FC,1,1,D,,,
SLV,2015-08-01,23:00,Santa Tecla FC,Juventud Independiente,2,0,H,,,
SLV,2015-08-02,01:30,CD Chalatenango,AD Isidro Metapan,1,1,D,,,
SLV,2015-08-02,22:30,CD FAS,Atlético Marte,2,3,A,,,
SLV,2015-08-05,23:00,Alianza FC,Universidad de El Salvador,1,1,D,,,
SLV,2015-08-06,02:00,CD Águila,CD Dragón,1,0,H,,,
SLV,2015-08-09,00:00,Universidad de El Salvador,Pasaquina FC,1,2,A,,,
SLV,2015-08-09,01:00,Sonsonate FC,CD Águila,0,3,A,,,
SLV,2015-08-09,22:00,Atlético Marte,CD Chalatenango,2,0,H,,,
SLV,2015-08-09,22:00,Juventud Independiente,CD FAS,1,3,A,,,
SLV,2015-08-09,22:00,CD Dragón,Santa Tecla FC,2,1,H,,,
SLV,2015-08-10,00:00,AD Isidro Metapan,Alianza FC,3,4,A,,,
SLV,2015-08-12,21:00,Santa Tecla FC,Sonsonate FC,4,2,H,,,
SLV,2015-08-12,21:00,Pasaquina FC,AD Isidro Metapan,0,0,D,,,
SLV,2015-08-12,22:30,Atlético Marte,Juventud Independiente,0,1,A,,,
SLV,2015-08-13,01:30,CD FAS,CD Dragón,1,0,H,,,
SLV,2015-08-13,01:30,CD Chalatenango,Alianza FC,0,0,D,,,
SLV,2015-08-13,02:00,CD Águila,Universidad de El Salvador,1,0,H,,,
SLV,2015-08-16,00:00,Universidad de El Salvador,Santa Tecla FC,1,0,H,,,
SLV,2015-08-16,01:00,Sonsonate FC,CD FAS,1,2,A,,,
SLV,2015-08-16,02:00,AD Isidro Metapan,CD Águila,1,1,D,,,
SLV,2015-08-16,22:00,Juventud Independiente,CD Chalatenango,2,0,H,,,
SLV,2015-08-16,22:00,CD Dragón,Atlético Marte,5,1,H,,,
SLV,2015-08-16,23:00,Alianza FC,Pasaquina FC,2,0,H,,,
SLV,2015-08-23,01:30,CD FAS,Universidad de El Salvador,1,0,H,,,
SLV,2015-08-23,02:00,CD Águila,Alianza FC,2,2,D,,,
SLV,2015-08-23,03:00,Santa Tecla FC,AD Isidro Metapan,0,3,A,,,
SLV,2015-08-23,22:00,Juventud Independiente,CD Dragón,1,1,D,,,
SLV,2015-08-23,22:00,Atlético Marte,Sonsonate FC,0,0,D,,,
SLV,2015-08-23,22:00,CD Chalatenango,Pasaquina FC,0,0,D,,,
SLV,2015-08-26,21:30,Pasaquina FC,CD Águila,1,1,D,,,
SLV,2015-08-26,22:00,CD Dragón,CD Chalatenango,2,0,H,,,
SLV,2015-08-27,01:00,Sonsonate FC,Juventud Independiente,1,1,D,,,
SLV,2015-08-27,02:00,Universidad de El Salvador,Atlético Marte,0,0,D,,,
SLV,2015-08-27,02:00,AD Isidro Metapan,CD FAS,2,3,A,,,
SLV,2015-08-30,01:30,CD Chalatenango,CD Águila,3,1,H,,,
SLV,2015-08-30,22:00,CD Dragón,Sonsonate FC,1,2,A,,,
SLV,2015-08-30,22:00,Juventud Independiente,Universidad de El Salvador,2,2,D,,,
SLV,2015-08-30,22:00,Santa Tecla FC,Pasaquina FC,4,2,H,,,
SLV,2015-09-06,01:30,Sonsonate FC,CD Chalatenango,2,1,H,,,
SLV,2015-09-06,20:00,CD Águila,Santa Tecla FC,2,1,H,,,
SLV,2015-09-06,22:00,Universidad de El Salvador,CD Dragón,1,2,A,,,
SLV,2015-09-06,22:30,Alianza FC,Atlético Marte,0,0,D,,,
SLV,2015-09-13,01:30,Sonsonate FC,Universidad de El Salvador,2,0,H,,,
SLV,2015-09-13,01:30,CD Chalatenango,Santa Tecla FC,2,0,H,,,
SLV,2015-09-13,02:00,CD FAS,CD Águila,2,1,H,,,
SLV,2015-09-13,21:30,CD Dragón,AD Isidro Metapan,0,0,D,,,
SLV,2015-09-13,22:00,Juventud Independiente,Alianza FC,0,3,A,,,
SLV,2015-09-13,22:00,Atlético Marte,Pasaquina FC,1,2,A,,,
SLV,2015-09-15,23:00,CD FAS,Alianza FC,3,1,H,,,
SLV,2015-09-19,21:30,Pasaquina FC,Juventud Independiente,3,1,H,,,
SLV,2015-09-19,23:00,Santa Tecla FC,CD FAS,2,0,H,,,
SLV,2015-09-20,01:30,CD Chalatenango,Universidad de El Salvador,2,1,H,,,
SLV,2015-09-20,02:00,CD Águila,Atlético Marte,1,0,H,,,
SLV,2015-09-20,22:30,Alianza FC,CD Dragón,1,1,D,,,
SLV,2015-09-20,23:00,AD Isidro Metapan,Sonsonate FC,4,0,H,,,
SLV,2015-09-23,21:00,Pasaquina FC,CD FAS,1,1,D,,,
SLV,2015-09-27,01:30,Sonsonate FC,Alianza FC,3,4,A,,,
SLV,2015-09-27,21:30,CD Dragón,Pasaquina FC,0,0,D,,,
SLV,2015-09-27,22:00,Universidad de El Salvador,AD Isidro Metapan,0,4,A,,,
SLV,2015-09-27,22:00,Juventud Independiente,CD Águila,1,3,A,,,
SLV,2015-09-27,22:30,CD FAS,CD Chalatenango,3,4,A,,,
SLV,2015-10-01,01:00,AD Isidro Metapan,Juventud Independiente,5,0,H,,,
SLV,2015-10-01,02:00,Alianza FC,Santa Tecla FC,2,5,A,,,
SLV,2015-10-04,01:30,Sonsonate FC,Pasaquina FC,0,1,A,,,
SLV,2015-10-04,02:00,CD Dragón,CD Águila,0,0,D,,,
SLV,2015-10-04,22:00,Atlético Marte,CD FAS,0,3,A,,,
