Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SVN,2013-07-12,19:00,NK Maribor,NK Zavrč ,2,1,H,0,1,A
SVN,2013-07-13,16:30,FC Koper,NK Krka,2,1,H,1,1,D
SVN,2013-07-13,19:00,Olimpija Ljubljana,Rudar Velenje,1,2,A,1,1,D
SVN,2013-07-14,17:00,NK Triglav,ND Gorica,0,1,A,0,1,A
SVN,2013-07-20,16:30,NK Domžale,NK Triglav,2,2,D,2,2,D
SVN,2013-07-20,17:00,NK Krka,ND Gorica,1,1,D,0,0,D
SVN,2013-07-20,18:00,Rudar Velenje,NK Maribor,0,3,A,0,2,A
SVN,2013-07-20,19:00,NK Zavrč ,NK Celje,2,1,H,0,1,A
SVN,2013-07-21,17:00,FC Koper,Olimpija Ljubljana,1,1,D,0,1,A
SVN,2013-07-27,16:30,NK Maribor,FC Koper,6,1,H,2,0,H
SVN,2013-07-27,19:00,NK Celje,Rudar Velenje,0,1,A,0,0,D
SVN,2013-07-27,19:00,ND Gorica,NK Domžale,1,2,A,0,0,D
SVN,2013-07-28,17:00,NK Triglav,NK Zavrč ,1,2,A,0,1,A
SVN,2013-07-28,19:30,Olimpija Ljubljana,NK Krka,5,0,H,3,0,H
SVN,2013-07-31,19:00,NK Celje,NK Domžale,0,0,D,0,0,D
SVN,2013-08-02,19:00,NK Zavrč ,ND Gorica,0,2,A,0,1,A
SVN,2013-08-03,16:30,FC Koper,NK Celje,1,1,D,1,0,H
SVN,2013-08-03,17:00,NK Krka,NK Domžale,3,0,H,1,0,H
SVN,2013-08-03,19:00,Rudar Velenje,NK Triglav,3,0,H,1,0,H
SVN,2013-08-10,16:30,NK Celje,Olimpija Ljubljana,2,3,A,0,1,A
SVN,2013-08-10,16:30,NK Triglav,FC Koper,0,3,A,0,1,A
SVN,2013-08-10,19:00,NK Maribor,NK Krka,3,0,H,1,0,H
SVN,2013-08-10,19:00,ND Gorica,Rudar Velenje,1,1,D,1,0,H
SVN,2013-08-10,19:30,NK Domžale,NK Zavrč ,1,1,D,0,1,A
SVN,2013-08-16,19:00,NK Maribor,NK Celje,5,1,H,3,0,H
SVN,2013-08-17,16:30,NK Krka,NK Zavrč ,3,4,A,1,3,A
SVN,2013-08-17,16:30,FC Koper,ND Gorica,2,1,H,2,1,H
SVN,2013-08-17,19:00,Rudar Velenje,NK Domžale,3,1,H,1,0,H
SVN,2013-08-18,19:30,Olimpija Ljubljana,NK Triglav,3,1,H,3,0,H
SVN,2013-08-24,16:00,NK Triglav,NK Maribor,0,1,A,0,0,D
SVN,2013-08-24,16:30,NK Domžale,FC Koper,0,1,A,0,1,A
SVN,2013-08-24,17:30,ND Gorica,Olimpija Ljubljana,4,1,H,3,1,H
SVN,2013-08-24,19:00,NK Celje,NK Krka,2,0,H,1,0,H
SVN,2013-08-24,19:00,NK Zavrč ,Rudar Velenje,2,1,H,2,0,H
SVN,2013-08-31,16:30,Olimpija Ljubljana,NK Domžale,0,3,A,0,3,A
SVN,2013-08-31,17:30,NK Maribor,ND Gorica,1,1,D,1,0,H
SVN,2013-08-31,19:00,FC Koper,NK Zavrč ,1,1,D,1,0,H
SVN,2013-08-31,19:00,NK Celje,NK Triglav,1,0,H,0,0,D
SVN,2013-09-13,19:00,NK Zavrč ,Olimpija Ljubljana,2,1,H,1,1,D
SVN,2013-09-14,16:30,NK Domžale,NK Maribor,0,1,A,0,1,A
SVN,2013-09-14,17:00,Rudar Velenje,FC Koper,1,0,H,1,0,H
SVN,2013-09-14,19:00,ND Gorica,NK Celje,2,0,H,1,0,H
SVN,2013-09-15,15:00,NK Triglav,NK Krka,1,0,H,0,0,D
SVN,2013-09-21,15:00,NK Krka,FC Koper,0,1,A,0,1,A
SVN,2013-09-21,16:30,Rudar Velenje,Olimpija Ljubljana,1,2,A,1,0,H
SVN,2013-09-21,19:00,ND Gorica,NK Triglav,3,1,H,1,0,H
SVN,2013-09-21,19:15,NK Domžale,NK Celje,4,0,H,1,0,H
SVN,2013-09-22,18:00,NK Zavrč ,NK Maribor,1,0,H,1,0,H
SVN,2013-09-25,15:00,NK Triglav,NK Domžale,0,3,A,0,1,A
SVN,2013-09-25,16:00,NK Celje,NK Zavrč ,2,1,H,1,1,D
