Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SWE,1944-07-30,,Malmö FF,IFK Göteborg,4,0,H,,,
SWE,1944-07-30,,Ludvika FFI,AIK Solna,1,2,A,,,
SWE,1944-07-30,,Helsingborgs IF,Halmstads BK,1,2,A,,,
SWE,1944-07-30,,IS Halmia,Landskrona BoIS,3,1,H,,,
SWE,1944-07-30,,GAIS Göteborg,IF Elfsborg,0,2,A,,,
SWE,1944-07-30,,Degerfors IF,IFK Norrköping,0,1,A,,,
SWE,1944-08-06,,IFK Norrköping,Helsingborgs IF,4,5,A,,,
SWE,1944-08-06,,Landskrona BoIS,Degerfors IF,5,1,H,,,
SWE,1944-08-06,,Halmstads BK,Malmö FF,1,1,D,,,
SWE,1944-08-06,,IFK Göteborg,Ludvika FFI,5,0,H,,,
SWE,1944-08-06,,IF Elfsborg,IS Halmia,1,2,A,,,
SWE,1944-08-06,,AIK Solna,GAIS Göteborg,4,2,H,,,
SWE,1944-08-13,,Ludvika FFI,Helsingborgs IF,5,2,H,,,
SWE,1944-08-13,,IS Halmia,IFK Göteborg,1,3,A,,,
SWE,1944-08-13,,GAIS Göteborg,Halmstads BK,4,0,H,,,
SWE,1944-08-13,,IF Elfsborg,Landskrona BoIS,6,4,H,,,
SWE,1944-08-13,,Degerfors IF,Malmö FF,0,4,A,,,
SWE,1944-08-13,,AIK Solna,IFK Norrköping,4,1,H,,,
SWE,1944-08-18,,IFK Göteborg,GAIS Göteborg,2,0,H,,,
SWE,1944-08-20,,IFK Norrköping,IF Elfsborg,5,1,H,,,
SWE,1944-08-20,,Malmö FF,IS Halmia,5,0,H,,,
SWE,1944-08-20,,Landskrona BoIS,Ludvika FFI,1,2,A,,,
SWE,1944-08-20,,Helsingborgs IF,Degerfors IF,2,4,A,,,
SWE,1944-08-20,,Halmstads BK,AIK Solna,2,1,H,,,
SWE,1944-08-27,,IFK Göteborg,Landskrona BoIS,3,0,H,,,
SWE,1944-09-03,,IFK Norrköping,IFK Göteborg,5,1,H,,,
SWE,1944-09-03,,Landskrona BoIS,Malmö FF,2,3,A,,,
SWE,1944-09-03,,Halmstads BK,Ludvika FFI,3,2,H,,,
SWE,1944-09-03,,GAIS Göteborg,IS Halmia,3,1,H,,,
SWE,1944-09-03,,IF Elfsborg,Helsingborgs IF,1,0,H,,,
SWE,1944-09-03,,AIK Solna,Degerfors IF,0,2,A,,,
SWE,1944-09-10,,Malmö FF,IFK Norrköping,1,3,A,,,
SWE,1944-09-10,,Ludvika FFI,GAIS Göteborg,2,2,D,,,
SWE,1944-09-10,,Helsingborgs IF,Landskrona BoIS,2,3,A,,,
SWE,1944-09-10,,IS Halmia,AIK Solna,1,0,H,,,
SWE,1944-09-10,,IFK Göteborg,Halmstads BK,6,1,H,,,
SWE,1944-09-10,,Degerfors IF,IF Elfsborg,1,1,D,,,
SWE,1944-09-17,,Malmö FF,IF Elfsborg,2,3,A,,,
SWE,1944-09-17,,Ludvika FFI,IS Halmia,2,1,H,,,
SWE,1944-09-17,,Helsingborgs IF,AIK Solna,1,0,H,,,
SWE,1944-09-17,,Halmstads BK,IFK Norrköping,0,3,A,,,
SWE,1944-09-17,,Degerfors IF,GAIS Göteborg,1,0,H,,,
SWE,1944-09-24,,IFK Norrköping,Ludvika FFI,3,0,H,,,
SWE,1944-09-24,,Landskrona BoIS,Halmstads BK,3,0,H,,,
SWE,1944-09-24,,IS Halmia,Degerfors IF,4,3,H,,,
SWE,1944-09-24,,GAIS Göteborg,Helsingborgs IF,1,1,D,,,
SWE,1944-09-24,,IF Elfsborg,IFK Göteborg,3,3,D,,,
SWE,1944-09-24,,AIK Solna,Malmö FF,1,2,A,,,
SWE,1944-10-01,,Helsingborgs IF,IS Halmia,0,3,A,,,
SWE,1944-10-01,,Halmstads BK,IF Elfsborg,0,4,A,,,
SWE,1944-10-01,,IFK Göteborg,AIK Solna,2,0,H,,,
SWE,1944-10-01,,Degerfors IF,Ludvika FFI,2,0,H,,,
SWE,1944-10-08,,Ludvika FFI,IF Elfsborg,1,3,A,,,
SWE,1944-10-08,,Helsingborgs IF,Malmö FF,2,5,A,,,
SWE,1944-10-08,,IS Halmia,Halmstads BK,2,4,A,,,
SWE,1944-10-08,,GAIS Göteborg,IFK Norrköping,2,4,A,,,
SWE,1944-10-08,,Degerfors IF,IFK Göteborg,2,1,H,,,
SWE,1944-10-08,,AIK Solna,Landskrona BoIS,2,2,D,,,
SWE,1944-10-15,,IFK Norrköping,IS Halmia,1,0,H,,,
SWE,1944-10-15,,Malmö FF,Ludvika FFI,1,1,D,,,
SWE,1944-10-15,,Landskrona BoIS,GAIS Göteborg,1,3,A,,,
SWE,1944-10-15,,Halmstads BK,Degerfors IF,1,2,A,,,
SWE,1944-10-15,,IFK Göteborg,Helsingborgs IF,6,1,H,,,
SWE,1944-10-15,,IF Elfsborg,AIK Solna,3,2,H,,,
SWE,1944-10-22,,IFK Norrköping,Halmstads BK,5,1,H,,,
SWE,1944-10-22,,Landskrona BoIS,IFK Göteborg,1,2,A,,,
SWE,1944-10-22,,IS Halmia,Ludvika FFI,1,2,A,,,
SWE,1944-10-22,,GAIS Göteborg,Degerfors IF,1,1,D,,,
SWE,1944-10-22,,IF Elfsborg,Malmö FF,1,1,D,,,
SWE,1944-10-22,,AIK Solna,Helsingborgs IF,6,1,H,,,
SWE,1944-10-29,,Malmö FF,AIK Solna,2,3,A,,,
SWE,1944-10-29,,Ludvika FFI,IFK Norrköping,0,2,A,,,
SWE,1944-10-29,,Helsingborgs IF,GAIS Göteborg,0,1,A,,,
SWE,1944-10-29,,Halmstads BK,Landskrona BoIS,4,2,H,,,
SWE,1944-10-29,,IFK Göteborg,IF Elfsborg,1,1,D,,,
SWE,1944-10-29,,Degerfors IF,IS Halmia,2,1,H,,,
SWE,1944-11-12,,IFK Norrköping,Landskrona BoIS,9,1,H,,,
SWE,1944-11-12,,Malmö FF,GAIS Göteborg,1,3,A,,,
SWE,1945-04-15,,IFK Norrköping,GAIS Göteborg,3,0,H,,,
SWE,1945-04-15,,Malmö FF,Helsingborgs IF,2,0,H,,,
SWE,1945-04-15,,Landskrona BoIS,AIK Solna,1,1,D,,,
SWE,1945-04-15,,Halmstads BK,IS Halmia,1,2,A,,,
SWE,1945-04-15,,IFK Göteborg,Degerfors IF,2,1,H,,,
SWE,1945-04-15,,IF Elfsborg,Ludvika FFI,6,0,H,,,
SWE,1945-04-22,,Ludvika FFI,Degerfors IF,1,3,A,,,
SWE,1945-04-22,,Landskrona BoIS,IFK Norrköping,1,3,A,,,
SWE,1945-04-22,,IS Halmia,Helsingborgs IF,1,3,A,,,
SWE,1945-04-22,,GAIS Göteborg,Malmö FF,1,4,A,,,
SWE,1945-04-22,,IF Elfsborg,Halmstads BK,4,0,H,,,
SWE,1945-04-22,,AIK Solna,IFK Göteborg,2,7,A,,,
SWE,1945-04-29,,Malmö FF,Landskrona BoIS,4,0,H,,,
SWE,1945-04-29,,Ludvika FFI,Halmstads BK,2,5,A,,,
SWE,1945-04-29,,Helsingborgs IF,IF Elfsborg,2,3,A,,,
SWE,1945-04-29,,IS Halmia,GAIS Göteborg,2,0,H,,,
SWE,1945-04-29,,IFK Göteborg,IFK Norrköping,1,6,A,,,
SWE,1945-04-29,,Degerfors IF,AIK Solna,0,0,D,,,
