Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SWE,08/04/2000,,Örgryte IS,Helsingborgs IF,2,0,H,NaN,NaN,NaN
SWE,09/04/2000,,Trelleborgs FF,Halmstads BK,0,2,A,NaN,NaN,NaN
SWE,09/04/2000,,GAIS Göteborg,Västra Frölunda,0,0,D,NaN,NaN,NaN
SWE,09/04/2000,,Örebro SK,IFK Norrköping,1,1,D,NaN,NaN,NaN
SWE,10/04/2000,,Hammarby IF,GIF Sundsvall,0,1,A,NaN,NaN,NaN
SWE,10/04/2000,,BK Häcken,IFK Göteborg,1,3,A,NaN,NaN,NaN
SWE,10/04/2000,,IF Elfsborg,AIK Solna,1,2,A,NaN,NaN,NaN
SWE,16/04/2000,,Västra Frölunda,Trelleborgs FF,0,1,A,NaN,NaN,NaN
SWE,16/04/2000,,GIF Sundsvall,Örebro SK,2,2,D,NaN,NaN,NaN
SWE,17/04/2000,,Helsingborgs IF,Hammarby IF,0,0,D,NaN,NaN,NaN
SWE,17/04/2000,,IFK Göteborg,Örgryte IS,2,0,H,NaN,NaN,NaN
SWE,17/04/2000,,AIK Solna,BK Häcken,1,1,D,NaN,NaN,NaN
SWE,18/04/2000,,IFK Norrköping,GAIS Göteborg,3,0,H,NaN,NaN,NaN
SWE,04/05/2000,,Halmstads BK,IF Elfsborg,1,0,H,NaN,NaN,NaN
SWE,21/04/2000,,Trelleborgs FF,IFK Göteborg,1,1,D,NaN,NaN,NaN
SWE,21/04/2000,,Halmstads BK,AIK Solna,4,0,H,NaN,NaN,NaN
SWE,21/04/2000,,IF Elfsborg,Helsingborgs IF,2,3,A,NaN,NaN,NaN
SWE,21/04/2000,,Örgryte IS,IFK Norrköping,2,0,H,NaN,NaN,NaN
SWE,21/04/2000,,Örebro SK,Västra Frölunda,6,0,H,NaN,NaN,NaN
SWE,22/04/2000,,Hammarby IF,GAIS Göteborg,2,1,H,NaN,NaN,NaN
SWE,24/04/2000,,BK Häcken,GIF Sundsvall,2,1,H,NaN,NaN,NaN
SWE,30/04/2000,,Västra Frölunda,Halmstads BK,0,1,A,NaN,NaN,NaN
SWE,30/04/2000,,GIF Sundsvall,Örgryte IS,0,2,A,NaN,NaN,NaN
