Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
TUR,1985-08-31,,Galatasaray,Samsunspor,3,0,H,1,0,H
TUR,1985-09-01,,Çaykur Rizespor,Sarıyer SK,0,0,D,0,0,D
TUR,1985-09-01,,Eskişehirspor,Kocaelispor,3,0,H,2,0,H
TUR,1985-09-01,,Fenerbahçe,Kayserispor,3,2,H,3,0,H
TUR,1985-09-01,,Gençlerbirliği,Denizlispor,2,1,H,1,0,H
TUR,1985-09-01,,Orduspor,Altay Izmir,2,1,H,0,0,D
TUR,1985-09-01,,Sakaryaspor,MKE Ankaragücü,2,5,A,1,1,D
TUR,1985-09-01,,Trabzonspor,Bursaspor,3,0,H,0,0,D
TUR,1985-09-01,,Zonguldakspor,Beşiktaş,0,1,A,0,1,A
TUR,1985-09-08,,Altay Izmir,Galatasaray,0,1,A,0,0,D
TUR,1985-09-08,,Samsunspor,Çaykur Rizespor,3,0,H,1,0,H
TUR,1985-09-08,,Sarıyer SK,Eskişehirspor,3,1,H,1,1,D
TUR,1985-09-08,,Malatyaspor,Fenerbahçe,0,0,D,0,0,D
TUR,1985-09-08,,Kayserispor,Gençlerbirliği,1,1,D,1,0,H
TUR,1985-09-08,,Denizlispor,Orduspor,5,1,H,0,0,D
TUR,1985-09-08,,Kocaelispor,Sakaryaspor,1,1,D,1,0,H
TUR,1985-09-08,,MKE Ankaragücü,Trabzonspor,1,0,H,0,0,D
TUR,1985-09-08,,Bursaspor,Zonguldakspor,2,0,H,2,0,H
TUR,1985-09-14,,Beşiktaş,Bursaspor,0,0,D,0,0,D
TUR,1985-09-15,,Eskişehirspor,Samsunspor,2,1,H,0,0,D
TUR,1985-09-15,,Sakaryaspor,Sarıyer SK,1,0,H,0,0,D
TUR,1985-09-15,,Trabzonspor,Kocaelispor,1,0,H,0,0,D
TUR,1985-09-15,,Orduspor,Kayserispor,1,1,D,0,1,A
TUR,1985-09-15,,Galatasaray,Denizlispor,2,1,H,1,0,H
TUR,1985-09-15,,Çaykur Rizespor,Altay Izmir,2,1,H,1,0,H
TUR,1985-09-15,,Zonguldakspor,MKE Ankaragücü,2,2,D,1,1,D
TUR,1985-09-15,,Gençlerbirliği,Malatyaspor,4,3,H,2,1,H
TUR,1985-09-21,,Kayserispor,Galatasaray,0,0,D,0,0,D
TUR,1985-09-21,,Fenerbahçe,Gençlerbirliği,1,1,D,0,0,D
TUR,1985-09-22,,Denizlispor,Çaykur Rizespor,1,0,H,0,0,D
TUR,1985-09-22,,Altay Izmir,Eskişehirspor,2,2,D,2,0,H
TUR,1985-09-22,,Malatyaspor,Orduspor,0,0,D,0,0,D
TUR,1985-09-22,,Samsunspor,Sakaryaspor,4,1,H,1,1,D
TUR,1985-09-22,,Sarıyer SK,Trabzonspor,0,0,D,0,0,D
TUR,1985-09-22,,Kocaelispor,Zonguldakspor,1,1,D,1,1,D
TUR,1985-09-22,,MKE Ankaragücü,Beşiktaş,0,0,D,0,0,D
TUR,1985-09-28,,Galatasaray,Malatyaspor,1,1,D,1,1,D
TUR,1985-09-29,,Trabzonspor,Samsunspor,1,1,D,0,1,A
TUR,1985-09-29,,Zonguldakspor,Sarıyer SK,0,1,A,0,0,D
TUR,1985-09-29,,Beşiktaş,Kocaelispor,3,0,H,0,0,D
TUR,1985-09-29,,Çaykur Rizespor,Kayserispor,1,0,H,1,0,H
TUR,1985-09-29,,Eskişehirspor,Denizlispor,4,1,H,2,0,H
TUR,1985-09-29,,Sakaryaspor,Altay Izmir,2,1,H,0,0,D
TUR,1985-09-29,,Bursaspor,MKE Ankaragücü,1,1,D,1,1,D
TUR,1985-10-06,,Fenerbahçe,Galatasaray,1,1,D,1,1,D
TUR,1985-10-06,,Malatyaspor,Çaykur Rizespor,4,1,H,2,0,H
TUR,1985-10-06,,Kayserispor,Eskişehirspor,0,3,A,0,2,A
TUR,1985-10-06,,Gençlerbirliği,Orduspor,2,2,D,0,0,D
TUR,1985-10-06,,Denizlispor,Sakaryaspor,1,1,D,1,0,H
TUR,1985-10-06,,Altay Izmir,Trabzonspor,0,0,D,0,0,D
TUR,1985-10-06,,Samsunspor,Zonguldakspor,6,0,H,3,0,H
TUR,1985-10-06,,Kocaelispor,Bursaspor,1,0,H,0,0,D
TUR,1985-10-06,,Sarıyer SK,Beşiktaş,0,0,D,0,0,D
TUR,1985-10-12,,Çaykur Rizespor,Fenerbahçe,1,1,D,1,0,H
TUR,1985-10-12,,Beşiktaş,Samsunspor,1,1,D,0,1,A
TUR,1985-10-12,,Trabzonspor,Denizlispor,2,0,H,1,0,H
TUR,1985-10-13,,Galatasaray,Gençlerbirliği,0,0,D,0,0,D
TUR,1985-10-13,,Bursaspor,Sarıyer SK,1,3,A,0,1,A
TUR,1985-10-13,,MKE Ankaragücü,Kocaelispor,3,2,H,2,2,D
TUR,1985-10-13,,Sakaryaspor,Kayserispor,2,0,H,1,0,H
TUR,1985-10-13,,Zonguldakspor,Altay Izmir,3,2,H,1,1,D
TUR,1985-10-13,,Eskişehirspor,Malatyaspor,2,1,H,1,0,H
TUR,1985-10-19,,Gençlerbirliği,Çaykur Rizespor,2,1,H,2,0,H
TUR,1985-10-19,,Fenerbahçe,Eskişehirspor,1,0,H,1,0,H
TUR,1985-10-19,,Malatyaspor,Sakaryaspor,2,0,H,1,0,H
TUR,1985-10-19,,Kayserispor,Trabzonspor,1,0,H,0,0,D
TUR,1985-10-19,,Denizlispor,Zonguldakspor,1,1,D,0,1,A
TUR,1985-10-19,,Sarıyer SK,MKE Ankaragücü,0,0,D,0,0,D
TUR,1985-10-19,,Samsunspor,Bursaspor,3,0,H,1,0,H
TUR,1985-10-19,,Altay Izmir,Beşiktaş,1,1,D,0,1,A
TUR,1985-10-27,,Sakaryaspor,Fenerbahçe,1,2,A,1,0,H
TUR,1985-10-27,,Eskişehirspor,Gençlerbirliği,1,2,A,0,1,A
TUR,1985-10-27,,Çaykur Rizespor,Orduspor,2,1,H,0,1,A
TUR,1985-10-27,,MKE Ankaragücü,Samsunspor,0,1,A,0,0,D
TUR,1985-10-27,,Kocaelispor,Sarıyer SK,1,4,A,0,1,A
TUR,1985-10-27,,Zonguldakspor,Kayserispor,3,0,H,2,0,H
TUR,1985-10-27,,Beşiktaş,Denizlispor,1,0,H,1,0,H
TUR,1985-10-27,,Bursaspor,Altay Izmir,2,0,H,1,0,H
TUR,1985-10-27,,Trabzonspor,Malatyaspor,2,1,H,1,0,H
TUR,1985-11-02,,Galatasaray,Çaykur Rizespor,2,0,H,0,0,D
TUR,1985-11-03,,Orduspor,Eskişehirspor,1,2,A,1,1,D
TUR,1985-11-03,,Gençlerbirliği,Sakaryaspor,1,0,H,0,0,D
TUR,1985-11-03,,Fenerbahçe,Trabzonspor,0,0,D,0,0,D
TUR,1985-11-03,,Malatyaspor,Zonguldakspor,2,1,H,1,0,H
TUR,1985-11-03,,Samsunspor,Kocaelispor,3,2,H,0,1,A
TUR,1985-11-03,,Altay Izmir,MKE Ankaragücü,3,0,H,1,0,H
TUR,1985-11-03,,Denizlispor,Bursaspor,1,0,H,1,0,H
TUR,1985-11-03,,Kayserispor,Beşiktaş,1,1,D,0,0,D
