Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
UAE,2011-10-15,15:35,Emirates Club,Dubai Club,2,1,H,,,
UAE,2011-10-15,15:40,Al Sha'ab,Al Wahda,2,1,H,,,
UAE,2011-10-15,18:00,Al Jazira Club,Al Ahli,4,0,H,,,
UAE,2011-10-16,15:40,Ajman Club,Baniyas SC,1,1,D,,,
UAE,2011-10-16,15:40,Al Ain FC,Al Nasr SC,2,0,H,,,
UAE,2011-10-16,18:00,Al Wasl,Sharjah FC,3,0,H,,,
UAE,2011-10-21,14:05,Sharjah FC,Al Jazira Club,2,2,D,,,
UAE,2011-10-21,14:05,Al Nasr SC,Ajman Club,1,1,D,,,
UAE,2011-10-21,17:00,Al Wahda,Al Ain FC,2,2,D,,,
UAE,2011-10-22,14:05,Al Ahli,Emirates Club,2,0,H,,,
UAE,2011-10-22,17:00,Baniyas SC,Al Wasl,1,2,A,,,
UAE,2011-10-23,15:35,Dubai Club,Al Sha'ab,1,1,D,,,
UAE,2011-10-28,13:55,Emirates Club,Sharjah FC,1,2,A,,,
UAE,2011-10-28,13:55,Ajman Club,Al Wasl,1,1,D,,,
UAE,2011-10-28,17:00,Al Jazira Club,Baniyas SC,3,1,H,,,
UAE,2011-10-29,13:55,Al Nasr SC,Al Wahda,0,1,A,,,
UAE,2011-10-29,17:00,Al Ain FC,Dubai Club,2,1,H,,,
UAE,2011-10-30,14:30,Al Sha'ab,Al Ahli,2,0,H,,,
UAE,2011-11-02,13:00,Baniyas SC,Emirates Club,4,1,H,,,
UAE,2011-11-02,16:00,Al Wasl,Al Jazira Club,0,1,A,,,
UAE,2011-11-03,12:55,Dubai Club,Al Nasr SC,1,2,A,,,
UAE,2011-11-03,16:00,Al Wahda,Ajman Club,1,0,H,,,
UAE,2011-11-25,12:40,Emirates Club,Al Wasl,1,2,A,1.0,1.0,D
UAE,2011-11-25,12:45,Ajman Club,Al Jazira Club,3,4,A,2.0,0.0,H
UAE,2011-11-25,16:00,Al Nasr SC,Al Ahli,4,0,H,2.0,0.0,H
UAE,2011-11-26,12:45,Al Sha'ab,Baniyas SC,1,1,D,0.0,0.0,D
UAE,2011-11-26,12:50,Al Wahda,Dubai Club,1,1,D,1.0,1.0,D
UAE,2011-11-26,16:00,Al Ain FC,Sharjah FC,2,1,H,1.0,0.0,H
UAE,2011-12-03,12:45,Dubai Club,Ajman Club,1,3,A,1.0,1.0,D
UAE,2011-12-03,12:50,Al Jazira Club,Emirates Club,4,1,H,3.0,1.0,H
UAE,2011-12-03,16:00,Al Wasl,Al Sha'ab,2,2,D,1.0,1.0,D
UAE,2011-12-04,12:45,Sharjah FC,Al Nasr SC,4,5,A,1.0,1.0,D
UAE,2011-12-04,12:50,Baniyas SC,Al Ain FC,2,2,D,2.0,1.0,H
UAE,2011-12-04,16:00,Al Ahli,Al Wahda,2,2,D,2.0,1.0,H
UAE,2011-12-09,12:45,Dubai Club,Al Ahli,1,2,A,0.0,1.0,A
UAE,2011-12-09,12:50,Al Wahda,Sharjah FC,1,0,H,1.0,0.0,H
UAE,2011-12-09,16:00,Al Sha'ab,Al Jazira Club,3,2,H,2.0,0.0,H
UAE,2011-12-09,16:00,Al Ain FC,Al Wasl,2,0,H,2.0,0.0,H
UAE,2011-12-10,12:45,Ajman Club,Emirates Club,1,0,H,0.0,0.0,D
UAE,2011-12-10,16:00,Al Nasr SC,Baniyas SC,2,1,H,1.0,0.0,H
UAE,2011-12-13,12:45,Sharjah FC,Al Sha'ab,1,0,H,0.0,0.0,D
UAE,2011-12-13,16:00,Al Ahli,Al Ain FC,0,2,A,0.0,1.0,A
UAE,2011-12-22,12:45,Emirates Club,Al Sha'ab,1,5,A,0.0,1.0,A
UAE,2011-12-22,12:50,Sharjah FC,Dubai Club,1,1,D,0.0,0.0,D
UAE,2011-12-22,16:00,Al Jazira Club,Al Ain FC,1,3,A,0.0,1.0,A
UAE,2011-12-23,12:50,Al Ahli,Ajman Club,2,0,H,1.0,0.0,H
UAE,2011-12-23,12:55,Baniyas SC,Al Wahda,2,2,D,2.0,0.0,H
UAE,2011-12-23,16:00,Al Wasl,Al Nasr SC,2,2,D,1.0,1.0,D
UAE,2011-12-29,12:55,Ajman Club,Al Sha'ab,0,1,A,0.0,0.0,D
UAE,2011-12-29,12:55,Al Nasr SC,Al Jazira Club,2,2,D,1.0,0.0,H
UAE,2011-12-29,16:00,Al Ahli,Sharjah FC,2,2,D,2.0,0.0,H
UAE,2011-12-30,12:55,Al Ain FC,Emirates Club,4,0,H,2.0,0.0,H
UAE,2011-12-30,12:55,Dubai Club,Baniyas SC,1,2,A,0.0,0.0,D
UAE,2011-12-30,16:00,Al Wahda,Al Wasl,2,1,H,1.0,0.0,H
UAE,2012-01-04,12:55,Emirates Club,Al Nasr SC,1,3,A,1.0,1.0,D
UAE,2012-01-04,13:00,Sharjah FC,Ajman Club,1,3,A,0.0,2.0,A
UAE,2012-01-04,16:00,Al Sha'ab,Al Ain FC,1,1,D,0.0,1.0,A
UAE,2012-01-05,13:00,Al Wasl,Dubai Club,1,2,A,1.0,2.0,A
UAE,2012-01-05,13:05,Baniyas SC,Al Ahli,1,3,A,1.0,2.0,A
UAE,2012-01-05,16:00,Al Jazira Club,Al Wahda,4,2,H,0.0,0.0,D
UAE,2012-01-14,13:05,Dubai Club,Al Jazira Club,2,4,A,0.0,2.0,A
UAE,2012-01-14,13:05,Al Ain FC,Ajman Club,4,1,H,0.0,1.0,A
UAE,2012-01-14,16:00,Al Ahli,Al Wasl,1,2,A,1.0,0.0,H
UAE,2012-01-15,13:05,Al Nasr SC,Al Sha'ab,2,1,H,2.0,0.0,H
UAE,2012-01-15,13:10,Al Wahda,Emirates Club,2,2,D,2.0,1.0,H
UAE,2012-01-15,16:00,Sharjah FC,Baniyas SC,1,2,A,0.0,0.0,D
UAE,2012-01-22,13:10,Dubai Club,Emirates Club,2,4,A,1.0,3.0,A
UAE,2012-01-22,13:15,Baniyas SC,Ajman Club,1,2,A,1.0,2.0,A
UAE,2012-01-22,16:00,Al Ahli,Al Jazira Club,2,1,H,1.0,0.0,H
UAE,2012-01-23,13:10,Sharjah FC,Al Wasl,1,2,A,1.0,1.0,D
UAE,2012-01-23,13:15,Al Wahda,Al Sha'ab,0,0,D,0.0,0.0,D
UAE,2012-01-23,16:00,Al Nasr SC,Al Ain FC,2,0,H,1.0,0.0,H
UAE,2012-02-08,13:20,Emirates Club,Al Ahli,2,1,H,2.0,0.0,H
UAE,2012-02-08,13:25,Al Sha'ab,Dubai Club,1,1,D,1.0,0.0,H
UAE,2012-02-08,16:00,Al Ain FC,Al Wahda,1,0,H,1.0,0.0,H
UAE,2012-02-09,13:25,Ajman Club,Al Nasr SC,1,2,A,1.0,1.0,D
UAE,2012-02-09,13:30,Al Jazira Club,Sharjah FC,5,0,H,2.0,0.0,H
UAE,2012-02-09,16:00,Al Wasl,Baniyas SC,1,0,H,1.0,0.0,H
UAE,2012-02-13,14:55,Al Ahli,Al Sha'ab,2,3,A,2.0,2.0,D
UAE,2012-02-14,13:25,Sharjah FC,Emirates Club,1,1,D,1.0,0.0,H
UAE,2012-02-14,16:15,Al Wahda,Al Nasr SC,1,1,D,1.0,0.0,H
UAE,2012-02-15,13:25,Dubai Club,Al Ain FC,0,2,A,0.0,1.0,A
UAE,2012-02-15,13:30,Baniyas SC,Al Jazira Club,2,1,H,1.0,1.0,D
UAE,2012-02-15,16:15,Al Wasl,Ajman Club,2,4,A,1.0,2.0,A
UAE,2012-03-15,13:40,Emirates Club,Baniyas SC,0,2,A,0.0,1.0,A
UAE,2012-03-15,13:45,Ajman Club,Al Wahda,3,1,H,1.0,0.0,H
UAE,2012-03-15,16:30,Al Jazira Club,Al Wasl,1,0,H,0.0,0.0,D
UAE,2012-03-16,13:45,Al Sha'ab,Sharjah FC,5,1,H,1.0,0.0,H
UAE,2012-03-16,13:45,Al Nasr SC,Dubai Club,0,1,A,0.0,0.0,D
UAE,2012-03-16,16:30,Al Ain FC,Al Ahli,1,0,H,0.0,0.0,D
UAE,2012-03-24,13:45,Al Wasl,Emirates Club,4,1,H,2.0,0.0,H
UAE,2012-03-24,13:50,Al Jazira Club,Ajman Club,1,0,H,0.0,0.0,D
UAE,2012-03-24,16:30,Sharjah FC,Al Ain FC,1,4,A,0.0,1.0,A
UAE,2012-03-25,14:45,Dubai Club,Al Wahda,0,0,D,0.0,0.0,D
UAE,2012-03-25,14:50,Baniyas SC,Al Sha'ab,0,1,A,0.0,1.0,A
UAE,2012-03-25,17:30,Al Ahli,Al Nasr SC,3,3,D,2.0,0.0,H
UAE,2012-03-29,14:45,Emirates Club,Al Jazira Club,3,2,H,1.0,0.0,H
UAE,2012-03-29,14:50,Al Nasr SC,Sharjah FC,3,2,H,2.0,1.0,H
UAE,2012-03-29,17:30,Al Sha'ab,Al Wasl,2,0,H,1.0,0.0,H
UAE,2012-03-30,14:50,Ajman Club,Dubai Club,3,0,H,1.0,0.0,H
UAE,2012-03-30,14:50,Al Ain FC,Baniyas SC,3,0,H,1.0,0.0,H
UAE,2012-03-30,17:30,Al Wahda,Al Ahli,3,3,D,2.0,0.0,H
UAE,2012-04-13,14:55,Al Ahli,Dubai Club,5,2,H,4.0,2.0,H
UAE,2012-04-13,15:00,Baniyas SC,Al Nasr SC,2,2,D,1.0,0.0,H
UAE,2012-04-13,17:30,Al Jazira Club,Al Sha'ab,2,0,H,0.0,0.0,D
UAE,2012-04-14,14:50,Emirates Club,Ajman Club,1,3,A,0.0,1.0,A
UAE,2012-04-14,14:55,Sharjah FC,Al Wahda,1,2,A,0.0,0.0,D
UAE,2012-04-14,17:30,Al Wasl,Al Ain FC,2,2,D,0.0,1.0,A
UAE,2012-04-26,15:05,Al Sha'ab,Emirates Club,1,0,H,0.0,0.0,D
UAE,2012-04-26,15:10,Al Wahda,Baniyas SC,2,1,H,2.0,0.0,H
UAE,2012-04-26,18:00,Al Nasr SC,Al Wasl,1,1,D,1.0,1.0,D
UAE,2012-04-27,15:05,Ajman Club,Al Ahli,0,1,A,0.0,0.0,D
UAE,2012-04-27,15:05,Dubai Club,Sharjah FC,3,0,H,2.0,0.0,H
UAE,2012-04-27,18:00,Al Ain FC,Al Jazira Club,2,0,H,2.0,0.0,H
UAE,2012-05-06,16:35,Al Sha'ab,Ajman Club,4,4,D,2.0,3.0,A
UAE,2012-05-06,16:35,Al Jazira Club,Al Nasr SC,1,5,A,1.0,3.0,A
UAE,2012-05-06,16:35,Sharjah FC,Al Ahli,1,2,A,1.0,1.0,D
UAE,2012-05-06,16:35,Emirates Club,Al Ain FC,1,4,A,1.0,3.0,A
UAE,2012-05-06,16:35,Baniyas SC,Dubai Club,2,0,H,0.0,0.0,D
UAE,2012-05-06,16:35,Al Wasl,Al Wahda,0,2,A,0.0,1.0,A
UAE,2012-05-11,16:40,Ajman Club,Sharjah FC,2,1,H,1.0,0.0,H
UAE,2012-05-11,16:40,Al Nasr SC,Emirates Club,5,3,H,1.0,1.0,D
UAE,2012-05-11,16:40,Al Ain FC,Al Sha'ab,3,1,H,1.0,1.0,D
UAE,2012-05-11,16:40,Dubai Club,Al Wasl,5,2,H,1.0,1.0,D
UAE,2012-05-11,16:40,Al Ahli,Baniyas SC,6,4,H,4.0,0.0,H
UAE,2012-05-11,16:40,Al Wahda,Al Jazira Club,3,2,H,2.0,1.0,H
UAE,2012-05-26,15:15,Ajman Club,Al Ain FC,0,4,A,0.0,1.0,A
UAE,2012-05-26,16:45,Al Wasl,Al Ahli,2,6,A,2.0,3.0,A
UAE,2012-05-27,16:45,Emirates Club,Al Wahda,2,1,H,2.0,0.0,H
UAE,2012-05-27,16:45,Al Sha'ab,Al Nasr SC,2,2,D,1.0,0.0,H
