Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
UKR,1992-03-06,,Evis Mikolaiv,Temp Shepetivka,1,0,H,,,
UKR,1992-03-06,,Chernomorets Odessa,Karpaty Lviv,2,2,D,,,
UKR,1992-03-07,,Tavriya Simferopol,Torpedo Zaporizhya,2,0,H,,,
UKR,1992-03-07,,Metalurg Zaporizhya,Shakhtyor Donetsk,1,1,D,,,
UKR,1992-03-07,,FK Kremin,Niva-V Vinnitsa,1,0,H,,,
UKR,1992-03-07,,SK Odessa,FC Naftovyk Okhtyrka,0,1,A,,,
UKR,1992-03-07,,FC Prykarpattya Ivano-Frankivsk,Volyn Lutsk,0,0,D,,,
UKR,1992-03-07,,Dinamo Kiev,Metalist Kharkov,2,1,H,,,
UKR,1992-03-07,,Dnipro Dnipropetrovsk,Zorya-MALS Lugansk,2,0,H,,,
UKR,1992-03-07,,FK Bukovina,Niva Ternopil,2,1,H,,,
UKR,1992-03-09,,Evis Mikolaiv,Karpaty Lviv,1,1,D,,,
UKR,1992-03-09,,Chernomorets Odessa,Temp Shepetivka,3,1,H,,,
UKR,1992-03-10,,Tavriya Simferopol,Shakhtyor Donetsk,1,1,D,,,
UKR,1992-03-10,,Metalurg Zaporizhya,Torpedo Zaporizhya,0,1,A,,,
UKR,1992-03-10,,SK Odessa,Metalist Kharkov,0,3,A,,,
UKR,1992-03-10,,FC Prykarpattya Ivano-Frankivsk,Niva Ternopil,0,0,D,,,
UKR,1992-03-10,,Dinamo Kiev,FC Naftovyk Okhtyrka,1,0,H,,,
UKR,1992-03-10,,FK Bukovina,Volyn Lutsk,2,1,H,,,
UKR,1992-03-18,,Torpedo Zaporizhya,FK Kremin,0,0,D,,,
UKR,1992-03-18,,Temp Shepetivka,Metalurg Zaporizhya,0,2,A,,,
UKR,1992-03-18,,Shakhtyor Donetsk,Niva-V Vinnitsa,5,0,H,,,
UKR,1992-03-18,,Karpaty Lviv,Tavriya Simferopol,0,2,A,,,
UKR,1992-03-18,,Volyn Lutsk,Dnipro Dnipropetrovsk,1,0,H,,,
UKR,1992-03-18,,Niva Ternopil,Zorya-MALS Lugansk,2,0,H,,,
UKR,1992-03-18,,FC Naftovyk Okhtyrka,FK Bukovina,0,0,D,,,
UKR,1992-03-18,,Metalist Kharkov,FC Prykarpattya Ivano-Frankivsk,1,0,H,,,
UKR,1992-03-21,,Torpedo Zaporizhya,Niva-V Vinnitsa,4,0,H,,,
UKR,1992-03-21,,Temp Shepetivka,Tavriya Simferopol,1,0,H,,,
UKR,1992-03-21,,Shakhtyor Donetsk,FK Kremin,2,0,H,,,
UKR,1992-03-21,,Karpaty Lviv,Metalurg Zaporizhya,0,0,D,,,
UKR,1992-03-21,,Evis Mikolaiv,Chernomorets Odessa,1,2,A,,,
UKR,1992-03-21,,Volyn Lutsk,Zorya-MALS Lugansk,2,0,H,,,
UKR,1992-03-21,,Niva Ternopil,Dnipro Dnipropetrovsk,1,0,H,,,
UKR,1992-03-21,,FC Naftovyk Okhtyrka,FC Prykarpattya Ivano-Frankivsk,1,0,H,,,
UKR,1992-03-21,,Metalist Kharkov,FK Bukovina,0,0,D,,,
UKR,1992-03-23,,SK Odessa,Dinamo Kiev,1,3,A,,,
UKR,1992-03-27,,Tavriya Simferopol,Chernomorets Odessa,1,0,H,,,
UKR,1992-03-27,,Niva-V Vinnitsa,Karpaty Lviv,3,0,H,,,
UKR,1992-03-27,,Metalurg Zaporizhya,Evis Mikolaiv,2,0,H,,,
UKR,1992-03-27,,FK Kremin,Temp Shepetivka,1,1,D,,,
UKR,1992-03-27,,Zorya-MALS Lugansk,FC Naftovyk Okhtyrka,3,0,H,,,
UKR,1992-03-27,,FC Prykarpattya Ivano-Frankivsk,Dinamo Kiev,0,0,D,,,
UKR,1992-03-27,,Dnipro Dnipropetrovsk,Metalist Kharkov,2,1,H,,,
UKR,1992-03-27,,FK Bukovina,SK Odessa,3,1,H,,,
UKR,1992-03-30,,Tavriya Simferopol,Evis Mikolaiv,1,0,H,,,
UKR,1992-03-30,,Shakhtyor Donetsk,Torpedo Zaporizhya,0,0,D,,,
UKR,1992-03-30,,Niva-V Vinnitsa,Temp Shepetivka,0,0,D,,,
UKR,1992-03-30,,Metalurg Zaporizhya,Chernomorets Odessa,1,1,D,,,
UKR,1992-03-30,,FK Kremin,Karpaty Lviv,1,0,H,,,
UKR,1992-03-30,,Zorya-MALS Lugansk,Metalist Kharkov,2,2,D,,,
UKR,1992-03-30,,Volyn Lutsk,Niva Ternopil,1,0,H,,,
UKR,1992-03-30,,FC Prykarpattya Ivano-Frankivsk,SK Odessa,1,0,H,,,
UKR,1992-03-30,,Dnipro Dnipropetrovsk,FC Naftovyk Okhtyrka,2,0,H,,,
UKR,1992-04-04,,Evis Mikolaiv,FK Kremin,0,0,D,,,
UKR,1992-04-04,,Chernomorets Odessa,Niva-V Vinnitsa,6,0,H,,,
UKR,1992-04-05,,Temp Shepetivka,Torpedo Zaporizhya,1,1,D,,,
UKR,1992-04-05,,Metalurg Zaporizhya,Tavriya Simferopol,2,2,D,,,
UKR,1992-04-05,,Karpaty Lviv,Shakhtyor Donetsk,1,0,H,,,
UKR,1992-04-05,,SK Odessa,Zorya-MALS Lugansk,0,1,A,,,
UKR,1992-04-05,,FC Naftovyk Okhtyrka,Niva Ternopil,0,0,D,,,
UKR,1992-04-05,,Metalist Kharkov,Volyn Lutsk,3,1,H,,,
UKR,1992-04-05,,Dinamo Kiev,Dnipro Dnipropetrovsk,2,2,D,,,
UKR,1992-04-05,,FK Bukovina,FC Prykarpattya Ivano-Frankivsk,0,0,D,,,
UKR,1992-04-07,,Evis Mikolaiv,Niva-V Vinnitsa,2,1,H,,,
UKR,1992-04-07,,Chernomorets Odessa,FK Kremin,1,1,D,,,
UKR,1992-04-08,,Temp Shepetivka,Shakhtyor Donetsk,0,4,A,,,
UKR,1992-04-08,,Karpaty Lviv,Torpedo Zaporizhya,0,0,D,,,
UKR,1992-04-08,,SK Odessa,Dnipro Dnipropetrovsk,1,1,D,,,
UKR,1992-04-08,,FC Naftovyk Okhtyrka,Volyn Lutsk,2,1,H,,,
UKR,1992-04-08,,Metalist Kharkov,Niva Ternopil,0,0,D,,,
UKR,1992-04-08,,Dinamo Kiev,Zorya-MALS Lugansk,2,1,H,,,
UKR,1992-04-16,,Torpedo Zaporizhya,Evis Mikolaiv,2,0,H,,,
UKR,1992-04-16,,Shakhtyor Donetsk,Chernomorets Odessa,0,0,D,,,
UKR,1992-04-16,,Niva-V Vinnitsa,Tavriya Simferopol,0,1,A,,,
UKR,1992-04-16,,FK Kremin,Metalurg Zaporizhya,0,1,A,,,
UKR,1992-04-16,,Zorya-MALS Lugansk,FC Prykarpattya Ivano-Frankivsk,4,0,H,,,
UKR,1992-04-16,,Niva Ternopil,SK Odessa,1,0,H,,,
UKR,1992-04-16,,Dnipro Dnipropetrovsk,FK Bukovina,0,1,A,,,
UKR,1992-04-16,,Volyn Lutsk,Metalist Kharkov,3,1,H,,,
UKR,1992-04-19,,Torpedo Zaporizhya,Chernomorets Odessa,0,2,A,,,
UKR,1992-04-19,,Temp Shepetivka,Karpaty Lviv,1,0,H,,,
UKR,1992-04-19,,Shakhtyor Donetsk,Evis Mikolaiv,2,0,H,,,
UKR,1992-04-19,,Niva-V Vinnitsa,Metalurg Zaporizhya,1,1,D,,,
UKR,1992-04-19,,FK Kremin,Tavriya Simferopol,1,1,D,,,
UKR,1992-04-19,,Zorya-MALS Lugansk,FK Bukovina,2,1,H,,,
UKR,1992-04-19,,Volyn Lutsk,SK Odessa,3,0,H,,,
UKR,1992-04-19,,FC Naftovyk Okhtyrka,Metalist Kharkov,1,0,H,,,
UKR,1992-04-19,,Dnipro Dnipropetrovsk,FC Prykarpattya Ivano-Frankivsk,1,0,H,,,
UKR,1992-04-20,,Niva Ternopil,Dinamo Kiev,0,2,A,,,
UKR,1992-04-23,,FK Bukovina,Dinamo Kiev,0,0,D,,,
UKR,1992-04-24,,SK Odessa,Niva Ternopil,0,1,A,,,
UKR,1992-04-25,,Tavriya Simferopol,Niva-V Vinnitsa,4,1,H,,,
UKR,1992-04-25,,Metalurg Zaporizhya,FK Kremin,1,0,H,,,
