Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
UKR,2013-07-12,18:00,Tavriya Simferopol,Zorya Lugansk,0,2,A,0.0,1.0,A
UKR,2013-07-13,17:00,Metalurg Zaporizhya,FK Illichivets,0,1,A,0.0,1.0,A
UKR,2013-07-14,15:30,Karpaty Lviv,Vorskla Poltava,0,2,A,0.0,1.0,A
UKR,2013-07-14,17:00,Shakhtar Donetsk,Hoverla Uzhgorod,2,0,H,0.0,0.0,D
UKR,2013-07-14,17:30,Dinamo Kiev,Volyn Lutsk,1,1,D,1.0,1.0,D
UKR,2013-07-14,19:30,PFK Sevastopol,Chernomorets Odessa,1,1,D,1.0,1.0,D
UKR,2013-07-15,18:00,Metalist Kharkov,Metalurh Donetsk,1,0,H,0.0,0.0,D
UKR,2013-07-19,18:45,FK Illichivets,Dnipro Dnipropetrovsk,0,2,A,0.0,1.0,A
UKR,2013-07-20,17:00,Hoverla Uzhgorod,Dinamo Kiev,1,2,A,0.0,2.0,A
UKR,2013-07-20,19:30,Metalurh Donetsk,Karpaty Lviv,1,1,D,0.0,0.0,D
UKR,2013-07-21,17:00,PFK Sevastopol,Shakhtar Donetsk,1,3,A,0.0,1.0,A
UKR,2013-07-21,17:30,Volyn Lutsk,Tavriya Simferopol,1,0,H,1.0,0.0,H
UKR,2013-07-21,19:30,Chernomorets Odessa,Vorskla Poltava,1,1,D,1.0,0.0,H
UKR,2013-07-22,17:00,Zorya Lugansk,Metalurg Zaporizhya,0,0,D,0.0,0.0,D
UKR,2013-07-26,17:00,Metalist Kharkov,FK Illichivets,2,0,H,0.0,0.0,D
UKR,2013-07-27,17:00,Vorskla Poltava,Metalurh Donetsk,1,2,A,0.0,1.0,A
UKR,2013-07-27,17:30,Dnipro Dnipropetrovsk,Zorya Lugansk,1,3,A,1.0,1.0,D
UKR,2013-07-27,19:30,Metalurg Zaporizhya,Volyn Lutsk,3,0,H,3.0,0.0,H
UKR,2013-07-28,14:30,Tavriya Simferopol,Hoverla Uzhgorod,1,3,A,1.0,1.0,D
UKR,2013-07-28,17:00,Shakhtar Donetsk,Chernomorets Odessa,1,0,H,0.0,0.0,D
UKR,2013-07-28,17:30,Dinamo Kiev,PFK Sevastopol,2,0,H,1.0,0.0,H
UKR,2013-08-02,18:00,FK Illichivets,Karpaty Lviv,1,1,D,0.0,1.0,A
UKR,2013-08-03,14:30,Hoverla Uzhgorod,Metalurg Zaporizhya,1,1,D,0.0,1.0,A
UKR,2013-08-03,17:00,Zorya Lugansk,Metalist Kharkov,2,2,D,2.0,1.0,H
UKR,2013-08-03,17:30,Volyn Lutsk,Dnipro Dnipropetrovsk,1,3,A,1.0,1.0,D
UKR,2013-08-03,19:30,PFK Sevastopol,Tavriya Simferopol,1,0,H,0.0,0.0,D
UKR,2013-08-04,17:00,Shakhtar Donetsk,Dinamo Kiev,3,1,H,1.0,1.0,D
UKR,2013-08-04,19:30,Chernomorets Odessa,Metalurh Donetsk,1,0,H,1.0,0.0,H
UKR,2013-08-09,17:00,Metalurg Zaporizhya,PFK Sevastopol,2,2,D,0.0,2.0,A
UKR,2013-08-10,15:00,Vorskla Poltava,FK Illichivets,1,0,H,0.0,0.0,D
UKR,2013-08-10,17:00,Karpaty Lviv,Zorya Lugansk,0,0,D,0.0,0.0,D
UKR,2013-08-10,17:30,Tavriya Simferopol,Shakhtar Donetsk,0,4,A,0.0,1.0,A
UKR,2013-08-10,19:00,Metalist Kharkov,Volyn Lutsk,4,0,H,2.0,0.0,H
UKR,2013-08-11,15:00,Dnipro Dnipropetrovsk,Hoverla Uzhgorod,1,0,H,1.0,0.0,H
UKR,2013-08-11,17:30,Dinamo Kiev,Chernomorets Odessa,1,2,A,0.0,1.0,A
UKR,2013-08-17,14:30,FK Illichivets,Metalurh Donetsk,3,0,H,0.0,0.0,D
UKR,2013-08-17,17:00,PFK Sevastopol,Dnipro Dnipropetrovsk,1,1,D,1.0,0.0,H
UKR,2013-08-17,19:30,Hoverla Uzhgorod,Metalist Kharkov,0,2,A,0.0,1.0,A
UKR,2013-08-18,14:30,Zorya Lugansk,Vorskla Poltava,1,2,A,1.0,1.0,D
UKR,2013-08-18,17:00,Shakhtar Donetsk,Metalurg Zaporizhya,2,0,H,1.0,0.0,H
UKR,2013-08-18,17:30,Dinamo Kiev,Tavriya Simferopol,2,0,H,0.0,0.0,D
UKR,2013-08-19,17:00,Volyn Lutsk,Karpaty Lviv,1,1,D,0.0,0.0,D
UKR,2013-08-23,17:00,Metalurh Donetsk,Zorya Lugansk,2,0,H,1.0,0.0,H
UKR,2013-08-24,14:30,Vorskla Poltava,Volyn Lutsk,3,3,D,2.0,2.0,D
UKR,2013-08-24,17:30,Metalist Kharkov,PFK Sevastopol,3,1,H,2.0,1.0,H
UKR,2013-08-25,15:00,Karpaty Lviv,Hoverla Uzhgorod,1,0,H,0.0,0.0,D
UKR,2013-08-25,17:00,Metalurg Zaporizhya,Dinamo Kiev,1,2,A,0.0,1.0,A
UKR,2013-08-25,17:30,Dnipro Dnipropetrovsk,Shakhtar Donetsk,3,1,H,0.0,0.0,D
UKR,2013-08-25,19:30,Tavriya Simferopol,Chernomorets Odessa,1,2,A,0.0,1.0,A
UKR,2013-08-30,17:30,Tavriya Simferopol,Metalurg Zaporizhya,3,1,H,1.0,1.0,D
UKR,2013-08-31,14:30,Hoverla Uzhgorod,Vorskla Poltava,1,2,A,0.0,2.0,A
UKR,2013-08-31,17:30,Shakhtar Donetsk,Metalist Kharkov,1,1,D,0.0,0.0,D
UKR,2013-08-31,19:30,PFK Sevastopol,Karpaty Lviv,1,0,H,0.0,0.0,D
UKR,2013-09-01,15:00,Volyn Lutsk,Metalurh Donetsk,1,0,H,0.0,0.0,D
UKR,2013-09-01,17:00,Chernomorets Odessa,FK Illichivets,1,0,H,0.0,0.0,D
UKR,2013-09-01,17:30,Dinamo Kiev,Dnipro Dnipropetrovsk,1,1,D,0.0,1.0,A
