Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
URS,1939-05-12,,Dinamo Tbilisi,Dinamo Moskva,4,1,H,,,
URS,1939-05-12,,Traktor Stalingrad,CDKA Moskva,2,4,A,,,
URS,1939-05-12,,Sparta Odessa,Lokomotiv Moskva,1,4,A,,,
URS,1939-05-12,,Dinamo Kiev,Elektrosila Leningrad,1,0,H,,,
URS,1939-05-12,,Stakhanovets Stalino,Torpedo Moskva,3,3,D,,,
URS,1939-05-12,,Metallurg Moskva,Spartak Moskva,3,3,D,,,
URS,1939-05-18,,Dinamo Tbilisi,Torpedo Moskva,3,0,H,,,
URS,1939-05-18,,Dinamo Kiev,Lokomotiv Moskva,2,1,H,,,
URS,1939-05-18,,Stakhanovets Stalino,CDKA Moskva,0,2,A,,,
URS,1939-05-18,,Sparta Odessa,Elektrosila Leningrad,0,2,A,,,
URS,1939-05-18,,Traktor Stalingrad,Dinamo Moskva,3,1,H,,,
URS,1939-05-18,,Spartak Moskva,Dinamo Leningrad,2,0,H,,,
URS,1939-05-22,,Spartak Moskva,Stalinets Leningrad,4,0,H,,,
URS,1939-05-24,,Stakhanovets Stalino,Dinamo Moskva,1,3,A,,,
URS,1939-05-24,,Lokomotiv Moskva,Elektrosila Leningrad,2,0,H,,,
URS,1939-05-24,,Sparta Odessa,Metallurg Moskva,1,1,D,,,
URS,1939-05-24,,Dinamo Tbilisi,CDKA Moskva,2,1,H,,,
URS,1939-05-24,,Dinamo Kiev,Dinamo Leningrad,4,5,A,,,
URS,1939-05-24,,Traktor Stalingrad,Torpedo Moskva,3,2,H,,,
URS,1939-05-29,,Stakhanovets Stalino,Elektrosila Leningrad,2,1,H,,,
URS,1939-05-29,,Dinamo Moskva,Torpedo Moskva,4,1,H,,,
URS,1939-05-30,,Dinamo Kiev,Metallurg Moskva,2,2,D,,,
URS,1939-05-30,,Sparta Odessa,Dinamo Leningrad,1,0,H,,,
URS,1939-05-30,,CDKA Moskva,Stalinets Leningrad,3,1,H,,,
URS,1939-05-30,,Dinamo Tbilisi,Spartak Moskva,0,0,D,,,
URS,1939-05-31,,Traktor Stalingrad,Lokomotiv Moskva,1,1,D,,,
URS,1939-06-02,,Stalinets Leningrad,Torpedo Moskva,1,5,A,,,
URS,1939-06-04,,Dinamo Tbilisi,Elektrosila Leningrad,0,1,A,,,
URS,1939-06-04,,Lokomotiv Moskva,Metallurg Moskva,4,3,H,,,
URS,1939-06-04,,CDKA Moskva,Sparta Odessa,3,2,H,,,
URS,1939-06-05,,Stakhanovets Stalino,Spartak Moskva,1,1,D,,,
URS,1939-06-05,,Dinamo Moskva,Dinamo Kiev,2,1,H,,,
URS,1939-06-06,,Dinamo Leningrad,Traktor Stalingrad,2,1,H,,,
URS,1939-06-08,,Torpedo Moskva,Sparta Odessa,0,1,A,,,
URS,1939-06-09,,Dinamo Tbilisi,Stalinets Leningrad,3,1,H,,,
URS,1939-06-09,,CDKA Moskva,Dinamo Kiev,0,2,A,,,
