Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
UZB,2014-03-15,10:30,Navbahor Namangan,Lokomotiv Tashkent,0,1,A,,,
UZB,2014-03-15,11:00,So'g'diyona Jizzax,PFK Mashal,1,1,D,,,
UZB,2014-03-15,11:30,Buxoro FK,Neftchi Farg'ona,1,0,H,,,
UZB,2014-03-15,11:30,Andijon PFK,Pakhtakor Tashkent,0,1,A,,,
UZB,2014-03-15,12:00,Bunyodkor PFK,Qizilqum Zarafshon,2,1,H,,,
UZB,2014-03-15,12:30,Nasaf Qarshi,Dinamo Samarqand,1,0,H,,,
UZB,2014-03-16,13:00,Olmaliq FK,Metallurg Bekobod,3,2,H,,,
UZB,2014-03-23,11:00,Neftchi Farg'ona,Pakhtakor Tashkent,1,2,A,,,
UZB,2014-03-23,11:00,PFK Mashal,Bunyodkor PFK,0,2,A,,,
UZB,2014-03-23,11:00,Dinamo Samarqand,Metallurg Bekobod,2,0,H,,,
UZB,2014-03-23,11:30,Buxoro FK,Navbahor Namangan,0,2,A,,,
UZB,2014-03-23,12:00,Qizilqum Zarafshon,Andijon PFK,1,0,H,,,
UZB,2014-03-23,12:00,Olmaliq FK,So'g'diyona Jizzax,4,2,H,,,
UZB,2014-03-24,11:00,Lokomotiv Tashkent,Nasaf Qarshi,1,1,D,,,
UZB,2014-03-27,12:00,Bunyodkor PFK,Olmaliq FK,1,1,D,,,
UZB,2014-03-29,11:00,Metallurg Bekobod,Lokomotiv Tashkent,0,1,A,,,
UZB,2014-03-29,11:00,Navbahor Namangan,Neftchi Farg'ona,1,1,D,,,
UZB,2014-03-29,11:00,So'g'diyona Jizzax,Dinamo Samarqand,1,3,A,,,
UZB,2014-03-29,11:00,Andijon PFK,PFK Mashal,0,1,A,,,
UZB,2014-03-29,12:00,Pakhtakor Tashkent,Qizilqum Zarafshon,1,0,H,,,
UZB,2014-03-29,12:30,Nasaf Qarshi,Buxoro FK,3,0,H,,,
UZB,2014-04-05,12:00,Neftchi Farg'ona,Qizilqum Zarafshon,0,0,D,,,
UZB,2014-04-05,12:30,PFK Mashal,Pakhtakor Tashkent,0,1,A,,,
UZB,2014-04-05,12:30,Buxoro FK,Metallurg Bekobod,2,1,H,,,
UZB,2014-04-05,13:00,Olmaliq FK,Andijon PFK,0,0,D,,,
UZB,2014-04-06,12:00,Dinamo Samarqand,Bunyodkor PFK,0,2,A,,,
UZB,2014-04-06,12:00,Navbahor Namangan,Nasaf Qarshi,1,0,H,,,
UZB,2014-04-07,12:00,Lokomotiv Tashkent,So'g'diyona Jizzax,3,1,H,,,
UZB,2014-04-11,13:30,Nasaf Qarshi,Neftchi Farg'ona,2,1,H,,,
UZB,2014-04-11,14:00,Bunyodkor PFK,Lokomotiv Tashkent,1,1,D,,,
UZB,2014-04-12,12:00,Metallurg Bekobod,Navbahor Namangan,2,0,H,,,
UZB,2014-04-12,12:00,So'g'diyona Jizzax,Buxoro FK,0,1,A,,,
UZB,2014-04-12,12:00,Andijon PFK,Dinamo Samarqand,2,3,A,,,
UZB,2014-04-12,13:00,Qizilqum Zarafshon,PFK Mashal,0,0,D,,,
UZB,2014-04-12,13:30,Pakhtakor Tashkent,Olmaliq FK,1,0,H,,,
UZB,2014-04-26,12:30,Dinamo Samarqand,Pakhtakor Tashkent,1,2,A,,,
UZB,2014-04-26,12:30,Navbahor Namangan,So'g'diyona Jizzax,4,2,H,,,
UZB,2014-04-26,13:00,Neftchi Farg'ona,PFK Mashal,0,0,D,,,
UZB,2014-04-26,14:00,Olmaliq FK,Qizilqum Zarafshon,1,0,H,,,
