Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
VIE,2011-12-31,09:10,Hoàng Anh Gia Lai,Hải Phòng FC,3,1,H,,,
VIE,2011-12-31,11:30,Bình Dương FC,Kiên Giang FC,2,0,H,,,
VIE,2012-01-01,09:10,Navibank Saigon,Saigon Xuan Thanh,2,2,D,,,
VIE,2012-01-01,09:10,Hà Nội FC,Hà Nội T&T;,0,1,A,,,
VIE,2012-01-01,09:10,Vissai Ninh Binh,Đồng Tháp,2,2,D,,,
VIE,2012-01-01,09:20,Sông Lam Nghệ An,Lam Sơn Thanh Hóa,0,0,D,,,
VIE,2012-01-01,09:20,SHB-Da Nang FC,Khatoco Khánh Hoà,3,2,H,,,
VIE,2012-01-07,09:10,Hải Phòng FC,Navibank Saigon,1,1,D,,,
VIE,2012-01-07,09:10,Đồng Tháp,Sông Lam Nghệ An,0,1,A,,,
VIE,2012-01-07,09:10,Kiên Giang FC,Hà Nội FC,3,2,H,,,
VIE,2012-01-07,11:30,Saigon Xuan Thanh,Hoàng Anh Gia Lai,1,1,D,,,
VIE,2012-01-08,09:10,Hà Nội T&T;,Bình Dương FC,1,0,H,,,
VIE,2012-01-08,09:10,Lam Sơn Thanh Hóa,SHB-Da Nang FC,0,0,D,,,
VIE,2012-01-08,11:30,Khatoco Khánh Hoà,Vissai Ninh Binh,4,0,H,,,
VIE,2012-01-14,09:00,SHB-Da Nang FC,Hoàng Anh Gia Lai,4,1,H,,,
VIE,2012-01-14,09:10,Lam Sơn Thanh Hóa,Bình Dương FC,2,1,H,,,
VIE,2012-01-14,09:10,Hà Nội FC,Khatoco Khánh Hoà,4,1,H,,,
VIE,2012-01-14,09:30,Kiên Giang FC,Saigon Xuan Thanh,0,2,A,,,
VIE,2012-01-15,09:10,Hải Phòng FC,Đồng Tháp,1,1,D,,,
VIE,2012-01-15,09:10,Sông Lam Nghệ An,Hà Nội T&T;,2,2,D,,,
VIE,2012-01-15,11:30,Navibank Saigon,Vissai Ninh Binh,1,2,A,,,
VIE,2012-02-04,09:00,Vissai Ninh Binh,Lam Sơn Thanh Hóa,1,0,H,,,
VIE,2012-02-04,09:10,Hoàng Anh Gia Lai,Navibank Saigon,0,2,A,,,
VIE,2012-02-04,11:30,Saigon Xuan Thanh,Hải Phòng FC,4,0,H,,,
VIE,2012-02-05,09:10,Đồng Tháp,Khatoco Khánh Hoà,3,1,H,,,
VIE,2012-02-05,09:10,Hà Nội T&T;,Kiên Giang FC,2,1,H,,,
VIE,2012-02-05,09:10,Bình Dương FC,Hà Nội FC,3,1,H,,,
VIE,2012-02-05,09:10,SHB-Da Nang FC,Sông Lam Nghệ An,1,1,D,,,
VIE,2012-02-11,09:10,Hoàng Anh Gia Lai,Hà Nội FC,2,1,H,,,
VIE,2012-02-11,09:10,Hà Nội T&T;,Lam Sơn Thanh Hóa,3,2,H,,,
VIE,2012-02-11,09:10,Vissai Ninh Binh,Hải Phòng FC,2,0,H,,,
VIE,2012-02-11,11:30,Bình Dương FC,Sông Lam Nghệ An,0,0,D,,,
VIE,2012-02-12,09:10,Đồng Tháp,Navibank Saigon,3,1,H,,,
VIE,2012-02-12,09:10,Khatoco Khánh Hoà,Kiên Giang FC,1,0,H,,,
VIE,2012-02-12,11:30,Saigon Xuan Thanh,SHB-Da Nang FC,2,1,H,,,
VIE,2012-02-18,09:00,Sông Lam Nghệ An,Hoàng Anh Gia Lai,2,0,H,,,
VIE,2012-02-18,09:10,Lam Sơn Thanh Hóa,Saigon Xuan Thanh,1,1,D,,,
VIE,2012-02-18,11:30,Navibank Saigon,Bình Dương FC,0,1,A,,,
VIE,2012-02-19,09:00,Hà Nội FC,Đồng Tháp,2,1,H,,,
VIE,2012-02-19,09:10,Hải Phòng FC,Khatoco Khánh Hoà,3,1,H,,,
VIE,2012-02-19,09:10,Kiên Giang FC,Vissai Ninh Binh,0,0,D,,,
VIE,2012-02-19,09:10,SHB-Da Nang FC,Hà Nội T&T;,2,0,H,,,
VIE,2012-02-25,09:00,Hải Phòng FC,Sông Lam Nghệ An,2,2,D,,,
VIE,2012-02-25,09:30,Kiên Giang FC,Hoàng Anh Gia Lai,2,3,A,,,
VIE,2012-02-25,10:00,Khatoco Khánh Hoà,Saigon Xuan Thanh,2,2,D,,,
