Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AND,06/03/2005,,UE Sant Julià,FC Rànger's,1,2,A,NaN,NaN,NaN
AND,17/03/2005,,FC Santa Coloma,CE Principat,2,2,D,NaN,NaN,NaN
AND,20/03/2005,,CE Principat,FC Rànger's,0,5,A,NaN,NaN,NaN
AND,20/03/2005,,FC Santa Coloma,UE Sant Julià,1,2,A,NaN,NaN,NaN
AND,03/04/2005,,FC Rànger's,FC Santa Coloma,2,0,H,NaN,NaN,NaN
AND,03/04/2005,,CE Principat,UE Sant Julià,1,4,A,NaN,NaN,NaN
AND,17/04/2005,,CE Principat,FC Santa Coloma,1,2,A,NaN,NaN,NaN
AND,17/04/2005,,FC Rànger's,UE Sant Julià,0,1,A,NaN,NaN,NaN
AND,24/04/2005,,FC Rànger's,CE Principat,3,0,H,NaN,NaN,NaN
AND,24/04/2005,,UE Sant Julià,FC Santa Coloma,3,2,H,NaN,NaN,NaN
AND,01/05/2005,,FC Santa Coloma,FC Rànger's,0,1,A,NaN,NaN,NaN
AND,01/05/2005,,UE Sant Julià,CE Principat,8,0,H,NaN,NaN,NaN
