Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ARG,17/08/2001,,Racing Club,Argentinos Juniors,2,1,H,NaN,NaN,NaN
ARG,18/08/2001,,Nueva Chicago,San Lorenzo,0,3,A,NaN,NaN,NaN
ARG,18/08/2001,,Rosario Central,CA Lanús,2,1,H,NaN,NaN,NaN
ARG,19/08/2001,,CA Banfield,Newell's Old Boys,0,5,A,NaN,NaN,NaN
ARG,19/08/2001,,Boca Juniors,Belgrano Córdoba,1,3,A,NaN,NaN,NaN
ARG,19/08/2001,,Estudiantes,CA Colón,2,2,D,NaN,NaN,NaN
ARG,19/08/2001,,Huracán,Chacarita Juniors,2,2,D,NaN,NaN,NaN
ARG,19/08/2001,,Talleres Córdoba,River Plate,1,3,A,NaN,NaN,NaN
ARG,19/08/2001,,Unión de Santa Fe,GyE La Plata,1,2,A,NaN,NaN,NaN
ARG,19/08/2001,,Vélez Sársfield,Independiente,1,4,A,NaN,NaN,NaN
ARG,24/08/2001,,Chacarita Juniors,Unión de Santa Fe,2,2,D,NaN,NaN,NaN
ARG,25/08/2001,,Argentinos Juniors,Rosario Central,1,0,H,NaN,NaN,NaN
ARG,25/08/2001,,CA Colón,Nueva Chicago,3,1,H,NaN,NaN,NaN
ARG,25/08/2001,,CA Lanús,Talleres Córdoba,4,0,H,NaN,NaN,NaN
ARG,26/08/2001,,Belgrano Córdoba,CA Banfield,2,0,H,NaN,NaN,NaN
ARG,26/08/2001,,GyE La Plata,Estudiantes,1,1,D,NaN,NaN,NaN
ARG,26/08/2001,,Independiente,Racing Club,1,1,D,NaN,NaN,NaN
ARG,26/08/2001,,Newell's Old Boys,Vélez Sársfield,1,1,D,NaN,NaN,NaN
ARG,26/08/2001,,River Plate,Huracán,4,1,H,NaN,NaN,NaN
ARG,26/08/2001,,San Lorenzo,Boca Juniors,1,0,H,NaN,NaN,NaN
ARG,28/08/2001,,Huracán,CA Lanús,1,2,A,NaN,NaN,NaN
ARG,28/08/2001,,Independiente,Newell's Old Boys,0,1,A,NaN,NaN,NaN
ARG,28/08/2001,,Nueva Chicago,GyE La Plata,0,0,D,NaN,NaN,NaN
ARG,28/08/2001,,Rosario Central,Racing Club,0,1,A,NaN,NaN,NaN
ARG,28/08/2001,,Vélez Sársfield,Belgrano Córdoba,0,1,A,NaN,NaN,NaN
ARG,29/08/2001,,CA Banfield,San Lorenzo,2,2,D,NaN,NaN,NaN
ARG,29/08/2001,,Boca Juniors,CA Colón,0,0,D,NaN,NaN,NaN
ARG,29/08/2001,,Estudiantes,Chacarita Juniors,0,3,A,NaN,NaN,NaN
ARG,29/08/2001,,Talleres Córdoba,Argentinos Juniors,0,1,A,NaN,NaN,NaN
ARG,29/08/2001,,Unión de Santa Fe,River Plate,1,1,D,NaN,NaN,NaN
ARG,31/08/2001,,Racing Club,Newell's Old Boys,2,1,H,NaN,NaN,NaN
ARG,01/09/2001,,Belgrano Córdoba,Independiente,0,2,A,NaN,NaN,NaN
ARG,01/09/2001,,CA Lanús,Unión de Santa Fe,2,0,H,NaN,NaN,NaN
ARG,02/09/2001,,Argentinos Juniors,Huracán,3,1,H,NaN,NaN,NaN
ARG,02/09/2001,,Chacarita Juniors,Nueva Chicago,2,0,H,NaN,NaN,NaN
ARG,02/09/2001,,CA Colón,CA Banfield,1,0,H,NaN,NaN,NaN
ARG,02/09/2001,,GyE La Plata,Boca Juniors,2,2,D,NaN,NaN,NaN
ARG,02/09/2001,,River Plate,Estudiantes,3,0,H,NaN,NaN,NaN
ARG,02/09/2001,,Rosario Central,Talleres Córdoba,1,0,H,NaN,NaN,NaN
ARG,02/09/2001,,San Lorenzo,Vélez Sársfield,2,1,H,NaN,NaN,NaN
ARG,07/09/2001,,Vélez Sársfield,CA Colón,2,2,D,NaN,NaN,NaN
ARG,08/09/2001,,Huracán,Rosario Central,0,4,A,NaN,NaN,NaN
ARG,08/09/2001,,Talleres Córdoba,Racing Club,0,2,A,NaN,NaN,NaN
ARG,09/09/2001,,CA Banfield,GyE La Plata,2,3,A,NaN,NaN,NaN
ARG,09/09/2001,,Boca Juniors,Chacarita Juniors,3,1,H,NaN,NaN,NaN
ARG,09/09/2001,,Estudiantes,CA Lanús,1,3,A,NaN,NaN,NaN
ARG,09/09/2001,,Independiente,San Lorenzo,0,0,D,NaN,NaN,NaN
ARG,09/09/2001,,Newell's Old Boys,Belgrano Córdoba,0,1,A,NaN,NaN,NaN
ARG,09/09/2001,,Nueva Chicago,River Plate,2,1,H,NaN,NaN,NaN
ARG,09/09/2001,,Unión de Santa Fe,Argentinos Juniors,1,2,A,NaN,NaN,NaN
ARG,14/09/2001,,GyE La Plata,Vélez Sársfield,3,2,H,NaN,NaN,NaN
ARG,15/09/2001,,CA Colón,Independiente,1,0,H,NaN,NaN,NaN
ARG,15/09/2001,,San Lorenzo,Newell's Old Boys,3,1,H,NaN,NaN,NaN
ARG,15/09/2001,,Talleres Córdoba,Huracán,3,3,D,NaN,NaN,NaN
ARG,16/09/2001,,Argentinos Juniors,Estudiantes,0,4,A,NaN,NaN,NaN
ARG,16/09/2001,,Chacarita Juniors,CA Banfield,2,0,H,NaN,NaN,NaN
ARG,16/09/2001,,CA Lanús,Nueva Chicago,1,1,D,NaN,NaN,NaN
ARG,16/09/2001,,Racing Club,Belgrano Córdoba,0,0,D,NaN,NaN,NaN
ARG,16/09/2001,,River Plate,Boca Juniors,1,1,D,NaN,NaN,NaN
ARG,16/09/2001,,Rosario Central,Unión de Santa Fe,1,0,H,NaN,NaN,NaN
ARG,21/09/2001,,Independiente,GyE La Plata,3,2,H,NaN,NaN,NaN
ARG,22/09/2001,,Belgrano Córdoba,San Lorenzo,1,0,H,NaN,NaN,NaN
ARG,22/09/2001,,Vélez Sársfield,Chacarita Juniors,1,2,A,NaN,NaN,NaN
ARG,23/09/2001,,CA Banfield,River Plate,1,1,D,NaN,NaN,NaN
ARG,23/09/2001,,Boca Juniors,CA Lanús,6,1,H,NaN,NaN,NaN
ARG,23/09/2001,,Estudiantes,Rosario Central,1,0,H,NaN,NaN,NaN
ARG,23/09/2001,,Huracán,Racing Club,0,1,A,NaN,NaN,NaN
ARG,23/09/2001,,Newell's Old Boys,CA Colón,1,2,A,NaN,NaN,NaN
