Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ARM,06/08/2016,14:30,Shirak FC,Pyunik FC,3,1,H,NaN,NaN,NaN
ARM,06/08/2016,15:00,FC Banants,FC Ararat,1,0,H,NaN,NaN,NaN
ARM,07/08/2016,15:00,FC Alashkert,Gandzasar FC,0,0,D,NaN,NaN,NaN
ARM,13/08/2016,14:30,Gandzasar FC,FC Ararat,2,0,H,NaN,NaN,NaN
ARM,13/08/2016,16:00,Pyunik FC,FC Alashkert,1,2,A,NaN,NaN,NaN
ARM,14/08/2016,15:00,FC Banants,Shirak FC,0,1,A,NaN,NaN,NaN
ARM,20/08/2016,14:00,Shirak FC,FC Ararat,1,0,H,NaN,NaN,NaN
ARM,21/08/2016,14:00,FC Alashkert,FC Banants,3,0,H,NaN,NaN,NaN
ARM,21/08/2016,16:00,Pyunik FC,Gandzasar FC,3,0,H,NaN,NaN,NaN
ARM,27/08/2016,14:00,Shirak FC,FC Alashkert,2,2,D,NaN,NaN,NaN
ARM,27/08/2016,16:00,FC Ararat,Pyunik FC,0,0,D,NaN,NaN,NaN
ARM,28/08/2016,14:00,FC Banants,Gandzasar FC,4,1,H,NaN,NaN,NaN
ARM,10/09/2016,13:00,FC Alashkert,FC Ararat,1,3,A,NaN,NaN,NaN
ARM,11/09/2016,13:00,Gandzasar FC,Shirak FC,0,1,A,NaN,NaN,NaN
ARM,11/09/2016,16:00,Pyunik FC,FC Banants,2,1,H,NaN,NaN,NaN
ARM,17/09/2016,15:00,FC Ararat,FC Banants,0,2,A,NaN,NaN,NaN
ARM,18/09/2016,13:00,Gandzasar FC,FC Alashkert,0,2,A,NaN,NaN,NaN
ARM,18/09/2016,15:00,Pyunik FC,Shirak FC,0,0,D,NaN,NaN,NaN
ARM,25/09/2016,15:00,FC Ararat,Gandzasar FC,0,2,A,NaN,NaN,NaN
ARM,27/09/2016,13:00,Shirak FC,FC Banants,0,1,A,NaN,NaN,NaN
ARM,27/09/2016,13:00,FC Alashkert,Pyunik FC,0,0,D,NaN,NaN,NaN
ARM,01/10/2016,13:00,Gandzasar FC,Pyunik FC,1,0,H,NaN,NaN,NaN
ARM,01/10/2016,15:00,FC Ararat,Shirak FC,0,1,A,NaN,NaN,NaN
ARM,02/10/2016,13:00,FC Banants,FC Alashkert,0,3,A,NaN,NaN,NaN
ARM,15/10/2016,11:00,Gandzasar FC,FC Banants,4,0,H,NaN,NaN,NaN
ARM,15/10/2016,15:00,Pyunik FC,FC Ararat,4,0,H,NaN,NaN,NaN
ARM,16/10/2016,12:00,FC Alashkert,Shirak FC,1,1,D,NaN,NaN,NaN
ARM,22/10/2016,12:00,Shirak FC,Gandzasar FC,1,0,H,NaN,NaN,NaN
ARM,22/10/2016,15:00,FC Ararat,FC Alashkert,1,2,A,NaN,NaN,NaN
ARM,23/10/2016,12:00,FC Banants,Pyunik FC,0,1,A,NaN,NaN,NaN
ARM,26/10/2016,12:00,Shirak FC,Pyunik FC,0,1,A,NaN,NaN,NaN
ARM,26/10/2016,12:00,FC Banants,FC Ararat,0,0,D,NaN,NaN,NaN
ARM,27/10/2016,12:00,FC Alashkert,Gandzasar FC,0,4,A,NaN,NaN,NaN
ARM,29/10/2016,12:00,FC Banants,Shirak FC,1,2,A,NaN,NaN,NaN
ARM,30/10/2016,11:00,Gandzasar FC,FC Ararat,1,0,H,NaN,NaN,NaN
ARM,30/10/2016,12:00,Pyunik FC,FC Alashkert,2,1,H,NaN,NaN,NaN
ARM,04/11/2016,11:00,Shirak FC,FC Ararat,2,0,H,NaN,NaN,NaN
ARM,05/11/2016,10:00,FC Alashkert,FC Banants,4,1,H,NaN,NaN,NaN
ARM,05/11/2016,13:00,Pyunik FC,Gandzasar FC,0,0,D,NaN,NaN,NaN
ARM,19/11/2016,11:00,FC Banants,Gandzasar FC,1,1,D,NaN,NaN,NaN
ARM,19/11/2016,13:00,FC Ararat,Pyunik FC,1,2,A,NaN,NaN,NaN
ARM,20/11/2016,11:00,Shirak FC,FC Alashkert,0,0,D,NaN,NaN,NaN
ARM,22/11/2016,12:00,Pyunik FC,FC Banants,1,1,D,NaN,NaN,NaN
ARM,23/11/2016,11:00,Gandzasar FC,Shirak FC,1,0,H,NaN,NaN,NaN
ARM,23/11/2016,11:00,FC Alashkert,FC Ararat,4,1,H,NaN,NaN,NaN
ARM,26/11/2016,12:00,Pyunik FC,Shirak FC,0,2,A,NaN,NaN,NaN
ARM,27/11/2016,11:00,Gandzasar FC,FC Alashkert,1,2,A,NaN,NaN,NaN
ARM,27/11/2016,12:00,FC Ararat,FC Banants,1,1,D,NaN,NaN,NaN
ARM,03/12/2016,10:00,FC Banants,Shirak FC,0,1,A,NaN,NaN,NaN
ARM,03/12/2016,12:00,FC Ararat,Gandzasar FC,0,1,A,NaN,NaN,NaN
ARM,04/12/2016,10:00,FC Alashkert,Pyunik FC,0,0,D,NaN,NaN,NaN
ARM,04/03/2017,10:00,FC Banants,FC Alashkert,1,2,A,NaN,NaN,NaN
ARM,05/03/2017,10:00,FC Ararat,Shirak FC,0,1,A,NaN,NaN,NaN
ARM,05/03/2017,10:00,Gandzasar FC,Pyunik FC,2,0,H,NaN,NaN,NaN
ARM,10/03/2017,12:00,Pyunik FC,FC Ararat,3,0,H,NaN,NaN,NaN
ARM,11/03/2017,10:00,Gandzasar FC,FC Banants,1,0,H,NaN,NaN,NaN
ARM,12/03/2017,10:00,FC Alashkert,Shirak FC,3,0,H,NaN,NaN,NaN
ARM,17/03/2017,10:00,FC Ararat,FC Alashkert,0,3,A,0,0,D
ARM,18/03/2017,10:00,Shirak FC,Gandzasar FC,1,2,A,NaN,NaN,NaN
ARM,19/03/2017,10:00,FC Banants,Pyunik FC,0,3,A,NaN,NaN,NaN
ARM,30/03/2017,12:00,FC Alashkert,Gandzasar FC,1,2,A,0,1,A
ARM,31/03/2017,12:00,FC Banants,FC Ararat,2,1,H,NaN,NaN,NaN
ARM,01/04/2017,12:00,Shirak FC,Pyunik FC,0,2,A,NaN,NaN,NaN
ARM,07/04/2017,12:00,Shirak FC,FC Banants,1,0,H,NaN,NaN,NaN
ARM,07/04/2017,13:00,Pyunik FC,FC Alashkert,0,3,A,0,1,A
ARM,08/04/2017,13:00,Gandzasar FC,FC Ararat,2,1,H,NaN,NaN,NaN
ARM,14/04/2017,13:00,FC Alashkert,FC Banants,2,0,H,NaN,NaN,NaN
ARM,15/04/2017,13:00,Shirak FC,FC Ararat,1,0,H,NaN,NaN,NaN
ARM,16/04/2017,15:00,Pyunik FC,Gandzasar FC,1,2,A,NaN,NaN,NaN
ARM,21/04/2017,14:00,FC Ararat,Pyunik FC,1,0,H,NaN,NaN,NaN
ARM,22/04/2017,14:00,FC Banants,Gandzasar FC,0,0,D,NaN,NaN,NaN
ARM,23/04/2017,14:00,Shirak FC,FC Alashkert,0,1,A,NaN,NaN,NaN
ARM,29/04/2017,14:00,FC Alashkert,FC Ararat,3,1,H,NaN,NaN,NaN
ARM,29/04/2017,16:00,Gandzasar FC,Shirak FC,3,2,H,NaN,NaN,NaN
ARM,30/04/2017,16:00,Pyunik FC,FC Banants,0,0,D,NaN,NaN,NaN
ARM,06/05/2017,13:00,Pyunik FC,Shirak FC,0,2,A,NaN,NaN,NaN
ARM,06/05/2017,14:00,FC Ararat,FC Banants,1,0,H,NaN,NaN,NaN
ARM,06/05/2017,16:00,Gandzasar FC,FC Alashkert,0,1,A,NaN,NaN,NaN
ARM,13/05/2017,14:00,FC Ararat,Gandzasar FC,1,2,A,NaN,NaN,NaN
ARM,14/05/2017,14:00,Shirak FC,FC Banants,1,0,H,NaN,NaN,NaN
ARM,14/05/2017,14:00,FC Alashkert,Pyunik FC,3,3,D,NaN,NaN,NaN
ARM,19/05/2017,14:00,FC Banants,FC Alashkert,0,3,A,NaN,NaN,NaN
ARM,20/05/2017,14:00,FC Ararat,Shirak FC,2,3,A,NaN,NaN,NaN
ARM,20/05/2017,16:00,Gandzasar FC,Pyunik FC,1,1,D,NaN,NaN,NaN
ARM,27/05/2017,14:00,Pyunik FC,FC Ararat,2,1,H,NaN,NaN,NaN
ARM,27/05/2017,16:00,Gandzasar FC,FC Banants,2,1,H,NaN,NaN,NaN
ARM,28/05/2017,14:00,FC Alashkert,Shirak FC,3,1,H,NaN,NaN,NaN
ARM,31/05/2017,14:00,FC Banants,Pyunik FC,0,2,A,NaN,NaN,NaN
ARM,31/05/2017,14:00,Shirak FC,Gandzasar FC,0,0,D,NaN,NaN,NaN
ARM,31/05/2017,15:00,FC Ararat,FC Alashkert,1,4,A,NaN,NaN,NaN
